ac name,ac no,type,district,winning candidate,party,total electors,total votes,poll%,margin,margin %,father/husband name,gender,age,UID
Narsapur,37,GEN,Medak,Vakiti Sunitha Laxma Reddy,Bharat Rashtra Samithi,447251,196676,44.00%,8855,4.50%,Late V. Laxma Reddy,female,55,TG2023AC37
Zahirabad,38,SC,Medak,Koninty Manik Rao,Bharat Rashtra Samithi,541777,208476,38.50%,12790,6.10%,KONINTY BALAPPA,male,68,TG2023AC38
Sangareddy,39,GEN,Medak,Chinta Prabhakar,Bharat Rashtra Samithi,490598,186695,38.10%,8217,4.40%,Late Chinta Nagabhushanam,male,63,TG2023AC39
Patancheru,40,GEN,Medak,Gudem Mahipal Reddy,Bharat Rashtra Samithi,794529,274218,34.50%,7091,2.60%,LATE GUDEM SATHI REDDY,male,60,TG2023AC40
Dubbak,41,GEN,Medak,Kotta Prabhakar Reddy,Bharat Rashtra Samithi,396321,172496,43.50%,53513,31.00%,Kishta Reddy,male,60,TG2023AC41
Gajwel,42,GEN,Medak,Kalvakuntla Chandrashekar Rao,Bharat Rashtra Samithi,549440,231585,42.10%,45031,19.40%,LATE KALVAKUNTLA RAGHAVA RAO,male,69,TG2023AC42
Medchal,43,GEN,Rangareddi,Chamakura Malla Reddy,Bharat Rashtra Samithi,1275922,396779,31.10%,33419,8.40%,LATE SHRI MALLA REDDY,male,70,TG2023AC43
Malkajgiri,44,GEN,Rangareddi,Marri Rajashekar Reddy,Bharat Rashtra Samithi,978790,262803,26.80%,49530,18.80%,LAXMAN REDDY MARRI,male,54,TG2023AC44
Quthbullapur,45,GEN,Rangareddi,K.P. Vivekanand,Bharat Rashtra Samithi,1398246,397588,28.40%,85576,21.50%,Late K.M.Pandu,male,46,TG2023AC45
Kukatpalle,46,GEN,Rangareddi,Madhavaram Krishna Rao,Bharat Rashtra Samithi,927695,248336,26.80%,70387,28.30%,LATE SIVAIAHGARI NARAYANA RAO,male,57,TG2023AC46
Uppal,47,GEN,Rangareddi,Bandari Lakshma Reddy,Bharat Rashtra Samithi,1059211,272490,25.70%,49030,18.00%,BANDARI JANGA REDDY,male,56,TG2023AC47
Ibrahimpatnam,48,GEN,Rangareddi,Malreddy Ranga Reddy,Indian National Congress,655221,247034,37.70%,36700,14.90%,M. Bal Reddy,male,67,TG2023AC48
Lal Bahadur Nagar,49,GEN,Rangareddi,Devireddy Sudhir Reddy,Bharat Rashtra Samithi,1187274,292165,24.60%,22305,7.60%,D. JAYA CHANDRA REDDY,male,61,TG2023AC49
Maheswaram,50,GEN,Rangareddi,Patlolla Sabitha Indra Reddy,Bharat Rashtra Samithi,1093233,304303,27.80%,26187,8.60%,P Indra Reddy,female,60,TG2023AC50
Rajendranagar,51,GEN,Rangareddi,T. Prakash Goud,Bharat Rashtra Samithi,1164056,326361,28.00%,32096,9.80%,TOLKANTI GANDAIAH,male,64,TG2023AC51
Serilingampally,52,GEN,Rangareddi,Arekapudi Gandhi,Bharat Rashtra Samithi,1464849,354685,24.20%,46552,13.10%,LATE A.CHITHARANJAN DAS,male,62,TG2023AC52
Chevella,53,SC,Rangareddi,Kale Yadaiah,Bharat Rashtra Samithi,524155,195379,37.30%,268,0.10%,MALLAIAH,male,61,TG2023AC53
Pargi,54,GEN,Rangareddi,Tammannagari Ram Mohan Reddy,Indian National Congress,519337,200256,38.60%,24013,12.00%,RAMA KRISHNA REDDY TAMMANNAGARI,male,58,TG2023AC54
Vicarabad,55,SC,Rangareddi,Gaddam Prasad Kumar,Indian National Congress,456634,172870,37.90%,12893,7.50%,G. YELLAIAH,male,59,TG2023AC55
Tandur,56,GEN,Rangareddi,B. Manohar Reddy,Indian National Congress,472245,174633,37.00%,6583,3.80%,LATE B. BALAKISTA REDDY,male,58,TG2023AC56
Musheerabad,57,GEN,Hyderabad,Muta Gopal,Bharat Rashtra Samithi,603694,151920,25.20%,37797,24.90%,LATE M.RAJAIAH,male,70,TG2023AC57
Malakpet,58,GEN,Hyderabad,Ahmed Bin Abdullah Balala,All India Majlis-E-Ittehadul Muslimeen,635793,131143,20.60%,26106,19.90%,ABDULLAH BIN AHMED BALALA,male,56,TG2023AC58
Amberpet,59,GEN,Hyderabad,Kaleru Venkatesh,Bharat Rashtra Samithi,554258,145171,26.20%,24537,16.90%,LATE K ANJANEYULU,male,63,TG2023AC59
Khairatabad,60,GEN,Hyderabad,Danam Nagender,Bharat Rashtra Samithi,592002,153730,26.00%,22010,14.30%,LATE DANAM LINGA MURTHY,male,60,TG2023AC60
Jubilee Hills,61,GEN,Hyderabad,Maganti Gopinath,Bharat Rashtra Samithi,770534,181938,23.60%,16337,9.00%,KRISHNA MURTHY,male,56,TG2023AC61
Sanathnagar,62,GEN,Hyderabad,Talasani Srinivas Yadav,Bharat Rashtra Samithi,498111,127223,25.50%,41827,32.90%,TALASANI VENKATESHAM YADAV,male,58,TG2023AC62
Nampally,63,GEN,Hyderabad,Mohammed Majid Hussain,All India Majlis-E-Ittehadul Muslimeen,665653,151756,22.80%,2037,1.30%,M H MAQSOOD,male,42,TG2023AC63
Karwan,64,GEN,Hyderabad,Kausar Mohiuddin,All India Majlis-E-Ittehadul Muslimeen,719018,174940,24.30%,41986,24.00%,GULAM MOHIUDDIN,male,59,TG2023AC64
Goshamahal,65,GEN,Hyderabad,T. Raja Singh,Bharatiya Janta Party,541222,147633,27.30%,21457,14.50%,T NAVAL SINGH,male,46,TG2023AC65
Charminar,66,GEN,Hyderabad,Mir Zulfeqar Ali,All India Majlis-E-Ittehadul Muslimeen,452226,97266,21.50%,22853,23.50%,Mir Vajid Ali,male,60,TG2023AC66
Chandrayangutta,67,GEN,Hyderabad,Akbar Uddin Owaisi,All India Majlis-E-Ittehadul Muslimeen,675786,152311,22.50%,81660,53.60%,Late Salahuddin Owaisi,male,53,TG2023AC67
Yakutpura,68,GEN,Hyderabad,Jaffar Hussain,All India Majlis-E-Ittehadul Muslimeen,706260,139730,19.80%,878,0.60%,AHMED HUSSAIN,male,63,TG2023AC68
Bahadurpura,69,GEN,Hyderabad,Mohammed Mubeen,All India Majlis-E-Ittehadul Muslimeen,633278,142446,22.50%,67025,47.10%,MOHAMMED FAREED UDDIN,male,55,TG2023AC69
Secunderabad,70,GEN,Hyderabad,Padma Rao. T,Bharat Rashtra Samithi,525092,139630,26.60%,45240,32.40%,LATE ESHWARAIAH. T,male,69,TG2023AC70
Secunderabad Cantt.,71,SC,Hyderabad,Lasya Nanditha Sayanna,Bharat Rashtra Samithi,501625,123297,24.60%,17169,13.90%,LATE GAINI SAYANNA,female,36,TG2023AC71
Kodangal,72,GEN,Mahbubnagar,Anumula Revanth Reddy,Indian National Congress,473555,193161,40.80%,32532,16.80%,ANUMULA NARSIMHA REDDY,male,56,TG2023AC72
Narayanpet,73,GEN,Mahbubnagar,Chittem Parnika Reddy,Indian National Congress,464127,181382,39.10%,7951,4.40%,VENKATESHWAR REDDY CHITTEM,female,30,TG2023AC73
Mahbubnagar,74,GEN,Mahbubnagar,Yennam Srinivas Reddy,Indian National Congress,505366,180415,35.70%,18738,10.40%,JANAKI RAM REDDY YENNAM,male,53,TG2023AC74
Jadcherla,75,GEN,Mahbubnagar,Anirudh Reddy Janampalli,Indian National Congress,441007,178985,40.60%,15171,8.50%,DILIPREDDY JANAMPALLY,male,43,TG2023AC75
Devarkadra,76,GEN,Mahbubnagar,Gavinolla Madhusudan Reddy (GMR),Indian National Congress,470711,193717,41.20%,1392,0.70%,G.Krishna Reddy,male,52,TG2023AC76
Makthal,77,GEN,Mahbubnagar,Vakiti Srihari,Indian National Congress,484630,185938,38.40%,17525,9.40%,VAKITI NARSIMULU,male,51,TG2023AC77
Wanaparthy,78,GEN,Mahbubnagar,Megha Reddy Tudi,Indian National Congress,542741,211226,38.90%,25320,12.00%,Sai Reddy Tudi,male,51,TG2023AC78
Gadwal,79,GEN,Mahbubnagar,Bandla Krishna Mohan Reddy,Bharat Rashtra Samithi,513266,214097,41.70%,7036,3.30%,VENKATRAMI REDDI,male,56,TG2023AC79
Alampur,80,SC,Mahbubnagar,Vijayudu,Bharat Rashtra Samithi,475983,194784,40.90%,30573,15.70%,SAVARANNA,male,46,TG2023AC80
