PC Name,No,Type,State,Winning Candidate,Party,Electors,Votes,Turnout,Margin,Margin %
Chidambaram,27,SC,Tamil Nadu,Thirumaavalavan Thol,Viduthalai Chiruthaigal Katchi,1519847,1167071,76.80%,103554,8.90%
Chikkballapur,27,GEN,Karnataka,Dr.K.Sudhakar,Bharatiya Janta Party,1981347,1530820,77.30%,163460,10.70%
Chikkodi,1,GEN,Karnataka,Priyanka Satish Jarkiholi,Indian National Congress,1761694,1393093,79.10%,90834,6.50%
Chitradurga,18,SC,Karnataka,Govind Makthappa Karjol,Bharatiya Janta Party,1856876,1366909,73.60%,48121,3.50%
Chittoor,25,SC,Andhra Pradesh [2014 Onwards],Daggumalla Prasada Rao,Telugu Desam,1640202,1418857,86.50%,220479,15.50%
Chittorgarh,21,GEN,Rajasthan,Chandra Prakash Joshi,Bharatiya Janta Party,2170167,1498733,69.10%,389877,26.00%
Churu,3,GEN,Rajasthan,Rahul Kaswan,Indian National Congress,2213187,1424645,64.40%,72737,5.10%
Coimbatore,20,GEN,Tamil Nadu,Ganapathy Rajkumar P,Dravida Munnetra Kazhagam,2106124,1372833,65.20%,118068,8.60%
Cooch Behar,1,SC,West Bengal,Jagadish Chandra Barma Basunia,All India Trinamool Congress,1966893,1623048,82.50%,39250,2.40%
Cuddalore,26,GEN,Tamil Nadu,M.K. Vishnuprasad,Indian National Congress,1412746,1031563,73.00%,185896,18.00%
Cuttack,14,GEN,Orissa,Bhartruhari Mahtab,Bharatiya Janta Party,1571622,1120795,71.30%,57077,5.10%
Dadra And Nagar Haveli,1,GEN,Dadra & Nagar Haveli,Delkar Kalaben Mohanbhai,Bharatiya Janta Party,283024,205588,72.60%,57584,28.00%
Dahod,19,ST,Gujarat,Jaswantsinh Sumanbhai Bhabhor,Bharatiya Janta Party,1875136,1118294,59.60%,333677,29.80%
Dakshina Kanna,17,GEN,Karnataka,Captain Brijesh Chowta,Bharatiya Janta Party,1817603,1415770,77.90%,149208,10.50%
Daman And Diu,1,GEN,Daman & Diu,Patel Umeshbhai Babubhai,Independent,134189,92410,68.90%,6225,6.70%
Damoh,7,GEN,Madhya Pradesh [2000 Onwards],Rahul Singh Lodhi,Bharatiya Janta Party,1925314,1088944,56.60%,406426,37.30%
Darbhanga,14,GEN,Bihar [2000 Onwards],Gopal Jee Thakur,Bharatiya Janta Party,1781356,1024184,57.50%,178156,17.40%
Darjeeling,4,GEN,West Bengal,Raju Bista,Bharatiya Janta Party,1765744,1327412,75.20%,178525,13.40%
Darrang-Udalguri,4,GEN,Assam,Dilip Saikia,Bharatiya Janta Party,2209314,1811200,82.00%,329012,18.20%
Dausa,11,ST,Rajasthan,Murari Lal Meena,Indian National Congress,1899304,1072734,56.50%,237340,22.10%
Davanagere,13,GEN,Karnataka,Dr. Prabha Mallikarjun,Indian National Congress,1709244,1320368,77.30%,26094,2.00%
Deoria,66,GEN,Uttar Pradesh [2000 Onwards],Shashank Mani,Bharatiya Janta Party,1873821,1043308,55.70%,34842,3.30%
Dewas,21,SC,Madhya Pradesh [2000 Onwards],Mahendra Singh Solanky,Bharatiya Janta Party,1940472,1469104,75.70%,425225,28.90%
Dhanbad,7,GEN,Jharkhand,Dulu Mahato,Bharatiya Janta Party,2285237,1428007,62.50%,331583,23.20%
Dhar,25,ST,Madhya Pradesh [2000 Onwards],Savitri Thakur,Bharatiya Janta Party,1953834,1425044,72.90%,218665,15.30%
Dharmapuri,10,GEN,Tamil Nadu,Mani. A.,Dravida Munnetra Kazhagam,1524896,1247832,81.80%,21300,1.70%
Dharwad,11,GEN,Karnataka,Pralhad Joshi,Bharatiya Janta Party,1831975,1366491,74.60%,97324,7.10%
Dhaurahra,29,GEN,Uttar Pradesh [2000 Onwards],Anand Bhadauriya,Samajwadi Party,1719345,1111847,64.70%,4449,0.40%
Dhenkanal,9,GEN,Orissa,Rudra Narayan Pany,Bharatiya Janta Party,1529785,1191673,77.90%,76567,6.40%
Dhubri,2,GEN,Assam,Rakibul Hussain,Indian National Congress,2660827,2453608,92.20%,1012476,41.30%
Dhule,2,GEN,Maharashtra,Bachhav Shobha Dinesh,Indian National Congress,2022061,1219295,60.30%,3831,0.30%
Diamond Harbou,21,GEN,West Bengal,Abhishek Banerjee,All India Trinamool Congress,1880779,1530817,81.40%,710930,46.40%
Dibrugarh,13,GEN,Assam,Sarbananda Sonowal,Bharatiya Janta Party,1659588,1278322,77.00%,279321,21.90%
Dindigul,22,GEN,Tamil Nadu,Sachithanantham R,Communist Party Of India (Marxist),1607051,1149621,71.50%,443821,38.60%
Dindori,20,ST,Maharashtra,Bhaskar Murlidhar Bhagare,Nationalist Congress Party – Sharadchandra Pawar,1853387,1240910,67.00%,113199,9.10%
Diphu,6,ST,Assam,Amarsing Tisso,Bharatiya Janta Party,901032,682827,75.80%,147603,21.60%
Domariyaganj,60,GEN,Uttar Pradesh [2000 Onwards],Jagdambika Pal,Bharatiya Janta Party,1961845,1018965,51.90%,42728,4.20%
Dum Dum,16,GEN,West Bengal,Sougata Ray,All India Trinamool Congress,1699656,1260046,74.10%,70660,5.60%
Dumka,2,ST,Jharkhand,Nalin Soren,Jharkhand Mukti Morcha,1591061,1184132,74.40%,22527,1.90%
Durg,7,GEN,Chhattisgarh,Vijay Baghel,Bharatiya Janta Party,2090414,1542787,73.80%,438226,28.40%
East Delhi,3,GEN,Delhi [1977 Onwards],Harsh Malhotra,Bharatiya Janta Party,2120584,1264049,59.60%,93663,7.40%
Eluru,10,,Andhra Pradesh [2014 Onwards],Putta Mahesh Kumar,Telugu Desam,1637430,1382049,84.40%,181857,13.20%
Ernakulam,12,GEN,Kerala,Hibi Eden,Indian National Congress,1324047,910502,68.80%,250385,27.50%
Erode,17,GEN,Tamil Nadu,K E Prakash,Dravida Munnetra Kazhagam,1538778,1093423,71.10%,236566,21.60%
Etah,22,GEN,Uttar Pradesh [2000 Onwards],Devesh Shakya,Samajwadi Party,1700524,1010381,59.40%,28052,2.80%
Etawah,41,SC,Uttar Pradesh [2000 Onwards],Jitendra Kumar Dohare,Samajwadi Party,1828498,1033784,56.50%,58419,5.70%
Faizabad,54,GEN,Uttar Pradesh [2000 Onwards],Awadhesh Prasad,Samajwadi Party,1927459,1140661,59.20%,54567,4.80%
Faridabad,10,GEN,Haryana,Krishan Pal,Bharatiya Janta Party,2430212,1471322,60.50%,172914,11.80%
Faridkot,9,SC,Punjab,Sarabjeet Singh Khalsa,Independent,1594033,1014455,63.60%,70053,6.90%
Farrukhabad,40,GEN,Uttar Pradesh [2000 Onwards],Mukesh Rajput,Bharatiya Janta Party,1747182,1033794,59.20%,2678,0.30%
Fatehgarh Sahi,8,SC,Punjab,Amar Singh,Indian National Congress,1552567,974256,62.80%,34202,3.50%
Fatehpur,49,GEN,Uttar Pradesh [2000 Onwards],Naresh Chandra Uttam Patel,Samajwadi Party,1938563,1106944,57.10%,33199,3.00%
Fatehpur Sikri,19,GEN,Uttar Pradesh [2000 Onwards],Rajkumar Chahar,Bharatiya Janta Party,1798823,1034155,57.50%,43405,4.20%
Ferozpur,10,GEN,Punjab,Sher Singh Ghubaya,Indian National Congress,1670008,1125115,67.40%,3242,0.30%
Firozabad,20,GEN,Uttar Pradesh [2000 Onwards],Akshaya Yadav,Samajwadi Party,1890772,1107296,58.60%,89312,8.10%
Gadchiroli-Chi,12,ST,Maharashtra,Dr. Kirsan Namdeo,Indian National Congress,1617207,1166360,72.10%,141696,12.10%
Gandhinagar,6,GEN,Gujarat,Amit Shah,Bharatiya Janta Party,2182736,1321802,60.60%,744716,56.30%
Ganganagar,1,SC,Rajasthan,Kuldeep Indora,Indian National Congress,2102002,1413494,67.30%,88153,6.20%
Garhwal,2,GEN,Uttarakhand,Anil Baluni,Bharatiya Janta Party,1369388,737431,53.90%,163503,22.20%
Gautam Buddha Nagar,13,GEN,Uttar Pradesh [2000 Onwards],Dr. Mahesh Sharma,Bharatiya Janta Party,2675148,1437244,53.70%,559472,38.90%
Gaya,38,SC,Bihar [2000 Onwards],Jitan Ram Manjhi,Hindustani Awam Morcha (Secular),1816815,963676,53.00%,101812,10.60%
Ghatal,32,GEN,West Bengal,Adhikari Deepak (DEV),All India Trinamool Congress,1939945,1600556,82.50%,182868,11.40%
Ghaziabad,12,GEN,Uttar Pradesh [2000 Onwards],Atul Garg,Bharatiya Janta Party,2945487,1470430,49.90%,336965,22.90%
Ghazipur,75,GEN,Uttar Pradesh [2000 Onwards],Afzal Ansari,Samajwadi Party,2074883,1153094,55.60%,124861,10.80%
Ghosi,70,GEN,Uttar Pradesh [2000 Onwards],Rajeev Rai,Samajwadi Party,2083928,1150590,55.20%,162943,14.20%
Giridih,6,GEN,Jharkhand,Chandra Prakash Choudhary,Ajsu Party,1864660,1264833,67.80%,80880,6.40%
Godda,3,GEN,Jharkhand,Nishikant Dubey,Bharatiya Janta Party,2028154,1398204,68.90%,101813,7.30%
Gonda,59,GEN,Uttar Pradesh [2000 Onwards],Kirtivardhan Singh,Bharatiya Janta Party,1843121,952884,51.70%,46224,4.90%
Gopalganj,17,SC,Bihar [2000 Onwards],Dr. Alok Kumar Suman,Janata Dal (United),2024673,1063027,52.50%,127180,12.00%
Gorakhpur,64,GEN,Uttar Pradesh [2000 Onwards],Ravindra Shukla Alias Ravi Kishan,Bharatiya Janta Party,2097202,1154413,55.10%,103526,9.00%
Gulbarga,5,SC,Karnataka,Radhakrishna,Indian National Congress,2098202,1310477,62.50%,27205,2.10%
Guna,4,GEN,Madhya Pradesh [2000 Onwards],Jyotiraditya M. Scindia,Bharatiya Janta Party,1889551,1373766,72.70%,540929,39.40%
Guntur,13,,Andhra Pradesh [2014 Onwards],Dr Chandra Sekhar Pemmasani,Telugu Desam,1791543,1425371,79.60%,344695,24.20%
Gurdaspur,1,GEN,Punjab,Sukhjinder Singh Randhawa,Indian National Congress,1605204,1077826,67.20%,82861,7.70%
Gurgaon,9,GEN,Haryana,Rao Inderjit Singh,Bharatiya Janta Party,2573411,1601232,62.20%,75079,4.70%
Guwahati,5,GEN,Assam,Bijuli Kalita Medhi,Bharatiya Janta Party,2036846,1599389,78.50%,251090,15.70%
Gwalior,3,GEN,Madhya Pradesh [2000 Onwards],Bharat Singh Kushwah,Bharatiya Janta Party,2154601,1343229,62.30%,70210,5.20%
Hajipur,21,SC,Bihar [2000 Onwards],Chirag Paswan,Lok Janshakti Party(Ram Vilas),1967094,1155324,58.70%,170105,14.70%
Hamirpur,47,GEN,Uttar Pradesh [2000 Onwards],Ajendra Singh Lodhi,Samajwadi Party,1839761,1115299,60.60%,2629,0.20%
Hamirpur,3,GEN,Himachal Pradesh,Anurag Singh Thakur,Bharatiya Janta Party,1432636,1047263,73.10%,182357,17.40%
Hardoi,31,SC,Uttar Pradesh [2000 Onwards],Jai Prakash,Bharatiya Janta Party,1910485,1100116,57.60%,27856,2.50%
Hardwar,5,GEN,Uttarakhand,Trivendra Singh Rawat,Bharatiya Janta Party,2035726,1302623,64.00%,164056,12.60%
Hassan,16,GEN,Karnataka,Shreyas. M. Patel,Indian National Congress,1736610,1355007,78.00%,42649,3.10%
Hathras,16,SC,Uttar Pradesh [2000 Onwards],Anoop Pradhan Balmiki,Bharatiya Janta Party,1938080,1082720,55.90%,247318,22.80%
Hatkanangle,48,GEN,Maharashtra,Dhairyasheel Sambhajirao Mane,Shiv Sena,1814277,1296024,71.40%,13426,1.00%
Haveri,10,GEN,Karnataka,Basavaraj Bommai,Bharatiya Janta Party,1792774,1395812,77.90%,43513,3.10%
Hazaribagh,14,GEN,Jharkhand,Manish Jaiswal,Bharatiya Janta Party,1939374,1264667,65.20%,276686,21.90%
Hindupur,20,,Andhra Pradesh [2014 Onwards],B K Parthasarathi,Telugu Desam,1656775,1416339,85.50%,132427,9.30%
Hingoli,15,GEN,Maharashtra,Aashtikar Patil Nagesh Bapurao,Shiv Sena (Uddhav Balasaheb Thackrey),1817734,1159300,63.80%,108602,9.40%
Hisar,4,GEN,Haryana,Jai Parkash (J P) S/O HARIKESH,Indian National Congress,1790722,1174115,65.60%,63381,5.40%
Hooghly,28,GEN,West Bengal,Rachna Banerjee,All India Trinamool Congress,1858067,1517511,81.70%,76853,5.10%
Hoshangabad,17,GEN,Madhya Pradesh [2000 Onwards],Darshan Singh Choudhary,Bharatiya Janta Party,1855692,1249692,67.30%,431696,34.50%
Hoshiarpur,5,SC,Punjab,Dr. Raj Kumar Chabbewal,Aam Aadmi Party,1601826,948485,59.20%,44111,4.70%
Howrah,25,GEN,West Bengal,Prasun Banerjee,All India Trinamool Congress,1769184,1271796,71.90%,169442,13.30%
Hyderabad,9,GEN,Telangana,Asaduddin Owaisi,All India Majlis-E-Ittehadul Muslimeen,2217094,1080324,48.70%,338087,31.30%
Idukki,13,GEN,Kerala,Adv. Dean Kuriakose,Indian National Congress,1250157,840657,67.20%,133727,15.90%
Indore,26,GEN,Madhya Pradesh [2000 Onwards],Shankar Lalwani,Bharatiya Janta Party,2526803,1561968,61.80%,1175092,75.20%
Inner Manipur,1,GEN,Manipur,Angomcha Bimol Akoijam,Indian National Congress,991574,796897,80.40%,109801,13.80%
Jabalpur,13,GEN,Madhya Pradesh [2000 Onwards],Ashish Dubey,Bharatiya Janta Party,1896346,1158545,61.00%,486674,42.00%
Jadavpur,22,GEN,West Bengal,Sayani Ghosh,All India Trinamool Congress,2033525,1566509,77.00%,258201,16.50%
Jagatsinghpur,16,SC,Orissa,Bibhu Prasad Tarai,Bharatiya Janta Party,1700814,1286287,75.60%,40696,3.20%
Jahanabad,36,GEN,Bihar [2000 Onwards],Surendra Prasad Yadav,Rashtriya Janata Dal,1670327,925370,55.10%,142591,15.40%
Jaipur,7,GEN,Rajasthan,Manju Sharma,Bharatiya Janta Party,2287350,1463258,64.00%,331767,22.70%
Jaipur Rural,6,GEN,Rajasthan,Rao Rajendra Singh,Bharatiya Janta Party,2184978,1262054,57.80%,1615,0.10%
Jajpur,8,SC,Orissa,Rabindra Narayan Behera,Bharatiya Janta Party,1545664,1161208,75.10%,1587,0.10%
Jalandhar,4,SC,Punjab,Charanjit Singh Channi,Indian National Congress,1654005,989107,59.80%,175993,17.80%
Jalaun,45,SC,Uttar Pradesh [2000 Onwards],Narayan Das Ahirwar,Samajwadi Party,2006161,1128949,56.30%,53898,4.80%
Jalgaon,3,GEN,Maharashtra,Smita Uday Wagh,Bharatiya Janta Party,1994046,1169553,58.70%,251594,21.50%
Jalna,18,GEN,Maharashtra,Kalyan Vaijinathrao Kale,Indian National Congress,1967574,1363409,69.30%,109958,8.10%
Jalore,18,GEN,Rajasthan,Lumbaram,Bharatiya Janta Party,2297328,1451126,63.20%,201543,13.90%
Jalpaiguri,3,SC,West Bengal,Dr Jayanta Kumar Roy,Bharatiya Janta Party,1885963,1578389,83.70%,86693,5.50%
Jammu,5,,Jammu & Kashmir,Jugal Kishore,Bharatiya Janta Party,1780835,1302176,73.10%,135498,10.40%
Jamnagar,12,GEN,Gujarat,Poonamben Hematbhai Maadam,Bharatiya Janta Party,1817864,1051235,57.80%,238008,22.60%
Jamshedpur,9,GEN,Jharkhand,Bidyut Baran Mahato,Bharatiya Janta Party,1869278,1277629,68.40%,259782,20.30%
Jamui,40,SC,Bihar [2000 Onwards],Arun Bharti,Lok Janshakti Party(Ram Vilas),1907126,979233,51.40%,112482,11.50%
Jangipur,9,GEN,West Bengal,Khalilur Rahaman,All India Trinamool Congress,1805360,1369633,75.90%,116637,8.50%
Janjgir-Champa,3,SC,Chhattisgarh,Kamlesh Jangde,Bharatiya Janta Party,2056047,1392240,67.70%,60000,4.30%
Jaunpur,73,GEN,Uttar Pradesh [2000 Onwards],Babu Singh Kushwaha,Samajwadi Party,1977237,1101788,55.70%,99335,9.00%
Jhalawar-Baran,25,GEN,Rajasthan,Dushyant Singh,Bharatiya Janta Party,2030525,1421331,70.00%,370989,26.10%
Jhanjharpur,7,GEN,Bihar [2000 Onwards],Ramprit Mandal,Janata Dal (United),2003040,1093741,54.60%,184169,16.80%
Jhansi,46,GEN,Uttar Pradesh [2000 Onwards],Anurag Sharma,Bharatiya Janta Party,2161221,1380506,63.90%,102614,7.40%
Jhargram,33,ST,West Bengal,Kalipada Saren (KHERWAL),All India Trinamool Congress,1779794,1490843,83.80%,174048,11.70%
Jhunjhunu,4,GEN,Rajasthan,Brijendra Singh Ola,Indian National Congress,2068540,1118927,54.10%,18235,1.60%
Jodhpur,16,GEN,Rajasthan,Gajendra Singh Shekhawat,Bharatiya Janta Party,2132713,1383838,64.90%,115677,8.40%
Jorhat,14,GEN,Assam,Gaurav Gogoi,Indian National Congress,1727121,1391160,80.60%,144393,10.40%
Joynagar,19,SC,West Bengal,Pratima Mondal,All India Trinamool Congress,1844780,1482631,80.30%,470219,31.70%
Junagadh,13,GEN,Gujarat,Chudasama Rajeshbhai Naranbhai,Bharatiya Janta Party,1795110,1068253,59.50%,135494,12.70%
Kachchh,1,SC,Gujarat,Chavda Vinod Lakhamshi,Bharatiya Janta Party,1943136,1095157,56.40%,268782,24.50%
Kadapa,21,,Andhra Pradesh [2014 Onwards],Y. S. Avinash Reddy,Yuvajana Sramika Rythu Congress Party,1639066,1321975,80.70%,62695,4.70%
Kairana,2,GEN,Uttar Pradesh [2000 Onwards],Iqra Choudhary,Samajwadi Party,1722432,1079806,62.70%,69116,6.40%
Kaiserganj,57,GEN,Uttar Pradesh [2000 Onwards],Karan Bhushan Singh,Bharatiya Janta Party,1904726,1062099,55.80%,148843,14.00%
Kakinada,6,,Andhra Pradesh [2014 Onwards],Tangella Uday Srinivas (TEA TIME UDAY),Janasena Party,1634122,1329803,81.40%,229491,17.30%
Kalahandi,11,GEN,Orissa,Malvika Devi,Bharatiya Janta Party,1700780,1334244,78.50%,133813,10.00%
Kallakurichi,14,GEN,Tamil Nadu,Malaiyarasan D,Dravida Munnetra Kazhagam,1568681,1249568,79.70%,53784,4.30%
Kalyan,24,GEN,Maharashtra,Dr Shrikant Eknath Shinde,Shiv Sena,2082221,1045736,50.20%,209144,20.00%
Kancheepuram,6,SC,Tamil Nadu,Selvam. G,Dravida Munnetra Kazhagam,1748866,1259578,72.00%,221473,17.60%
Kandhamal,13,GEN,Orissa,Sukanta Kumar Panigrahi,Bharatiya Janta Party,1339090,996091,74.40%,21371,2.10%
Kangra,1,GEN,Himachal Pradesh,Dr Rajeev Bhardwaj,Bharatiya Janta Party,1502514,1036868,69.00%,251895,24.30%
Kanker,11,ST,Chhattisgarh,Bhojraj Nag,Bharatiya Janta Party,1654440,1265429,76.50%,1884,0.10%
Kannauj,42,GEN,Uttar Pradesh [2000 Onwards],Akhilesh Yadav,Samajwadi Party,1988925,1217833,61.20%,170922,14.00%
Kanniyakumari,39,GEN,Tamil Nadu,Vijayakumar (Alias) VIJAY VASANTH,Indian National Congress,1557915,1029055,66.10%,179907,17.50%
Kannur,2,GEN,Kerala,K. Sudhakaran,Indian National Congress,1358368,1063855,78.30%,108982,10.20%
Kanpur,43,GEN,Uttar Pradesh [2000 Onwards],Ramesh Awasthi,Bharatiya Janta Party,1662859,887396,53.40%,20968,2.40%
Kanthi,31,GEN,West Bengal,Adhikari Soumendu,Bharatiya Janta Party,1794537,1530997,85.30%,47764,3.10%
Karakat,35,GEN,Bihar [2000 Onwards],Raja Ram Singh,Communist Party Of India (Marxist-Leninist) (Liberation),1881191,1031618,53.70%,105858,10.30%
Karauli-Dholpu,10,SC,Rajasthan,Bhajan Lal Jatav,Indian National Congress,1975352,988122,50.00%,98945,10.00%
Karimganj,7,SC,Assam,Kripanath Mallah,Bharatiya Janta Party,1412148,1146882,81.20%,18360,1.60%
Karimnagar,3,GEN,Telangana,Bandi Sanjay Kumar,Bharatiya Janta Party,1797150,1312852,73.10%,225209,17.20%
Karnal,5,GEN,Haryana,Manohar Lal,Bharatiya Janta Party,2104229,1345892,64.00%,232577,17.30%
Karur,23,GEN,Tamil Nadu,Jothimani. S,Indian National Congress,1429790,1132045,79.10%,166816,14.70%
Kasaragod,1,GEN,Kerala,Rajmohan Unnithan,Indian National Congress,1452230,1112546,76.60%,100649,9.00%
Katihar,11,GEN,Bihar [2000 Onwards],Tariq Anwar,Indian National Congress,1833009,1171546,63.90%,49863,4.30%
Kaushambi,50,SC,Uttar Pradesh [2000 Onwards],Pushpendra Saroj,Samajwadi Party,1909620,1009329,52.90%,103944,10.30%
Kaziranga,10,GEN,Assam,Kamakhya Prasad Tasa,Bharatiya Janta Party,2050126,1629937,79.50%,248947,15.30%
Kendrapara,15,GEN,Orissa,Baijayant Panda,Bharatiya Janta Party,1792723,1277108,71.20%,66536,5.20%
Keonjhar,4,ST,Orissa,Ananta Nayak,Bharatiya Janta Party,1588179,1256615,79.10%,97042,7.70%
Khadoor Sahib,3,GEN,Punjab,Amritpal Singh,Independent,1667797,1047165,62.80%,197120,18.80%
Khagaria,25,GEN,Bihar [2000 Onwards],Rajesh Verma,Lok Janshakti Party(Ram Vilas),1840217,1061894,57.70%,161131,15.20%
Khajuraho,8,GEN,Madhya Pradesh [2000 Onwards],Vishnu Datt Sharma (V.D.SHARMA),Bharatiya Janta Party,1997483,1140570,57.10%,541229,47.50%
Khammam,17,GEN,Telangana,Ramasahayam Raghuram Reddy,Indian National Congress,1631039,1251283,76.70%,467847,37.40%
Khandwa,28,GEN,Madhya Pradesh [2000 Onwards],Gyaneshwar Patil,Bharatiya Janta Party,2112203,1512542,71.60%,269971,17.80%
Khargone,27,ST,Madhya Pradesh [2000 Onwards],Gajendra Singh Patel,Bharatiya Janta Party,2046030,1558778,76.20%,135018,8.70%
Kheda,17,GEN,Gujarat,Devusinh Chauhan,Bharatiya Janta Party,2007404,1175848,58.60%,357758,30.40%
Kheri,28,GEN,Uttar Pradesh [2000 Onwards],Utkarsh Verma Madhur,Samajwadi Party,1870170,1213359,64.90%,34329,2.80%
Khunti,11,ST,Jharkhand,Kali Charan Munda,Indian National Congress,1326138,936682,70.60%,149675,16.00%
Kishanganj,10,GEN,Bihar [2000 Onwards],Mohammad Jawed,Indian National Congress,1829994,1151099,62.90%,59692,5.20%
Kodarma,5,GEN,Jharkhand,Annpurna Devi,Bharatiya Janta Party,2205318,1369964,62.10%,377014,27.50%
Kokrajhar,1,ST,Assam,Joyanta Basumatary,United Peoples Party Liberal,1484571,1241496,83.60%,51583,4.20%
Kolar,28,SC,Karnataka,M. Mallesh Babu,Janata Dal (Secular),1726914,1355228,78.50%,71388,5.30%
Kolhapur,47,GEN,Maharashtra,Chhatrapati Shahu Shahaji,Indian National Congress,1936403,1393326,72.00%,154964,11.10%
Kolkata Dakshi,23,GEN,West Bengal,Mala Roy,All India Trinamool Congress,1849520,1243477,67.20%,187231,15.10%
Kolkata Uttar,24,GEN,West Bengal,Bandyopadhyay Sudip,All India Trinamool Congress,1505356,958433,63.70%,92560,9.70%
Kollam,18,GEN,Kerala,N K Premachandran,Revolutionary Socialist Party,1326648,915691,69.00%,150302,16.40%
Koppal,8,GEN,Karnataka,K. Rajashekar Basavaraj Hitnal,Indian National Congress,1866397,1328936,71.20%,46357,3.50%
Koraput,21,ST,Orissa,Saptagiri Sankar Ulaka,Indian National Congress,1480922,1148842,77.60%,147744,12.90%
Korba,4,GEN,Chhattisgarh,Jyotsna Charandas Mahant,Indian National Congress,1618864,1225313,75.70%,43283,3.50%
Kota,24,GEN,Rajasthan,Om Birla,Bharatiya Janta Party,2088023,1500157,71.90%,41974,2.80%
Kottayam,14,GEN,Kerala,Adv K Francis George,Kerala Congress,1254823,836223,66.60%,87266,10.40%
Kozhikode,5,GEN,Kerala,M. K. Raghavan,Indian National Congress,1429631,1090050,76.30%,146176,13.40%
Krishnagiri,9,GEN,Tamil Nadu,Gopinath K,Indian National Congress,1623179,1166156,71.80%,192486,16.50%
Krishnanagar,12,GEN,West Bengal,Mahua Moitra,All India Trinamool Congress,1755631,1425712,81.20%,56705,4.00%
Kurnool,18,,Andhra Pradesh [2014 Onwards],Bastipati Nagaraju Panchalingala,Telugu Desam,1722857,1330780,77.20%,111298,8.40%
Kurukshetra,2,GEN,Haryana,Naveen Jindal,Bharatiya Janta Party,1794300,1205872,67.20%,29021,2.40%
Kushi Nagar,65,GEN,Uttar Pradesh [2000 Onwards],Vijay Kumar Dubay,Bharatiya Janta Party,1875222,1080483,57.60%,81790,7.60%
Ladakh,1,GEN,Ladakh,Mohmad Haneefa,Independent,184808,135524,73.30%,27862,20.60%
Lakhimpur,12,GEN,Assam,Pradan Baruah,Bharatiya Janta Party,1577234,1211214,76.80%,201257,16.60%
Lakshadweep,1,,Lakshadweep,Muhammed Hamdullah Sayeed,Indian National Congress,57784,49200,85.10%,2647,5.40%
Lalganj,68,SC,Uttar Pradesh [2000 Onwards],Daroga Prasad Saroj,Samajwadi Party,1838882,1003438,54.60%,115023,11.50%
Latur,41,SC,Maharashtra,Dr. Kalge Shivaji Bandappa,Indian National Congress,1977042,1239079,62.70%,61881,5.00%
Lohardaga,12,ST,Jharkhand,Sukhdeo Bhagat,Indian National Congress,1441302,967125,67.10%,139138,14.40%
Lucknow,35,GEN,Uttar Pradesh [2000 Onwards],Raj Nath Singh,Bharatiya Janta Party,2172171,1136892,52.30%,135159,11.90%
Ludhiana,7,GEN,Punjab,Amrinder Singh Raja Warring,Indian National Congress,1758614,1059157,60.20%,20942,2.00%
Machhlishahr,74,SC,Uttar Pradesh [2000 Onwards],Priya Saroj,Samajwadi Party,1940605,1060063,54.60%,35850,3.40%
Machilipatnam,11,,Andhra Pradesh [2014 Onwards],Balashowry Vallabhaneni,Janasena Party,1539460,1312004,85.20%,223179,17.00%
Madha,43,GEN,Maharashtra,Mohite-Patil Dhairyasheel Rajsinh,Nationalist Congress Party – Sharadchandra Pawar,1991454,1273418,63.90%,120837,9.50%
Madhepura,13,GEN,Bihar [2000 Onwards],Dinesh Chandra Yadav,Janata Dal (United),2071166,1209695,58.40%,174534,14.40%
Madhubani,6,GEN,Bihar [2000 Onwards],Ashok Kumar Yadav,Bharatiya Janta Party,1934980,1027728,53.10%,151945,14.80%
Madurai,32,GEN,Tamil Nadu,Venkatesan S,Communist Party Of India (Marxist),1582271,986969,62.40%,209409,21.20%
Mahabubabad,16,ST,Telangana,Balram Naik Porika,Indian National Congress,1532366,1108786,72.40%,349165,31.50%
Maharajganj,63,GEN,Uttar Pradesh [2000 Onwards],Pankaj Chaudhary,Bharatiya Janta Party,2004050,1210451,60.40%,35451,2.90%
Maharajganj,19,GEN,Bihar [2000 Onwards],"Janardan Singh ""sigriwal""",Bharatiya Janta Party,1934937,1014109,52.40%,102651,10.10%
Mahasamund,9,GEN,Chhattisgarh,Roop Kumari Choudhary,Bharatiya Janta Party,1762477,1326080,75.20%,145456,11.00%
Mahbubnagar,11,GEN,Telangana,Aruna. D. K,Bharatiya Janta Party,1682470,1226078,72.90%,4500,0.40%
Mahesana,4,GEN,Gujarat,Haribhai Patel,Bharatiya Janta Party,1770617,1076827,60.80%,328046,30.50%
Mainpuri,21,GEN,Uttar Pradesh [2000 Onwards],Dimple Yadav,Samajwadi Party,1790797,1054011,58.90%,221639,21.00%
Malappuram,6,GEN,Kerala,E.T. Mohammed Basheer,Indian Union Muslim League,1479921,1085182,73.30%,300118,27.70%
Maldaha Dakshi,8,GEN,West Bengal,Isha Khan Choudhury,Indian National Congress,1782159,1369789,76.90%,128368,9.40%
Maldaha Uttar,7,GEN,West Bengal,Khagen Murmu,Bharatiya Janta Party,1862035,1417589,76.10%,77708,5.50%
Malkajgiri,7,GEN,Telangana,Eatala Rajender,Bharatiya Janta Party,3779596,1933843,51.20%,391475,20.20%
Mandi,2,GEN,Himachal Pradesh,Kangna Ranaut,Bharatiya Janta Party,1364060,1015810,74.50%,74755,7.40%
