PC Name,No,Type,State,Winning Candidate,Party,Electors,Votes,Turnout,Margin,Margin %,ACs
Ballia,72,GEN,Uttar Pradesh [2000 Onwards],Neeraj Shekhar,Samajwadi Party,1679029,677426,40.4 %,72555,10.7%,AC View
Balurghat,6,GEN,West Bengal,Prasanta Kumar Majumdar,Revolutionary Socialist Party,1010224,876355,86.8 %,5105,0.6%,AC View
Banaskantha,2,GEN,Gujarat,Gadhvi Mukeshkumar Bheiravdanji,Indian National Congress,1296871,646305,49.8 %,10301,1.6%,AC View
Banda,48,GEN,Uttar Pradesh [2000 Onwards],R. K. Singh Patel,Samajwadi Party,1386265,619203,44.7 %,34593,5.6%,AC View
Bangalore Central,25,GEN,Karnataka,P. C. Mohan,Bharatiya Janta Party,1901346,847135,44.6 %,35218,4.2%,AC View
Bangalore North,24,GEN,Karnataka,D. B. Chandre Gowda,Bharatiya Janta Party,2144091,1001678,46.7 %,59665,6.0%,AC View
Bangalore Rural,23,GEN,Karnataka,H D Kumaraswamy,Janata Dal (Secular),1904135,1103049,57.9 %,130275,11.8%,AC View
Bangalore South,26,GEN,Karnataka,Ananth Kumar,Bharatiya Janta Party,2031030,908751,44.7 %,37612,4.1%,AC View
Bangaon,14,SC,West Bengal,Gobinda Chandra Naskar,All India Trinamool Congress,1246979,1078719,86.5 %,92826,8.6%,AC View
Banka,27,GEN,Bihar [2000 Onwards],Digvijay Singh,Independent,1338025,652097,48.7 %,28716,4.4%,AC View
Bankura,36,GEN,West Bengal,Acharia Basudeb,Communist Party Of India (MARXIST),1268563,985847,77.7 %,107802,10.9%,AC View
Bansgaon,67,SC,Uttar Pradesh [2000 Onwards],Kamlesh Paswan,Bharatiya Janta Party,1663648,649218,39.0 %,52787,8.1%,AC View
Banswara,20,ST,Rajasthan,Tarachand Bhagora,Indian National Congress,1457980,769532,52.8 %,199418,25.9%,AC View
Bapatla,32,SC,Andhra Pradesh,Panabaka Lakshmi,Indian National Congress,1321607,1046640,79.2 %,69338,6.6%,AC View
Barabanki,53,SC,Uttar Pradesh [2000 Onwards],P.L.Punia,Indian National Congress,1422218,743415,52.3 %,167913,22.6%,AC View
Baramati,35,GEN,Maharashtra,Supriya Sule,Nationalist Congress Party,1593460,734048,46.1 %,336831,45.9%,AC View
Baramulla,1,GEN,Jammu & Kashmir,Sharief Ud Din Shariq,Jammu & Kashmir National Conference,1054496,441234,41.8 %,64814,14.7%,AC View
Barasat,17,GEN,West Bengal,Kakali Ghosh Dastidar,All India Trinamool Congress,1226654,1026860,83.7 %,122901,12.0%,AC View
Bardhaman Purba,38,SC,West Bengal,Anup Kumar Saha,Communist Party Of India (MARXIST),1289311,1124896,87.3 %,59419,5.3%,AC View
Bardoli,23,ST,Gujarat,Chaudhari Tusharbhai Amrasinhbhai,Indian National Congress,1440215,832705,57.8 %,58985,7.1%,AC View
Bareilly,25,GEN,Uttar Pradesh [2000 Onwards],Praveen Singh Aron,Indian National Congress,1401423,705939,50.4 %,9338,1.3%,AC View
Bargarh,1,GEN,Orissa,Sanjay Bhoi,Indian National Congress,1320274,919459,69.6 %,98444,10.7%,AC View
Barmer,17,GEN,Rajasthan,Harish Choudhary,Indian National Congress,1441456,786516,54.6 %,119106,15.1%,AC View
Barpeta,6,GEN,Assam,Ismail Hussain,Indian National Congress,1239607,902287,72.8 %,30429,3.4%,AC View
Barrackpore,15,GEN,West Bengal,Dinesh Trivedi,All India Trinamool Congress,1081237,870792,80.5 %,56024,6.4%,AC View
Basirhat,18,GEN,West Bengal,Sk. Nurul Islam,All India Trinamool Congress,1198579,1038520,86.7 %,60383,5.8%,AC View
Bastar,10,ST,Chhattisgarh,Baliram Kashyap,Bharatiya Janta Party,1193116,564742,47.3 %,100262,17.8%,AC View
Basti,61,GEN,Uttar Pradesh [2000 Onwards],Arvind Kumar Chaudhary,Bahujan Samaj Party,1570657,773985,49.3 %,105210,13.6%,AC View
Bathinda,11,GEN,Punjab,Harsimrat Kaur Badal,Shiromani Akali Dal,1336790,1048144,78.4 %,120948,11.5%,AC View
Beed,39,GEN,Maharashtra,Munde Gopinathrao Pandurang,Bharatiya Janta Party,1637239,1074052,65.6 %,140952,13.1%,AC View
Begusarai,24,GEN,Bihar [2000 Onwards],Dr. Monazir Hassan,Janata Dal (United),1473263,718408,48.8 %,40837,5.7%,AC View
Belgaum,2,GEN,Karnataka,Angadi Suresh Channabasappa,Bharatiya Janta Party,1378238,754295,54.7 %,118687,15.7%,AC View
Bellary,9,ST,Karnataka,J. Shantha,Bharatiya Janta Party,1401258,860948,61.4 %,2243,0.3%,AC View
Berhampur,20,GEN,Orissa,Sidhant Mohapatra,Biju Janata Dal,1207552,711181,58.9 %,57287,8.1%,AC View
Betul,29,ST,Madhya Pradesh [2000 Onwards],Jyoti Dhurve,Bharatiya Janta Party,1286761,636564,49.5 %,97317,15.3%,AC View
Bhadohi,78,GEN,Uttar Pradesh [2000 Onwards],Gorakhnath,Bahujan Samaj Party,1519449,658731,43.4 %,12963,2.0%,AC View
Bhadrak,7,SC,Orissa,Arjun Charan Sethi,Biju Janata Dal,1372356,929526,67.7 %,54938,5.9%,AC View
Bhagalpur,26,GEN,Bihar [2000 Onwards],Syed Shahnawaz Hussain,Bharatiya Janta Party,1433346,629032,43.9 %,55811,8.9%,AC View
Bhandara - Gondiya,11,GEN,Maharashtra,Patel Praful Manoharbhai,Nationalist Congress Party,1450477,1030995,71.1 %,251915,24.4%,AC View
Bharatpur,9,SC,Rajasthan,Ratan Singh,Indian National Congress,1437111,560919,39.0 %,81454,14.5%,AC View
Bharuch,22,GEN,Gujarat,Mansukhbhai Dhanjibhai Vasava,Bharatiya Janta Party,1311539,749381,57.1 %,27232,3.6%,AC View
Bhavnagar,15,GEN,Gujarat,Rajendrasinh Ghanshyamsinh Rana (Rajubhai Rana),Bharatiya Janta Party,1381619,623341,45.1 %,5893,0.9%,AC View
Bhilwara,23,GEN,Rajasthan,C P Joshi,Indian National Congress,1492687,754956,50.6 %,135368,17.9%,AC View
Bhind,2,SC,Madhya Pradesh [2000 Onwards],Ashok Argal Chhaviram,Bharatiya Janta Party,1364411,523783,38.4 %,18886,3.6%,AC View
Bhiwandi,23,GEN,Maharashtra,Taware Suresh Kashinath,Indian National Congress,1483176,584180,39.4 %,41364,7.1%,AC View
Bhiwani-Mahendragarh,8,GEN,Haryana,Shruti Choudhry,Indian National Congress,1212513,864504,71.3 %,55577,6.4%,AC View
Bhongir,14,GEN,Andhra Pradesh,Komatireddy Raj Gopal Reddy,Indian National Congress,1478391,1129371,76.4 %,139888,12.4%,AC View
Bhopal,19,GEN,Madhya Pradesh [2000 Onwards],Kailash Joshi,Bharatiya Janta Party,1461714,659263,45.1 %,65157,9.9%,AC View
Bhubaneswar,18,GEN,Orissa,Prasanna Kumar Patasani,Biju Janata Dal,1447002,710998,49.1 %,252760,35.6%,AC View
Bidar,7,GEN,Karnataka,N.Dharam Singh,Indian National Congress,1470507,779256,53.0 %,39619,5.1%,AC View
Bijapur,4,SC,Karnataka,Jigajinagi Ramesh Chandappa,Bharatiya Janta Party,1373604,649623,47.3 %,42404,6.5%,AC View
Bijnor,4,GEN,Uttar Pradesh [2000 Onwards],Sanjay Singh Chauhan,Rashtriya Lok Dal,1287070,707792,55.0 %,28430,4.0%,AC View
Bikaner,2,SC,Rajasthan,Arjun Ram Meghwal,Bharatiya Janta Party,1381203,569941,41.3 %,19575,3.4%,AC View
Bilaspur,5,GEN,Chhattisgarh,Dilip Singh Judev,Bharatiya Janta Party,1472793,770089,52.3 %,20139,2.6%,AC View
Birbhum,42,GEN,West Bengal,Satabdi Roy,All India Trinamool Congress,1221893,1017879,83.3 %,61519,6.0%,AC View
Bishnupur,37,SC,West Bengal,Susmita Bauri,Communist Party Of India (MARXIST),1237948,1054282,85.2 %,129366,12.3%,AC View
Bolangir,10,GEN,Orissa,Kalikesh Narayan Singh Deo,Biju Janata Dal,1443484,1011776,70.1 %,90835,9.0%,AC View
Bolpur,41,SC,West Bengal,Doctor Ram Chandra Dome,Communist Party Of India (MARXIST),1307730,1079122,82.5 %,126882,11.8%,AC View
Bulandshahr,14,SC,Uttar Pradesh [2000 Onwards],Kamlesh,Samajwadi Party,1482749,668557,45.1 %,66065,9.9%,AC View
Buldhana,5,GEN,Maharashtra,Jadhav Prataprao Ganpatrao,Shiv Sena,1382736,853885,61.8 %,28078,3.3%,AC View
Burdwan - Durgapur,39,GEN,West Bengal,Sk. Saidul Haque,Communist Party Of India (MARXIST),1353380,1136226,84.0 %,108237,9.5%,AC View
Buxar,33,GEN,Bihar [2000 Onwards],Jagada Nand Singh,Rashtriya Janata Dal,1340892,623629,46.5 %,2238,0.4%,AC View
Chalakudy,11,GEN,Kerala,K.P. Dhanapalan,Indian National Congress,1075390,794306,73.9 %,71679,9.0%,AC View
Chamarajanagar,22,SC,Karnataka,R.Dhruvanarayana,Indian National Congress,1433825,973651,67.9 %,4002,0.4%,AC View
Chandauli,76,GEN,Uttar Pradesh [2000 Onwards],Ramkishun,Samajwadi Party,1446259,670998,46.4 %,459,0.1%,AC View
Chandigarh,1,GEN,Chandigarh,Pawan Kumar Bansal,Indian National Congress,524444,343579,65.5 %,58967,17.2%,AC View
Chandni Chowk,1,GEN,Delhi [1977 Onwards],Kapil Sibal,Indian National Congress,1413535,780507,55.2 %,200710,25.7%,AC View
Chandrapur,13,GEN,Maharashtra,Ahir Hansaraj Gangaram,Bharatiya Janta Party,1536352,898509,58.5 %,32495,3.6%,AC View
Chatra,4,GEN,Jharkhand,Inder Singh Namdhari,Independent,1037665,473936,45.7 %,16178,3.4%,AC View
Chelvella,10,GEN,Andhra Pradesh,Jaipal Reddy Sudini,Indian National Congress,1681664,1084394,64.5 %,18532,1.7%,AC View
Chennai Central,4,GEN,Tamil Nadu,Dayanidhi Maran,Dravida Munetra Kazhagam,1000705,610372,61.0 %,33454,5.5%,AC View
Chennai North,2,GEN,Tamil Nadu,Elangovan T.K.S,Dravida Munetra Kazhagam,1016663,659927,64.9 %,19153,2.9%,AC View
Chennai South,3,GEN,Tamil Nadu,Rajendran C,All India Anna Dravida Munnetra Kazhagam,1162062,728118,62.7 %,32935,4.5%,AC View
Chhindwara,16,GEN,Madhya Pradesh [2000 Onwards],Kamal Nath,Indian National Congress,1154249,829304,71.9 %,121220,14.6%,AC View
Chhota Udaipur,21,ST,Gujarat,Rathwa Ramsingbhai Patalbhai,Bharatiya Janta Party,1412306,765220,54.2 %,26998,3.5%,AC View
Chidambaram,27,SC,Tamil Nadu,"Thirumaavalavan, Thol",Viduthalai Chiruthaigal Katchi,1126828,869428,77.2 %,99083,11.4%,AC View
Chikkballapur,27,GEN,Karnataka,M.Veerappa Moily,Indian National Congress,1437155,978715,68.1 %,51381,5.2%,AC View
Chikkodi,1,GEN,Karnataka,Katti Ramesh Vishwanath,Bharatiya Janta Party,1284427,868001,67.6 %,55287,6.4%,AC View
Chitradurga,18,SC,Karnataka,Janardhana Swamy,Bharatiya Janta Party,1534169,836390,54.5 %,135571,16.2%,AC View
Chittoor,42,SC,Andhra Pradesh,Naramalli Sivaprasad,Telugu Desam,1291921,1045061,80.9 %,10659,1.0%,AC View
Chittorgarh,21,GEN,Rajasthan,(Dr.)Girija Vyas,Indian National Congress,1601444,795308,49.7 %,72778,9.2%,AC View
Churu,3,GEN,Rajasthan,Ram Singh Kaswan,Bharatiya Janta Party,1532266,802665,52.4 %,12440,1.5%,AC View
Coimbatore,20,GEN,Tamil Nadu,Natarajan.P.R.,Communist Party Of India (MARXIST),1163781,825118,70.9 %,38664,4.7%,AC View
Cooch Behar,1,SC,West Bengal,Nripendra Nath Roy,All India Forward Bloc,1329086,1122253,84.4 %,33749,3.0%,AC View
Cuddalore,26,GEN,Tamil Nadu,Alagiri S,Indian National Congress,986030,750000,76.1 %,23532,3.1%,AC View
Cuttack,14,GEN,Orissa,Bhartruhari Mahtab,Biju Janata Dal,1283576,813330,63.4 %,236292,29.1%,AC View
Dadra & Nagar Haveli,1,GEN,Dadra & Nagar Haveli,Patel Natubhai Gomanbhai,Bharatiya Janta Party,150704,110363,73.2 %,618,0.6%,AC View
Dahod,19,ST,Gujarat,Dr. Prabha Kishor Taviad,Indian National Congress,1194821,534414,44.7 %,58536,11.0%,AC View
Dakshina Kannada,17,GEN,Karnataka,Nalin Kumar Kateel,Bharatiya Janta Party,1364641,1016135,74.5 %,40420,4.0%,AC View
Daman & Diu,1,GEN,Daman & Diu,Lalubhai Patel,Bharatiya Janta Party,95382,68023,71.3 %,24838,36.5%,AC View
Damoh,7,GEN,Madhya Pradesh [2000 Onwards],Shivraj Bhaiya,Bharatiya Janta Party,1357985,599295,44.1 %,70877,11.8%,AC View
Darbhanga,14,GEN,Bihar [2000 Onwards],Kirti Azad,Bharatiya Janta Party,1307067,545726,41.8 %,46453,8.5%,AC View
Darjeeling,4,GEN,West Bengal,Jaswant Singh,Bharatiya Janta Party,1215464,967400,79.6 %,253289,26.2%,AC View
Dausa,11,ST,Rajasthan,Kirodi Lal,Independent,1315810,841583,64.0 %,137759,16.4%,AC View
Davanagere,13,GEN,Karnataka,G.M. Siddeswara,Bharatiya Janta Party,1344920,907281,67.5 %,2024,0.2%,AC View
Deoria,66,GEN,Uttar Pradesh [2000 Onwards],Gorakh Prasad Jaiswal,Bahujan Samaj Party,1580745,715579,45.3 %,41779,5.8%,AC View
Dewas,21,SC,Madhya Pradesh [2000 Onwards],Sajjan Singh Verma,Indian National Congress,1297313,787381,60.7 %,15457,2.0%,AC View
Dhanbad,7,GEN,Jharkhand,Pashupati Nath Singh,Bharatiya Janta Party,1806475,813521,45.0 %,58047,7.1%,AC View
Dhar,25,ST,Madhya Pradesh [2000 Onwards],Gajendra Singh Rajukhedi,Indian National Congress,1197172,654832,54.7 %,2661,0.4%,AC View
Dharmapuri,10,GEN,Tamil Nadu,Thamaraiselvan. R,Dravida Munetra Kazhagam,1069601,778634,72.8 %,135942,17.5%,AC View
Dharwad,11,GEN,Karnataka,Pralhad Joshi,Bharatiya Janta Party,1411500,798496,56.6 %,137663,17.2%,AC View
Dhaurahra,29,GEN,Uttar Pradesh [2000 Onwards],Kunwar Jitin Prasad,Indian National Congress,1269584,759548,59.8 %,184509,24.3%,AC View
Dhenkanal,9,GEN,Orissa,Tathagata Satpathy,Biju Janata Dal,1283608,856631,66.7 %,186587,21.8%,AC View
Dhubri,4,GEN,Assam,Badruddin Ajmal,Assam United Democratic Front,1371949,1046985,76.3 %,184419,17.6%,AC View
Dhule,2,GEN,Maharashtra,Sonawane Pratap Narayanrao,Bharatiya Janta Party,1575227,670487,42.6 %,19419,2.9%,AC View
Diamond Harbour,21,GEN,West Bengal,Somendra Nath Mitra,All India Trinamool Congress,1302398,1054561,81.0 %,151689,14.4%,AC View
Dibrugarh,13,GEN,Assam,Paban Singh Ghatowar,Indian National Congress,1114965,750734,67.3 %,35143,4.7%,AC View
Dindigul,22,GEN,Tamil Nadu,Chitthan N S V,Indian National Congress,1085696,821253,75.6 %,54347,6.6%,AC View
Dindori,20,ST,Maharashtra,Chavan Harishchandra Deoram,Bharatiya Janta Party,1432938,681629,47.6 %,37347,5.5%,AC View
Domariyaganj,60,GEN,Uttar Pradesh [2000 Onwards],Jagdambika Pal,Indian National Congress,1499679,736139,49.1 %,76566,10.4%,AC View
Dum Dum,16,GEN,West Bengal,Sougata Ray,All India Trinamool Congress,1212220,976769,80.6 %,20478,2.1%,AC View
Dumka,2,ST,Jharkhand,Shibu Soren,Jharkhand Mukti Morcha,1128361,622736,55.2 %,18812,3.0%,AC View
Durg,7,GEN,Chhattisgarh,Saroj Pandey,Bharatiya Janta Party,1620400,905900,55.9 %,9954,1.1%,AC View
East Delhi,3,GEN,Delhi [1977 Onwards],Sandeep Dikshit,Indian National Congress,1604795,857422,53.4 %,241053,28.1%,AC View
Eluru,27,GEN,Andhra Pradesh,Kavuri Sambasiva Rao,Indian National Congress,1275575,1084439,85.0 %,42783,3.9%,AC View
Ernakulam,12,GEN,Kerala,Prof. K V Thomas,Indian National Congress,1023053,745856,72.9 %,11790,1.6%,AC View
Erode,17,GEN,Tamil Nadu,Ganeshamurthi.A.,Marumalarchi Dravida Munnetra Kazhagam,1010079,768476,76.1 %,49336,6.4%,AC View
Etah,22,GEN,Uttar Pradesh [2000 Onwards],Kalyan Singh R O Madholi,Independent,1278295,568046,44.4 %,128268,22.6%,AC View
Etawah,41,SC,Uttar Pradesh [2000 Onwards],Premdas,Samajwadi Party,1416867,638202,45.0 %,46746,7.3%,AC View
Faizabad,54,GEN,Uttar Pradesh [2000 Onwards],Nirmal Khatri,Indian National Congress,1500160,749262,50.0 %,54228,7.2%,AC View
Faridabad,10,GEN,Haryana,Avtar Singh Bhadana,Indian National Congress,1103046,624896,56.7 %,68201,10.9%,AC View
Faridkot,9,SC,Punjab,Paramjit Kaur Gulshan,Shiromani Akali Dal,1288090,930521,72.2 %,62042,6.7%,AC View
Farrukhabad,40,GEN,Uttar Pradesh [2000 Onwards],Salman Khursheed,Indian National Congress,1306214,611143,46.8 %,27199,4.5%,AC View
Fatehgarh Sahib,8,SC,Punjab,Sukhdev Singh,Indian National Congress,1207556,838150,69.4 %,34299,4.1%,AC View
Fatehpur,49,GEN,Uttar Pradesh [2000 Onwards],Rakesh Sachan,Samajwadi Party,1536621,694396,45.2 %,52228,7.5%,AC View
Fatehpur Sikri,19,GEN,Uttar Pradesh [2000 Onwards],Seema Upadhyay,Bahujan Samaj Party,1345742,695511,51.7 %,9936,1.4%,AC View
Ferozpur,10,GEN,Punjab,Sher Singh Ghubaya,Shiromani Akali Dal,1342488,956952,71.3 %,21071,2.2%,AC View
Firozabad,20,GEN,Uttar Pradesh [2000 Onwards],Akhilesh Yadav,Samajwadi Party,1422243,684881,48.2 %,67301,9.8%,AC View
Gadchiroli-Chimur,12,ST,Maharashtra,Kowase Marotrao Sainuji,Indian National Congress,1285387,837822,65.2 %,28580,3.4%,AC View
Gandhinagar,6,GEN,Gujarat,Lal Krishna Advani,Bharatiya Janta Party,1555709,791098,50.9 %,121747,15.4%,AC View
Ganganagar,1,SC,Rajasthan,Bharat Ram Meghwal,Indian National Congress,1491983,910531,61.0 %,140668,15.4%,AC View
Garhwal,2,GEN,Uttarakhand,Satpal Maharaj,Indian National Congress,1092282,539608,49.4 %,17397,3.2%,AC View
Gauhati,7,GEN,Assam,Bijoya Chakravarty,Bharatiya Janta Party,1723860,1109000,64.3 %,11855,1.1%,AC View
Gautam Buddh Nagar,13,GEN,Uttar Pradesh [2000 Onwards],Surendra Singh Nagar,Bahujan Samaj Party,1522397,738929,48.5 %,15904,2.2%,AC View
Gaya,38,SC,Bihar [2000 Onwards],Hari Manjhi,Bharatiya Janta Party,1329192,563429,42.4 %,62453,11.1%,AC View
Ghatal,32,GEN,West Bengal,Gurudas Das Gupta,Communist Party Of India,1354861,1170375,86.4 %,147184,12.6%,AC View
Ghaziabad,12,GEN,Uttar Pradesh [2000 Onwards],Rajnath Singh,Bharatiya Janta Party,1831688,830144,45.3 %,90681,10.9%,AC View
Ghazipur,75,GEN,Uttar Pradesh [2000 Onwards],Radhey Mohan Singh,Samajwadi Party,1527723,770622,50.4 %,69309,9.0%,AC View
Ghosi,70,GEN,Uttar Pradesh [2000 Onwards],Dara Singh Chauhan,Bahujan Samaj Party,1693231,765689,45.2 %,60945,8.0%,AC View
