pc name,no,type,state,winning candidate,party,electors,votes,turnout,margin,margin %,acs,UID
Hazaribagh,14,GEN,Jharkhand,Bhubneshwar Prasad Mehta,Communist Party Of India,1180058,705438,59.8 %,105328,14.9%,AC View,JH2004PC14
Hindupur,24,GEN,Andhra Pradesh,Nizamoddin,Indian National Congress,1179211,865406,73.4 %,1840,0.2%,AC View,AP2004PC24
Hingoli,29,GEN,Maharashtra,Suryakanta Patil,Nationalist Congress Party,1189303,727547,61.2 %,12545,1.7%,AC View,MH2004PC29
Hissar,9,GEN,Haryana,Jai Parkash,Indian National Congress,1136762,769679,67.7 %,182768,23.7%,AC View,HR2004PC09
Hooghly,27,GEN,West Bengal,Rupchand Pal,Communist Party Of India (MARXIST),1161683,919683,79.2 %,166966,18.2%,AC View,WB2004PC27
Hoshangabad,18,GEN,Madhya Pradesh [2000 Onwards],Sartaj Singh,Bharatiya Janta Party,1287203,633736,49.2 %,136409,21.5%,AC View,MP2004PC18
Hoshiarpur,6,GEN,Punjab,Avinash Rai Khanna,Bharatiya Janta Party,1137423,655662,57.6 %,104371,15.9%,AC View,PB2004PC06
Howrah,24,GEN,West Bengal,Swadesh Chakrabortty,Communist Party Of India (MARXIST),1240427,909246,73.3 %,246937,27.2%,AC View,WB2004PC24
Hyderabad,30,GEN,Andhra Pradesh,Asaduddin Owaisi,All India Majlis-E-Ittehadul Muslimoon,1770725,986387,55.7 %,100145,10.2%,AC View,AP2004PC30
Ichalkaranji,47,GEN,Maharashtra,Mane Nivedita Sambhajirao,Nationalist Congress Party,1215059,790264,65.0 %,101049,12.8%,AC View,MH2004PC47
Idukki,14,GEN,Kerala,K. Francis George,Kerala Congress,1034338,727964,70.4 %,69384,9.5%,AC View,KL2004PC14
Indore,26,GEN,Madhya Pradesh [2000 Onwards],Sumitra Mahajan (TAI),Bharatiya Janta Party,1678030,854240,50.9 %,193936,22.7%,AC View,MP2004PC26
Inner Manipur,1,GEN,Manipur,Dr. Thokchom Meinya,Indian National Congress,740718,416376,56.2 %,49333,11.8%,AC View,MN2004PC01
Jabalpur,14,ST,Madhya Pradesh [2000 Onwards],Rakesh Singh,Bharatiya Janta Party,1347885,572548,42.5 %,99531,17.4%,AC View,MP2004PC14
Jadavpur,18,GEN,West Bengal,Sujan Chakraborty,Communist Party Of India (MARXIST),1354946,1019775,75.3 %,89668,8.8%,AC View,WB2004PC18
Jagatsinghpur,7,SC,Orissa,Brahmananda Panda,Biju Janata Dal,1301496,928017,71.3 %,57262,6.2%,AC View,OR2004PC07
Jahanabad,38,SC,Bihar [2000 Onwards],Ganesh Prasad Singh,Rashtriya Janata Dal,1246756,863788,69.3 %,46438,5.4%,AC View,BR2004PC38
Jaipur,6,GEN,Rajasthan,Girdhari Lal Bhargava,Bharatiya Janta Party,1896856,880276,46.4 %,107186,12.2%,AC View,RJ2004PC06
Jajpur,4,ST,Orissa,Mohan Jena,Biju Janata Dal,1278758,876068,68.5 %,51466,5.9%,AC View,OR2004PC04
Jalaun,58,GEN,Uttar Pradesh [2000 Onwards],Bhanu Pratap Singh Verma,Bharatiya Janta Party,1310156,579748,44.3 %,26791,4.6%,AC View,UP2004PC58
Jalesar,66,GEN,Uttar Pradesh [2000 Onwards],Pro. S.P Singh Baghel,Samajwadi Party,1240919,650313,52.4 %,106068,16.3%,AC View,UP2004PC66
Jalgaon,17,GEN,Maharashtra,Y. G. Mahajan (SIR),Bharatiya Janta Party,1239241,616072,49.7 %,20646,3.4%,AC View,MH2004PC17
Jalna,32,GEN,Maharashtra,Danve Raosaheb Dadarao Patil,Bharatiya Janta Party,1242929,755991,60.8 %,61332,8.1%,AC View,MH2004PC32
Jalore,22,GEN,Rajasthan,B. Susheela,Bharatiya Janta Party,1428584,654757,45.8 %,39192,6.0%,AC View,RJ2004PC22
Jalpaiguri,3,SC,West Bengal,Minati Sen,Communist Party Of India (MARXIST),1104784,884971,80.1 %,180605,20.4%,AC View,WB2004PC03
Jammu,6,GEN,Jammu & Kashmir,Madan Lal Sharma,Indian National Congress,1849989,820595,44.4 %,17568,2.1%,AC View,JK2004PC06
Jamnagar,3,GEN,Gujarat,Ahir Vikrambhai Arjanbhai Madam,Indian National Congress,1072175,433392,40.4 %,5593,1.3%,AC View,GJ2004PC03
Jamshedpur,9,GEN,Jharkhand,Sunil Kumar Mahato,Jharkhand Mukti Morcha,1372125,776508,56.6 %,105633,13.6%,AC View,JH2004PC09
Jangipur,8,GEN,West Bengal,Pranab Mukherjee,Indian National Congress,1082151,881248,81.4 %,36860,4.2%,AC View,WB2004PC08
Janjgir,3,SC,Chhattisgarh,Karuna Shukla,Bharatiya Janta Party,1374418,717350,52.2 %,11329,1.6%,AC View,CG2004PC03
Jaunpur,44,GEN,Uttar Pradesh [2000 Onwards],Parasnath Yadava,Samajwadi Party,1515676,714077,47.1 %,27125,3.8%,AC View,UP2004PC44
Jhabua,28,GEN,Madhya Pradesh [2000 Onwards],Kantilal Bhuria,Indian National Congress,1290101,628135,48.7 %,80282,12.8%,AC View,MP2004PC28
Jhalawar,15,GEN,Rajasthan,Dushyant Singh,Bharatiya Janta Party,1188576,567172,47.7 %,81579,14.4%,AC View,RJ2004PC15
Jhanjharpur,14,GEN,Bihar [2000 Onwards],Devendra Prasad Yadav,Rashtriya Janata Dal,1163817,704243,60.5 %,12835,1.8%,AC View,BR2004PC14
Jhansi,57,GEN,Uttar Pradesh [2000 Onwards],Chandrapal Singh Yadav,Samajwadi Party,1526320,819636,53.7 %,26299,3.2%,AC View,UP2004PC57
Jhargram,33,ST,West Bengal,Rupchand Murmu,Communist Party Of India (MARXIST),1029496,793099,77.0 %,351343,44.3%,AC View,WB2004PC33
Jhunjhunu,4,GEN,Rajasthan,Shish Ram Ola,Indian National Congress,1370602,679614,49.6 %,23355,3.4%,AC View,RJ2004PC04
Jodhpur,24,GEN,Rajasthan,Jaswant Singh Bishnoi,Bharatiya Janta Party,1572050,863578,54.9 %,42495,4.9%,AC View,RJ2004PC24
Jorhat,12,GEN,Assam,Bijoy Krishna Handique,Indian National Congress,1078149,667973,62.0 %,51292,7.7%,AC View,AS2004PC12
Joynagar,15,GEN,West Bengal,Sanat Kumar Mandal,Revolutionary Socialist Party,1136859,806749,71.0 %,230521,28.6%,AC View,WB2004PC15
Jullundur,4,SC,Punjab,Rana Gurjeet Singh,Indian National Congress,1221443,742475,60.8 %,33463,4.5%,AC View,PB2004PC04
Junagadh,6,GEN,Gujarat,Barad Jasubhai Dhanabhai,Indian National Congress,1239398,658280,53.1 %,40921,6.2%,AC View,GJ2004PC06
Kaira,19,ST,Gujarat,Dinsha Patel,Indian National Congress,1146245,450808,39.3 %,56749,12.6%,AC View,GJ2004PC19
Kairana,79,GEN,Uttar Pradesh [2000 Onwards],Anuradha Choudhary,Rashtriya Lok Dal,1220829,816700,66.9 %,342414,41.9%,AC View,UP2004PC79
Kaiserganj,26,GEN,Uttar Pradesh [2000 Onwards],Beni Prasad Verma,Samajwadi Party,1272807,569938,44.8 %,12660,2.2%,AC View,UP2004PC26
Kakinada,7,GEN,Andhra Pradesh,Mallipudi Mangapati Pallam Raju,Indian National Congress,1164984,832052,71.4 %,57252,6.9%,AC View,AP2004PC07
Kalahandi,14,GEN,Orissa,Bikram Keshari Deo,Bharatiya Janta Party,1132680,753897,66.6 %,34122,4.5%,AC View,OR2004PC14
Kaliabor,11,GEN,Assam,Dip Gogoi,Indian National Congress,1153483,763617,66.2 %,67198,8.8%,AC View,AS2004PC11
Kanakapura,11,GEN,Karnataka,Tejashwini See Ramesh,Indian National Congress,2695484,1551189,57.6 %,116663,7.5%,AC View,KA2004PC11
Kanara,22,SC,Karnataka,Ananthkumar Hegde,Bharatiya Janta Party,1207373,832123,68.9 %,172226,20.7%,AC View,KA2004PC22
Kangra,3,GEN,Himachal Pradesh,Chander Kumar,Indian National Congress,1033686,640345,62.0 %,17791,2.8%,AC View,HP2004PC03
Kanker,8,GEN,Chhattisgarh,Sohan Potai,Bharatiya Janta Party,1152128,553195,48.0 %,73626,13.3%,AC View,CG2004PC08
Kannauj,63,GEN,Uttar Pradesh [2000 Onwards],Akhilesh Yadav,Samajwadi Party,1346673,759336,56.4 %,307373,40.5%,AC View,UP2004PC63
Kanpur,61,GEN,Uttar Pradesh [2000 Onwards],Shriprakash Jaiswal,Indian National Congress,1427231,618698,43.4 %,5638,0.9%,AC View,UP2004PC61
Kapadvanj,16,GEN,Gujarat,Vaghela Shankersinh Laxmansinh,Indian National Congress,1265350,595296,47.1 %,79435,13.3%,AC View,GJ2004PC16
Karad,45,GEN,Maharashtra,Patil Shriniwas Dadasaheb,Nationalist Congress Party,1181744,713822,60.4 %,196730,27.6%,AC View,MH2004PC45
Karimganj,1,SC,Assam,Lalit Mohan Suklabaidya,Indian National Congress,979105,671065,68.5 %,91948,13.7%,AC View,AS2004PC01
Karimnagar,37,GEN,Andhra Pradesh,K. Chandra Shakher Rao,Telangana Rashtra Samithi,1344786,874367,65.0 %,131168,15.0%,AC View,AP2004PC37
Karnal,3,SC,Haryana,Arvind Kumar Sharma,Indian National Congress,1240344,818605,66.0 %,164762,20.1%,AC View,HR2004PC03
