pc name,no,type,state,winning candidate,party,electors,votes,turnout,margin,margin %,acs,UID
Madurai,24,GEN,Tamil Nadu,"Mohan, P.",Communist Party Of India (MARXIST),1344023,738136,54.9 %,132840,18.0%,AC View,TN2004PC24
Mahabubnagar,29,GEN,Andhra Pradesh,Devarakonda Vittal Rao,Indian National Congress,1365922,866243,63.4 %,47907,5.5%,AC View,AP2004PC29
Maharajganj,6,GEN,Bihar [2000 Onwards],Prabhunath Singh,Janata Dal (United),1114665,664381,59.6 %,46465,7.0%,AC View,BR2004PC06
Maharajganj,35,GEN,Uttar Pradesh [2000 Onwards],Pankaj Choudhary,Bharatiya Janta Party,1311205,746614,56.9 %,64799,8.7%,AC View,UP2004PC35
Mahasamund,7,GEN,Chhattisgarh,Ajit Jogi,Indian National Congress,1169419,770599,65.9 %,118505,15.4%,AC View,CG2004PC07
Mahendragarh,7,GEN,Haryana,Inderjit Singh,Indian National Congress,1429015,848852,59.4 %,210341,24.8%,AC View,HR2004PC07
Mainpuri,65,GEN,Uttar Pradesh [2000 Onwards],Mulayam Singh Yadav,Samajwadi Party,1211002,719797,59.4 %,337870,46.9%,AC View,UP2004PC65
Malda,7,GEN,West Bengal,A. B. A. Ghani Khan Choudhury,Indian National Congress,1088411,844032,77.6 %,111108,13.2%,AC View,WB2004PC07
Malegaon,13,GEN,Maharashtra,Harischandra Devram Chavan,Bharatiya Janta Party,1222363,590436,48.3 %,4528,0.8%,AC View,MH2004PC13
Mandi,2,GEN,Himachal Pradesh,Pratibha Singh,Indian National Congress,1065083,665196,62.5 %,66566,10.0%,AC View,HP2004PC02
Mandla,13,GEN,Madhya Pradesh [2000 Onwards],Faggan Singh Kulaste,Bharatiya Janta Party,1095134,588178,53.7 %,64897,11.0%,AC View,MP2004PC13
Mandsaur,29,ST,Madhya Pradesh [2000 Onwards],Dr Laxminarayan Pandeya,Bharatiya Janta Party,1373890,776188,56.5 %,139633,18.0%,AC View,MP2004PC29
Mandvi,25,GEN,Gujarat,Chaudhary Tusharbhai Amarsinhbhai,Indian National Congress,1149161,644719,56.1 %,173382,26.9%,AC View,GJ2004PC25
Mandya,14,GEN,Karnataka,Ambareesh M. H.,Indian National Congress,1198750,856067,71.4 %,124438,14.5%,AC View,KA2004PC14
Mangaldoi,8,GEN,Assam,Narayan Chandra Borkataky,Bharatiya Janta Party,1209839,848741,70.2 %,29866,3.5%,AC View,AS2004PC08
Mangalore,17,GEN,Karnataka,D. V. Sadananda Gowda,Bharatiya Janta Party,1101484,790204,71.7 %,33415,4.2%,AC View,KA2004PC17
Manjeri,5,GEN,Kerala,T. K. Hamza,Communist Party Of India (MARXIST),1262202,904535,71.7 %,47743,5.3%,AC View,KL2004PC05
Mathura,70,GEN,Uttar Pradesh [2000 Onwards],Manvendra Singh,Indian National Congress,1277346,601855,47.1 %,38132,6.3%,AC View,UP2004PC70
Mathurapur,16,GEN,West Bengal,Basudeb Barman,Communist Party Of India (MARXIST),1113351,905415,81.3 %,82028,9.1%,AC View,WB2004PC16
Mavelikara,16,SC,Kerala,C. S. Sujatha,Communist Party Of India (MARXIST),871592,642816,73.8 %,7414,1.2%,AC View,KL2004PC16
Mayiladuturai,29,SC,Tamil Nadu,Mani Shankar Aiyar,Indian National Congress,1022018,693551,67.9 %,195691,28.2%,AC View,TN2004PC29
Mayurbhanj,1,GEN,Orissa,Sudam Marndi,Jharkhand Mukti Morcha,990544,695815,70.3 %,7972,1.1%,AC View,OR2004PC01
Medak,33,GEN,Andhra Pradesh,A. Narendra,Telangana Rashtra Samithi,1259126,899374,71.4 %,123766,13.8%,AC View,AP2004PC33
Meerut,76,GEN,Uttar Pradesh [2000 Onwards],Mohd. Shahid,Bahujan Samaj Party,1329974,697471,52.4 %,69336,9.9%,AC View,UP2004PC76
Mehsana,12,GEN,Gujarat,Jivabhai Ambalal Patel,Indian National Congress,1236066,695357,56.3 %,14511,2.1%,AC View,GJ2004PC12
Midnapore,32,GEN,West Bengal,Prabodh Panda,Communist Party Of India,1152887,905208,78.5 %,160760,17.8%,AC View,WB2004PC32
Miryalguda,42,GEN,Andhra Pradesh,Jaipal Reddy Sudini,Indian National Congress,1289342,961408,74.6 %,216907,22.6%,AC View,AP2004PC42
Mirzapur,50,SC,Uttar Pradesh [2000 Onwards],Narendra Kumar Kushwaha,Bahujan Samaj Party,1630287,728003,44.7 %,36412,5.0%,AC View,UP2004PC50
Misrikh,14,SC,Uttar Pradesh [2000 Onwards],Ashok Kumar Rawat,Bahujan Samaj Party,1234107,551699,44.7 %,19403,3.5%,AC View,UP2004PC14
Mizoram,1,ST,Mizoram,Vanlalzawma,Mizo National Front,549959,345372,62.8 %,23694,6.9%,AC View,MZ2004PC01
Mohanlalganj,17,GEN,Uttar Pradesh [2000 Onwards],Jai Prakash,Samajwadi Party,1278376,571848,44.7 %,2568,0.4%,AC View,UP2004PC17
Monghyr,29,GEN,Bihar [2000 Onwards],Jay Prakash Narayan Yadav,Rashtriya Janata Dal,1310042,838209,64.0 %,115927,13.8%,AC View,BR2004PC29
Moradabad,3,GEN,Uttar Pradesh [2000 Onwards],Dr. Shafiqurrahman Barq,Samajwadi Party,1353266,655173,48.4 %,35840,5.5%,AC View,UP2004PC03
Morena,1,GEN,Madhya Pradesh [2000 Onwards],Ashok Chhaviram Argal,Bharatiya Janta Party,1434889,486871,33.9 %,147320,30.3%,AC View,MP2004PC01
Mormugao,2,GEN,Goa,Alemao Churchil Braz,Indian National Congress,515504,297186,57.7 %,50524,17.0%,AC View,GA2004PC02
Motihari,3,GEN,Bihar [2000 Onwards],Akhiles Prasad Singh,Rashtriya Janata Dal,1221716,679070,55.6 %,97024,14.3%,AC View,BR2004PC03
Mukundapuram,10,GEN,Kerala,Lonappan Nambadan,Communist Party Of India (MARXIST),1024150,721958,70.5 %,117097,16.2%,AC View,KL2004PC10
Mumbai North,9,SC,Maharashtra,Govinda,Indian National Congress,2377866,1119246,47.1 %,48271,4.3%,AC View,MH2004PC09
Mumbai North Central,6,GEN,Maharashtra,Eknath M. Gaikwad,Indian National Congress,1117487,514561,46.1 %,13329,2.6%,AC View,MH2004PC06
Mumbai North East,7,SC,Maharashtra,Ad. Kamat Gurudas Vasant,Indian National Congress,1974560,925623,46.9 %,99400,10.7%,AC View,MH2004PC07
Mumbai North West,8,GEN,Maharashtra,Dutt Priya Sunil,Indian National Congress,1515745,747677,49.3 %,47358,6.3%,AC View,MH2004PC08
Mumbai South,4,GEN,Maharashtra,Milind Murli Deora,Indian National Congress,620431,274343,44.2 %,10246,3.7%,AC View,MH2004PC04
Mumbai South Central,5,GEN,Maharashtra,Mohan Rawale,Shiv Sena,704452,347937,49.4 %,22188,6.4%,AC View,MH2004PC05
Murshidabad,9,GEN,West Bengal,Abdul Mannan Hossain,Indian National Congress,1197170,1003469,83.8 %,15480,1.5%,AC View,WB2004PC09
Muvattupuzha,12,GEN,Kerala,P. C. Thomas (PULLOLIL),Indian Federal Democratic Party,984053,744192,75.6 %,529,0.1%,AC View,KL2004PC12
Muzaffarnagar,78,GEN,Uttar Pradesh [2000 Onwards],Ch. Munawwar Hasan,Samajwadi Party,1521778,862387,56.7 %,69005,8.0%,AC View,UP2004PC78
Muzaffarpur,10,GEN,Bihar [2000 Onwards],George Fernandes,Janata Dal (United),1237345,783974,63.4 %,9693,1.2%,AC View,BR2004PC10
Mysore,16,GEN,Karnataka,C. H. Vijayashankar,Bharatiya Janta Party,1478718,957108,64.7 %,10150,1.1%,AC View,KA2004PC16
Nabadwip,12,GEN,West Bengal,Alakesh Das,Communist Party Of India (MARXIST),1389486,1171667,84.3 %,9991,0.9%,AC View,WB2004PC12
Nagaland,1,ST,Nagaland,W. Wangyuh,Nagaland Peoples Front,1041433,951684,91.4 %,452019,47.5%,AC View,NL2004PC01
Nagapattinam,30,GEN,Tamil Nadu,"Vijayan, A. K. S.",Dravida Munetra Kazhagam,1049004,749483,71.5 %,216223,28.8%,AC View,TN2004PC30
Nagarkurnool,28,SC,Andhra Pradesh,Dr.Manda Jagannath,Telugu Desam,1296544,882624,68.1 %,99650,11.3%,AC View,AP2004PC28
Nagaur,25,GEN,Rajasthan,Bhanwar Singh Dangawas,Bharatiya Janta Party,1436070,630118,43.9 %,70627,11.2%,AC View,RJ2004PC25
Nagercoil,39,GEN,Tamil Nadu,Bellarmin. A. V.,Communist Party Of India (MARXIST),1110014,670197,60.4 %,164294,24.5%,AC View,TN2004PC39
Nagpur,23,GEN,Maharashtra,Vilasrao Baburaoji Muttemwar,Indian National Congress,1630894,792180,48.6 %,99483,12.6%,AC View,MH2004PC23
Nainital,4,GEN,Uttarakhand,K. C. Singh Baba,Indian National Congress,1261688,616560,48.9 %,49184,8.0%,AC View,UK2004PC04
Nalanda,31,GEN,Bihar [2000 Onwards],Nitish Kumar,Janata Dal (United),1311971,895089,68.2 %,102396,11.4%,AC View,BR2004PC31
Nalgonda,41,GEN,Andhra Pradesh,Suravaram Sudhakar Reddy,Communist Party Of India,1605163,1046908,65.2 %,56151,5.4%,AC View,AP2004PC41
Nanded,30,GEN,Maharashtra,D. B. Patil,Bharatiya Janta Party,1445611,798771,55.3 %,24335,3.0%,AC View,MH2004PC30
Nandurbar,15,GEN,Maharashtra,Gavit Manikrao Hodlya,Indian National Congress,1218524,639614,52.5 %,107621,16.8%,AC View,MH2004PC15
Nandyal,27,GEN,Andhra Pradesh,S. P. Y. Reddy,Indian National Congress,1182240,828724,70.1 %,111679,13.5%,AC View,AP2004PC27
Narasapur,10,GEN,Andhra Pradesh,Chegondi Venkata Harirama Jogaiah,Indian National Congress,996175,765772,76.9 %,64412,8.4%,AC View,AP2004PC10
Narasaraopet,17,GEN,Andhra Pradesh,Mekapati Rajamohan Reddy,Indian National Congress,1255040,897889,71.5 %,86255,9.6%,AC View,AP2004PC17
Nashik,12,ST,Maharashtra,Pingale Devidas Anandrao,Nationalist Congress Party,1522672,656071,43.1 %,15058,2.3%,AC View,MH2004PC12
Nawada,39,GEN,Bihar [2000 Onwards],Virchandra Paswan,Rashtriya Janata Dal,1505472,1009961,67.1 %,56006,5.5%,AC View,BR2004PC39
Nellore,19,SC,Andhra Pradesh,Panabaka Lakshmi,Indian National Congress,1153181,833825,72.3 %,128224,15.4%,AC View,AP2004PC19
New Delhi,1,GEN,Delhi [1977 Onwards],Ajay Makan,Indian National Congress,455114,202926,44.6 %,12784,6.3%,AC View,DL2004PC01
Nilgiris,18,GEN,Tamil Nadu,Prabhu R.,Indian National Congress,1317502,778708,59.1 %,236502,30.4%,AC View,TN2004PC18
Nizamabad,34,GEN,Andhra Pradesh,Madhu Yakshi Goud,Indian National Congress,1128312,781638,69.3 %,137871,17.6%,AC View,AP2004PC34
Nowgong,10,GEN,Assam,Rajen Gohain,Bharatiya Janta Party,1149244,785885,68.4 %,31412,4.0%,AC View,AS2004PC10
Nowrangpur,13,GEN,Orissa,Parsuram Majhi,Bharatiya Janta Party,1161159,781346,67.3 %,24890,3.2%,AC View,OR2004PC13
Ongole,18,GEN,Andhra Pradesh,Sreenivasulu Reddy Magunta,Indian National Congress,1063995,795544,74.8 %,106021,13.3%,AC View,AP2004PC18
Osmanabad,36,GEN,Maharashtra,Narhire Kalpana Ramesh,Shiv Sena,1072645,637182,59.4 %,1649,0.3%,AC View,MH2004PC36
Ottapalam,8,GEN,Kerala,S. Ajaya Kumar,Communist Party Of India (MARXIST),1092142,805485,73.8 %,70410,8.7%,AC View,KL2004PC08
Outer Delhi,3,GEN,Delhi [1977 Onwards],Sajjan Kumar,Indian National Congress,3368399,1553813,46.1 %,223790,14.4%,AC View,DL2004PC03
Outer Manipur,2,ST,Manipur,Mani Charenamei,Independent,795792,618984,77.8 %,82193,13.3%,AC View,MN2004PC02
Padrauna,36,GEN,Uttar Pradesh [2000 Onwards],Baleshwar Yadav,National Loktantrik Party,1501706,790041,52.6 %,8422,1.1%,AC View,UP2004PC36
Palamau,13,SC,Jharkhand,Manoj Kumar,Rashtriya Janata Dal,1289313,641524,49.8 %,55144,8.6%,AC View,JH2004PC13
Palani,22,GEN,Tamil Nadu,"Kharventhan, S. K.",Indian National Congress,1088931,693929,63.7 %,231493,33.4%,AC View,TN2004PC22
Palghat,7,GEN,Kerala,N. N. Krishnadas,Communist Party Of India (MARXIST),1113144,818860,73.6 %,98158,12.0%,AC View,KL2004PC07
Pali,21,GEN,Rajasthan,Pusp Jain,Bharatiya Janta Party,1195737,541923,45.3 %,63238,11.7%,AC View,RJ2004PC21
Panaji,1,GEN,Goa,Shripad Yesso Naik,Bharatiya Janta Party,425663,253904,59.7 %,56213,22.1%,AC View,GA2004PC01
Pandharpur,38,SC,Maharashtra,Athawale Ramdas Bandu,Republican Party Of India (A),1294407,688282,53.2 %,99693,14.5%,AC View,MH2004PC38
Panskura,29,SC,West Bengal,Gurudas Das Gupta,Communist Party Of India,1061186,871449,82.1 %,279478,32.1%,AC View,WB2004PC29
Parbhani,31,GEN,Maharashtra,Tukaram Ganpatrao Renge Patil,Shiv Sena,1155668,675417,58.4 %,56171,8.3%,AC View,MH2004PC31
Parvathipuram,2,ST,Andhra Pradesh,Kishore Chandra Suryanarayana Deo Vyricherla,Indian National Congress,896336,660212,73.7 %,7418,1.1%,AC View,AP2004PC02
Patan,13,GEN,Gujarat,Kanodia Maheshkumar Mithabhai,Bharatiya Janta Party,1132998,538059,47.5 %,23624,4.4%,AC View,GJ2004PC13
Patiala,8,SC,Punjab,Preneet Kaur,Indian National Congress,1427103,874971,61.3 %,23667,2.7%,AC View,PB2004PC08
Patna,32,GEN,Bihar [2000 Onwards],Ram Kripal Yadav,Rashtriya Janata Dal,1741220,901556,51.8 %,38562,4.3%,AC View,BR2004PC32
Peddapalli,36,SC,Andhra Pradesh,G. Venkat Swamy,Indian National Congress,1386543,938802,67.7 %,263135,28.0%,AC View,AP2004PC36
Perambalur,28,GEN,Tamil Nadu,"Raja, A.",Dravida Munetra Kazhagam,999508,705964,70.6 %,153333,21.7%,AC View,TN2004PC28
Periyakulam,25,GEN,Tamil Nadu,Aaron Rashid J. M.,Indian National Congress,1056853,697773,66.0 %,21155,3.0%,AC View,TN2004PC25
Phillaur,5,SC,Punjab,Charanjit Singh Atwal,Shiromani Akali Dal,1181507,722533,61.2 %,98884,13.7%,AC View,PB2004PC05
Phulbani,15,GEN,Orissa,Sugrib Singh,Biju Janata Dal,1183731,787239,66.5 %,19272,2.4%,AC View,OR2004PC15
Phulpur,51,GEN,Uttar Pradesh [2000 Onwards],Atique Ahamad,Samajwadi Party,1409517,755173,53.6 %,64347,8.5%,AC View,UP2004PC51
Pilibhit,9,GEN,Uttar Pradesh [2000 Onwards],Maneka Gandhi,Bharatiya Janta Party,1285919,677095,52.7 %,102720,15.2%,AC View,UP2004PC09
Pollachi,21,GEN,Tamil Nadu,"Krishnan, Dr. C",Marumalarchi Dravida Munnetra Kazhagam,1039279,641158,61.7 %,120921,18.9%,AC View,TN2004PC21
Pondicherry,1,GEN,Pondicherry,Ramadass. M.,Pattali Makkal Katchi,636667,484316,76.1 %,69181,14.3%,AC View,PY2004PC01
Ponnani,6,GEN,Kerala,E. Ahammed,Muslim League Kerala State Committee,1172057,729438,62.2 %,102758,14.1%,AC View,KL2004PC06
Porbandar,5,GEN,Gujarat,Patel Harilal Madhavjibhai (HARIBHAI PATEL),Bharatiya Janta Party,995027,490331,49.3 %,5703,1.2%,AC View,GJ2004PC05
Pratapgarh,20,GEN,Uttar Pradesh [2000 Onwards],"Akshay Pratap Singh ""gopal Ji""",Samajwadi Party,1332216,572666,43.0 %,69272,12.1%,AC View,UP2004PC20
Pudukkottai,32,GEN,Tamil Nadu,"Regupathy, S.",Dravida Munetra Kazhagam,1234949,817046,66.2 %,156496,19.2%,AC View,TN2004PC32
Pune,42,SC,Maharashtra,Kalmadi Suresh,Indian National Congress,1608614,768826,47.8 %,73176,9.5%,AC View,MH2004PC42
Puri,8,SC,Orissa,Braja Kishore Tripathy,Biju Janata Dal,1288034,888907,69.0 %,60960,6.9%,AC View,OR2004PC08
Purnea,24,GEN,Bihar [2000 Onwards],Uday Singh Alias Pappu Singh,Bharatiya Janta Party,1179491,709015,60.1 %,12883,1.8%,AC View,BR2004PC24
Purulia,34,GEN,West Bengal,Bir Singh Mahato,All India Forward Bloc,992438,694449,70.0 %,145718,21.0%,AC View,WB2004PC34
Quilon,18,GEN,Kerala,P. Rajendran,Communist Party Of India (MARXIST),1031593,702390,68.1 %,111071,15.8%,AC View,KL2004PC18
Rae Bareli,19,GEN,Uttar Pradesh [2000 Onwards],Sonia Gandhi,Indian National Congress,1329169,643560,48.4 %,249765,38.8%,AC View,UP2004PC19
Raichur,3,GEN,Karnataka,A.Venkatesh Naik,Indian National Congress,1413018,824732,58.4 %,508,0.1%,AC View,KA2004PC03
Raiganj,5,GEN,West Bengal,Priya Ranjan Dasmunsi,Indian National Congress,1147290,913637,79.6 %,39147,4.3%,AC View,WB2004PC05
Raigarh,2,ST,Chhattisgarh,Vishnudeo Sai,Bharatiya Janta Party,1038634,648290,62.4 %,74243,11.5%,AC View,CG2004PC02
Raipur,6,GEN,Chhattisgarh,Ramesh Bais,Bharatiya Janta Party,1370242,689427,50.3 %,129519,18.8%,AC View,CG2004PC06
Rajahmundry,8,GEN,Andhra Pradesh,Aruna Kumar Vundavalli,Indian National Congress,1074223,815493,75.9 %,148820,18.2%,AC View,AP2004PC08
Rajampet,22,GEN,Andhra Pradesh,Annayyagari Sai Prathap,Indian National Congress,991369,688887,69.5 %,78085,11.3%,AC View,AP2004PC22
Rajapur,1,ST,Maharashtra,Suresh Prabhu,Shiv Sena,835714,480243,57.5 %,80899,16.8%,AC View,MH2004PC01
Rajgarh,21,SC,Madhya Pradesh [2000 Onwards],Lakshman Singh,Bharatiya Janta Party,1278429,598956,46.9 %,36712,6.1%,AC View,MP2004PC21
Rajkot,4,GEN,Gujarat,Dr. Kathiria Vallabhbhai Ramjibhai,Bharatiya Janta Party,1650135,538380,32.6 %,143970,26.7%,AC View,GJ2004PC04
Rajmahal,1,ST,Jharkhand,Hemlal Murmu,Jharkhand Mukti Morcha,1072040,691116,64.5 %,2974,0.4%,AC View,JH2004PC01
Rajnandgaon,11,ST,Chhattisgarh,Pradeep Gandhi,Bharatiya Janta Party,1121618,664445,59.2 %,14323,2.2%,AC View,CG2004PC11
Ramanathapuram,34,GEN,Tamil Nadu,Bhavani Rajenthiran. M. S. K.,Dravida Munetra Kazhagam,1147726,672447,58.6 %,109950,16.4%,AC View,TN2004PC34
Rampur,4,GEN,Uttar Pradesh [2000 Onwards],P. Jaya Prada Nahata,Samajwadi Party,1420598,811098,57.1 %,85474,10.5%,AC View,UP2004PC04
Ramtek,22,ST,Maharashtra,Mohite Subodh Baburao,Shiv Sena,1148759,647268,56.3 %,14102,2.2%,AC View,MH2004PC22
Ranchi,8,GEN,Jharkhand,Subodh Kant Sahay,Indian National Congress,1379179,696342,50.5 %,15421,2.2%,AC View,JH2004PC08
Rasipuram,15,GEN,Tamil Nadu,Rani. K,Indian National Congress,1132426,693014,61.2 %,134533,19.4%,AC View,TN2004PC15
Ratnagiri,2,GEN,Maharashtra,Anant Geete,Shiv Sena,914770,560620,61.3 %,148968,26.6%,AC View,MH2004PC02
Rewa,9,GEN,Madhya Pradesh [2000 Onwards],Chandramani Tripathi,Bharatiya Janta Party,1461014,630281,43.1 %,44752,7.1%,AC View,MP2004PC09
Robertsganj,49,GEN,Uttar Pradesh [2000 Onwards],Lalchandra,Bahujan Samaj Party,1661132,724797,43.6 %,10362,1.4%,AC View,UP2004PC49
Rohtak,5,GEN,Haryana,Bhupinder Singh,Indian National Congress,1055610,661641,62.7 %,150435,22.7%,AC View,HR2004PC05
Ropar,7,GEN,Punjab,Sukhdev Singh Libra,Shiromani Akali Dal,1345244,790206,58.7 %,33637,4.3%,AC View,PB2004PC07
Rosera,16,GEN,Bihar [2000 Onwards],Ram Chandra Paswan,Lok Jan Shakti Party,1245733,713782,57.3 %,138411,19.4%,AC View,BR2004PC16
Sabarkantha,15,GEN,Gujarat,Madhusudan Mistry,Indian National Congress,1272262,654380,51.4 %,39928,6.1%,AC View,GJ2004PC15
Sagar,5,GEN,Madhya Pradesh [2000 Onwards],Virendra Kumar,Bharatiya Janta Party,1250751,479246,38.3 %,147991,30.9%,AC View,MP2004PC05
Saharanpur,80,SC,Uttar Pradesh [2000 Onwards],Rasheed Masood,Samajwadi Party,1566135,990397,63.2 %,26828,2.7%,AC View,UP2004PC80
Saharsa,20,GEN,Bihar [2000 Onwards],Ranjeet Ranjan,Lok Jan Shakti Party,1287666,738272,57.3 %,30787,4.2%,AC View,BR2004PC20
Saidpur,45,SC,Uttar Pradesh [2000 Onwards],Tufani Saroj,Samajwadi Party,1535355,711286,46.3 %,29810,4.2%,AC View,UP2004PC45
Salem,16,GEN,Tamil Nadu,Thangkabalu K. V.,Indian National Congress,1251141,740252,59.2 %,175627,23.7%,AC View,TN2004PC16
Salempur,38,GEN,Uttar Pradesh [2000 Onwards],Harikeval Prasad,Samajwadi Party,1484606,669579,45.1 %,16253,2.4%,AC View,UP2004PC38
Salumber,17,GEN,Rajasthan,Mahaveer Bhagora,Bharatiya Janta Party,1279337,628768,49.2 %,24774,3.9%,AC View,RJ2004PC17
Samastipur,17,SC,Bihar [2000 Onwards],Alok Kumar Mehta,Rashtriya Janata Dal,1433793,864688,60.3 %,126783,14.7%,AC View,BR2004PC17
Sambalpur,17,GEN,Orissa,Prasanna Acharya,Biju Janata Dal,1242861,811674,65.3 %,14770,1.8%,AC View,OR2004PC17
Sambhal,5,SC,Uttar Pradesh [2000 Onwards],Pro. Ram Gopal Yadav,Samajwadi Party,1249017,759382,60.8 %,198061,26.1%,AC View,UP2004PC05
Sangli,46,GEN,Maharashtra,Patil Prakashbapu Vasantdada,Indian National Congress,1186416,692440,58.4 %,81623,11.8%,AC View,MH2004PC46
Sangrur,10,GEN,Punjab,Sukhdev Singh Dhindsa,Shiromani Akali Dal,1214485,837596,69.0 %,27277,3.3%,AC View,PB2004PC10
Sarangarh,5,GEN,Chhattisgarh,Guharam Ajgalle,Bharatiya Janta Party,1191389,587744,49.3 %,59118,10.1%,AC View,CG2004PC05
Sasaram,35,GEN,Bihar [2000 Onwards],Meira Kumar,Indian National Congress,1291800,697265,54.0 %,258262,37.0%,AC View,BR2004PC35
Satara,44,GEN,Maharashtra,Laxmanrao Pandurang Jadhav (PATIL),Nationalist Congress Party,1149290,673093,58.6 %,3957,0.6%,AC View,MH2004PC44
Satna,8,GEN,Madhya Pradesh [2000 Onwards],Ganesh Singh,Bharatiya Janta Party,1324818,609727,46.0 %,83590,13.7%,AC View,MP2004PC08
Sawai Madhopur,11,ST,Rajasthan,Namo Narain,Indian National Congress,1340804,664489,49.6 %,111163,16.7%,AC View,RJ2004PC11
Secunderabad,31,GEN,Andhra Pradesh,Anjan Kumar Yadav M,Indian National Congress,1850694,973226,52.6 %,68758,7.1%,AC View,AP2004PC31
Seoni,15,GEN,Madhya Pradesh [2000 Onwards],Neeta Pateriya,Bharatiya Janta Party,1203918,598745,49.7 %,94801,15.8%,AC View,MP2004PC15
Serampore,26,GEN,West Bengal,Santasri Chatterjee,Communist Party Of India (MARXIST),1285398,942891,73.4 %,19687,2.1%,AC View,WB2004PC26
Shahabad,12,GEN,Uttar Pradesh [2000 Onwards],Iliyas Azmi,Bahujan Samaj Party,1258003,579606,46.1 %,46369,8.0%,AC View,UP2004PC12
Shahdol,11,GEN,Madhya Pradesh [2000 Onwards],Dalpat Singh Paraste,Bharatiya Janta Party,1305252,509123,39.0 %,29349,5.8%,AC View,MP2004PC11
Shahjahanpur,10,GEN,Uttar Pradesh [2000 Onwards],Kunwar Jitin Prasad,Indian National Congress,1240983,634371,51.1 %,81832,12.9%,AC View,UP2004PC10
Shajapur,22,SC,Madhya Pradesh [2000 Onwards],Thawarchand Gehlot,Bharatiya Janta Party,1328841,719744,54.2 %,168187,23.4%,AC View,MP2004PC22
Sheohar,12,GEN,Bihar [2000 Onwards],Sitaram Singh,Rashtriya Janata Dal,1214428,666384,54.9 %,73883,11.1%,AC View,BR2004PC12
Shillong,1,ST,Meghalaya,Paty Ripple Kyndiah,Indian National Congress,785062,367736,46.8 %,70896,19.3%,AC View,ML2004PC01
Shimoga,21,GEN,Karnataka,S. Bangarappa,Bharatiya Janta Party,1257953,886294,70.5 %,76145,8.6%,AC View,KA2004PC21
Sholapur,37,GEN,Maharashtra,Deshmukh Subhash Sureshchandra,Bharatiya Janta Party,1187231,657089,55.4 %,5798,0.9%,AC View,MH2004PC37
Siddipet,32,SC,Andhra Pradesh,Sarvey Sathyanarayana,Indian National Congress,1727118,1118829,64.8 %,138972,12.4%,AC View,AP2004PC32
Sidhi,10,GEN,Madhya Pradesh [2000 Onwards],Chandrapratap Singh,Bharatiya Janta Party,1083701,457029,42.2 %,49565,10.8%,AC View,MP2004PC10
Sikar,5,GEN,Rajasthan,Subhash Meharia,Bharatiya Janta Party,1476344,777953,52.7 %,54683,7.0%,AC View,RJ2004PC05
Sikkim,1,GEN,Sikkim,Nakul Das Rai,Sikkim Democratic Front,281937,215294,76.4 %,93151,43.3%,AC View,SK2004PC01
Silchar,2,GEN,Assam,Sontosh Mohan Dev,Indian National Congress,879243,607884,69.1 %,21320,3.5%,AC View,AS2004PC02
Simla,1,GEN,Himachal Pradesh,Dhani Ram Shandil,Indian National Congress,1018988,525998,51.6 %,108180,20.6%,AC View,HP2004PC01
Singhbhum,10,ST,Jharkhand,Bagun Sumbrai,Indian National Congress,919728,520155,56.6 %,59196,11.4%,AC View,JH2004PC10
Sirsa,10,GEN,Haryana,Atma Singh Gill,Indian National Congress,1219935,841638,69.0 %,71475,8.5%,AC View,HR2004PC10
Sitamarhi,11,GEN,Bihar [2000 Onwards],Sitaram Yadav,Rashtriya Janata Dal,1265132,690791,54.6 %,98005,14.2%,AC View,BR2004PC11
Sitapur,13,GEN,Uttar Pradesh [2000 Onwards],Rajesh Verma,Bahujan Samaj Party,1292685,596568,46.2 %,5234,0.9%,AC View,UP2004PC13
Sivaganga,33,GEN,Tamil Nadu,"Chidambaram, P.",Indian National Congress,1083542,664594,61.3 %,162725,24.5%,AC View,TN2004PC33
Sivakasi,35,GEN,Tamil Nadu,"Ravichandran, A",Marumalarchi Dravida Munnetra Kazhagam,1313594,828082,63.0 %,164517,19.9%,AC View,TN2004PC35
Siwan,5,GEN,Bihar [2000 Onwards],Mohammad Shahabuddin,Rashtriya Janata Dal,1054441,637544,60.5 %,103578,16.2%,AC View,BR2004PC05
Sonepat,4,GEN,Haryana,Kishan Singh Sangwan,Bharatiya Janta Party,1138771,736510,64.7 %,7569,1.0%,AC View,HR2004PC04
South Delhi,2,GEN,Delhi [1977 Onwards],Vijay Kumar Malhotra,Bharatiya Janta Party,1018862,478871,47.0 %,16005,3.3%,AC View,DL2004PC02
Srikakulam,1,GEN,Andhra Pradesh,Yerrannaidu Kinjarapu,Telugu Desam,958626,723013,75.4 %,31879,4.4%,AC View,AP2004PC01
Srinagar,2,GEN,Jammu & Kashmir,Omar Abdullah,Jammu & Kashmir National Conference,1053734,195645,18.6 %,23159,11.8%,AC View,JK2004PC02
Sriperumbudur,4,GEN,Tamil Nadu,Krishnaswamy. A,Dravida Munetra Kazhagam,1423561,842045,59.2 %,235346,27.9%,AC View,TN2004PC04
Sultanpur,22,GEN,Uttar Pradesh [2000 Onwards],Mohd. Tahir,Bahujan Samaj Party,1465273,721002,49.2 %,101810,14.1%,AC View,UP2004PC22
Sundargarh,20,GEN,Orissa,Jual Oram,Bharatiya Janta Party,1209123,732302,60.6 %,39676,5.4%,AC View,OR2004PC20
