[LINE 93] UID=UP1952PC224 | family_rows=1 | sources_rows=1
[LINE 94] UID=UP1952PC224 | family_rows=1 | sources_rows=4
[LINE 95] UID=MP1952PC114 | family_rows=1 | sources_rows=1
[LINE 96] UID=MP1952PC114 | family_rows=1 | sources_rows=3
[LINE 97] UID=WB1952PC292 | family_rows=1 | sources_rows=6
[LINE 98] UID=WB1952PC292 | family_rows=1 | sources_rows=4
[LINE 99] UID=AS1952PC01 | family_rows=1 | sources_rows=3
[LINE 100] UID=AS1952PC01 | family_rows=1 | sources_rows=8
[LINE 101] UID=WB1952PC301 | family_rows=1 | sources_rows=3
[LINE 102] UID=WB1952PC302 | family_rows=1 | sources_rows=3
[LINE 103] UID=WB1952PC300 | family_rows=1 | sources_rows=4
[LINE 104] UID=WB1952PC299 | family_rows=1 | sources_rows=3
[LINE 105] UID=TN1952PC172 | family_rows=2 | sources_rows=4
[LINE 106] UID=BR1952PC54 | family_rows=1 | sources_rows=3
[LINE 107] UID=HP1952PC391 | family_rows=1 | sources_rows=5
[LINE 108] UID=BR1952PC26 | family_rows=1 | sources_rows=1
[LINE 109] UID=BR1952PC25 | family_rows=1 | sources_rows=4
[LINE 110] UID=MP1952PC110 | family_rows=1 | sources_rows=4
[LINE 111] UID=MP1952PC401 | family_rows=1 | sources_rows=5
[LINE 112] UID=MP1952PC401 | family_rows=1 | sources_rows=2
[LINE 113] UID=MP1952PC105 | family_rows=1 | sources_rows=4
[LINE 114] UID=TN1952PC141 | family_rows=1 | sources_rows=3
[LINE 115] UID=KL1952PC372 | family_rows=1 | sources_rows=3
[LINE 116] UID=KA1952PC341 | family_rows=1 | sources_rows=4
[LINE 117] UID=TN1952PC137 | family_rows=1 | sources_rows=7
[LINE 118] UID=TN1952PC137 | family_rows=1 | sources_rows=5
[LINE 119] UID=RJ1952PC361 | family_rows=1 | sources_rows=1
[LINE 120] UID=TN1952PC152 | family_rows=1 | sources_rows=5
[LINE 121] UID=WB1952PC287 | family_rows=1 | sources_rows=1
[LINE 122] UID=KA1952PC386 | family_rows=1 | sources_rows=3
[LINE 123] UID=KL1952PC379 | family_rows=1 | sources_rows=4
[LINE 124] Existing error preserved | UID=TN1952PC159
[LINE 125] UID=TN1952PC159 | family_rows=1 | sources_rows=5
[LINE 126] UID=TN1952PC136 | family_rows=1 | sources_rows=5
[LINE 127] UID=OR1952PC188 | family_rows=1 | sources_rows=3
[LINE 128] UID=BR1952PC33 | family_rows=1 | sources_rows=4
[LINE 129] UID=BR1952PC36 | family_rows=4 | sources_rows=5
[LINE 130] UID=BR1952PC34 | family_rows=1 | sources_rows=3
[LINE 131] UID=BR1952PC35 | family_rows=1 | sources_rows=3
[LINE 132] UID=AS1952PC06 | family_rows=1 | sources_rows=3
[LINE 133] UID=DL1952PC389 | family_rows=1 | sources_rows=5
[LINE 134] UID=UP1952PC271 | family_rows=1 | sources_rows=4
[LINE 135] UID=UP1952PC269 | family_rows=1 | sources_rows=3
[LINE 136] UID=UP1952PC270 | family_rows=1 | sources_rows=4
[LINE 137] UID=TN1952PC146 | family_rows=1 | sources_rows=3
[LINE 138] UID=MH1952PC86 | family_rows=1 | sources_rows=4
[LINE 139] UID=MH1952PC87 | family_rows=1 | sources_rows=4
[LINE 140] UID=OR1952PC183 | family_rows=1 | sources_rows=3
[LINE 141] UID=OR1952PC183 | family_rows=1 | sources_rows=4
[LINE 142] UID=WB1952PC298 | family_rows=1 | sources_rows=3
[LINE 143] UID=WB1952PC298 | family_rows=1 | sources_rows=4
[LINE 144] UID=AS1952PC10 | family_rows=1 | sources_rows=3
[LINE 145] UID=TN1952PC169 | family_rows=2 | sources_rows=7
[LINE 146] UID=MP1952PC96 | family_rows=1 | sources_rows=4
[LINE 147] UID=MP1952PC97 | family_rows=4 | sources_rows=4
[LINE 148] UID=TN1952PC122 | family_rows=1 | sources_rows=3
[LINE 149] UID=TN1952PC122 | family_rows=1 | sources_rows=1
[LINE 150] UID=KL1952PC378 | family_rows=1 | sources_rows=1
[LINE 151] UID=TN1952PC148 | family_rows=1 | sources_rows=5
[LINE 152] UID=TN1952PC148 | family_rows=1 | sources_rows=3
[LINE 153] UID=UP1952PC231 | family_rows=1 | sources_rows=1
[LINE 154] UID=UP1952PC230 | family_rows=1 | sources_rows=1
[LINE 155] UID=UP1952PC229 | family_rows=1 | sources_rows=1
[LINE 156] UID=UP1952PC252 | family_rows=1 | sources_rows=5
[LINE 157] Existing error preserved | UID=UP1952PC252
[LINE 158] UID=UP1952PC233 | family_rows=1 | sources_rows=3
[LINE 159] UID=PB1952PC199 | family_rows=1 | sources_rows=3
[LINE 160] UID=PB1952PC200 | family_rows=1 | sources_rows=4
[LINE 161] UID=PB1952PC200 | family_rows=1 | sources_rows=5
[LINE 162] UID=RJ1952PC349 | family_rows=1 | sources_rows=4
[LINE 163] UID=RJ1952PC349 | family_rows=1 | sources_rows=3
[LINE 164] UID=OR1952PC192 | family_rows=1 | sources_rows=1
[LINE 165] UID=UP1952PC210 | family_rows=1 | sources_rows=4
[LINE 166] UID=UP1952PC209 | family_rows=3 | sources_rows=4
[LINE 167] UID=AS1952PC05 | family_rows=1 | sources_rows=3
[LINE 168] Existing error preserved | UID=BR1952PC15
[LINE 169] UID=BR1952PC15 | family_rows=1 | sources_rows=4
[LINE 170] UID=BR1952PC16 | family_rows=1 | sources_rows=3
[LINE 171] UID=BR1952PC17 | family_rows=5 | sources_rows=7
[LINE 172] UID=WB1952PC285 | family_rows=1 | sources_rows=3
[LINE 173] UID=UP1952PC274 | family_rows=1 | sources_rows=4
[LINE 174] UID=UP1952PC275 | family_rows=1 | sources_rows=1
[LINE 175] UID=OR1952PC191 | family_rows=1 | sources_rows=3
[LINE 176] UID=AS1952PC03 | family_rows=1 | sources_rows=3
[LINE 177] UID=AS1952PC03 | family_rows=3 | sources_rows=4
[LINE 178] UID=GJ1952PC367 | family_rows=1 | sources_rows=1
[LINE 179] UID=GJ1952PC368 | family_rows=1 | sources_rows=5
[LINE 180] UID=AS1952PC08 | family_rows=1 | sources_rows=3
[LINE 181] UID=UP1952PC263 | family_rows=1 | sources_rows=4
[LINE 182] UID=UP1952PC261 | family_rows=1 | sources_rows=3
[LINE 183] UID=UP1952PC262 | family_rows=1 | sources_rows=3
[LINE 184] UID=UP1952PC267 | family_rows=1 | sources_rows=3
[LINE 185] UID=UP1952PC266 | family_rows=1 | sources_rows=3
[LINE 186] UID=UP1952PC268 | family_rows=1 | sources_rows=3
[LINE 187] UID=TN1952PC124 | family_rows=1 | sources_rows=3
[LINE 188] UID=TG1952PC307 | family_rows=1 | sources_rows=3
[LINE 189] UID=MP1952PC330 | family_rows=1 | sources_rows=1
[LINE 190] UID=TN1952PC127 | family_rows=1 | sources_rows=4
[LINE 191] UID=PB1952PC205 | family_rows=1 | sources_rows=4
[LINE 192] UID=PB1952PC197 | family_rows=1 | sources_rows=1
[LINE 193] UID=MP1952PC331 | family_rows=1 | sources_rows=3
[LINE 194] UID=GJ1952PC364 | family_rows=2 | sources_rows=4
[LINE 195] UID=UP1952PC240 | family_rows=1 | sources_rows=3
[LINE 196] UID=UP1952PC243 | family_rows=1 | sources_rows=4
[LINE 197] UID=UP1952PC243 | family_rows=1 | sources_rows=4
[LINE 198] UID=KA1952PC339 | family_rows=1 | sources_rows=4
[LINE 199] UID=BR1952PC48 | family_rows=1 | sources_rows=3
[LINE 200] UID=BR1952PC47 | family_rows=1 | sources_rows=4
[LINE 201] UID=PB1952PC198 | family_rows=1 | sources_rows=4
[LINE 202] UID=WB1952PC291 | family_rows=1 | sources_rows=5
[LINE 203] UID=MP1952PC104 | family_rows=1 | sources_rows=4
[LINE 204] UID=PB1952PC203 | family_rows=1 | sources_rows=4
[LINE 205] UID=PB1952PC203 | family_rows=1 | sources_rows=4
[LINE 206] UID=WB1952PC289 | family_rows=1 | sources_rows=3
[LINE 207] UID=TG1952PC303 | family_rows=1 | sources_rows=4
[LINE 208] UID=TG1952PC304 | family_rows=1 | sources_rows=3
[LINE 209] UID=MP1952PC326 | family_rows=1 | sources_rows=3
