#,AC Name,AC No.,Type,Winning Candidate,Party,Total Electors,Total Votes,Poll%,Margin,Margin %
137,Matar,137,GEN,Rakesh Rao Advocate,Bharatiya Janta Party,160961,109883,68.3 %,10018,9.1%
138,Borsad,138,GEN,Solanki Bharatbhai Madhavsinh,Indian National Congress,167707,115234,68.7 %,19325,16.8%
139,Bhadran,139,GEN,Parmar Rajendrasinh Dhirsinh,Indian National Congress,171861,113066,65.8 %,20009,17.7%
140,Cambay,140,GEN,Shukal Shirishkumar Madhusudan,Bharatiya Janta Party,163778,107469,65.6 %,10402,9.7%
141,Chhota Udaipur,141,ST,Rathwa Shankarbhai Vichhiyabhai,Bharatiya Janta Party,172425,104126,60.4 %,29023,27.9%
142,Jetpur,142,GEN,Baria Vechatbhai Hamirbhai,Bharatiya Janta Party,149906,101917,68.0 %,15498,15.2%
143,Nasvadi,143,ST,Bhil Kantibhai Trikambhai,Bharatiya Janta Party,168214,101826,60.5 %,21604,21.2%
144,Sankheda,144,ST,Tadvi Kantibhai Bhaijibhai,Bharatiya Janta Party,129455,84052,64.9 %,35619,42.4%
145,Dabhoi,145,GEN,Patel Chandrakant Motibhai (Prof. C. M. Patel),Bharatiya Janta Party,130491,91169,69.9 %,16747,18.4%
146,Savli,146,GEN,Upendrasinhji Pratapsinhji Gohil (Bapu),Bharatiya Janta Party,166208,115004,69.2 %,16553,14.4%
147,Baroda City,147,GEN,Bhupendra Lakhawala,Bharatiya Janta Party,247701,151687,61.2 %,46076,30.4%
148,Sayajiganj,148,GEN,Jitendra Sukhadia,Bharatiya Janta Party,447257,259446,58.0 %,107630,41.5%
149,Raopura,149,GEN,Yogesh Patel,Bharatiya Janta Party,220876,127172,57.6 %,64554,50.8%
150,Vaghodia,150,GEN,Madhubhai Shrivastav,Bharatiya Janta Party,162061,104193,64.3 %,31614,30.3%
151,Baroda Rural,151,GEN,Dilubha Chudasama,Bharatiya Janta Party,202936,128258,63.2 %,35204,27.4%
152,Padra,152,GEN,Poonam Parmar (Poonam Ranchhodsinh Parmar),Bharatiya Janta Party,171709,124104,72.3 %,24479,19.7%
153,Karjan,153,SC,Kanodia Nareshkumar Mithalal,Bharatiya Janta Party,158543,118414,74.7 %,28171,23.8%
154,Jambusar,154,GEN,Mori Chhatrasinh Pujabhai,Bharatiya Janta Party,148343,102817,69.3 %,12373,12.0%
155,Vagra,155,GEN,Rashida Iqbal Patel,Indian National Congress,151000,113129,74.9 %,1183,1.0%
156,Broach,156,GEN,Mistry Rameshbhai Narandas,Bharatiya Janta Party,221446,156046,70.5 %,11003,7.1%
157,Ankleshwar,157,GEN,Patel Ishwarsinh Thakorbhai,Bharatiya Janta Party,199783,139801,70.0 %,35835,25.6%
158,Jhagadia,158,ST,Vasava Chhotubhai,Janata Dal (United),152594,105471,69.1 %,15289,14.5%
159,Dediapada,159,ST,Maheshbhai Chhotubhai Vasava,Janata Dal (United),183157,123871,67.6 %,5763,4.7%
160,Rajpipla,160,ST,Vasava Harshadbhai Chunilal,Bharatiya Janta Party,151404,103779,68.5 %,18304,17.6%
161,Nijhar,161,ST,Vasava Pareshbhai Govindbhai,Indian National Congress,175422,113281,64.6 %,16463,14.5%
162,Mangrol,162,ST,Vasava Ganpatbhai Vestabhai,Bharatiya Janta Party,164382,112181,68.2 %,9584,8.5%
163,Songadh,163,ST,Vasava Nagarbhai Diveliyabhai,Indian National Congress,153662,99317,64.6 %,21470,21.6%
164,Vyara,164,ST,Chaudhary Tusharbhai Amarsinhbhai,Indian National Congress,166335,109440,65.8 %,28396,25.9%
165,Mahuva,165,ST,Dhodiya Mohanbhai Dhanjibhai,Bharatiya Janta Party,160849,95938,59.6 %,7646,8.0%
166,Bardoli,166,ST,Anilkumar Mohanbhai Patel (Rathod),Indian National Congress,165631,103570,62.5 %,450,0.4%
167,Kamrej,167,ST,Rathod Pravinbhai Chhaganbhai,Bharatiya Janta Party,149399,97054,65.0 %,3892,4.0%
168,Olpad,168,GEN,Patel Dhansukhbhai Nathubhai,Bharatiya Janta Party,350553,167679,47.8 %,4117,2.5%
169,Surat City North,169,GEN,Gejera Dhirubhai Haribhai,Bharatiya Janta Party,199248,104000,52.2 %,12518,12.0%
170,Surat City East,170,GEN,Gilitwala Manish Natvarlal,Indian National Congress,137257,66813,48.7 %,1952,2.9%
171,Surat City West,171,GEN,Chapatwala Bhavnaben Hemantbhai,Bharatiya Janta Party,258472,99909,38.7 %,29060,29.1%
172,Chorasi,172,GEN,Narottambhai Patel,Bharatiya Janta Party,957660,341617,35.7 %,110706,32.4%
173,Jalalpore,173,GEN,R. C. Patel,Bharatiya Janta Party,173090,108189,62.5 %,4053,3.7%
174,Navsari,174,ST,Patel Mangubhai Chhaganbhai,Bharatiya Janta Party,183943,111900,60.8 %,3838,3.4%
175,Gandevi,175,GEN,Karsanbhai Bhikhabhai Patel,Bharatiya Janta Party,166465,108902,65.4 %,17152,15.7%
176,Chikhli,176,ST,Bhartiben Nardevbhai Patel,Indian National Congress,171411,114915,67.0 %,12168,10.6%
177,Dangs-Bansda,177,ST,Bhoye Madhubhai Jeliyabhai,Indian National Congress,175681,98228,55.9 %,10147,10.3%
178,Bulsar,178,GEN,Desai Dolatrai Nathubhai,Bharatiya Janta Party,201883,118686,58.8 %,6063,5.1%
179,Dharampur,179,ST,Kishanbhai Vestabhai Patel,Indian National Congress,171472,116571,68.0 %,23397,20.1%
180,Mota Pondha,180,ST,Chaudhari Jitubhai Harjibhai,Indian National Congress,185022,121547,65.7 %,25350,20.9%
181,Pardi,181,ST,Patel Laxmanbhai Babubhai,Indian National Congress,171203,102768,60.0 %,1699,1.7%
182,Umbergaon,182,ST,Shankarbhai Manglabhai Varli,Indian National Congress,214709,119834,55.8 %,73,0.1%
