AC Name,AC No.,Type,Winning Candidate,Party,Total Electors,Total Votes,Poll%,Margin,Margin %
Bani,63,GEN,Lal Chand,Bharatiya Janta Party,37476,27903,74.5 %,2249,8.1%
Basohli,64,GEN,Jagdish Raj Sapolia,Bharatiya Janta Party,68074,47235,69.4 %,2881,6.1%
Kathua,65,GEN,Charanjit Singh,Independent,110188,74070,67.2 %,2362,3.2%
Billawar,66,GEN,Manohar Lal Sharma,Indian National Congress,87147,62215,71.4 %,8383,13.5%
Hiranagar,67,SC,Durga Dass,Bharatiya Janta Party,100032,64680,64.7 %,2737,4.2%
Samba,68,SC,Yash Paul Kundal,J & K National Panthers Party,74325,53899,72.5 %,1989,3.7%
Vijaypur,69,GEN,Surjit Singh,Jammu & Kashmir National Conference,100742,77515,76.9 %,1212,1.6%
Nagrota,70,GEN,Jugal Kishore,Bharatiya Janta Party,61715,48958,79.3 %,1620,3.3%
Gandhinagar,71,GEN,Raman Bhalla,Indian National Congress,143629,92138,64.1 %,2263,2.5%
Jammu East,72,GEN,Ashok Kumar Khajuria,Bharatiya Janta Party,51660,31364,60.7 %,10427,33.2%
Jammu West,73,GEN,Prof Chaman Lal Gupta,Bharatiya Janta Party,139965,85176,60.9 %,13037,15.3%
Bishnah,74,GEN,Ashwani Kumar Sharma,Independent,82719,62372,75.4 %,446,0.7%
R.S. Pura,75,SC,Prof Gharu Ram Bhagat,Bharatiya Janta Party,71752,54932,76.6 %,1630,3.0%
Suchetgarh,76,GEN,Sham Lal Choudhary,Bharatiya Janta Party,57246,45682,79.8 %,7592,16.6%
Marh,77,GEN,Sukh Nandan Kumar,Bharatiya Janta Party,63943,52417,82.0 %,6581,12.6%
Raipur Domana,78,SC,Bharat Bhushan,Bharatiya Janta Party,85094,60036,70.6 %,12269,20.4%
Akhnoor,79,GEN,Sham Lal Sharma,Indian National Congress,82673,65872,79.7 %,13884,21.1%
Chhamb,80,SC,Tara Chand,Indian National Congress,66545,52140,78.4 %,2395,4.6%
Nowshera,81,GEN,Radhay Sham Sharma,Jammu & Kashmir National Conference,85423,62365,73.0 %,3820,6.1%
Darhal,82,GEN,Zulfkar Ali,Jammu & Kashmir Peoples Democratic Party,87839,67952,77.4 %,4541,6.7%
Rajauri,83,GEN,Shabbir Ahmed Khan,Indian National Congress,104783,73469,70.1 %,333,0.5%
Kalakote,84,GEN,Rachhpal Singh,Jammu & Kashmir National Conference,75533,55494,73.5 %,11420,20.6%
Surankote,85,GEN,Mohd. Aslam,Indian National Congress,84829,63553,74.9 %,2051,3.2%
Mendhar,86,GEN,Sardar Rafiq Hussain Khan,Jammu & Kashmir Peoples Democratic Party,78302,60958,77.8 %,742,1.2%
Poonch Haveli,87,GEN,Ajaz Ahmed Jan,Jammu & Kashmir National Conference,96028,71415,74.4 %,9933,13.9%
