AC Name,AC No.,Type,District,Winning Candidate,Party,Total Electors,Total Votes,Poll%,Margin,Margin %
Pindra,384,GEN,Varanasi,Avadhesh Singh,Bharatiya Janta Party,342525,201486,58.8 %,36849,18.3%
Ajagara,385,SC,Varanasi,Kailash Nath Sonkar,Suheldev Bhartiya Samaj Party,336868,217508,64.6 %,21349,9.8%
Shivpur,386,GEN,Varanasi,Anil Rajbhar,Bharatiya Janta Party,341279,227074,66.5 %,54259,23.9%
Rohaniya,387,GEN,Varanasi,Surendra Narayan Singh,Bharatiya Janta Party,379237,231592,61.1 %,57553,24.9%
Varanasi North,388,GEN,Varanasi,Ravindra Jaiswal,Bharatiya Janta Party,384574,226580,58.9 %,45502,20.1%
Varanasi South,389,GEN,Varanasi,Dr. Neelkanth Tiwari,Bharatiya Janta Party,281274,178380,63.4 %,17226,9.7%
Varanasi Cantt.,390,GEN,Varanasi,Saurabh Srivastava,Bharatiya Janta Party,412297,226842,55.0 %,61326,27.0%
Sevapuri,391,GEN,Varanasi,"Neel Ratan Singh Patel ""neelu""",Apna Dal (Soneylal),318411,204881,64.3 %,49182,24.0%
Bhadohi,392,GEN,S.R.Nagar(Bhadohi),Ravindra Nath Tripathi,Bharatiya Janta Party,415430,238688,57.5 %,1105,0.5%
Gyanpur,393,GEN,S.R.Nagar(Bhadohi),Vijay Mishra,Nirbal Indian Shoshit Hamara Aam Dal,368095,207866,56.5 %,20230,9.7%
Aurai,394,SC,S.R.Nagar(Bhadohi),Dinanath Bhaskar,Bharatiya Janta Party,349021,203546,58.3 %,19779,9.7%
Chhanbey,395,SC,Mirzapur,Rahul Prakash,Apna Dal (Soneylal),357168,211401,59.2 %,63468,30.0%
Mirzapur,396,GEN,Mirzapur,Ratnakar Mishr,Bharatiya Janta Party,385048,223907,58.2 %,57412,25.6%
Majhawan,397,GEN,Mirzapur,Shuchismita Maurya,Bharatiya Janta Party,376678,238514,63.3 %,41159,17.3%
Chunar,398,GEN,Mirzapur,Anurag Singh,Bharatiya Janta Party,335536,214062,63.8 %,62228,29.1%
Marihan,399,GEN,Mirzapur,Rama Shankar Singh,Bharatiya Janta Party,344909,235686,68.3 %,46598,19.8%
Ghorawal,400,GEN,Sonbhadra,Anil Kumar Maurya,Bharatiya Janta Party,366156,233805,63.9 %,57649,24.7%
Robertsganj,401,GEN,Sonbhadra,Bhupesh Chaubey,Bharatiya Janta Party,325187,202275,62.2 %,40538,20.0%
Obra,402,GEN,Sonbhadra,Sanjiv Kumar,Bharatiya Janta Party,307992,158538,51.5 %,44269,27.9%
Duddhi,403,SC,Sonbhadra,Har Iram,Apna Dal (Soneylal),308045,188078,61.1 %,1085,0.6%
