AC Name,AC No.,Type,District,Winning Candidate,Party,Total Electors,Total Votes,Poll%,Margin,Margin %
Sonkatch,170,SC,Dewas,Rajendra Phulchand Verma,Bharatiya Janta Party,199838,156914,78.5 %,1880,1.2%
Dewas,171,GEN,Dewas,Tukojirao Puar,Bharatiya Janta Party,226962,155582,68.5 %,50119,32.2%
Hatpipliya,172,GEN,Dewas,Deepak Kailash Joshi,Bharatiya Janta Party,174964,137806,78.8 %,6175,4.5%
Khategaon,173,GEN,Dewas,Aashish Govind Sharma,Bharatiya Janta Party,188120,145626,77.4 %,21717,14.9%
Bagli,174,ST,Dewas,Champalal Devda,Bharatiya Janta Party,204949,154525,75.4 %,25332,16.4%
Mandhata,175,GEN,East Nimar,Lokendra Singh Tomar,Bharatiya Janta Party,183135,131266,71.7 %,4337,3.3%
Harsud,176,ST,East Nimar,Kuvar Vijay Shah,Bharatiya Janta Party,189287,129453,68.4 %,43571,33.7%
Khandwa,177,SC,East Nimar,Devendra Verma,Bharatiya Janta Party,231074,146855,63.6 %,34071,23.2%
Pandhana,178,ST,East Nimar,Yogita Navalsing Borker (BHABHI),Bharatiya Janta Party,229176,166327,72.6 %,17261,10.4%
Nepanagar,179,ST,Burhanpur,Rajendra Shyamlal Dadu(RAJU BHAIYYA),Bharatiya Janta Party,218638,163568,74.8 %,22178,13.6%
Burhanpur,180,GEN,Burhanpur,Archna Chitnis Didi,Bharatiya Janta Party,264965,193633,73.1 %,22827,11.8%
Bhikangaon,181,ST,West Nimar,Jhuma Solanki,Indian National Congress,203176,148338,73.0 %,2399,1.6%
Badwaha,182,GEN,West Nimar,Hitendra Sinh Dhyan Sinh Solanki,Bharatiya Janta Party,194774,151384,77.7 %,5630,3.7%
Maheshwar,183,SC,West Nimar,Mev Rajkumar,Bharatiya Janta Party,194017,152258,78.5 %,4727,3.1%
Kasrawad,184,GEN,West Nimar,Sachin Subhashchandra Yadav,Indian National Congress,194900,155116,79.6 %,11805,7.6%
Khargone,185,GEN,West Nimar,Balkrishan Patidar,Bharatiya Janta Party,202103,151811,75.1 %,6825,4.5%
Bhagwanpura,186,ST,West Nimar,Vijay Singh,Indian National Congress,210706,147280,69.9 %,1820,1.2%
Sendhwa (S.T.),187,ST,Barwani,Antarsingh Raoji Arya,Bharatiya Janta Party,230316,158610,68.9 %,25686,16.2%
Rajpur (S.T.),188,ST,Barwani,Bala Bachchan,Indian National Congress,215157,163139,75.8 %,11196,6.9%
Pansemal (S.T.),189,ST,Barwani,Diwansingh Vithal Patel,Bharatiya Janta Party,209989,148456,70.7 %,7382,5.0%
Barwani (S.T.),190,ST,Barwani,Ramesh Patel,Indian National Congress,225419,160981,71.4 %,10527,6.5%
Alirajpur,191,ST,Jhabua,Chouhan Nagarsingh,Bharatiya Janta Party,207193,127608,61.6 %,17369,13.6%
Jobat,192,ST,Jhabua,Madhosingh Dawar,Bharatiya Janta Party,242214,113117,46.7 %,11051,9.8%
Jhabua,193,ST,Jhabua,Shantilal Bilwal,Bharatiya Janta Party,241582,130281,53.9 %,15858,12.2%
