AC Name,AC No.,Type,Winning Candidate,Party,Total Electors,Total Votes,Poll%,Margin,Margin %
Agar,169,SC,Rekha Ratnakar,Bharatiya Janta Party,160102,110573,69.1 %,24916,22.5%
Susner,170,GEN,Phoolchand Vaidia,Bharatiya Janta Party,145332,108111,74.4 %,21100,19.5%
Tarana,171,SC,"Tarachand Goyal ""mechanic""",Bharatiya Janta Party,139121,100683,72.4 %,12999,12.9%
Mahidpur,172,GEN,Bahadur Singh,Bharatiya Janta Party,133891,95823,71.6 %,18717,19.5%
Khachrod,173,GEN,Dileep Singh Gurjar,Independent,173013,123492,71.4 %,14429,11.7%
Badnagar,174,GEN,Shantilal Dhabai,Bharatiya Janta Party,150680,113118,75.1 %,20407,18.0%
Ghatiya,175,SC,Dr. Narayan Parmar,Bharatiya Janta Party,162562,110630,68.1 %,9313,8.4%
Ujjain North,176,GEN,Paras Jain,Bharatiya Janta Party,146808,92831,63.2 %,16537,17.8%
Ujjain South,177,GEN,Shivnarayan Jagirdar,Bharatiya Janta Party,185430,114852,61.9 %,28544,24.9%
Depalpur,178,GEN,Manoj Nirbhay Singh Patel,Bharatiya Janta Party,174425,128963,73.9 %,6920,5.4%
Mhow,179,GEN,Antar Singh Darbar,Indian National Congress,160281,118446,73.9 %,3199,2.7%
Indore-I,180,GEN,Miss Usha Thakur,Bharatiya Janta Party,230252,146458,63.6 %,27460,18.7%
Indore-Ii,181,GEN,Kailash Vijayvargiya,Bharatiya Janta Party,217952,144353,66.2 %,35911,24.9%
Indore-Iii,182,GEN,Ashwin Joshi,Indian National Congress,76187,54701,71.8 %,4962,9.1%
Indore-Iv,183,GEN,Laxman Singh Gaur,Bharatiya Janta Party,266545,173947,65.3 %,45625,26.2%
Indore-V,184,GEN,Mahendra Hordiya,Bharatiya Janta Party,328652,211266,64.3 %,22998,10.9%
Sawer,185,SC,Prakash Sonkar,Bharatiya Janta Party,171956,120388,70.0 %,19637,16.3%
Dewas,186,GEN,Tukoji Rao Puar,Bharatiya Janta Party,214981,142609,66.3 %,22119,15.5%
Sonkatch,187,SC,Sajjan Singh Verma,Indian National Congress,142073,108623,76.5 %,5389,5.0%
Hatpipalya,188,GEN,Baghel Rajendra Singh,Indian National Congress,146729,106379,72.5 %,2054,1.9%
Bagli,189,GEN,Deepak Kailash Joshi,Bharatiya Janta Party,161162,110286,68.4 %,17574,15.9%
Khategaon,190,GEN,Brij Mohan Das Dhoot,Bharatiya Janta Party,146256,103852,71.0 %,1860,1.8%
Harsud,191,ST,Kunwar Vijay Shah,Bharatiya Janta Party,146984,99125,67.4 %,14272,14.4%
Nimarkhedi,192,GEN,Rajnarayan Singh Purin,Indian National Congress,150800,103903,68.9 %,4561,4.4%
Pandhana,193,SC,Kishorilal Varma,Bharatiya Janta Party,149922,104798,69.9 %,16820,16.0%
Khandwa,194,GEN,Hukumchand Yadav,Bharatiya Janta Party,150128,103240,68.8 %,24682,23.9%
Nepanagar,195,GEN,Archana Didi,Bharatiya Janta Party,148769,100354,67.5 %,24802,24.7%
Shahpur,196,GEN,Ravindra Suka Mahajan,Indian National Congress,139601,102284,73.3 %,4256,4.2%
Burhanpur,197,GEN,Hamid Kaji,Nationalist Congress Party,154774,111234,71.9 %,4213,3.8%
Bhikangaon,198,ST,Dhulsingh,Bharatiya Janta Party,151688,89042,58.7 %,8828,9.9%
Barwaha,199,GEN,Hitendra Singh Dhyan Singh Solanki,Bharatiya Janta Party,157982,117629,74.5 %,12827,10.9%
Maheshwar,200,SC,Bhupendra Arya,Bharatiya Janta Party,156787,116521,74.3 %,8348,7.2%
Kasrawad,201,GEN,Subhash Yadav,Indian National Congress,165347,123083,74.4 %,15727,12.8%
Khargone,202,GEN,Babulal Mahajan,Bharatiya Janta Party,168581,113682,67.4 %,7300,6.4%
Dhulkot,203,ST,Dalsingh Ramsingh Solanki,Bharatiya Janta Party,144106,93508,64.9 %,1062,1.1%
Sendhwa,204,ST,Antarsingh Arya,Bharatiya Janta Party,166642,112484,67.5 %,32115,28.6%
Anjad,205,ST,Devisingh Patel,Bharatiya Janta Party,135315,99103,73.2 %,6923,7.0%
Rajpur,206,ST,Diwansingh Patel,Bharatiya Janta Party,157861,119711,75.8 %,30001,25.1%
Barwani,207,ST,Premsingh Patel,Bharatiya Janta Party,153178,108236,70.7 %,17844,16.5%
Manawar,208,ST,Ranjana Baghel,Bharatiya Janta Party,144580,95926,66.3 %,11021,11.5%
Dharampuri,209,ST,Jagdish Muwel,Bharatiya Janta Party,163992,112749,68.8 %,18596,16.5%
Dhar,210,GEN,Jaswant Singh Rathore (Advocate),Bharatiya Janta Party,225377,144689,64.2 %,29851,20.6%
Badnawar,211,GEN,Rajvardhan Singh Dattigaon,Indian National Congress,156254,115724,74.1 %,7565,6.5%
Sardarpur,212,ST,Mukam Singh Nigwal,Bharatiya Janta Party,175085,99055,56.6 %,6493,6.6%
Kukshi,213,ST,Jamuna Devi,Indian National Congress,156744,103643,66.1 %,16904,16.3%
Alirajpur,214,ST,Nagar Singh,Bharatiya Janta Party,149471,82362,55.1 %,17897,21.7%
Jobat,215,ST,Madho Singh,Bharatiya Janta Party,162366,76116,46.9 %,11335,14.9%
