#,AC Name,AC No.,Type,District,Winning Candidate,Party,Total Electors,Total Votes,Poll%,Margin,Margin %
1,Bharatpur-Sonhat,1,ST,Koriya,Champa Devi Pawle,Bharatiya Janta Party,145019,114957,79.3 %,4608,4.0%
2,Manendragarh,2,GEN,Koriya,Shyam Bihari Jaiswal,Bharatiya Janta Party,125551,88271,70.3 %,4178,4.7%
3,Baikunthpur,3,GEN,Koriya,Bhaiyalal Rajwade,Bharatiya Janta Party,144656,112162,77.5 %,1069,1.0%
4,Premnagar,4,GEN,Surguja,Khelsai Singh,Indian National Congress,194678,154326,79.3 %,18327,11.9%
5,Bhatgaon,5,GEN,Surguja,Paras Nath Rajwade,Indian National Congress,200492,157623,78.6 %,7368,4.7%
6,Pratappur,6,ST,Surguja,Ramsevak Paikra,Bharatiya Janta Party,189536,153578,81.0 %,8143,5.3%
7,Ramanujganj,7,ST,Surguja,Brihaspat Singh,Indian National Congress,174696,146403,83.8 %,11592,7.9%
8,Samri,8,ST,Surguja,Dr. Preetam Ram,Indian National Congress,185699,149071,80.3 %,31823,21.3%
9,Lundra,9,ST,Surguja,Chintamani Maharaj,Indian National Congress,163263,134374,82.3 %,9946,7.4%
10,Ambikapur,10,GEN,Surguja,T.S.Baba,Indian National Congress,201649,159646,79.2 %,19558,12.3%
11,Sitapur,11,ST,Surguja,Amarjeet Bhagat,Indian National Congress,170069,135546,79.7 %,17855,13.2%
12,Jashpur,12,ST,Jashpur,Rajsharan Bhagat,Bharatiya Janta Party,198479,151549,76.4 %,34349,22.7%
13,Kunkuri,13,ST,Jashpur,Rohit Kumar Sai,Bharatiya Janta Party,178320,137421,77.1 %,28866,21.0%
14,Pathalgaon,14,ST,Jashpur,Shivshankar Painkra,Bharatiya Janta Party,195872,154617,78.9 %,3909,2.5%
15,Lailunga,15,ST,Raigarh,Suniti Satyanand Rathia,Bharatiya Janta Party,175950,148388,84.3 %,14201,9.6%
16,Raigarh,16,GEN,Raigarh,Roshan Lal,Bharatiya Janta Party,220940,171369,77.6 %,20592,12.0%
17,Sarangarh,17,SC,Raigarh,Kerabai Manhar,Bharatiya Janta Party,223852,180653,80.7 %,15844,8.8%
18,Kharsia,18,GEN,Raigarh,Umesh Patel,Indian National Congress,184740,157280,85.1 %,38888,24.7%
19,Dharamjaigarh,19,ST,Raigarh,Laljeet Singh Rathia,Indian National Congress,179172,151585,84.6 %,19988,13.2%
20,Rampur,20,ST,Korba,Shyam Lal Kanwar,Indian National Congress,186772,151931,81.3 %,9915,6.5%
21,Korba,21,GEN,Korba,Jai Singh Agrawal (JAI SINGH BHAIYYA),Indian National Congress,209200,143113,68.4 %,14449,10.1%
22,Katghora,22,GEN,Korba,Lakhan Dewangan,Bharatiya Janta Party,184008,134471,73.1 %,13130,9.8%
23,Pali-Tanakhar,23,ST,Korba,Uike Ramdayal,Indian National Congress,197369,152246,77.1 %,28813,18.9%
24,Marwahi,24,ST,Bilaspur,Amit Ajit Jogi,Indian National Congress,167602,133878,79.9 %,46250,34.5%
25,Kota,25,GEN,Bilaspur,Dr. Renu Jogi,Indian National Congress,178388,137423,77.0 %,5089,3.7%
26,Lormi,26,GEN,Bilaspur,Tokhan Sahu,Bharatiya Janta Party,177163,130097,73.4 %,6241,4.8%
27,Mungeli,27,SC,Bilaspur,Punnulal Mohle,Bharatiya Janta Party,205132,141726,69.1 %,2745,1.9%
28,Takhatpur,28,GEN,Bilaspur,Raju Singh Kshatri,Bharatiya Janta Party,183558,140892,76.8 %,608,0.4%
29,Bilha,29,GEN,Bilaspur,Siyaram Kaushik,Indian National Congress,229915,174888,76.1 %,10968,6.3%
30,Bilaspur,30,GEN,Bilaspur,Amar Agrawal,Bharatiya Janta Party,222901,132105,59.3 %,15599,11.8%
31,Beltara,31,GEN,Bilaspur,Badridhar Diwan,Bharatiya Janta Party,180132,124462,69.1 %,5728,4.6%
