#,AC Name,AC No.,Type,District,Winning Candidate,Party,Total Electors,Total Votes,Poll%,Margin,Margin %
215,Chilakaluripet,215,GEN,Guntur,Prathipati Pulla Rao,Telugu Desam,189173,154919,81.9 %,19813,12.8%
216,Narasaraopet,216,GEN,Guntur,Kasu Venkata Krishna Reddy,Indian National Congress,171898,135399,78.8 %,5971,4.4%
217,Sattenapalle,217,GEN,Guntur,Yarram Venkateswarareddy,Indian National Congress,190005,148942,78.4 %,7147,4.8%
218,Vinukonda,218,GEN,Guntur,Gonuguntla Venkata Seeta Rama Anjaneyulu,Telugu Desam,212950,173653,81.5 %,24103,13.9%
219,Gurajala,219,GEN,Guntur,Yarapathineni Srinivasa Rao,Telugu Desam,212059,165849,78.2 %,10021,6.0%
220,Macherla,220,GEN,Guntur,Rama Krishna Reddy Pinnelli,Indian National Congress,201861,152057,75.3 %,9785,6.4%
221,Yerragondapalem,221,SC,Prakasam,Audimulapu Suresh,Indian National Congress,180754,133955,74.1 %,13194,9.8%
222,Darsi,222,GEN,Prakasam,Buchepalli Siva Prasada Reddy,Indian National Congress,178980,154634,86.4 %,13390,8.7%
223,Parchur,223,GEN,Prakasam,Daggubati Venkateshwara Rao,Indian National Congress,214194,170157,79.4 %,2960,1.7%
224,Addanki,224,GEN,Prakasam,Gottipati Ravi Kumar,Indian National Congress,204732,173548,84.8 %,15764,9.1%
225,Chirala,225,GEN,Prakasam,Amanchi Krishna Mohan,Indian National Congress,163795,129774,79.2 %,11286,8.7%
226,Santhanuthalapadu,226,SC,Prakasam,B. N. Vijaya Kumar,Indian National Congress,199413,145280,72.9 %,9531,6.6%
227,Ongole,227,GEN,Prakasam,Balineni Srinivasa Reddy (Vasu),Indian National Congress,234265,156530,66.8 %,22986,14.7%
228,Kandukur,228,GEN,Prakasam,Maheedhar Reddy Manugunta,Indian National Congress,185120,154685,83.6 %,4243,2.7%
229,Kondapi,229,SC,Prakasam,Gurrala Venkataseshu,Indian National Congress,201898,154818,76.7 %,5164,3.3%
230,Markapuram,230,GEN,Prakasam,Kandula Narayana Reddy,Telugu Desam,185743,142615,76.8 %,9054,6.3%
231,Giddalur,231,GEN,Prakasam,Anna Rambabu,Praja Rajyam Party,199046,148382,74.5 %,7546,5.1%
232,Kanigiri,232,GEN,Prakasam,Ugra Narasimha Reddy Mukku,Indian National Congress,194872,131593,67.5 %,2935,2.2%
233,Kavali,233,GEN,Nellore,Beeda Masthan Rao,Telugu Desam,218392,154795,70.9 %,19027,12.3%
234,Atmakur,234,GEN,Nellore,Anam Rama Narayana Reddy,Indian National Congress,189820,148235,78.1 %,18644,12.6%
235,Kovur,235,GEN,Nellore,Nallapareddy Prasanna Kumar Reddy,Telugu Desam,227130,169090,74.4 %,7444,4.4%
236,Nellore City,236,GEN,Nellore,Mungamuru Sridhar Krishna Reddy,Praja Rajyam Party,199788,106457,53.3 %,90,0.1%
237,Nellore Rural,237,GEN,Nellore,Anam Vivekananda Reddy,Indian National Congress,226906,124393,54.8 %,3131,2.5%
238,Sarvepalli,238,GEN,Nellore,Adala Prabhakara Reddy,Indian National Congress,195412,155941,79.8 %,10284,6.6%
239,Gudur,239,SC,Nellore,Durga Prasad Rao Balli,Telugu Desam,210676,152885,72.6 %,11238,7.4%
240,Sullurpeta,240,SC,Nellore,Dr.Parasa Venkata Rathnaiah,Telugu Desam,212160,159916,75.4 %,5367,3.4%
241,Venkatagiri,241,GEN,Nellore,Kurugondla Rama Krishna,Telugu Desam,208348,159924,76.8 %,6766,4.2%
242,Udayagiri,242,GEN,Nellore,Mekapati Chandra Sekhar Reddy,Indian National Congress,203782,147883,72.6 %,13482,9.1%
243,Badvel,243,SC,Ysr,Kamalamma P. M.,Indian National Congress,184931,135164,73.1 %,36594,27.1%
244,Rajampet,244,GEN,Ysr,Amaranath Reddy Akepati,Indian National Congress,185475,138346,74.6 %,12342,8.9%
245,Kadapa,245,GEN,Ysr,Ahamadullah Mohammad Syed,Indian National Congress,227880,136676,60.0 %,7350,5.4%
246,Kodur,246,SC,Ysr,Koramutla Srinivasulu,Indian National Congress,158139,117703,74.4 %,12388,10.5%
247,Rayachoti,247,GEN,Ysr,Gadikota Srikanth Reddy,Indian National Congress,186579,143214,76.8 %,14832,10.4%
248,Pulivendla,248,GEN,Ysr,Y. S. Raja Sekhar Reddy,Indian National Congress,186446,146717,78.7 %,68681,46.8%
249,Kamalapuram,249,GEN,Ysr,Gandluru Veera Siva Reddy,Indian National Congress,159975,135086,84.4 %,4163,3.1%
