AC Name,AC No.,Type,District,Winning Candidate,Party,Total Electors,Total Votes,Poll%,Margin,Margin %
Pachhad,55,SC,Sirmaur,Suresh Kumar,Bharatiya Janta Party,62697,50113,79.9 %,2625,5.2%
Nahan,56,GEN,Sirmaur,Rajeev Bindal,Bharatiya Janta Party,67890,53389,78.6 %,12824,24.0%
Sri Renukaji,57,SC,Sirmaur,Vinay Kumar,Indian National Congress,58325,44324,76.0 %,655,1.5%
Paonta Sahib,58,GEN,Sirmaur,Kirnesh Jung,Independent,65674,53844,82.0 %,790,1.5%
Shillai,59,GEN,Sirmaur,Baldev Singh Tomar,Bharatiya Janta Party,57549,47544,82.6 %,1918,4.0%
Chopal,60,GEN,Shimla,Balbir Singh Verma,Independent,65811,49721,75.6 %,647,1.3%
Theog,61,GEN,Shimla,Vidya,Indian National Congress,74060,55386,74.8 %,4276,7.7%
Kasumpti,62,GEN,Shimla,Anirudh Singh,Indian National Congress,59938,36165,60.3 %,9886,27.3%
Shimla,63,GEN,Shimla,Suresh Bhardwaj,Bharatiya Janta Party,54905,32486,59.2 %,628,1.9%
Shimla Rural,64,GEN,Shimla,Virbhadra Singh,Indian National Congress,68326,40423,59.2 %,20000,49.5%
Jubbal-Kotkhai,65,GEN,Shimla,Rohit Thakur,Indian National Congress,64121,50658,79.0 %,9095,18.0%
Rampur,66,SC,Shimla,Nand Lal,Indian National Congress,66819,49450,74.0 %,9471,19.2%
Rohru,67,SC,Shimla,Mohan Lal Brakta,Indian National Congress,65029,44737,68.8 %,28415,63.5%
Kinnaur,68,ST,Kinnaur,Jagat Singh Negi,Indian National Congress,51850,38313,73.9 %,6288,16.4%
