#,AC Name,AC No.,Type,Winning Candidate,Party,Total Electors,Total Votes,Poll%,Margin,Margin %
278,Madhira,278,GEN,Kondabala Koteswara Rao,Telugu Desam,178743,142259,79.6 %,5001,3.5%
279,Palair,279,SC,Chandra Sekhar Sambhani,Indian National Congress,172837,135969,78.7 %,11258,8.3%
280,Khammam,280,GEN,Younis Sultan,Indian National Congress,201717,143888,71.3 %,6787,4.7%
281,Shujatnagar,281,GEN,Ramreddy Venkatareddy,Indian National Congress,155074,125927,81.2 %,7796,6.2%
282,Yellandu,282,ST,Narsaiah Gummadi,Independent,157555,121065,76.8 %,19287,15.9%
283,Tungaturthi,283,GEN,Sankineni Venkateswar Rao,Telugu Desam,144807,117318,81.0 %,4999,4.3%
284,Suryapet,284,SC,Dosapati Gopal,Indian National Congress,169589,125259,73.9 %,9105,7.3%
285,Kodad,285,GEN,Uttam Kumar Reddy Nalamada,Indian National Congress,181947,146709,80.6 %,7309,5.0%
286,Miryalguda,286,GEN,Repala Srinivas,Indian National Congress,225890,172377,76.3 %,7464,4.3%
287,Chalakurthi,287,GEN,Kunduru Jana Reddy,Indian National Congress,173116,131436,75.9 %,20644,15.7%
288,Nakrekal,288,GEN,Nomula Narsimhaiah,Communist Party Of India (MARXIST),149879,118943,79.4 %,5115,4.3%
289,Nalgonda,289,GEN,Komatireddy Venkat Reddy,Indian National Congress,191597,135790,70.9 %,4440,3.3%
290,Ramannapet,290,GEN,Uppunuthula Purushotham Reddy,Indian National Congress,161001,119769,74.4 %,12503,10.4%
291,Alair,291,SC,Mothukupalli Narsimhulu,Indian National Congress,150435,114983,76.4 %,7617,6.6%
292,Bhongir,292,GEN,Alimineti Madhava Reddy,Telugu Desam,175775,136602,77.7 %,8369,6.1%
293,Mungode,293,GEN,Govardhan Reddy Palvai,Indian National Congress,159933,116734,73.0 %,4039,3.5%
294,Deverkonda,294,ST,Raghya Naik Dheeravath,Indian National Congress,165088,119164,72.2 %,387,0.3%
