AC Name,AC No.,Type,Winning Candidate,Party,Total Electors,Total Votes,Poll%,Margin,Margin %
Govindpura,238,GEN,Babulal Gaur,Bharatiya Janta Party,110086,61660,56.0 %,6921,11.2%
Bhopal South,239,GEN,Hasnat Siddiqui,Bharatiya Janta Party,149312,68997,46.2 %,2703,3.9%
Bhopal North,240,GEN,Rasul Ahmad Siddiqui,Indian National Congress,108739,56748,52.2 %,14071,24.8%
Berasia,241,GEN,Laxmi Narayan Sharma,Bharatiya Janta Party,96255,55980,58.2 %,899,1.6%
Sanchi,242,SC,Prabhuram Choudhri,Indian National Congress,95449,43427,45.5 %,3635,8.4%
Udaipura,243,GEN,Vimla Sharma,Indian National Congress,93878,48910,52.1 %,16086,32.9%
Bareli,244,GEN,Jaswant Singh,Indian National Congress,89491,56267,62.9 %,25797,45.8%
Bhojpur,245,GEN,Sunder Lal Patwa,Bharatiya Janta Party,97031,63282,65.2 %,7627,12.1%
Kurwai,246,SC,Shyamlal Shankarlal,Bharatiya Janta Party,76144,35451,46.6 %,1894,5.3%
Basoda,247,GEN,Veersingh Raghuvanshi,Indian National Congress,94567,59034,62.4 %,6934,11.7%
Vidisha,248,GEN,Moharsingh Thakur,Bharatiya Janta Party,103498,55583,53.7 %,5936,10.7%
Shamshabad,249,GEN,Mertab Singh,Indian National Congress,89339,47802,53.5 %,3942,8.2%
Sironj,250,GEN,Goverdhan Upadhyay,Indian National Congress,83215,44735,53.8 %,10058,22.5%
Biaora,251,GEN,Vijay Singh,Indian National Congress,82457,35899,43.5 %,7621,21.2%
Narsingarh,252,GEN,Rajya Vardhan Singh,Indian National Congress,96409,50690,52.6 %,20368,40.2%
Sarangpur,253,SC,Hajarilal,Indian National Congress,92043,42311,46.0 %,4167,9.8%
Rajgarh,254,GEN,Gulabsingh Sustani,Indian National Congress,96761,43823,45.3 %,9261,21.1%
Khilchipur,255,GEN,Kanhaiyalal Dangi,Indian National Congress,103630,52254,50.4 %,1812,3.5%
Shujalpur,256,GEN,Vidyadhar Joshi,Indian National Congress,104315,69781,66.9 %,1999,2.9%
Gulana,257,GEN,Laxman Singh Dodiya,Indian National Congress,92970,61619,66.3 %,1195,1.9%
Shajapur,258,GEN,Purushottam,Bharatiya Janta Party,108709,67847,62.4 %,6428,9.5%
Agar,259,SC,Shakuntala Bai Chouhan,Indian National Congress,97032,52930,54.5 %,726,1.4%
Susner,260,GEN,Hari Bhau Joshi,Bharatiya Janta Party,88671,58491,66.0 %,2503,4.3%
Tarana,261,SC,Durgadas Suryavanshi,Indian National Congress,87626,50420,57.5 %,3420,6.8%
Mahidpur,262,GEN,Nathulal Sisodiya,Bharatiya Janta Party,78674,44834,57.0 %,5153,11.5%
Khachrod,263,GEN,Ranchhodlal Aanjna,Indian National Congress,104653,64021,61.2 %,3828,6.0%
Badnagar,264,GEN,Abhaysingh,Indian National Congress,91481,55550,60.7 %,2774,5.0%
Ghatiya,265,SC,Avantika Prasad Marmat,Indian National Congress,90966,44791,49.2 %,8270,18.5%
Ujjain North,266,GEN,Batuk Shanker Joshi,Indian National Congress,102503,56441,55.1 %,8852,15.7%
Ujjain South,267,GEN,Mahavir Prasad Vashisth,Indian National Congress,98899,58100,58.7 %,8081,13.9%
Depalpur,268,GEN,Rameshwar Patel,Indian National Congress,94084,61549,65.4 %,15634,25.4%
Mhow,269,GEN,Bherulal Patidar,Bharatiya Janta Party,92763,48231,52.0 %,1861,3.9%
Indore-I,270,GEN,Lalit Jain,Indian National Congress,107311,51315,47.8 %,7860,15.3%
Indore-Ii,271,GEN,Kanhaiyalal Yadav,Indian National Congress,125999,67134,53.3 %,3414,5.1%
Indore-Iii,272,GEN,Mahesh Joshi,Indian National Congress,81974,43701,53.3 %,5103,11.7%
Indore-Iv,273,GEN,Nandlal Mata,Indian National Congress,123018,59278,48.2 %,3851,6.5%
Indore-V,274,GEN,Suresh Seth,Independent,137647,65214,47.4 %,418,0.6%
Sawer,275,SC,Tulsi Silawat,Indian National Congress,94993,60486,63.7 %,3544,5.9%
Dewas,276,GEN,Chandra Prabhashekhar,Indian National Congress,105317,65789,62.5 %,5500,8.4%
Sonkatch,277,SC,Sajjan Singh Verma,Indian National Congress,86655,59630,68.8 %,2220,3.7%
Hatpipalya,278,GEN,Rajendrasingh Baghel,Indian National Congress,85925,60892,70.9 %,4719,7.7%
