#,AC Name,AC No.,Type,Winning Candidate,Party,Total Electors,Total Votes,Poll%,Margin,Margin %
1,Nerela,1,GEN,Jaswant Singh,Indian National Congress,192649,109489,56.8 %,835,0.8%
2,Burari,2,GEN,Shri Krishan,Bharatiya Janta Party,190130,106346,55.9 %,4990,4.7%
3,Timarpur,3,GEN,Surinder Pal Singh,Indian National Congress,152679,90613,59.3 %,2413,2.7%
4,Adarsh Nagar,4,GEN,Mangat Ram,Indian National Congress,137472,81275,59.1 %,4512,5.6%
5,Badli,5,GEN,Devender Yadav,Indian National Congress,172342,98381,57.1 %,13604,13.8%
6,Rithala,6,GEN,Kulwant Rana,Bharatiya Janta Party,182957,116044,63.4 %,26346,22.7%
7,Bawana,7,SC,Surender Kumar,Indian National Congress,237949,125270,52.6 %,17142,13.7%
8,Mundka,8,GEN,Manoj Kumar,Bharatiya Janta Party,187628,103329,55.1 %,14897,14.4%
9,Kirari,9,GEN,Anil Jha,Bharatiya Janta Party,158219,91669,57.9 %,9524,10.4%
10,Sultan Pur Majra,10,SC,Jai Kishan,Indian National Congress,132441,82047,61.9 %,18675,22.8%
11,Nangloi Jat,11,GEN,Bijender Singh,Indian National Congress,171798,94784,55.2 %,17560,18.5%
12,Mangol Puri,12,SC,Raj Kumar Chauhan,Indian National Congress,143112,92712,64.8 %,29863,32.2%
13,Rohini,13,GEN,Jai Bhagwan Aggarwal,Bharatiya Janta Party,151879,89189,58.7 %,25774,28.9%
14,Shalimar Bagh,14,GEN,Ravinder Nath Bansal,Bharatiya Janta Party,147988,86719,58.6 %,19932,23.0%
15,Shakur Basti,15,GEN,Shyam Lal Garg,Bharatiya Janta Party,138267,80567,58.3 %,4000,5.0%
16,Tri Nagar,16,GEN,Anil Bhardwaj,Indian National Congress,142891,90547,63.4 %,1969,2.2%
17,Wazirpur,17,GEN,Hari Shanker Gupta,Indian National Congress,156477,88707,56.7 %,3140,3.5%
18,Model Town,18,GEN,Kanwar Karan Singh,Indian National Congress,145572,85197,58.5 %,2997,3.5%
19,Sadar Bazar,19,GEN,Rajesh Jain,Indian National Congress,147785,88895,60.2 %,14089,15.8%
20,Chandni Chowk,20,GEN,Parlad Singh Sawhney,Indian National Congress,107887,61846,57.3 %,8020,13.0%
21,Matia Mahal,21,GEN,Shoaib Iqbal,Lok Jan Shakti Party,114178,64389,56.4 %,7604,11.8%
22,Ballimaran,22,GEN,Haroon Yasuf,Indian National Congress,138190,82364,59.6 %,6237,7.6%
23,Karol Bagh,23,SC,Surender Pal Ratawal,Bharatiya Janta Party,142097,84756,59.6 %,3408,4.0%
24,Patel Nagar,24,SC,Rajesh Lilothia,Indian National Congress,154314,87290,56.6 %,9506,10.9%
25,Moti Nagar,25,GEN,Subhash Sachdeva,Bharatiya Janta Party,138872,85546,61.6 %,14997,17.5%
26,Madipur,26,SC,Mala Ram Gangwal,Indian National Congress,142787,83483,58.5 %,8532,10.2%
27,Rajouri Garden,27,GEN,A Daya Nand Chandela A,Indian National Congress,133476,82833,62.1 %,46,0.1%
28,Hari Nagar,28,GEN,Harsharan Singh Balli,Bharatiya Janta Party,143104,81954,57.3 %,28758,35.1%
