#,AC Name,AC No.,Type,District,Winning Candidate,Party,Total Electors,Total Votes,Poll%,Margin,Margin %
116,Dibrugarh,116,GEN,Dibrugarh,Prasanta Phukan,Bharatiya Janta Party,124874,84319,67.5 %,19609,23.3%
117,Lahowal,117,GEN,Dibrugarh,Prithibi Majhi,Indian National Congress,118135,84981,71.9 %,19720,23.2%
118,Duliajan,118,GEN,Dibrugarh,Amiya Gogoi,Indian National Congress,136759,93688,68.5 %,3336,3.6%
119,Tingkhong,119,GEN,Dibrugarh,Atuwa Munda,Indian National Congress,115873,85450,73.7 %,15524,18.2%
120,Naharkatia,120,GEN,Dibrugarh,Pranati Phukan,Indian National Congress,117116,85070,72.6 %,14397,16.9%
121,Chabua,121,GEN,Dibrugarh,Raju Sahu,Indian National Congress,132976,96388,72.5 %,11108,11.5%
122,Tinsukia,122,GEN,Tinsukia,Rajendra Prasad Singh,Indian National Congress,141020,93399,66.2 %,11973,12.8%
123,Digboi,123,GEN,Tinsukia,Rameswar Dhanowar,Indian National Congress,112637,77271,68.6 %,10758,13.9%
124,Margherita,124,GEN,Tinsukia,Pradyut Bordoloi,Indian National Congress,158821,110484,69.6 %,16609,15.0%
125,Doomdooma,125,GEN,Tinsukia,Dilip Moran,Bharatiya Janta Party,120375,85691,71.2 %,4656,5.4%
126,Sadiya,126,GEN,Tinsukia,Bolin Chetia,Indian National Congress,142376,103048,72.4 %,6867,6.7%
