#,AC Name,AC No.,Type,Winning Candidate,Party,Total Electors,Total Votes,Poll%,Margin,Margin %
1,Sarojini Nagar,1,GEN,Ram Bhaj,Bharatiya Janta Party,36402,16629,45.7 %,3624,21.8%
2,Laxmibai Nagar,2,GEN,Arjun Dass,Indian National Congress,39610,19945,50.4 %,1828,9.2%
3,Gole Market,3,SC,R.N. Chandeliya,Indian National Congress,35224,14870,42.2 %,1367,9.2%
4,Bara Khamba,4,GEN,Tajdar Babar,Indian National Congress,38396,15034,39.2 %,2604,17.3%
5,Delhi Contonment,5,GEN,Karan Singh Tanwar,Bharatiya Janta Party,35064,17604,50.2 %,1506,8.6%
6,Minto Road,6,GEN,Subhash Chopra,Indian National Congress,35205,18347,52.1 %,7436,40.5%
7,Jangpura,7,GEN,Jag Parvesh,Indian National Congress,51942,26726,51.5 %,6263,23.4%
8,Kasturba Nagar,8,GEN,Jagdish Lal,Bharatiya Janta Party,44576,21734,48.8 %,18,0.1%
9,Lajpat Nagar,9,GEN,Ram Lal Verma,Bharatiya Janta Party,55851,29417,52.7 %,1465,5.0%
10,Okhla,10,GEN,Des Raj Chhabra,Indian National Congress,73620,32282,43.8 %,800,2.5%
11,Malviya Nagar,11,GEN,Hans Raj Sethi,Bharatiya Janta Party,110736,44684,40.4 %,692,1.5%
12,R .K. Puram,12,GEN,Archna Kumari,Bharatiya Janta Party,25588,18886,73.8 %,1947,10.3%
13,Hauz Khas,13,GEN,Ashok Kumar Jain,Indian National Congress,62086,26677,43.0 %,492,1.8%
14,Rajinder Nagar,14,GEN,Ram Nath Vij,Bharatiya Janta Party,65580,34017,51.9 %,971,2.9%
15,Ashok Nagar,15,GEN,Jagdish Mukhi,Bharatiya Janta Party,105175,51869,49.3 %,6667,12.9%
16,Tilak Nagar,16,GEN,Jaspal Singh,Indian National Congress,72523,40095,55.3 %,2276,5.7%
17,Rajouri Garden,17,GEN,Subhash Arya,Bharatiya Janta Party,63678,36016,56.6 %,1149,3.2%
18,Moti Nagar,18,GEN,Madan Lal Khurana,Bharatiya Janta Party,40204,30632,76.2 %,7740,25.3%
19,Shakur Basti,19,GEN,S.C. Vats,Indian National Congress,96552,51061,52.9 %,7735,15.1%
20,Rampura,20,GEN,Shyam Lal Garg,Bharatiya Janta Party,57731,32428,56.2 %,1306,4.0%
21,Wazirabad,21,SC,Malinder Singh,Indian National Congress,137307,74457,54.2 %,12174,16.4%
22,Narela,22,GEN,Hari Ram,Lok Dal,46376,32742,70.6 %,238,0.7%
23,Bawana,23,GEN,Rohtash Singh,Lok Dal,44424,32076,72.2 %,5432,16.9%
24,Najafgarh,24,GEN,Bharat Singh,Indian National Congress,149673,85261,57.0 %,27924,32.8%
25,Madipur,25,SC,Bhonri Lal Shastri,Indian National Congress,88151,45921,52.1 %,11188,24.4%
26,Palam,26,GEN,Mukhtiar Singh,Indian National Congress,77173,44336,57.5 %,1183,2.7%
27,Mehrauli,27,SC,Kalka Dass,Bharatiya Janta Party,62647,36956,59.0 %,6480,17.5%
28,Tughlaquabad,28,SC,Prem Singh,Indian National Congress,116331,57981,49.8 %,25569,44.1%
29,Gita Colony,29,GEN,Darshan Kumar Bahl,Bharatiya Janta Party,81293,42955,52.8 %,1799,4.2%
30,Gandhi Nagar,30,GEN,Savarn Singh Josh,Indian National Congress,56595,26887,47.5 %,36,0.1%
31,Krishan Nagar,31,GEN,Sukhan,Indian National Congress,136384,71949,52.8 %,6575,9.1%
32,Shahdara,32,GEN,Narender Nath,Indian National Congress,58152,32797,56.4 %,1395,4.3%
33,Rohtas Nagar,33,GEN,Ram Narain,Indian National Congress,125321,65026,51.9 %,9610,14.8%
34,Ghonda,34,GEN,Kalayan Singh,Indian National Congress,113186,58250,51.5 %,6713,11.5%
35,Civil Lines,35,GEN,Ram Lal,Indian National Congress,42777,23385,54.7 %,5785,24.7%
36,Kamla Nagar,36,GEN,Purushottam Goyal,Indian National Congress,34592,24391,70.5 %,347,1.4%
37,Vijay Nagar,37,GEN,Chander Amrit,Indian National Congress,35375,25650,72.5 %,3312,12.9%
38,Model Town,38,GEN,V.P. Khullar,Indian National Congress,47490,33953,71.5 %,2193,6.5%
39,Chandni Chowk,39,GEN,Vas Dev Kaptan,Bharatiya Janta Party,47490,25679,54.1 %,931,3.6%
40,Ballimaran,40,GEN,Mehtab Chand Jain,Indian National Congress,40926,26499,64.7 %,1676,6.3%
41,Ajmeri Gate,41,GEN,Mirza Siddiq Ali,Janta Party,36294,22793,62.8 %,2712,11.9%
42,Kucha Pati Ram,42,GEN,Ashok Jain,Indian National Congress,40203,26658,66.3 %,3481,13.1%
43,Matia Mahal,43,GEN,Begum Khursheeed Kidwai,Bharatiya Janta Party,42946,26997,62.9 %,841,3.1%
44,Pahar Ganj,44,GEN,Ranjit Rai Sharma,Bharatiya Janta Party,44926,27165,60.5 %,111,0.4%
45,Ram Nagar,45,SC,Babu Ram Solanki,Indian National Congress,43714,24879,56.9 %,2310,9.3%
46,Qasabpura,46,GEN,Mohd. Ismail,Bharatiya Janta Party,36118,23135,64.1 %,2631,11.4%
47,Deputy Ganj,47,GEN,Satish Saxena,Indian National Congress,33041,25121,76.0 %,307,1.2%
48,Sohan Ganj,48,GEN,Nand Lal,Indian National Congress,34680,26709,77.0 %,1647,6.2%
49,Shakti Nagar,49,GEN,Kulanand Bhartiya,Indian National Congress,37462,26385,70.4 %,1337,5.1%
50,Karampura,50,GEN,P.K. Chandla,Bharatiya Janta Party,58362,42823,73.4 %,288,0.7%
51,Sarai Rohilla,51,GEN,Bansi Lal,Indian National Congress,47132,27331,58.0 %,3030,11.1%
52,Motia Khan,52,GEN,Manohar Lal,Indian National Congress,44412,24919,56.1 %,1039,4.2%
53,Dev Nagar,53,SC,Moti Lal Sakolia,Indian National Congress,37036,22759,61.5 %,711,3.1%
54,Patel Nagar,54,GEN,Mawa Ram Arya,Bharatiya Janta Party,43474,24051,55.3 %,2111,8.8%
55,Anand Parbat,55,SC,Gurbax Singh,Indian National Congress,48294,25122,52.0 %,344,1.4%
56,Shadipur,56,SC,Sundervati Naval Pravhakar,Indian National Congress,44467,20575,46.3 %,2206,10.7%
