#,AC Name,AC No.,Type,District,Winning Candidate,Party,Total Electors,Total Votes,Poll%,Margin,Margin %
1,Ratabari,1,SC,Karimganj,Kripanath Mallah,Bharatiya Janta Party,147856,111719,75.6 %,24526,22.0%
2,Patharkandi,2,GEN,Karimganj,Krishnendu Paul,Bharatiya Janta Party,154924,121664,78.5 %,9268,7.6%
3,Karimganj North,3,GEN,Karimganj,Kamalakhya Dey Purkayastha,Indian National Congress,171472,130107,75.9 %,468,0.4%
4,Karimganj South,4,GEN,Karimganj,Aziz Ahmed Khan,All India United Democratic Front,160632,128269,79.9 %,4416,3.4%
5,Badarpur,5,GEN,Karimganj,Jamal Uddin Ahmed,Indian National Congress,139003,111923,80.5 %,2088,1.9%
6,Hailakandi,6,GEN,Hailakandi,Anwar Hussain Laskar,All India United Democratic Front,144605,112712,77.9 %,2608,2.3%
7,Katlichera,7,GEN,Hailakandi,Suzam Uddin Laskar,All India United Democratic Front,158480,123900,78.2 %,15084,12.2%
8,Algapur,8,GEN,Hailakandi,Nizam Uddin Choudhury,All India United Democratic Front,143537,118625,82.6 %,17754,15.0%
9,Silchar,9,GEN,Cachar,Sri Dilip Kumar Paul,Bharatiya Janta Party,208409,155451,74.6 %,39920,25.7%
10,Sonai,10,GEN,Cachar,Aminul Haque Laskar,Bharatiya Janta Party,158077,122173,77.3 %,7553,6.2%
11,Dholai,11,SC,Cachar,Parimal Suklabaidya,Bharatiya Janta Party,160092,126193,78.8 %,26837,21.3%
12,Udharbond,12,GEN,Cachar,Mihir Kanti Shome,Bharatiya Janta Party,140607,110415,78.5 %,8606,7.8%
13,Lakhipur,13,GEN,Cachar,Rajdeep Goala,Indian National Congress,143262,108029,75.4 %,24367,22.6%
14,Barkhola,14,GEN,Cachar,Kishor Nath,Bharatiya Janta Party,129524,102913,79.5 %,42,0.0%
15,Katigorah,15,GEN,Cachar,Amar Chand Jain,Bharatiya Janta Party,160603,134806,83.9 %,8808,6.5%
16,Haflong,16,ST,Dima Hasao,Bir Bhadra Hagjer,Bharatiya Janta Party,126130,101384,80.4 %,8306,8.2%
17,Bokajan,17,ST,Karbi Anglong,Numal Momin,Bharatiya Janta Party,129677,105012,81.0 %,4744,4.5%
18,Howraghat,18,ST,Karbi Anglong,Joy Ram Engleng,Bharatiya Janta Party,117070,96264,82.2 %,6391,6.6%
19,Diphu,19,ST,Karbi Anglong,Sum Ronghang,Bharatiya Janta Party,171751,135459,78.9 %,28236,20.8%
20,Baithalangso,20,ST,Karbi Anglong,Dr.Mansing Rongpi,Indian National Congress,180203,143129,79.4 %,9519,6.7%
21,Mankachar,21,GEN,Dhubri,Dr. Motiur Rohman Mondal,Indian National Congress,182785,170790,93.4 %,4313,2.5%
22,Salmara South,22,GEN,Dhubri,Wazed Ali Choudhury,Indian National Congress,157525,146516,93.0 %,16723,11.4%
23,Dhubri,23,GEN,Dhubri,Najrul Hoque,All India United Democratic Front,172563,150954,87.5 %,24086,16.0%
24,Gauripur,24,GEN,Dhubri,Nijanur Rahman,All India United Democratic Front,179042,159350,89.0 %,19911,12.5%
25,Golakganj,25,GEN,Dhubri,Ashwini Ray Sarkar,Bharatiya Janta Party,177078,160554,90.7 %,6391,4.0%
26,Bilasipara West,26,GEN,Dhubri,Hafiz Bashir Ahmed,All India United Democratic Front,147151,136747,92.9 %,11202,8.2%
27,Bilasipara East,27,GEN,Dhubri,Ashok Kumar Singhi,Bharatiya Janta Party,184994,166665,90.1 %,5096,3.1%
28,Gossaigaon,28,GEN,Kokrajhar,Majendra Narzary,Bodaland Peoples Front,166057,141058,84.9 %,6041,4.3%
29,Kokrajhar West,29,ST,Kokrajhar,Rabiram Narzary,Bodaland Peoples Front,159496,139656,87.6 %,17340,12.4%
30,Kokrajhar East,30,ST,Kokrajhar,Pramila Rani Brahma,Bodaland Peoples Front,165022,135941,82.4 %,40091,29.5%
31,Sidli,31,ST,Kokrajhar,Chandan Brahma,Bodaland Peoples Front,190029,154318,81.2 %,8988,5.8%
32,Bongaigaon,32,GEN,Bongaigaon,Phani Bhusan Choudhury,Asom Gana Parisad,159137,135571,85.2 %,31320,23.1%
33,Bijni,33,GEN,Bongaigaon,Kamalshing Narzary,Bodaland Peoples Front,134032,118056,88.1 %,1678,1.4%
34,Abhayapuri North,34,GEN,Bongaigaon,Abdul Hai Nagori,Indian National Congress,150801,135884,90.1 %,2143,1.6%
35,Abhayapuri South (SC),35,SC,Bongaigaon,Ananta Kumar Malo,All India United Democratic Front,174303,157416,90.3 %,191,0.1%
36,Dudhnai,36,ST,Goalpara,Dipak Kumar Rabha,Bharatiya Janta Party,182066,158912,87.3 %,28667,18.0%
37,Goalpara East,37,GEN,Goalpara,Abul Kalam Rasheed Alam,Indian National Congress,188875,170143,90.1 %,2581,1.5%
38,Goalpara West,38,GEN,Goalpara,Abdur Rashid Mandal,Indian National Congress,148632,135618,91.2 %,24339,17.9%
39,Jaleswar,39,GEN,Goalpara,Sahab Uddin Ahmed,All India United Democratic Front,137096,127685,93.1 %,6662,5.2%
40,Sorbhog,40,GEN,Barpeta,Ranjeet Kumar Dass,Bharatiya Janta Party,195330,168218,86.1 %,19526,11.6%
41,Bhabanipur,41,GEN,Barpeta,Abul Kalam Azad,All India United Democratic Front,127341,109574,86.0 %,2439,2.2%
42,Patacharkuchi,42,GEN,Barpeta,Pabindra Deka,Asom Gana Parisad,129362,103549,80.0 %,51976,50.2%
43,Barpeta,43,GEN,Barpeta,Gunindra Nath Das,Asom Gana Parisad,181058,162215,89.6 %,5810,3.6%
44,Jania,44,GEN,Barpeta,Abdul Khaleque,Indian National Congress,173410,153442,88.5 %,29736,19.4%
45,Baghbar,45,GEN,Barpeta,Sherman Ali Ahmed,Indian National Congress,144950,126400,87.2 %,43433,34.4%
46,Sarukhetri,46,GEN,Barpeta,Jakir Hussain Sikdar,Indian National Congress,175014,154716,88.4 %,24247,15.7%
