AC Name,AC No.,Type,Winning Candidate,Party,Total Electors,Total Votes,Poll%,Margin,Margin %
Jewar,362,SC,Narendra Kumar,Bahujan Samaj Party,213565,111486,52.2 %,301,0.3%
Khurja,363,GEN,Anil Kumar,Bahujan Samaj Party,219255,108831,49.6 %,7051,6.5%
Debai,364,GEN,Kalyan Singh,Rashtriya Kranti Party,208583,113745,54.5 %,26869,23.6%
Anupshahr,365,GEN,Hoshiyar Singh,Independent,204834,116949,57.1 %,993,0.8%
Siana,366,GEN,Sunder Singh,Rashtriya Kranti Party,205559,120080,58.4 %,2631,2.2%
Agota,367,GEN,Kiran Pal Singh,Samajwadi Party,210543,117679,55.9 %,13492,11.5%
Bulandshahr,368,GEN,Mahendra Singh Yadav,Bharatiya Janta Party,271906,128898,47.4 %,4752,3.7%
Shikarpur,369,SC,Munshi Lal Gautam,Bharatiya Janta Party,203535,96894,47.6 %,925,1.0%
Sikandrabad,370,GEN,Ved Ram Bhati,Bahujan Samaj Party,236601,137288,58.0 %,7626,5.6%
Dadri,371,GEN,Nawab Singh Nagar,Bharatiya Janta Party,436848,191504,43.8 %,11310,5.9%
Ghaziabad,372,GEN,Surendra Prakash Goel,Indian National Congress,593522,181316,30.5 %,4526,2.5%
Muradnagar,373,GEN,Rajpal Tyagi,Indian National Congress,234618,115465,49.2 %,3148,2.7%
Modinagar,374,GEN,Narendra Singh Sisodiya,Bharatiya Janta Party,294913,141040,47.8 %,5435,3.9%
Hapur,375,SC,Dharampal,Bahujan Samaj Party,258172,117905,45.7 %,8104,6.9%
Garhmukteshwar,376,GEN,Madan Chouhan,Samajwadi Party,236934,134899,56.9 %,7444,5.5%
Kithore,377,GEN,Shahid Manzoor,Samajwadi Party,221084,121039,54.7 %,14169,11.7%
Hastinapur,378,SC,Prabhu Dayal,Samajwadi Party,223471,113701,50.9 %,3027,2.7%
Sardhana,379,GEN,Prof. Ravindra Pundir,Bharatiya Janta Party,253818,140603,55.4 %,9545,6.8%
Meerut Cantonment,380,GEN,Satya Prakash Agarwal (kailash Dairy Wale),Bharatiya Janta Party,308576,119197,38.6 %,15435,12.9%
Meerut,381,GEN,Dr. Laxmi Kant Vajpai,Bharatiya Janta Party,313377,115988,37.0 %,23413,20.2%
Kharkhauda,382,GEN,Haji Yaqoob,Bahujan Samaj Party,233398,130701,56.0 %,21317,16.3%
Siwalkhas,383,SC,Ranveer Rana,Rashtriya Lok Dal,261348,114469,43.8 %,851,0.7%
