AC Name,AC No.,Type,District,Winning Candidate,Party,Total Electors,Total Votes,Poll%,Margin,Margin %
Karong,47,ST,Senapati,Dr. V. Alexander Pao,Naga Peoples Front,50786,37646,74.1 %,6136,16.3%
Mao,48,ST,Senapati,Dikho,Naga Peoples Front,52360,44846,85.6 %,8930,19.9%
Tadubi,49,ST,Senapati,Francis Ngajokpa,Indian National Congress,43075,32486,75.4 %,6055,18.6%
Kangpokpi,50,GEN,Senapati,Mrs. Nemcha Kipgen,Manipur State Congress Party,27934,17024,60.9 %,443,2.6%
Saitu,51,ST,Senapati,Ngamthang Haokip,Indian National Congress,38795,28033,72.3 %,6186,22.1%
Tamei,52,ST,Tamenglong,Z.Kikhonbou Newmai,Indian National Congress,31149,22970,73.7 %,1398,6.1%
Tamenglong,53,ST,Tamenglong,Janghemlung Panmei,Manipur State Congress Party,25103,18602,74.1 %,666,3.6%
Nungba,54,ST,Tamenglong,Gaikhangam,Indian National Congress,22586,16842,74.6 %,2330,13.8%
Tipaimukh,55,ST,Churuchandpur,Dr.Chaltonlien Amo,Indian National Congress,17409,11183,64.2 %,912,8.2%
Thanlon,56,ST,Churuchandpur,Vungzagin Valte,Indian National Congress,18452,8050,43.6 %,291,3.6%
Henglep,57,ST,Churuchandpur,T.Manga Vaiphei,Indian National Congress,27288,17410,63.8 %,365,2.1%
Churachandpur,58,ST,Churuchandpur,Phungzathang Tonsing,Indian National Congress,46933,30098,64.1 %,7751,25.8%
Saikot,59,ST,Churuchandpur,T.N.Haokip,Indian National Congress,45739,30010,65.6 %,8157,27.2%
Singhat,60,ST,Churuchandpur,Ginsuanhau,Indian National Congress,23886,15383,64.4 %,10690,69.5%
