AC Name,AC No.,Type,Winning Candidate,Party,Total Electors,Total Votes,Poll%,Margin,Margin %
Vellakoil,113,GEN,Durai Ramasamy,All India Anna Dravida Munnetra Kazhagam(JAYALALITA GROUP),144979,113601,78.4 %,5380,4.7%
Pongalur,114,GEN,"Balasubramoniyam, S.R.",Indian National Congress,130422,100882,77.4 %,440,0.4%
Palladam,115,GEN,"Kanappan, M.",Dravida Munetra Kazhagam,159768,118406,74.1 %,13576,11.5%
Tiruppur,116,GEN,"Govindasamy, C.",Communist Party Of India (MARXIST),222283,164303,73.9 %,17379,10.6%
Kangayam,117,GEN,"Marappan, P.",All India Anna Dravida Munnetra Kazhagam(JAYALALITA GROUP),148106,111104,75.0 %,7671,6.9%
Modakurichi,118,GEN,"Ganesamoorthy, A.",Dravida Munetra Kazhagam,172990,133933,77.4 %,16007,12.0%
Perundurai,119,GEN,V.N. Subramanian Son Of Nachmuthu Gounder,All India Anna Dravida Munnetra Kazhagam(JAYALALITA GROUP),150170,116132,77.3 %,14698,12.7%
Erode,120,GEN,Subbulakshmi Jagadesan,Dravida Munetra Kazhagam,237642,166391,70.0 %,22198,13.3%
Bhavani,121,GEN,G.G. Gurumoorthy,Independent,140948,88362,62.7 %,16853,19.1%
Andhiyur,122,SC,"Perisamy, V.",All India Anna Dravida Munnetra Kazhagam(JAYALALITA GROUP),132166,73411,55.5 %,1962,2.7%
Gobichettipalayam,123,GEN,"Sengottayan, K.A.",All India Anna Dravida Munnetra Kazhagam(JAYALALITA GROUP),131675,99717,75.7 %,14244,14.3%
Bhavanisagar,124,GEN,"Chinnasamy, V.K.",All India Anna Dravida Munnetra Kazhagam(JAYALALITA GROUP),140475,108724,77.4 %,7420,6.8%
Sathyamangalam,125,GEN,"Subramaniam, T.K.",Dravida Munetra Kazhagam,134394,99275,73.9 %,1087,1.1%
Coonoor,126,SC,"Thangavel, N.",Dravida Munetra Kazhagam,138919,98506,70.9 %,11160,11.3%
Ootacamund,127,GEN,Raju H.M.,Indian National Congress,141234,98433,69.7 %,806,0.8%
Gudalur,128,GEN,"Kareem, M.K.",Indian National Congress,158479,116087,73.3 %,1280,1.1%
Palani,129,SC,N. Palanivel,Communist Party Of India (MARXIST),150829,105722,70.1 %,2855,2.7%
