AC Name,AC No.,Type,Winning Candidate,Party,Total Electors,Total Votes,Poll%,Margin,Margin %
Muthialpet,1,GEN,Kasilingam .A.,All India Anna Dravida Munnetra Kazhagam,27915,18053,64.7 %,1910,10.6%
Cassicade,2,GEN,Lakshminarayanan .K.,Pudhucherry Makkal Congress,13835,9468,68.4 %,1778,18.8%
Raj Bhavan,3,GEN,Sivakumar .S.P.,Dravida Munetra Kazhagam,6345,4172,65.8 %,1100,26.4%
Bussy,4,GEN,Annibal Kennedy,Dravida Munetra Kazhagam,9495,4844,51.0 %,2183,45.1%
Oupalam,5,GEN,Anbalagan .A.,All India Anna Dravida Munnetra Kazhagam,19499,14212,72.9 %,3372,23.7%
Orleampeth,6,GEN,Siva .R.,Dravida Munetra Kazhagam,21923,15408,70.3 %,3385,22.0%
Nellithope,7,GEN,R.V. Janakiraman,Dravida Munetra Kazhagam,20076,15139,75.4 %,1941,12.8%
Modeliarpeth,8,GEN,Dr. Subramanian .M.A.S.,Dravida Munetra Kazhagam,30403,22264,73.2 %,1503,6.8%
Ariankuppam,9,GEN,Jayamoorthy .T.,Independent,29222,21658,74.1 %,4162,19.2%
Embalom,10,SC,N. Gangadaran,Indian National Congress,19544,14633,74.9 %,636,4.3%
Nettapakkam,11,GEN,V. Vaithilingam,Indian National Congress,19095,15162,79.4 %,1213,8.0%
Kuruvinatham,12,GEN,R. Radhakrishnan,Pudhucherry Makkal Congress,18924,15815,83.6 %,2021,12.8%
Bahour,13,SC,P. Rajavelu,Pudhucherry Makkal Congress,19865,15735,79.2 %,2633,16.7%
Thirubuvanai,14,SC,P. Angalan,Indian National Congress,21805,16618,76.2 %,804,4.8%
Mannadipeth,15,GEN,D. Ramachandran,All India Anna Dravida Munnetra Kazhagam,20444,16169,79.1 %,4702,29.1%
Ossudu,16,SC,A. Elumalai,Pudhucherry Makkal Congress,19063,15483,81.2 %,164,1.1%
Villenour,17,GEN,C. Djeacoumar,Tamil Maanila Congress (MOOPANAR),25350,20463,80.7 %,4089,20.0%
Ozhukarai,18,GEN,A. Namassivayam,Tamil Maanila Congress (MOOPANAR),31075,22363,72.0 %,4143,18.5%
Thattanchavady,19,GEN,N. Rangasamy,Indian National Congress,35863,24341,67.9 %,5554,22.8%
Reddiarpalayam,20,GEN,A.M. Krishnamurthy,Bharatiya Janta Party,36429,25543,70.1 %,3461,13.5%
Lawspet,21,GEN,Shajahan .M.O.H.F.,Indian National Congress,51323,33621,65.5 %,1967,5.9%
Cotchery,22,GEN,R. Nalamagarajan,Indian National Congress,22838,16238,71.1 %,1676,10.3%
Karaikal,23,GEN,A.M.H. Nazeem,Dravida Munetra Kazhagam,21870,13378,61.2 %,2304,17.2%
Karaikal South,24,GEN,A.V. Subramanian,Indian National Congress,17109,11950,69.8 %,909,7.6%
Neravy-Grand Aldee,25,GEN,V.M.C. Sivakumar,Dravida Munetra Kazhagam,19881,14219,71.5 %,2931,20.6%
Tirunallar,26,GEN,R. Kamalakkannan,Indian National Congress,17294,12835,74.2 %,775,6.0%
Neduncadu,27,SC,M. Chandirakasu,Indian National Congress,16565,12618,76.2 %,1060,8.4%
Mahe,28,GEN,E. Valsaraj,Indian National Congress,12978,9468,73.0 %,2535,26.8%
Palloor,29,GEN,A.V. Sreedharan,Indian National Congress,13892,9865,71.0 %,1463,14.8%
Yanam,30,GEN,Malladi Krishna Rao,Independent,18727,15624,83.4 %,2978,19.1%
