#,AC Name,AC No.,Type,Winning Candidate,Party,Total Electors,Total Votes,Poll%,Margin,Margin %
81,Ellenabad,81,SC,Bhagi Ram,Indian National Lok Dal,127698,92885,72.7 %,15054,16.2%
82,Sirsa,82,GEN,Lachhman Dass Arora,Indian National Congress,143057,97323,68.0 %,15091,15.5%
83,Rori,83,GEN,Om Prakash Chautala,Indian National Lok Dal,115042,95527,83.0 %,22606,23.7%
84,Dabwali,84,SC,Dr.Sita Ram,Indian National Lok Dal,118887,83871,70.5 %,26993,32.2%
85,Bawal,85,SC,Dr. Muni Lal Ranga,Indian National Lok Dal,130869,88582,67.7 %,18872,21.3%
86,Rewari,86,GEN,Ajay Singh,Indian National Congress,134414,89920,66.9 %,4924,5.5%
87,Jatusana,87,GEN,Inderjit Singh S/o Birender Singh,Indian National Congress,145101,96608,66.6 %,5640,5.8%
88,Mahendragarh,88,GEN,Dan Singh,Indian National Congress,138840,102504,73.8 %,38850,37.9%
89,Ateli,89,GEN,Narender Singh,Indian National Congress,133670,92857,69.5 %,334,0.4%
90,Narnaul,90,GEN,Moola Ram,Independent,125647,71054,56.6 %,427,0.6%
