AC Name,AC No.,Type,District,Winning Candidate,Party,Total Electors,Total Votes,Poll%,Margin,Margin %
Reodar,148,SC,Sirohi,Jagasi Ram,Bharatiya Janta Party,216773,146523,67.6 %,32244,22.0%
Gogunda,149,ST,Udaipur,Pratap Lal Bheel,Bharatiya Janta Party,206443,146267,70.9 %,3345,2.3%
Jhadol,150,ST,Udaipur,Heeralal,Indian National Congress,197715,153029,77.4 %,4684,3.1%
Kherwara,151,ST,Udaipur,Nana Lal Ahari,Bharatiya Janta Party,234443,166115,70.9 %,11166,6.7%
Udaipur Rural,152,ST,Udaipur,Phool Singh Meena,Bharatiya Janta Party,209429,150966,72.1 %,13764,9.1%
Udaipur,153,GEN,Udaipur,Gulab Chand Kataria,Bharatiya Janta Party,202541,136712,67.5 %,24608,18.0%
Mavli,154,GEN,Udaipur,Dali Chand Dangi,Bharatiya Janta Party,206824,156614,75.7 %,23465,15.0%
Vallabh Nagar,155,GEN,Udaipur,M. Randhir Singh Bhindar,Independent,221827,169503,76.4 %,13167,7.8%
Salumber,156,ST,Udaipur,Amrit Lal,Bharatiya Janta Party,233709,157833,67.5 %,36651,23.2%
Dhariawad,157,ST,Udaipur,Gotam Lal,Bharatiya Janta Party,215844,165060,76.5 %,7174,4.3%
Dungarpur,158,ST,Dungarpur,Devendra Katara,Bharatiya Janta Party,192286,133447,69.4 %,3845,2.9%
Aspur,159,ST,Dungarpur,Gopi Chand Meena,Bharatiya Janta Party,215514,137220,63.7 %,10504,7.7%
Sagwara,160,ST,Dungarpur,Anita Katara,Bharatiya Janta Party,210385,145472,69.1 %,640,0.4%
Chorasi,161,ST,Dungarpur,Sushil Katara,Bharatiya Janta Party,181425,136781,75.4 %,20313,14.9%
Ghatol,162,ST,Banswara,Navanit Lal,Bharatiya Janta Party,211407,172567,81.6 %,27198,15.8%
Garhi,163,ST,Banswara,Jeetmal Khant,Bharatiya Janta Party,229033,170384,74.4 %,24450,14.3%
Banswara,164,ST,Banswara,Dhan Singh Rawat,Bharatiya Janta Party,213421,172548,80.8 %,30061,17.4%
Bagidora,165,ST,Banswara,Mahendrajeet Singh Malviya,Indian National Congress,200311,156682,78.2 %,14325,9.1%
Kushalgarh,166,ST,Banswara,Bhima Bhai,Bharatiya Janta Party,187836,152179,81.0 %,708,0.5%
Kapasan,167,SC,Chittaurgarh,Arjun Lal Jeengar,Bharatiya Janta Party,226509,171254,75.6 %,30246,17.7%
Begun,168,GEN,Chittaurgarh,Suresh Dhaker,Bharatiya Janta Party,224284,185959,82.9 %,21298,11.5%
Chittorgarh,169,GEN,Chittaurgarh,Chandrabhan Singh (AKYA),Bharatiya Janta Party,212174,169558,79.9 %,11850,7.0%
Nimbahera,170,GEN,Chittaurgarh,Shirchand Kriplani,Bharatiya Janta Party,228029,192576,84.5 %,3370,1.7%
Bari Sadri,171,GEN,Chittaurgarh,Gautam Kumar,Bharatiya Janta Party,224664,172132,76.6 %,17261,10.0%
Pratapgarh,172,ST,Chittaurgarh,Nandlal,Bharatiya Janta Party,204593,164046,80.2 %,31938,19.5%
Bhim,173,GEN,Rajsamand,Hari Singh Rawat (PANNA SINGH),Bharatiya Janta Party,181997,125830,69.1 %,18451,14.7%
Kumbhalgarh,174,GEN,Rajsamand,Surendra Singh Rathore,Bharatiya Janta Party,182373,127743,70.0 %,27606,21.6%
Rajsamand,175,GEN,Rajsamand,Kiran Maheshwari,Bharatiya Janta Party,187125,141457,75.6 %,30575,21.6%
Nathdwara,176,GEN,Rajsamand,Kalyansingh Chouhan,Bharatiya Janta Party,202512,156300,77.2 %,12472,8.0%
Asind,177,GEN,Bhilwara,Ram Lal Gurjar,Bharatiya Janta Party,235836,173287,73.5 %,27309,15.8%
Mandal,178,GEN,Bhilwara,Kalu Lal Gujar,Bharatiya Janta Party,208245,156807,75.3 %,41434,26.4%
Sahara,179,GEN,Bhilwara,Dr. Balu Ram Chaudhary,Bharatiya Janta Party,208118,156976,75.4 %,20756,13.2%
Bhilwara,180,GEN,Bhilwara,Vitthal Shankar Avasthi,Bharatiya Janta Party,193498,139513,72.1 %,46116,33.1%
Jahazpur,182,GEN,Bhilwara,Dhiraj Gurjar,Indian National Congress,202055,161270,79.8 %,4262,2.6%
Mandalgarh,183,GEN,Bhilwara,Kirtikumari,Bharatiya Janta Party,200964,161045,80.1 %,18540,11.5%
Hindoli,184,GEN,Bundi,Ashok,Indian National Congress,210788,161596,76.7 %,18453,11.4%
Keshoraipatan,185,SC,Bundi,Baboo Lal Verma,Bharatiya Janta Party,223662,157243,70.3 %,12731,8.1%
Bundi,186,GEN,Bundi,Ashok Dogra,Bharatiya Janta Party,235653,178303,75.7 %,27636,15.5%
Pipalda,187,GEN,Kota,Vidhyashankar Nandwana,Bharatiya Janta Party,174287,124240,71.3 %,7749,6.2%
Sangod,188,GEN,Kota,Heeralal Nagar,Bharatiya Janta Party,170955,129376,75.7 %,19232,14.9%
Kota North,189,GEN,Kota,Prahlad Gunjal,Bharatiya Janta Party,216242,162471,75.1 %,14861,9.1%
