#,AC Name,AC No.,Type,Winning Candidate,Party,Total Electors,Total Votes,Poll%,Margin,Margin %
1,Kalka,1,GEN,Chander Mohan,Indian National Congress,244462,156496,64.0 %,61476,39.3%
2,Naraingarh,2,GEN,Ram Kishan,Indian National Congress,120352,93344,77.6 %,7763,8.3%
3,Sadhaura,3,SC,Balwant Singh,Indian National Lok Dal,136173,110917,81.5 %,8442,7.6%
4,Chhachhrauli,4,GEN,Arjan Singh,Bahujan Samaj Party,122763,105836,86.2 %,4228,4.0%
5,Yamunanagar,5,GEN,Dr Krishna Pandit,Indian National Congress,147154,98225,66.7 %,24509,25.0%
6,Jagadhri,6,GEN,Subhash Chand,Indian National Congress,131435,101167,77.0 %,3194,3.2%
7,Mullana,7,SC,Phool Chand Mullana,Indian National Congress,134001,101042,75.4 %,9130,9.0%
8,Ambala Cantonment,8,GEN,Devender Kumar Bansal,Indian National Congress,85131,58325,68.5 %,615,1.1%
9,Ambala City,9,GEN,Venod Kumar Sharma,Indian National Congress,126615,78428,61.9 %,35316,45.0%
10,Naggal,10,GEN,Nirmal Singh Mohra,Indian National Congress,144635,112045,77.5 %,5492,4.9%
11,Indri,11,GEN,Rakesh Kumar,Indian National Congress,144768,114906,79.4 %,19578,17.0%
12,Nilokheri,12,GEN,Jai Singh Rana,Indian National Congress,125399,99669,79.5 %,12394,12.4%
13,Karnal,13,GEN,Sumita Singh,Indian National Congress,158894,100345,63.2 %,33997,33.9%
14,Jundla,14,SC,Meena Rani,Indian National Congress,124362,88465,71.1 %,2141,2.4%
15,Gharaunda,15,GEN,Rekha Rana,Indian National Lok Dal,131408,100270,76.3 %,21,0.0%
16,Assandh,16,SC,Raj Rani Poonam,Indian National Congress,129087,93220,72.2 %,12545,13.5%
17,Panipat,17,GEN,Balbir Pal Shah,Indian National Congress,200927,129896,64.6 %,13647,10.5%
18,Sambhalka,18,GEN,Bhart Singh,Indian National Congress,137653,106386,77.3 %,23765,22.3%
19,Naultha,19,GEN,Parsanni Devi,Indian National Congress,127220,94532,74.3 %,2490,2.6%
20,Shahabad,20,GEN,Kharaiti Lal,Indian National Congress,120387,91893,76.3 %,1912,2.1%
21,Radaur,21,SC,Ishwar Singh Palaka,Indian National Lok Dal,121718,98242,80.7 %,5263,5.4%
22,Thanesar,22,GEN,Ramesh Kumar Gupta,Indian National Congress,157609,116368,73.8 %,14786,12.7%
23,Pehowa,23,GEN,Harmohinder Singh Chattha,Indian National Congress,133569,101018,75.6 %,3653,3.6%
24,Guhla,24,SC,Dillu Ram,Indian National Congress,140466,107555,76.6 %,10127,9.4%
25,Kaithal,25,GEN,Shamsher Singh Surjewala,Indian National Congress,127632,91081,71.4 %,5112,5.6%
26,Pundri,26,GEN,Dinesh Kaushik,Independent,127606,101671,79.7 %,8026,7.9%
27,Pai,27,GEN,Tejender Pal Singh,Independent,112851,91988,81.5 %,6502,7.1%
28,Hassangarh,28,GEN,Naresh Kumar,Bharatiya Janta Party,110742,79164,71.5 %,10098,12.8%
29,Kiloi,29,GEN,Shri Krishan,Indian National Congress,126463,85076,67.3 %,34863,41.0%
30,Rohtak,30,GEN,Shadi Lal Batra,Indian National Congress,136960,88581,64.7 %,10476,11.8%
31,Meham,31,GEN,Anand Singh Dangi,Indian National Congress,122239,94728,77.5 %,23077,24.4%
32,Kalanaur,32,SC,Kartar Devi,Indian National Congress,101011,70780,70.1 %,5843,8.3%
33,Beri,33,GEN,Dr. Raghuvir Singh,Indian National Congress,106166,76810,72.3 %,15468,20.1%
