AC Name,AC No.,Type,District,Winning Candidate,Party,Total Electors,Total Votes,Poll%,Margin,Margin %
Laxmi Nagar,58,GEN,East,Abhay Verma,Bharatiya Janta Party,214595,136270,63.5 %,880,0.6%
Vishwas Nagar,59,GEN,East,Om Prakash Sharma,Bharatiya Janta Party,197020,124379,63.1 %,16457,13.2%
Krishna Nagar,60,GEN,East,S. K. Bagga (Advocate),Aam Aadmi Party,210539,146323,69.5 %,3995,2.7%
Gandhi Nagar,61,GEN,East,Anil Kumar Bajpai,Bharatiya Janta Party,177549,114181,64.3 %,6079,5.3%
Shahdara,62,GEN,East,Ram Niwas Goel,Aam Aadmi Party,185334,124972,67.4 %,5294,4.2%
Seema Puri(SC),63,SC,North-East,Rajendra Pal Gautam,Aam Aadmi Party,190013,133289,70.1 %,56108,42.1%
Rohtas Nagar,64,GEN,North-East,Jitender Mahajan,Bharatiya Janta Party,204498,141714,69.3 %,13241,9.3%
Seelampur,65,GEN,North-East,Abdul Rehman,Aam Aadmi Party,170133,129393,76.1 %,36920,28.5%
Ghonda,66,GEN,North-East,Ajay Mahawar,Bharatiya Janta Party,217982,141625,65.0 %,28370,20.0%
Babarpur,67,GEN,North-East,Gopal Rai,Aam Aadmi Party,209861,142406,67.9 %,33062,23.2%
Gokalpur(SC),68,SC,North-East,Surendra Kumar,Aam Aadmi Party,226251,165740,73.3 %,19488,11.8%
Mustafabad,69,GEN,North-East,Haji Yunus,Aam Aadmi Party,256621,185330,72.2 %,20704,11.2%
Karawal Nagar,70,GEN,North-East,Mohan Singh Bisht,Bharatiya Janta Party,274199,190813,69.6 %,8223,4.3%
