AC Name,AC No.,Type,Winning Candidate,Party,Total Electors,Total Votes,Poll%,Margin,Margin %
Sundargarh,135,GEN,Bharatendra Shekhar Deo,Janata Dal,128416,78346,61.0 %,27580,35.2%
Talsara,136,ST,Ranjeet Bhitria,Janata Dal,112343,54208,48.3 %,14468,26.7%
Rajgangpur,137,ST,Mangala Kisan,Janata Dal,134294,64959,48.4 %,25824,39.8%
Biramitrapur,138,ST,Satya Narayan Pradhan,Janata Dal,112423,53580,47.7 %,8454,15.8%
Rourkela,139,GEN,Dilip Kumar Ray,Janata Dal,219603,100339,45.7 %,58013,57.8%
Raghunathpali,140,ST,Rabidehury,Janata Dal,138768,71906,51.8 %,10179,14.2%
Bonai,141,ST,Jual Oram,Bharatiya Janta Party,115480,59638,51.6 %,1932,3.2%
Champua,142,ST,Saharai Oram,Janata Dal,131913,57891,43.9 %,28233,48.8%
Patna,143,ST,Kanhu Charan Naik,Janata Dal,123407,48423,39.2 %,23897,49.4%
Keonjhar,144,ST,C. Mahji,Janata Dal,139464,55769,40.0 %,18297,32.8%
Telkoi,145,ST,N. Nayak,Janata Dal,143996,58011,40.3 %,29955,51.6%
Ramchandrapur,146,GEN,Badrinarayan Patra,Janata Dal,135464,83562,61.7 %,34558,41.4%
Anandapur,147,SC,Dasarathi Jena,Janata Dal,127969,83939,65.6 %,15633,18.6%
