AC Name,AC No.,Type,Winning Candidate,Party,Total Electors,Total Votes,Poll%,Margin,Margin %
Badi Sadri,126,GEN,Gulabchand Katariya,Bharatiya Janta Party,146060,100093,68.5 %,7788,7.8%
Pratapgarh,127,ST,Nand Lal,Bharatiya Janta Party,127681,70807,55.5 %,13731,19.4%
Kushalgarh,128,ST,Fateh Singh,Janata Dal,123614,78535,63.5 %,14350,18.3%
Danpur,129,ST,Dali Chand,Janata Dal,141258,85308,60.4 %,25296,29.7%
Ghatol,130,ST,Jitendra Neenama,Indian National Congress,135227,85505,63.2 %,2188,2.6%
Banswara,131,GEN,Harideo Joshi,Indian National Congress,125069,74520,59.6 %,15124,20.3%
Bagidora,132,ST,Poonjalal,Janata Dal,138435,67596,48.8 %,1707,2.5%
Sagwara,133,ST,Bheekha Bhai,Indian National Congress,125037,82146,65.7 %,3111,3.8%
Chorasi,134,ST,Shankar Lal Ahari,Indian National Congress,131789,70663,53.6 %,14090,19.9%
Dungarpur,135,ST,Nathuram Ahari,Indian National Congress,122956,66328,53.9 %,8030,12.1%
Aspur,136,ST,Bhimraj Meena,Bharatiya Janta Party,136022,67353,49.5 %,59,0.1%
Lasadia,137,ST,Narayan Lal,Bharatiya Janta Party,128353,66507,51.8 %,7967,12.0%
Vallabhnagar,138,GEN,Gulab Singh,Indian National Congress,130095,85910,66.0 %,8275,9.6%
Mavli,139,GEN,Shanti Lal Chaplot,Bharatiya Janta Party,147435,94747,64.3 %,3152,3.3%
Rajsamand,140,SC,Shanti Lal Khoiwal,Bharatiya Janta Party,144327,91695,63.5 %,6560,7.2%
Nathdwara,141,GEN,Shiv Dan Singh Chauhan,Bharatiya Janta Party,136503,80021,58.6 %,6878,8.6%
Udaipur,142,GEN,Shiv Kishor Sandhya,Bharatiya Janta Party,126433,77319,61.2 %,9789,12.7%
Udaipur Rural,143,ST,Chunni Lal Garasiya,Bharatiya Janta Party,164172,94239,57.4 %,13108,13.9%
Salumber,144,ST,Phool Chand,Bharatiya Janta Party,117214,57268,48.9 %,5138,9.0%
