AC Name,AC No.,Type,Winning Candidate,Party,Total Electors,Total Votes,Poll%,Margin,Margin %
Meerut Cantonment,396,GEN,Amit Agrawal,Bharatiya Janta Party,216475,125639,58.0 %,38195,30.4%
Meerut,397,GEN,Akhlakh,Janata Dal,228504,168553,73.8 %,5497,3.3%
Kharkhauda,398,GEN,Jai Pal Singh,Bharatiya Janta Party,191830,114682,59.8 %,5062,4.4%
Siwalkhas,399,SC,Charan Singh,Janata Dal,201622,112169,55.6 %,10098,9.0%
Khekra,400,GEN,Madan Bhaiya,Samajwadi Party,280782,156335,55.7 %,15625,10.0%
Baghpat,401,GEN,Kaukab Hameed Khan,Indian National Congress,213984,133897,62.6 %,9830,7.3%
Barnawa,402,GEN,Tripal Singh Dhama,Bharatiya Janta Party,199859,115696,57.9 %,187,0.2%
Chhaprauli,403,GEN,Narendra Singh,Janata Dal,201955,108647,53.8 %,31454,29.0%
Kandhla,404,GEN,Ratan Pal Panwar,Bharatiya Janta Party,203670,128476,63.1 %,9316,7.3%
Khatauli,405,GEN,Sudhir Kumar Baliyan,Bharatiya Janta Party,209324,127385,60.9 %,13668,10.7%
Jansath,406,SC,Suresh Chand Titauria,Bharatiya Janta Party,190988,113214,59.3 %,7578,6.7%
Morna,407,GEN,Ram Pal Singh,Bharatiya Janta Party,189847,120695,63.6 %,5454,4.5%
Muzaffarnagar,408,GEN,Suresh Sangal,Bharatiya Janta Party,245402,177569,72.4 %,27717,15.6%
Charthawal,409,SC,Randhir Singh,Bharatiya Janta Party,194657,121013,62.2 %,5688,4.7%
Baghra,410,GEN,Harendra Singh,Janata Dal,181568,107558,59.2 %,1934,1.8%
Kairana,411,GEN,Manawar Hasan,Janata Dal,207007,139275,67.3 %,7908,5.7%
Thana Bhawan,412,GEN,Jagat Singh,Bharatiya Janta Party,205132,135660,66.1 %,14415,10.6%
Nakur,413,GEN,Yash Pal Singh,Indian National Congress,218004,158806,72.8 %,318,0.2%
Sarsawa,414,GEN,Nirbhay Pal Sharma,Indian National Congress,198347,145651,73.4 %,18999,13.0%
Nagal,415,SC,Mamchand,Bharatiya Janta Party,195804,123046,62.8 %,18477,15.0%
Deoband,416,GEN,Shasi Bala Pundir,Bharatiya Janta Party,204705,139836,68.3 %,31911,22.8%
Harora,417,SC,Mohar Singh,Bharatiya Janta Party,189166,132164,69.9 %,3091,2.3%
Saharanpur,418,GEN,Lal Krishan Gandhi,Bharatiya Janta Party,258774,166137,64.2 %,14126,8.5%
Muzaffarabad,419,GEN,Rani Deolata,Bharatiya Janta Party,199974,146347,73.2 %,10884,7.4%
Roorkee,420,GEN,Prithvi Singh Vikseet,Bharatiya Janta Party,211841,146005,68.9 %,26328,18.0%
Lhaksar,421,GEN,Tajpal Singh Panwar,Bharatiya Janta Party,191457,140146,73.2 %,1181,0.8%
Hardwar,422,GEN,Jagdish Muni,Bharatiya Janta Party,217379,151799,69.8 %,15087,9.9%
Mussoorie,423,GEN,Rajendra Singh,Bharatiya Janta Party,245808,144165,58.6 %,5423,3.8%
Dehra Dun,424,GEN,Harbans Kapoor,Bharatiya Janta Party,194698,95620,49.1 %,14354,15.0%
Chakrata,425,ST,Pritam Singh,Indian National Congress,185199,121711,65.7 %,500,0.4%
