#,AC Name,AC No.,Type,Winning Candidate,Party,Total Electors,Total Votes,Poll%,Margin,Margin %
1,Pernem,1,SC,Mandrekar Deu Gunaji,Maharashtrawadi Gomantak,15303,8062,52.7 %,1988,24.7%
2,Mandrem,2,GEN,Khalap Ramakant Dattaram,Maharashtrawadi Gomantak,15267,9713,63.6 %,2019,20.8%
3,Siolim,3,GEN,Chodankar Ghandrakant Uttam,Maharashtrawadi Gomantak,17903,11727,65.5 %,2877,24.5%
4,Calangute,4,GEN,Fernandes Rual Ilario,Maharashtrawadi Gomantak,18916,11898,62.9 %,286,2.4%
5,Mapusa,5,GEN,Shirsat Surendra Vasant,Maharashtrawadi Gomantak,18906,12200,64.5 %,1666,13.7%
6,Tivim,6,GEN,Narvenkar Dayanand Ganesh,Maharashtrawadi Gomantak,17759,11034,62.1 %,463,4.2%
7,Bicholim,7,GEN,Kakodkar Shashikala Gurudutt,Maharashtrawadi Gomantak,16906,12351,73.1 %,3120,25.3%
8,Pale,8,GEN,Shenvi Surlikar Laxmikant Santaram,Indian National Congress,16791,11489,68.4 %,356,3.1%
9,Satari,9,GEN,Rane Pratapsingh Raoji,Indian National Congress,14998,10113,67.4 %,1111,11.0%
10,Panaji,10,GEN,Bir Madhv Ramkrishna,Janta Party,15666,8749,55.8 %,1006,11.5%
11,Santa Cruz,11,GEN,Sequeira Jack Erasmo,Janta Party,14414,9786,67.9 %,1806,18.5%
12,Cumbarjua,12,GEN,Ghodankar Vinayak Dharma,Maharashtrawadi Gomantak,16850,10704,63.5 %,968,9.0%
13,Santo Andre,13,GEN,Guncoliencar Shripad Laxman,Indian National Congress,13565,8367,61.7 %,162,1.9%
14,Marcaim,14,GEN,Bandodcar Krishan Ragu,Maharashtrawadi Gomantak,15349,10452,68.1 %,3846,36.8%
15,Ponda,15,GEN,Naik Rhoidas Harischandra,Maharashtrawadi Gomantak,14642,10387,70.9 %,313,3.0%
16,Siroda,16,GEN,Naik Jayakrishna Putu,Maharashtrawadi Gomantak,16104,10325,64.1 %,2976,28.8%
17,Sanguem,17,GEN,Marather Sadashiv Vaman,Maharashtrawadi Gomantak,16850,10683,63.4 %,848,7.9%
18,Rivona,18,GEN,Dessai Dilkush Fotu,Maharashtrawadi Gomantak,13078,8796,67.3 %,1071,12.2%
19,Canacona,19,GEN,Gaonkar Vasu Paik,Maharashtrawadi Gomantak,15833,11300,71.4 %,2531,22.4%
20,Quepem,20,GEN,Dessai Vaikunt Govind,Indian National Congress,17045,10455,61.3 %,571,5.5%
21,Cuncolim,21,GEN,Rebello Ferdino Assiz,Janta Party,18605,10578,56.9 %,40,0.4%
22,Benaulim,22,GEN,Cota Lourence Pedro Santano,Indian National Congress,17669,9879,55.9 %,1079,10.9%
23,Navelim,23,GEN,Velho Leo Mauricic,Indian National Congress,15290,9064,59.3 %,2009,22.2%
24,Margao,24,GEN,Naik Ananta Narcinava,Indian National Congress,14737,9332,63.3 %,1787,19.1%
25,Curtorim,25,GEN,Sardinha Ferncisco Cetana,Indian National Congress,17401,9458,54.4 %,1128,11.9%
26,Cortalim,26,GEN,Froilano Machado,Indian National Congress,14966,9279,62.0 %,2223,24.0%
27,Dabolim,27,GEN,Laad Shankar Vishveswar,Maharashtrawadi Gomantak,14149,7939,56.1 %,612,7.7%
28,Mormugao,28,GEN,Shaikh Hassan Haroon,Indian National Congress,16375,8518,52.0 %,641,7.5%
29,Daman,29,GEN,Bhathela Makanbhai Morarji,Independent,20640,14411,69.8 %,22,0.2%
30,Diu,30,GEN,Fugro Narayan Shrinivas,Independent,13834,10070,72.8 %,1957,19.4%
