AC Name,AC No.,Type,District,Winning Candidate,Party,Total Electors,Total Votes,Poll%,Margin,Margin %
Maheswaram,50,GEN,Rangareddi,Patlolla Sabitha Indra Reddy,Bharat Rashtra Samithi,1093233,304303,27.8 %,26187,8.6%
Rajendranagar,51,GEN,Rangareddi,T. Prakash Goud,Bharat Rashtra Samithi,1164056,326361,28.0 %,32096,9.8%
Serilingampally,52,GEN,Rangareddi,Arekapudi Gandhi,Bharat Rashtra Samithi,1464849,354685,24.2 %,46552,13.1%
Chevella,53,SC,Rangareddi,Kale Yadaiah,Bharat Rashtra Samithi,524155,195379,37.3 %,268,0.1%
Pargi,54,GEN,Rangareddi,Tammannagari Ram Mohan Reddy,Indian National Congress,519337,200256,38.6 %,24013,12.0%
Vicarabad,55,SC,Rangareddi,Gaddam Prasad Kumar,Indian National Congress,456634,172870,37.9 %,12893,7.5%
Tandur,56,GEN,Rangareddi,B. Manohar Reddy,Indian National Congress,472245,174633,37.0 %,6583,3.8%
Musheerabad,57,GEN,Hyderabad,Muta Gopal,Bharat Rashtra Samithi,603694,151920,25.2 %,37797,24.9%
Malakpet,58,GEN,Hyderabad,Ahmed Bin Abdullah Balala,All India Majlis-E-Ittehadul Muslimeen,635793,131143,20.6 %,26106,19.9%
Amberpet,59,GEN,Hyderabad,Kaleru Venkatesh,Bharat Rashtra Samithi,554258,145171,26.2 %,24537,16.9%
Khairatabad,60,GEN,Hyderabad,Danam Nagender,Bharat Rashtra Samithi,592002,153730,26.0 %,22010,14.3%
Jubilee Hills,61,GEN,Hyderabad,Maganti Gopinath,Bharat Rashtra Samithi,770534,181938,23.6 %,16337,9.0%
Sanathnagar,62,GEN,Hyderabad,Talasani Srinivas Yadav,Bharat Rashtra Samithi,498111,127223,25.5 %,41827,32.9%
Nampally,63,GEN,Hyderabad,Mohammed Majid Hussain,All India Majlis-E-Ittehadul Muslimeen,665653,151756,22.8 %,2037,1.3%
Karwan,64,GEN,Hyderabad,Kausar Mohiuddin,All India Majlis-E-Ittehadul Muslimeen,719018,174940,24.3 %,41986,24.0%
Goshamahal,65,GEN,Hyderabad,T. Raja Singh,Bharatiya Janta Party,541222,147633,27.3 %,21457,14.5%
Charminar,66,GEN,Hyderabad,Mir Zulfeqar Ali,All India Majlis-E-Ittehadul Muslimeen,452226,97266,21.5 %,22853,23.5%
Chandrayangutta,67,GEN,Hyderabad,Akbar Uddin Owaisi,All India Majlis-E-Ittehadul Muslimeen,675786,152311,22.5 %,81660,53.6%
Yakutpura,68,GEN,Hyderabad,Jaffar Hussain,All India Majlis-E-Ittehadul Muslimeen,706260,139730,19.8 %,878,0.6%
Bahadurpura,69,GEN,Hyderabad,Mohammed Mubeen,All India Majlis-E-Ittehadul Muslimeen,633278,142446,22.5 %,67025,47.1%
