#,AC Name,AC No.,Type,Winning Candidate,Party,Total Electors,Total Votes,Poll%,Margin,Margin %
74,Hissar,74,GEN,Balwant Rai Tayal,Janta Party,62839,39171,62.3 %,7332,18.7%
75,Ghirai,75,GEN,Kanwal Singh,Janta Party,68566,44562,65.0 %,9420,21.1%
76,Tohana,76,GEN,Karam Singh,Janta Party,67048,40366,60.2 %,10319,25.6%
77,Ratia,77,SC,Peer Chand,Janta Party,61309,33671,54.9 %,2951,8.8%
78,Fatehabad,78,GEN,Harphul Singh,Janta Party,71228,49117,69.0 %,137,0.3%
79,Adampur,79,GEN,Bhajan Lal,Janta Party,68346,49352,72.2 %,20803,42.2%
80,Darba Kalan,80,GEN,Jagdish Kumar,Independent,69888,48641,69.6 %,4639,9.5%
81,Ellenabad,81,SC,Bhagi Ram,Janta Party,68560,42750,62.4 %,7404,17.3%
82,Sirsa,82,GEN,Shankar Lal,Janta Party,69275,46107,66.6 %,4406,9.6%
83,Rori,83,GEN,Sukhdev Singh,Janta Party,67123,44915,66.9 %,2406,5.4%
84,Dabwali,84,SC,Mani Ram,Janta Party,70317,41523,59.1 %,7985,19.2%
85,Bawal,85,SC,Shakuntala,Janta Party,77737,45079,58.0 %,3509,7.8%
86,Rewari,86,GEN,Ram Singh,Janta Party,69927,44536,63.7 %,86,0.2%
87,Jatusana,87,GEN,Inderjeet Singh,Vishal Haryana,81681,50916,62.3 %,5299,10.4%
88,Mahendragarh,88,GEN,Dali Singh,Vishal Haryana,77158,53164,68.9 %,2158,4.1%
89,Ateli,89,GEN,Birender Singh,Vishal Haryana,77524,52887,68.2 %,12499,23.6%
90,Narnaul,90,GEN,Ayodhya Prashad,Janta Party,74495,47133,63.3 %,11409,24.2%
