#,AC Name,AC No.,Type,Winning Candidate,Party,Total Electors,Total Votes,Poll%,Margin,Margin %
1,Ratabari,1,SC,Rathish Ranjan Choudhury,Independent,117541,68258,58.1 %,1513,2.2%
2,Patharkandi,2,GEN,Monilal Gowala,Indian National Congress,122592,88220,72.0 %,26265,29.8%
3,Karimganj North,3,GEN,Mission Ranjan Das,Bharatiya Janta Party,139739,99075,70.9 %,17321,17.5%
4,Karimganj South,4,GEN,Siddeque Ahmed,Samata Party,126197,83865,66.5 %,3359,4.0%
5,Badarpur,5,GEN,Jamal Uddin Ahmod,All India Trinamool Congress,107070,76310,71.3 %,1908,2.5%
6,Hailakandi,6,GEN,Sahab Uddin Choudhury,Independent,107860,88360,81.9 %,8824,10.0%
7,Katlicherra,7,GEN,Gautam Roy,Indian National Congress,118835,89882,75.6 %,34691,38.6%
8,Algapur,8,GEN,Sahidul Alam Choudhury,Asom Gana Parisad,108953,87058,79.9 %,15880,18.2%
9,Silchar,9,GEN,Bimolangshu Roy,Bharatiya Janta Party,157722,94132,59.7 %,71,0.1%
10,Sonai,10,GEN,Anwar Hussain Laskar,Samajwadi Party,117908,85705,72.7 %,5459,6.4%
11,Dholai,11,SC,Parimal Suklabaidya,Bharatiya Janta Party,122234,77388,63.3 %,3354,4.3%
12,Udharbond,12,GEN,Ajit Singh,Indian National Congress,109149,72141,66.1 %,3989,5.5%
13,Lakhipur,13,GEN,Dinesh Prasad Goala,Indian National Congress,113818,82178,72.2 %,9755,11.9%
14,Barkhola,14,GEN,Misbahul Islam Laskar,Indian National Congress,98552,73574,74.7 %,3505,4.8%
15,Katigora,15,GEN,Kali Ranjan Deb,Bharatiya Janta Party,118013,81165,68.8 %,6582,8.1%
16,Haflong,16,ST,Gobinda Ch. Langthasa,Indian National Congress,105940,75653,71.4 %,12003,15.9%
17,Bokajan,17,ST,Jagat Sing Engti,Autonomous State Demand Committee (United),95127,69867,73.4 %,3289,4.7%
18,Howraghat,18,ST,Dharamsing Teron,Autonomous State Demand Committee (United),86489,70278,81.3 %,6233,8.9%
19,Diphu,19,ST,Bidyasing Engleng,Indian National Congress,131748,97913,74.3 %,7101,7.3%
20,Baithalangso,20,ST,Rupon Sing Ronghang,Indian National Congress,134126,96439,71.9 %,977,1.0%
21,Mankachar,21,GEN,Hosenara Islam,Nationalist Congress Party,113225,98652,87.1 %,3689,3.7%
22,Salmara South,22,GEN,Wazed Ali Choudhury,Indian National Congress,95643,80627,84.3 %,20146,25.0%
23,Dhubri,23,GEN,Nazibul Umar.,Indian National Congress,108468,89129,82.2 %,17331,19.4%
24,Gauripur,24,GEN,Banendra Kumar Mushahary,Asom Gana Parisad,116275,99888,85.9 %,3292,3.3%
25,Golakganj,25,GEN,Dinesh Chandra Sarker,Bharatiya Janta Party,115563,96143,83.2 %,23769,24.7%
26,Bilasipara West,26,GEN,Ali Akbar Miah,Asom Gana Parisad,95130,80602,84.7 %,2225,2.8%
27,Bilasipara East,27,GEN,Prashanta Kumar Baruah,Asom Gana Parisad,124087,101873,82.1 %,9564,9.4%
28,Gossaigaon,28,GEN,Methias Tudu,Indian National Congress,125082,113118,90.4 %,21167,18.7%
29,Kokrajhar West,29,ST,Hemendra Nath Brahma,Independent,119866,106661,89.0 %,62427,58.5%
30,Kokrajhar East,30,ST,Pramila Rani Brahma,Independent,126093,112388,89.1 %,76195,67.8%
31,Sidli,31,ST,Matindra Basumatary,Independent,140082,116805,83.4 %,66326,56.8%
32,Bongaigaon,32,GEN,Phani Bhusan Choudhury,Asom Gana Parisad,113414,87529,77.2 %,26860,30.7%
33,Bijni,33,GEN,Romio Brahma,Independent,89751,76342,85.1 %,16182,21.2%
34,Abhayapuri North,34,GEN,Bhupen Ray,Asom Gana Parisad,93955,79669,84.8 %,1467,1.8%
35,Abhayapuri South,35,SC,Chandan Kumar Sarkar,Indian National Congress,112250,91543,81.6 %,3633,4.0%
36,Dudhnai,36,ST,Pranoy Rabha,Indian National Congress,121839,90351,74.2 %,12161,13.5%
37,Goalpara East,37,GEN,Shadeed Mazumder,Nationalist Congress Party,121763,95920,78.8 %,12600,13.1%
38,Goalpara West,38,GEN,Sheikh Shah Alam,Nationalist Congress Party,94203,76925,81.7 %,13104,17.0%
39,Jaleswar,39,GEN,Aftabuddin,Indian National Congress,85337,69383,81.3 %,16595,23.9%
40,Sorbhog,40,GEN,Samsul Hoque,Independent,129311,98763,76.4 %,4071,4.1%
41,Bhabanipur,41,GEN,Sarbananda Choudhury,Indian National Congress,94096,76632,81.4 %,5565,7.3%
42,Patacharkuchi,42,GEN,Pabindra Deka,Independent,107650,76463,71.0 %,99,0.1%
43,Barpeta,43,GEN,Ismail Hussain,Indian National Congress,117273,102098,87.1 %,193,0.2%
44,Jania,44,GEN,Asahaque Ali,Indian National Congress,105845,81818,77.3 %,3406,4.2%
45,Baghbar,45,GEN,Dilder Rezza,Indian National Congress,81316,67194,82.6 %,21373,31.8%
46,Sarukhetri,46,GEN,Dr. Tara Prasad Das,Independent,118236,92625,78.3 %,14887,16.1%
47,Chenga,47,GEN,Sukur Ali Ahmed,Indian National Congress,79637,62977,79.1 %,967,1.5%
48,Boko,48,SC,Gopi Nath Das,Indian National Congress,128422,100764,78.5 %,23379,23.2%
49,Chaygaon,49,GEN,Rana Goswami,Indian National Congress,110955,89172,80.4 %,13193,14.8%
50,Palasbari,50,GEN,Pranab Kalita,Independent,107403,84041,78.2 %,635,0.8%
51,Jalukbari,51,GEN,Himanta Biswa Sarma,Indian National Congress,127120,96363,75.8 %,10019,10.4%
52,Dispur,52,GEN,Robin Bordoloi,Indian National Congress,215074,126969,59.0 %,3379,2.7%
53,Gauhati East,53,GEN,Pankaj Bora,Indian National Congress,164730,89504,54.3 %,15947,17.8%
