#,AC Name,AC No.,Type,District,Winning Candidate,Party,Total Electors,Total Votes,Poll%,Margin,Margin %
52,Tughlakabad,52,GEN,South,Sahi Ram,Aam Aadmi Party,155327,103057,66.3 %,33701,32.7%
53,Badarpur,53,GEN,South,Narayan Dutt Sharma,Aam Aadmi Party,260859,170401,65.3 %,47583,27.9%
54,Okhla,54,GEN,District New Delhi,Amanatullah Khan,Aam Aadmi Party,273464,166658,60.9 %,64532,38.7%
55,Trilokpuri,55,SC,East,Raju Dhingan,Aam Aadmi Party,178165,127778,71.7 %,29754,23.3%
56,Kondli,56,SC,East,Manoj Kumar,Aam Aadmi Party,177767,124719,70.2 %,24759,19.9%
57,Patparganj,57,GEN,East,Manish Sisodia,Aam Aadmi Party,214338,140875,65.7 %,28761,20.4%
58,Laxmi Nagar,58,GEN,East,Nitin Tyagi,Aam Aadmi Party,203695,136849,67.2 %,4846,3.5%
59,Vishwas Nagar,59,GEN,East,Om Prakash Sharma,Bharatiya Janta Party,186842,128720,68.9 %,10158,7.9%
60,Krishna Nagar,60,GEN,East,S K Bagga Advocate,Aam Aadmi Party,190118,137365,72.3 %,2277,1.7%
61,Gandhi Nagar,61,GEN,East,Anil Kumar Bajpai,Aam Aadmi Party,168775,112603,66.7 %,7482,6.6%
62,Shahdara,62,GEN,East,Ram Niwas Goel,Aam Aadmi Party,169896,118256,69.6 %,11731,9.9%
63,Seema Puri,63,SC,North-East,Rajendra Pal Gautam,Aam Aadmi Party,172741,126541,73.3 %,48821,38.6%
64,Rohtas Nagar,64,GEN,North-East,Sarita Singh,Aam Aadmi Party,191580,135354,70.7 %,7874,5.8%
65,Seelampur,65,GEN,North-East,Mohd. Ishraque,Aam Aadmi Party,155735,111797,71.8 %,27887,24.9%
66,Ghonda,66,GEN,North-East,Shri Dutt Sharma,Aam Aadmi Party,202799,135474,66.8 %,8093,6.0%
67,Babarpur,67,GEN,North-East,Gopal Rai,Aam Aadmi Party,192358,128049,66.6 %,35488,27.7%
68,Gokalpur,68,SC,North-East,Fateh Singh,Aam Aadmi Party,197045,146240,74.2 %,31968,21.9%
69,Mustafabad,69,GEN,North-East,Jagdish Pradhan,Bharatiya Janta Party,233426,165269,70.8 %,6031,3.6%
70,Karawal Nagar,70,GEN,North-East,Kapil Mishra,Aam Aadmi Party,243710,170205,69.8 %,44431,26.1%
