#,AC Name,AC No.,Type,District,Winning Candidate,Party,Total Electors,Total Votes,Poll%,Margin,Margin %
1,Abdasa,1,GEN,Kachchh,Jadeja Pradhyumansinh Mahipatsinh,Indian National Congress,220527,147010,66.7 %,9746,6.6%
2,Mandvi,2,GEN,Kachchh,Jadeja Virendrasinh Bahadursinh,Bharatiya Janta Party,221048,158375,71.6 %,9046,5.7%
3,Bhuj,3,GEN,Kachchh,Acharya Dr.Nimaben Bhaveshbhai,Bharatiya Janta Party,250582,166008,66.2 %,14022,8.4%
4,Anjar,4,GEN,Kachchh,Ahir Vasanbhai Gopalbhai,Bharatiya Janta Party,224723,152569,67.9 %,11313,7.4%
5,Gandhidham,5,SC,Kachchh,Maheshwari Malti Kishor,Bharatiya Janta Party,273674,147870,54.0 %,20270,13.7%
6,Rapar,6,GEN,Kachchh,Aarethiya Santokben Bhachubhai,Indian National Congress,213824,125498,58.7 %,15209,12.1%
7,Vav,7,GEN,Banas Kantha,Thakor Geniben Nagaji,Indian National Congress,251789,205059,81.4 %,6655,3.2%
8,Tharad,8,GEN,Banas Kantha,Patel Parbatbhai Savabhai,Bharatiya Janta Party,205265,177397,86.4 %,11733,6.6%
9,Dhanera,9,GEN,Banas Kantha,Patel Nathabhai Hegolabhai,Indian National Congress,225937,171153,75.8 %,2093,1.2%
10,Danta,10,ST,Banas Kantha,Kantibhai Kalabhai Kharadi,Indian National Congress,214673,156419,72.9 %,24652,15.8%
11,Vadgam,11,SC,Banas Kantha,Jigneshkumar Natvarlal Mevani,Independent,257975,183751,71.2 %,19696,10.7%
12,Palanpur,12,GEN,Banas Kantha,Patel Maheshkumar Amrutlal,Indian National Congress,247316,172002,69.5 %,17593,10.2%
13,Deesa,13,GEN,Banas Kantha,Pandya Shashikant Mahobatram,Bharatiya Janta Party,246372,176256,71.5 %,14531,8.2%
14,Deodar,14,GEN,Banas Kantha,Bhuriya Shivabhai Amrabhai,Indian National Congress,208788,163638,78.4 %,972,0.6%
15,Kankrej,15,GEN,Banas Kantha,Kirtisinh Prabhatsinh Vaghela,Bharatiya Janta Party,246778,187706,76.1 %,8588,4.6%
16,Radhanpur,16,GEN,Patan,Alpesh Khodaji Thakor,Indian National Congress,254272,175838,69.2 %,14857,8.4%
17,Chanasma,17,GEN,Patan,Dilipkumar Viraji Thakor,Bharatiya Janta Party,256097,174750,68.2 %,8234,4.7%
18,Patan,18,GEN,Patan,Kiritkumar Chimanlal Patel,Indian National Congress,268552,186985,69.6 %,25279,13.5%
19,Sidhpur,19,GEN,Patan,Thakor Chandanjii Talaji,Indian National Congress,235506,164993,70.1 %,17260,10.5%
20,Kheralu,20,GEN,Mahesana,Dabhi Bharatsinhji Shankarji,Bharatiya Janta Party,252825,141794,56.1 %,21415,15.1%
21,Unjha,21,GEN,Mahesana,Dr. Asha Patel,Indian National Congress,177259,150080,84.7 %,19529,13.0%
22,Visnagar,22,GEN,Mahesana,Patel Rushikesh Ganeshbhai,Bharatiya Janta Party,183108,155354,84.8 %,2869,1.8%
23,Becharaji,23,GEN,Mahesana,Thakor Bharatji Sonaji,Indian National Congress,227858,161008,70.7 %,15811,9.8%
24,Kadi,24,SC,Mahesana,Karshanbhai Punjabhai Solanki,Bharatiya Janta Party,253695,189759,74.8 %,7746,4.1%
25,Mahesana,25,GEN,Mahesana,Patel Nitinbhai Ratilal,Bharatiya Janta Party,385048,183228,47.6 %,7137,3.9%
26,Vijapur,26,GEN,Mahesana,Patel Ramanbhai Dhulabhai,Bharatiya Janta Party,72434,150022,207.1 %,1164,0.8%
27,Himatnagar,27,GEN,Sabar Kantha,Rajendrasinh Ranjitsinh Chavda(RAJUBHAI CHAVDA),Bharatiya Janta Party,248215,192194,77.4 %,1712,0.9%
28,Idar,28,SC,Sabar Kantha,Kanodiya Hitu,Bharatiya Janta Party,255469,191967,75.1 %,14813,7.7%
29,Khedbrahma,29,ST,Sabar Kantha,Kotwal Ashvinbhai Laxmanbhai,Indian National Congress,230336,174329,75.7 %,11131,6.4%
30,Bhiloda,30,ST,Sabar Kantha,Dr. Anil Joshiyara,Indian National Congress,271588,189434,69.8 %,12417,6.6%
31,Modasa,31,GEN,Sabar Kantha,Thakor Rajendrasinh Shivsinh,Indian National Congress,241108,170919,70.9 %,1640,1.0%
32,Bayad,32,GEN,Sabar Kantha,Zala Dhavalsinh Narendrasinh,Indian National Congress,220286,154621,70.2 %,7901,5.1%
33,Prantij,33,GEN,Sabar Kantha,Parmar Gajendrasinh Udesinh,Bharatiya Janta Party,234272,174166,74.3 %,2551,1.5%
34,Dahegam,34,GEN,Gandhinagar,Chauhan Balrajsinh Kalyansinh,Bharatiya Janta Party,198392,142378,71.8 %,10860,7.6%
35,Gandhinagar South,35,GEN,Gandhinagar,Thakor Shambhuji Chelaji,Bharatiya Janta Party,295588,210960,71.4 %,11538,5.5%
36,Gandhinagar North,36,GEN,Gandhinagar,Dr. C. J. Chavda,Indian National Congress,228632,159505,69.8 %,5736,3.6%
37,Mansa,37,GEN,Gandhinagar,Patel Sureshkumar Chaturdas,Indian National Congress,209078,159304,76.2 %,524,0.3%
38,Kalol,38,GEN,Gandhinagar,Baldevji Chanduji Thakor,Indian National Congress,220168,162174,73.7 %,7965,4.9%
39,Viramgam,39,GEN,Ahmadabad,Bharwad Lakhabhai Bhikhabhai,Indian National Congress,267255,183241,68.6 %,6548,3.6%
40,Sanand,40,GEN,Ahmadabad,Kanubhai Karamshibhai Patel,Bharatiya Janta Party,238287,180061,75.6 %,7721,4.3%
41,Ghatlodia,41,GEN,Ahmadabad,Patel Bhupendrabhai Rajnikant,Bharatiya Janta Party,339272,237614,70.0 %,117750,49.6%
42,Vejalpur,42,GEN,Ahmadabad,Chauhan Kishor Babulal,Bharatiya Janta Party,306185,216734,70.8 %,22567,10.4%
43,Vatva,43,GEN,Ahmadabad,Pradipsinh Bhagvatsinh Jadeja,Bharatiya Janta Party,295497,209701,71.0 %,62380,29.7%
44,Ellisbridge,44,GEN,Ahmadabad,Shah Rakeshbhai Jasvantlal (RAKESH SHAH),Bharatiya Janta Party,233929,152586,65.2 %,85205,55.8%
45,Naranpura,45,GEN,Ahmadabad,Kaushikbhai Jamnadas Patel (KAUSHIK PATEL),Bharatiya Janta Party,225214,149856,66.5 %,66215,44.2%
46,Nikol,46,GEN,Ahmadabad,Jagdish Panchal,Bharatiya Janta Party,227050,153663,67.7 %,24880,16.2%
47,Naroda,47,GEN,Ahmadabad,Thawani Balram Khubchand,Bharatiya Janta Party,254343,162225,63.8 %,60142,37.1%
48,Thakkarbapa Nagar,48,GEN,Ahmadabad,Kakadiya Vallabhbhai Gobarbhai,Bharatiya Janta Party,219272,145212,66.2 %,34088,23.5%
49,Bapunagar,49,GEN,Ahmadabad,Patel Himmatsinh Prahladsinh,Indian National Congress,185768,120961,65.1 %,3067,2.5%
50,Amraiwadi,50,GEN,Ahmadabad,Patel Hasmukhbhai Somabhai ( H. S. PATEL ),Bharatiya Janta Party,261288,169246,64.8 %,49732,29.4%
51,Dariapur,51,GEN,Ahmadabad,Shaikh Gyasuddin Habibuddeen,Indian National Congress,191885,125811,65.6 %,6187,4.9%
52,Jamalpur - Khadia,52,GEN,Ahmadabad,Imran Yusufbhai Khedawala,Indian National Congress,189737,127686,67.3 %,29339,23.0%
53,Maninagar,53,GEN,Ahmadabad,Patel Sureshbhai Dhanjibhai (SURESH PATEL),Bharatiya Janta Party,246076,160368,65.2 %,75199,46.9%
54,Danilimda,54,SC,Ahmadabad,Parmar Shailesh Manharbhai,Indian National Congress,224305,153672,68.5 %,32510,21.2%
55,Sabarmati,55,GEN,Ahmadabad,Arvidkumar Gandabhai Patel (DALAL),Bharatiya Janta Party,247192,164080,66.4 %,68810,41.9%
56,Asarwa,56,SC,Ahmadabad,Parmar Pradipbhai Khanabhai,Bharatiya Janta Party,198639,130504,65.7 %,49264,37.7%
57,Daskroi,57,GEN,Ahmadabad,Babubhai Jamnadas Patel,Bharatiya Janta Party,293053,219005,74.7 %,45065,20.6%
58,Dholka,58,GEN,Ahmadabad,Bhupendrasinh Manubha Chudasama,Bharatiya Janta Party,227176,158497,69.8 %,327,0.2%
59,Dhandhuka,59,GEN,Ahmadabad,Gohil Rajeshkumar Harjibhai,Indian National Congress,241304,139659,57.9 %,5920,4.2%
60,Dasada,60,SC,Surendranagar,Solanki Naushadji Bhalajibhai,Indian National Congress,233819,150986,64.6 %,3728,2.5%
61,Limbdi,61,GEN,Surendranagar,Kolipatel Somabhai Gandalal,Indian National Congress,254236,162242,63.8 %,14651,9.0%
62,Wadhwan,62,GEN,Surendranagar,Dhanjibhai Patel (MAKSON),Bharatiya Janta Party,263603,171138,64.9 %,19524,11.4%
63,Chotila,63,GEN,Surendranagar,Makwana Rutvikbhai Lavjibhai,Indian National Congress,226717,150165,66.2 %,23887,15.9%
64,Dhrangadhra,64,GEN,Surendranagar,Parsotam Ukabhai Sabariya,Indian National Congress,270503,189113,69.9 %,13916,7.4%
65,Morbi,65,GEN,Rajkot,Brijesh Merja,Indian National Congress,250575,180412,72.0 %,3419,1.9%
66,Tankara,66,GEN,Rajkot,Kagathara Lalitbhai,Indian National Congress,221256,164277,74.2 %,29770,18.1%
67,Wankaner,67,GEN,Rajkot,Pirzada Mahamadjavid Abdulmutalib,Indian National Congress,238818,180056,75.4 %,1361,0.8%
68,Rajkot East,68,GEN,Rajkot,Arvind Raiyani,Bharatiya Janta Party,253147,171282,67.7 %,22782,13.3%
69,Rajkot West,69,GEN,Rajkot,Vijay Rupani,Bharatiya Janta Party,308494,213574,69.2 %,53755,25.2%
