#,AC Name,AC No.,Type,Winning Candidate,Party,Total Electors,Total Votes,Poll%,Margin,Margin %
1,Pernem,1,SC,Bandekar Shambhu Bhavti,Indian National Congress,16878,12091,71.6 %,16,0.1%
2,Mandrem,2,GEN,Khalap Ramakant Dattaram,Maharashtrawadi Gomantak,16805,13341,79.4 %,1985,14.9%
3,Siolim,3,GEN,Naik Ashok Tukaram,Maharashtrawadi Gomantak,20354,15176,74.6 %,766,5.0%
4,Calangute,4,GEN,Malik Shrikant Keshav,Maharashtrawadi Gomantak,21605,15744,72.9 %,230,1.5%
5,Mapusa,5,GEN,Diucar Chandreshkar Sihivram,Maharashtrawadi Gomantak,19791,14459,73.1 %,392,2.7%
6,Tivim,6,GEN,Narvekar Dayanand Ganesh,Indian National Congress,22313,15976,71.6 %,3456,21.6%
7,Bicholim,7,GEN,Prabhu Zantye Harish Narayan,Indian National Congress,20592,15701,76.2 %,3825,24.4%
8,Pale,8,GEN,Verenkar Chandrakant Vishwanath,Indian National Congress,20451,15117,73.9 %,1713,11.3%
9,Satari,9,GEN,Rane Sardesar Pratapsing Raoji,Indian National Congress,19361,15455,79.8 %,3130,20.3%
10,Panaji,10,GEN,Gonsalves Joao Baptista Florino,Indian National Congress,16457,10798,65.6 %,2977,27.6%
11,Santa Cruz,11,GEN,Branco Freancisco Afonso,Independent,18617,12872,69.1 %,2598,20.2%
12,Cumbarjua,12,GEN,Jhalmi Kashinath Govind,Maharashtrawadi Gomantak,18651,12960,69.5 %,454,3.5%
13,Santo Andre,13,GEN,Concolinkar Sripad Laxmian,Indian National Congress,17068,11829,69.3 %,1279,10.8%
14,Marcaim,14,GEN,Gaunkar Babusso Sanvlo,Maharashtrawadi Gomantak,17943,13997,78.0 %,1999,14.3%
15,Ponda,15,GEN,Naik Ravi Sitaram,Maharashtrawadi Gomantak,21338,16428,77.0 %,2622,16.0%
16,Siroda,16,GEN,Shirodker Subhash Ankush,Indian National Congress,19385,14357,74.1 %,3620,25.2%
17,Sanguem,17,GEN,Naik Pandu Vassu,Indian National Congress,19968,14821,74.2 %,2043,13.8%
18,Rivona,18,GEN,Velip Prakash Shankar,Maharashtrawadi Gomantak,16049,11953,74.5 %,959,8.0%
19,Canacona,19,GEN,Gaonkar Vassu Paik,Indian National Congress,19492,15207,78.0 %,3058,20.1%
20,Quepem,20,GEN,Voikunt Dessai,Indian National Congress,21711,15557,71.7 %,585,3.8%
21,Cuncolim,21,GEN,Fernandes Manu,Indian National Congress,20165,12948,64.2 %,2642,20.4%
22,Benaulim,22,GEN,Cruz Francisco Monte Piedade,Indian National Congress,19030,13288,69.8 %,1725,13.0%
23,Navelim,23,GEN,Faleiro Luizinho,Independent,20799,13715,65.9 %,5654,41.2%
24,Margao,24,GEN,Bhembre Uday Laxmikant,Independent,17551,12000,68.4 %,1357,11.3%
25,Curtorim,25,GEN,Sardinha Francisco Caetano,Indian National Congress,20375,13881,68.1 %,5665,40.8%
26,Cortalim,26,GEN,Barbosa Luis Proto,Indian National Congress,18283,11847,64.8 %,1623,13.7%
27,Dabolim,27,GEN,D'souza Simon Peter,Indian National Congress,23537,15686,66.6 %,2694,17.2%
28,Mormugao,28,GEN,Shaikh Hassan Haroon,Indian National Congress,19929,12830,64.4 %,3552,27.7%
29,Daman,29,GEN,Prabhakar Jivanbhai Somabhai,Independent,25296,18921,74.8 %,1865,9.9%
30,Diu,30,GEN,Solanki Shamjibhai Bhikha,Indian National Congress,16863,12595,74.7 %,382,3.0%
