#,AC Name,AC No.,Type,Winning Candidate,Party,Total Electors,Total Votes,Poll%,Margin,Margin %
138,Borsad,138,GEN,Amitkumar Ajitkumar Chavda,Indian National Congress,181252,116779,64.4 %,31525,27.0%
139,Bhadran,139,GEN,Parmar Rajendrasinh Dhirsinh,Indian National Congress,177242,109595,61.8 %,27691,25.3%
140,Cambay,140,GEN,Shukal Shirishkumar Madhusudan,Bharatiya Janta Party,169152,102553,60.6 %,10077,9.8%
141,Chhota Udaipur,141,ST,Gulsinghbhai Rangalabhai Rathva,Bharatiya Janta Party,192358,98300,51.1 %,6118,6.2%
142,Jetpur,142,GEN,Mohansinh Chhotubhai Rathava,Indian National Congress,165304,97779,59.2 %,939,1.0%
143,Nasvadi,143,ST,Bhil Dhirubhai Chunilal,Indian National Congress,182505,105349,57.7 %,3924,3.7%
144,Sankheda,144,ST,Tadvi Abhesinh Motibhai,Bharatiya Janta Party,136030,82012,60.3 %,9564,11.7%
145,Dabhoi,145,GEN,Siddharth Chimanbhai Patel,Indian National Congress,128689,90675,70.5 %,12950,14.3%
146,Savli,146,GEN,Chauhan Khumansinh Raysinh,Indian National Congress,171221,110112,64.3 %,5435,4.9%
147,Baroda City,147,GEN,Lakhawala Bhupendrabhai Gatulal,Bharatiya Janta Party,277449,151302,54.5 %,29387,19.4%
148,Sayajiganj,148,GEN,Jitendra Sukhadiya,Bharatiya Janta Party,495111,268630,54.3 %,75941,28.3%
149,Raopura,149,GEN,Yogesh Patel,Bharatiya Janta Party,238006,129977,54.6 %,52923,40.7%
150,Vaghodia,150,GEN,Shrivastav Madhubhai Babubhai,Bharatiya Janta Party,183613,115731,63.0 %,9293,8.0%
151,Baroda Rural,151,GEN,Gohil Upendrasinh Pratapsinh,Bharatiya Janta Party,205555,122526,59.6 %,13198,10.8%
152,Padra,152,GEN,Dineshbhai B Patel (DINU MAMA),Independent,182074,117379,64.5 %,14173,12.1%
153,Karjan,153,SC,Dabhi Chandubhai Motibhai,Indian National Congress,163373,107711,65.9 %,2286,2.1%
154,Jambusar,154,GEN,Kirankumar Lakshmanbhai Makwana,Indian National Congress,156397,89655,57.3 %,1001,1.1%
155,Vagra,155,GEN,Iqbal Patel,Indian National Congress,157983,105398,66.7 %,4330,4.1%
156,Broach,156,GEN,Dushyantbhai Rajnikant Patel,Bharatiya Janta Party,233009,147309,63.2 %,8364,5.7%
157,Ankleshwar,157,GEN,Patel Ishwarsinh Thakorbhai,Bharatiya Janta Party,221799,148801,67.1 %,25798,17.3%
158,Jhagadia,158,ST,Vasava Chhotubhai Amarasinhbhai,Janata Dal (United),158631,106156,66.9 %,7533,7.1%
159,Dediapada,159,ST,Vasava Amarsinh Ramsinh,Indian National Congress,199796,141475,70.8 %,22379,15.8%
160,Rajpipla,160,ST,Harshadbhai Chunilal Vasava,Bharatiya Janta Party,150015,102127,68.1 %,631,0.6%
161,Nijhar,161,ST,Pareshbhai Govindbhai Vasava,Indian National Congress,188403,123694,65.7 %,1668,1.3%
162,Mangrol,162,ST,Vasava Ganpatsinh Vestabhai,Bharatiya Janta Party,183446,127321,69.4 %,12899,10.1%
163,Songadh,163,ST,Vasava Prabubhai Nagarbhai,Indian National Congress,165083,112168,67.9 %,41021,36.6%
164,Vyara,164,ST,Gamit Punabhai Dhedabhai,Indian National Congress,175145,119389,68.2 %,17472,14.6%
