#,AC Name,AC No.,Type,District,Winning Candidate,Party,Total Electors,Total Votes,Poll%,Margin,Margin %
134,Devgadbaria,134,GEN,Dohad,Khabad Bachubhai Maganbhai,Bharatiya Janta Party,199983,160665,80.3 %,83753,52.1%
135,Savli,135,GEN,Vadodara,Inamdar Ketanbhai Mahendrabhai,Independent,187597,145772,77.7 %,20319,13.9%
136,Vaghodia,136,GEN,Vadodara,Shrivastav Madhubhai Babubhai,Bharatiya Janta Party,199595,154746,77.5 %,5788,3.7%
137,Chhota Udaipur,137,ST,Vadodara,Rathwa Mohansinh Chhotubhai,Indian National Congress,212978,147787,69.4 %,2305,1.6%
138,Jetpur,138,ST,Vadodara,Rathava Jayantibhai Savajibhai,Bharatiya Janta Party,216447,157099,72.6 %,4273,2.7%
139,Sankheda,139,ST,Vadodara,Bhil Dhirubhai Chunilal,Indian National Congress,233470,173119,74.2 %,1452,0.8%
140,Dabhoi,140,GEN,Vadodara,Patel Balkrishnabhai Naranbhai,Bharatiya Janta Party,185205,143912,77.7 %,5122,3.6%
141,Vadodara City,141,SC,Vadodara,Vakil Manisha Rajivbhai,Bharatiya Janta Party,230130,161941,70.4 %,51889,32.0%
142,Sayajigunj,142,GEN,Vadodara,Sukhadiya Jitendra Ratilal Sukhadiya,Bharatiya Janta Party,232649,161616,69.5 %,58237,36.0%
143,Akota,143,GEN,Vadodara,Saurabh Patel,Bharatiya Janta Party,212965,147802,69.4 %,49867,33.7%
144,Raopura,144,GEN,Vadodara,Rajendra Trivedi (RAJUBHAI VAKIL),Bharatiya Janta Party,235679,162348,68.9 %,41535,25.6%
145,Manjalpur,145,GEN,Vadodara,Yogesh Patel,Bharatiya Janta Party,195321,137473,70.4 %,51785,37.7%
146,Padra,146,GEN,Vadodara,Patel Dineshbhai Balubhai (DINUMAMA),Bharatiya Janta Party,195093,156776,80.4 %,4308,2.7%
147,Karjan,147,GEN,Vadodara,Patel Satishbhai Motibhai,Bharatiya Janta Party,179380,141371,78.8 %,3489,2.5%
148,Nandod,148,ST,Narmada,Tadvi Shabdasharan Bhailalbhai,Bharatiya Janta Party,202227,158587,78.4 %,15727,9.9%
149,Dediyapada,149,ST,Narmada,Motilal Puniabhai Vasava,Bharatiya Janta Party,170533,152422,89.4 %,2555,1.7%
150,Jambusar,150,GEN,Bharuch,Chhatrasinhji Pujabhai Mori,Bharatiya Janta Party,198686,145117,73.0 %,18730,12.9%
