#,AC Name,AC No.,Type,Winning Candidate,Party,Total Electors,Total Votes,Poll%,Margin,Margin %
117,Lahowal,117,GEN,Prithibi Mahji,Indian National Congress,117006,83398,71.3 %,10484,12.6%
118,Duliajan,118,GEN,Rameswar Teli,Bharatiya Janta Party,135023,95647,70.8 %,16189,16.9%
119,Tingkhong,119,GEN,Anup Phukan,Asom Gana Parisad,117997,95522,81.0 %,5342,5.6%
120,Naharkatia,120,GEN,Pranati Phukan,Indian National Congress,115451,85288,73.9 %,19736,23.1%
121,Chabua,121,GEN,Raju Sahu,Indian National Congress,131080,96939,74.0 %,3014,3.1%
122,Tinsukia,122,GEN,Rajendra Prasad Singh,Indian National Congress,136512,96535,70.7 %,2755,2.9%
123,Digboi,123,GEN,Rameswar Dhanowar,Indian National Congress,111564,82298,73.8 %,12735,15.5%
124,Margherita,124,GEN,Pradyut Bordoloi,Indian National Congress,158389,118416,74.8 %,30743,26.0%
125,Doom Dooma,125,GEN,Durga Bhumij,Indian National Congress,124267,88828,71.5 %,1996,2.2%
126,Sadiya,126,GEN,Bolin Chetia,Indian National Congress,135622,104914,77.4 %,2794,2.7%
