AC Name,AC No.,Type,District,Winning Candidate,Party,Total Electors,Total Votes,Poll%,Margin,Margin %
Hachhek,1,ST,Mamit,Lalrindika Ralte,Indian National Congress,22905,18362,80.2 %,366,2.0%
Dampa,2,ST,Mamit,Lalrintluanga Sailo,Mizo National Front,17518,15294,87.3 %,1657,10.8%
Mamit,3,ST,Mamit,H. Lalzirliana,Mizo National Front,22001,19236,87.4 %,407,2.1%
Tuirial,4,ST,Kolasib,Andrew H. Thangliana,Independent,16375,14184,86.6 %,204,1.4%
Kolasib,5,ST,Kolasib,K. Lalrinliana,Mizo National Front,20699,17705,85.5 %,279,1.6%
Serlui,6,ST,Kolasib,Lalrinsanga Ralte,Mizo National Front,18002,15921,88.4 %,927,5.8%
Tuivawl,7,ST,Aizawl,Lalchhandama Ralte,Mizo National Front,15898,13159,82.8 %,3,0.0%
Chalfilh,8,ST,Aizawl,Lalrinliana Sailo,Mizo National Front,18051,14897,82.5 %,1007,6.8%
Tawi,9,ST,Aizawl,R.Lalzirliana,Mizo National Front,15089,13186,87.4 %,184,1.4%
Aizawl North - I,10,ST,Aizawl,Vanlalhlana,Independent,22037,17620,80.0 %,1165,6.6%
Aizawl North - Ii,11,ST,Aizawl,Vanlalthlana,Independent,21897,18061,82.5 %,1801,10.0%
Aizawl North-Iii,12,ST,Aizawl,C Lalmuanpuia,Mizo National Front,19059,14624,76.7 %,434,3.0%
Aizawl East - I,13,GEN,Aizawl,Zoramthanga,Mizo National Front,21253,19488,91.7 %,2504,12.8%
Aizawl East Ii,14,ST,Aizawl,Robert Romawia Royte,Mizo National Front,17271,14176,82.1 %,1492,10.5%
Aizawl West I,15,ST,Aizawl,Lalduhoma,Independent,23191,20318,87.6 %,1060,5.2%
Aizawl West Ii,16,ST,Aizawl,Lalruatkima,Mizo National Front,19723,16836,85.4 %,2720,16.2%
Aizawl West Iii,17,ST,Aizawl,V.L. Zaithanzama,Independent,20574,16763,81.5 %,1026,6.1%
Aizawl South I,18,ST,Aizawl,C. Lalsawivunga,Independent,20737,17132,82.6 %,1049,6.1%
Aizawl South Ii,19,ST,Aizawl,Lalchhuanthanga,Independent,23018,19418,84.4 %,179,0.9%
Aizawl South-Iii,20,ST,Aizawl,F. Lalnunmawia,Mizo National Front,19131,17335,90.6 %,2088,12.0%
Lengteng,21,ST,Champhai,L.Thangmawia,Mizo National Front,16775,14026,83.6 %,1772,12.6%
Tuichang,22,ST,Champhai,Tawnluia,Mizo National Front,15903,12995,81.7 %,739,5.7%
Champhai North,23,ST,Champhai,Dr Zr.Thiamsanga,Mizo National Front,18121,14713,81.2 %,1093,7.4%
Champhai South,24,ST,Champhai,T.J Lalnuntluanga,Mizo National Front,17000,14251,83.8 %,1049,7.4%
East Tuipui,25,ST,Champhai,Ramthanmawia,Mizo National Front,14703,11725,79.7 %,587,5.0%
Serchhip,26,ST,Serchhip,Lalduhoma,Independent,17018,15502,91.1 %,410,2.6%
Tuikum,27,ST,Serchhip,Er. Lalrinawma,Mizo National Front,15084,13588,90.1 %,1397,10.3%
Hrangturzo,28,ST,Serchhip,Lalchamliana,Mizo National Front,15224,12786,84.0 %,757,5.9%
South Tuipui,29,ST,Lunglei,Dr R Lalthangliana,Mizo National Front,14385,12293,85.5 %,1469,11.9%
Lunglei North,30,ST,Lunglei,Vanlaltanpuia,Mizo National Front,15589,14181,91.0 %,395,2.8%
Lunglei East,31,ST,Lunglei,Lawmawma Tochhawng,Mizo National Front,14141,12295,86.9 %,72,0.6%
Lunglei West,32,ST,Lunglei,C.Lalrinsanga,Mizo National Front,13786,11838,85.9 %,77,0.7%
Lunglei South,33,ST,Lunglei,K Pachhunga,Mizo National Front,16482,14461,87.7 %,2441,16.9%
Thorang,34,ST,Lunglei,Zodintluanga Ralte,Indian National Congress,12990,11141,85.8 %,1240,11.1%
West Tuipui,35,ST,Lunglei,Nihar Kanti Chakma,Indian National Congress,13963,12847,92.0 %,2385,18.6%
Tuichawng,36,ST,Lawngtlai,Buddha Dhan Chakma,Bharatiya Janta Party,28771,25847,89.8 %,1594,6.2%
Lawngtlai West,37,ST,Lawngtlai,C. Ngunlianchunga,Indian National Congress,25120,21711,86.4 %,795,3.7%
Lawngtlai East,38,ST,Lawngtlai,H. Biakzaua,Mizo National Front,22762,17827,78.3 %,944,5.3%
Siaha,39,ST,Saiha,Dr. K. Beichhua,Mizo National Front,20316,16236,79.9 %,2468,15.2%
Palak,40,ST,Saiha,K.T. Rokhaw,Indian National Congress,17435,14630,83.9 %,844,5.8%
