AC Name,AC No.,Type,Winning Candidate,Party,Total Electors,Total Votes,Poll%,Margin,Margin %
Narayanpur,157,ST,Shambhu Nath Naik,Bharatiya Janta Party,99407,43752,44.0 %,5068,11.6%
Maro,158,SC,Derhoo Prasad Ghritlahre,Independent,109631,55840,50.9 %,3995,7.2%
Bemetara,159,GEN,Mahesh Tiwari,Janata Dal,102041,58977,57.8 %,4894,8.3%
Saja,160,GEN,Ravindra Choubey,Indian National Congress,109257,68782,63.0 %,19852,28.9%
Dhamdha,161,GEN,Jageshwar Sahu,Indian National Congress,116901,71566,61.2 %,2253,3.1%
Durg,162,GEN,Moti Lal Vora,Indian National Congress,200349,117745,58.8 %,15789,13.4%
Bhilai,163,GEN,Prem Prakash Pandey,Bharatiya Janta Party,193700,107064,55.3 %,5395,5.0%
Patan,164,GEN,Kailash Chandra Sharma,Bharatiya Janta Party,124054,77076,62.1 %,2991,3.9%
Gunderdehi,165,GEN,Tara Chand Sahu,Bharatiya Janta Party,100169,64707,64.6 %,24,0.0%
Khertha,166,GEN,Pyare Lal Belchandan,Indian National Congress,102771,68723,66.9 %,854,1.2%
Balod,167,GEN,Jalam Singh Patel,Indian National Congress,120759,76637,63.5 %,1927,2.5%
Dondi Lohara,168,ST,Jhumuklal Bhendiya,Indian National Congress,127891,80716,63.1 %,7698,9.5%
Chowki,169,ST,Suresh Thakur,Bharatiya Janta Party,106131,50621,47.7 %,4724,9.3%
Khujji,170,GEN,Jagannath Yadav,Janata Dal,100809,48532,48.1 %,186,0.4%
Dongargaon,171,GEN,Geeta Devi Singh,Indian National Congress,86907,47316,54.4 %,2281,4.8%
Rajnandgaon,172,GEN,Lilaram Bhojwani,Bharatiya Janta Party,112693,67569,60.0 %,10555,15.6%
Dongargarh,173,SC,Dhanesh Patila,Indian National Congress,104733,52834,50.4 %,2030,3.8%
Khairagarh,174,GEN,Rashmi Devi Singh,Indian National Congress,105914,63658,60.1 %,12530,19.7%
Birendranagar,175,GEN,Darbar Singh,Janata Dal,107998,57102,52.9 %,2256,4.0%
Kawardha,176,GEN,Raman Singh,Bharatiya Janta Party,113712,67962,59.8 %,16033,23.6%
Baihar,177,ST,Sudhanva Singh Netam,Bharatiya Janta Party,113078,58342,51.6 %,5680,9.7%
Lanji,178,GEN,Dilip Bhatere Bhaiya Lal,Independent,92580,64954,70.2 %,9742,15.0%
Kirnapur,179,GEN,Likhiram Kaware,Indian National Congress,95288,68902,72.3 %,1918,2.8%
Waraseoni,180,GEN,K.D. Deshmukh,Janata Dal,92879,72902,78.5 %,1476,2.0%
Khairlanjee,181,GEN,Vishaveshwar Bhagat,Indian National Congress,86394,65062,75.3 %,323,0.5%
Katangi,182,GEN,Lochan Lal Narayan Thakre,Bharatiya Janta Party,89790,64799,72.2 %,8527,13.2%
Balaghat,183,GEN,Gauri Shankar Bisen,Bharatiya Janta Party,124128,83567,67.3 %,20234,24.2%
Paraswada,184,GEN,Uma Shankar Munjare,Krantikari Samajwadi Manch,111898,63756,57.0 %,7366,11.6%
Nainpur,185,ST,Balram Singh Tilgam,Bharatiya Janta Party,98188,47833,48.7 %,2017,4.2%
Mandla,186,ST,Chhote Lal Uikey,Indian National Congress,105613,42142,39.9 %,12246,29.1%
Bichhia,187,ST,Roop Singh,Bharatiya Janta Party,105435,38397,36.4 %,2881,7.5%
Bajag,188,ST,Om Prakash,Bharatiya Janta Party,100207,43495,43.4 %,1187,2.7%
Dindori,189,ST,Jehar Singh,Bharatiya Janta Party,101569,42333,41.7 %,135,0.3%
Shahpura,190,ST,Ram Singh,Bharatiya Janta Party,99336,37165,37.4 %,2895,7.8%
Niwas,191,ST,Faggan Singh Kuleste,Bharatiya Janta Party,98958,34818,35.2 %,3622,10.4%
Bargi,192,ST,Anoop Singh Maravi,Bharatiya Janta Party,124555,57989,46.6 %,4842,8.3%
Panagar,193,ST,Moti Lal,Bharatiya Janta Party,132189,59902,45.3 %,11975,20.0%
Jabalpur Cantonment,194,GEN,Chandra Mohan,Indian National Congress,110270,56193,51.0 %,3876,6.9%
Jabalpur East,195,SC,Mangal Parag,Janata Dal,99728,44347,44.5 %,2651,6.0%
Jabalpur Central,196,GEN,Onkur Prasad,Bharatiya Janta Party,85912,47533,55.3 %,8325,17.5%
Jabalpur West,197,GEN,Jaishri Banerjee,Bharatiya Janta Party,146038,66027,45.2 %,9788,14.8%
Majholi,199,GEN,Ram Prakash,Bharatiya Janta Party,104898,58366,55.6 %,8577,14.7%
Sihora,200,GEN,Prabhat Kumar,Bharatiya Janta Party,117660,76723,65.2 %,19466,25.4%
Bahoriband,201,GEN,Rani Dubey,Bharatiya Janta Party,118059,71501,60.6 %,296,0.4%
Murwara,202,GEN,Ram Rani Johar,Indian National Congress,133991,69150,51.6 %,3815,5.5%
Badwara,203,GEN,N.V. Raman,Indian National Congress,107291,65701,61.2 %,5833,8.9%
Vijairaghogarh,204,GEN,Lal Rajendra Singh Baghet,Bharatiya Janta Party,111870,66360,59.3 %,934,1.4%
Gadarwara,205,GEN,Naresh Kumar Pathak,Bharatiya Janta Party,108121,59950,55.4 %,2704,4.5%
Bohani,206,GEN,Sujan Singh Patel,Bharatiya Janta Party,103594,54606,52.7 %,7325,13.4%
Narsimhapur,207,GEN,Uttam Chand Lunawat,Bharatiya Janta Party,120901,71130,58.8 %,8934,12.6%
Gotegaon,208,SC,Anchal Bhai,Bharatiya Janta Party,112309,62937,56.0 %,5598,8.9%
Lakhanadon,209,ST,Randhir Singh,Indian National Congress,107862,38737,35.9 %,3863,10.0%
Ghansor,210,ST,Thakur Dal Singh,Bharatiya Janta Party,106795,48696,45.6 %,4974,10.2%
Keolari,211,GEN,Neha Singh,Bharatiya Janta Party,115757,73443,63.4 %,7064,9.6%
Barghat,212,GEN,Dhal Singh Bisen,Bharatiya Janta Party,110622,66930,60.5 %,25752,38.5%
Seoni,213,GEN,Mahesh Prasad Shukla,Bharatiya Janta Party,118253,68321,57.8 %,6126,9.0%
Jamai,214,ST,Ram Chandra Parteti,Bharatiya Janta Party,92824,33778,36.4 %,3443,10.2%
Chhindwara,215,GEN,Choudhari Chandra Bhan Singh Kuber Singh,Bharatiya Janta Party,117395,63789,54.3 %,5848,9.2%
Parasia,216,SC,Ramji Mastkar,Bharatiya Janta Party,111709,51679,46.3 %,9303,18.0%
Damua,217,ST,Kamla Wadiva,Bharatiya Janta Party,110023,34978,31.8 %,4308,12.3%
Amarwara,218,ST,Mehman Shah Uikey,Bharatiya Janta Party,104103,36219,34.8 %,1117,3.1%
Chaurai,219,GEN,Ramesh Dube,Bharatiya Janta Party,99200,57451,57.9 %,3211,5.6%
Sausar,220,GEN,Ramrao Mahale,Bharatiya Janta Party,106388,66195,62.2 %,17578,26.6%
Pandhurna,221,GEN,Maroti Rao Khabse,Bharatiya Janta Party,96921,54023,55.7 %,3320,6.1%
Piparia,222,GEN,Murli Dhar Maheshwari (Murli Bhaiya),Bharatiya Janta Party,123157,66711,54.2 %,3148,4.7%
Hoshangabad,223,GEN,Madhukar Harne,Bharatiya Janta Party,126760,67020,52.9 %,9323,13.9%
Itarsi,224,GEN,Sita Saran Sharma,Bharatiya Janta Party,127019,74434,58.6 %,13346,17.9%
Seoni-Malwa,225,GEN,Prem Shanker Verma,Bharatiya Janta Party,111821,72360,64.7 %,6458,8.9%
Timarni,226,SC,Manohar Lal Rathor,Bharatiya Janta Party,103762,55493,53.5 %,8874,16.0%
Harda,227,GEN,Badri Narain Agarwal,Bharatiya Janta Party,101426,61812,60.9 %,5192,8.4%
Multai,228,GEN,Mani Ram Barange,Bharatiya Janta Party,87059,45402,52.2 %,9246,20.4%
Masod,229,GEN,Vasudeo Thakre,Bharatiya Janta Party,88504,59199,66.9 %,11117,18.8%
Bhainsdehi,230,ST,Keshar Singh Dadoo Singh Chauhan,Bharatiya Janta Party,104078,40291,38.7 %,3133,7.8%
Betul,231,GEN,Bhagwat Patel,Bharatiya Janta Party,103594,49533,47.8 %,1883,3.8%
Ghora Dongri,232,ST,Ramji Lal Uike,Bharatiya Janta Party,141195,55611,39.4 %,20883,37.6%
Amla,233,SC,Kanhaiya Lal Dhole Ker,Bharatiya Janta Party,88258,28459,32.2 %,8759,30.8%
Budhni,234,GEN,Shiv Raj Singh,Bharatiya Janta Party,124697,74927,60.1 %,22810,30.4%
Ichhawar,235,GEN,Karan Singh Verma,Bharatiya Janta Party,103476,57584,55.6 %,15762,27.4%
Ashta,236,SC,Nand Kishor Khatri,Bharatiya Janta Party,129630,70818,54.6 %,12811,18.1%
Sehore,237,GEN,Madan Lal Tyagi,Bharatiya Janta Party,104553,61203,58.5 %,7745,12.7%
Govindpura,238,GEN,Babul Lal Gaur,Bharatiya Janta Party,169420,85223,50.3 %,25113,29.5%
Bhopal South,239,GEN,Shelender,Bharatiya Janta Party,253107,111097,43.9 %,23369,21.0%
Bhopal North,240,GEN,Aarif Akil,Independent,161948,100529,62.1 %,2863,2.8%
Berasia,241,GEN,Laxmi Narain Sharma,Bharatiya Janta Party,126295,68947,54.6 %,3661,5.3%
Sanchi,242,SC,Gauri Shankar Shejwar,Bharatiya Janta Party,124272,59071,47.5 %,23516,39.8%
Udaipura,243,GEN,Ram Pal Singh,Bharatiya Janta Party,116195,58538,50.4 %,17890,30.6%
Bareli,244,GEN,Bhagawat Singh Patel,Bharatiya Janta Party,112324,73381,65.3 %,7990,10.9%
Bhojpur,245,GEN,Sundar Lal Patwa,Bharatiya Janta Party,124663,79157,63.5 %,17298,21.9%
Kurwai,246,SC,Shyam Lal,Bharatiya Janta Party,94547,46272,48.9 %,10040,21.7%
Basoda,247,GEN,Ajaya Singh Raghuvansi,Bharatiya Janta Party,116813,58398,50.0 %,20864,35.7%
Vidisha,248,GEN,Mohar Singh Thakur,Bharatiya Janta Party,130986,65549,50.0 %,24522,37.4%
Shamshabad,249,GEN,Prem Narayan,Bharatiya Janta Party,109477,54923,50.2 %,15419,28.1%
Sironj,250,GEN,Bhavani Singh,Bharatiya Janta Party,106501,57019,53.5 %,13467,23.6%
Biaora,251,GEN,Dattatray Rao,Independent,105868,52857,49.9 %,7220,13.7%
Narsingarh,252,GEN,Hanuman Prasad Garg,Bharatiya Janta Party,115821,60421,52.2 %,8912,14.7%
Sarangpur,253,SC,Amar Singh,Bharatiya Janta Party,114387,59707,52.2 %,16351,27.4%
Rajgarh,254,GEN,Raghunandan Sharma,Bharatiya Janta Party,119119,56966,47.8 %,18705,32.8%
Khilchipur,255,GEN,Poor Singh Pawar,Bharatiya Janta Party,125309,81961,65.4 %,7720,9.4%
Shujalpur,256,GEN,Nemi Chand Jain,Bharatiya Janta Party,129627,88583,68.3 %,13902,15.7%
Gulana,257,GEN,Vijender Singh Sisodiya,Bharatiya Janta Party,113203,71889,63.5 %,12239,17.0%
Shajapur,258,GEN,Laxmi Narain Patel,Bharatiya Janta Party,129798,82573,63.6 %,4481,5.4%
Agar,259,SC,Narain Singh Keshari,Bharatiya Janta Party,119868,65054,54.3 %,18610,28.6%
Susner,260,GEN,Badri Lal Soni,Bharatiya Janta Party,108502,74258,68.4 %,16109,21.7%
Tarana,261,SC,Govind Parmar,Bharatiya Janta Party,104518,65635,62.8 %,9703,14.8%
Mahidpur,262,GEN,Babu Lal Jain,Bharatiya Janta Party,95968,58611,61.1 %,6673,11.4%
Khachrod,263,GEN,Lal Singh,Bharatiya Janta Party,129303,86491,66.9 %,10355,12.0%
Badnagar,264,GEN,Uday Singh Panday,Bharatiya Janta Party,109040,69543,63.8 %,7633,11.0%
Ghatiya,265,SC,Rameshwar Akhand,Bharatiya Janta Party,113093,59962,53.0 %,7017,11.7%
Ujjain North,266,GEN,Paras Chandra Jain,Bharatiya Janta Party,122839,66912,54.5 %,9691,14.5%
Ujjain South,267,GEN,Babu Lal Mahere,Bharatiya Janta Party,131438,69849,53.1 %,7506,10.7%
Depalpur,268,GEN,Nirbhaya Singh Patel,Bharatiya Janta Party,119548,70675,59.1 %,10416,14.7%
Mhow,269,GEN,Bhairu Lal,Bharatiya Janta Party,119749,68903,57.5 %,8533,12.4%
Indore-I,270,GEN,Lalit Jain,Independent,158922,73695,46.4 %,4128,5.6%
Indore-Ii,271,GEN,Suresh Seth,Indian National Congress,173761,93077,53.6 %,1082,1.2%
Indore-Iii,272,GEN,Gopi Krishan Nema,Bharatiya Janta Party,90477,51877,57.3 %,4193,8.1%
Indore-Iv,273,GEN,Kailash Vijayvargiya,Bharatiya Janta Party,172330,81806,47.5 %,25602,31.3%
Indore-V,274,GEN,Ashok Shukla,Indian National Congress,190250,87571,46.0 %,18472,21.1%
Sanwar,275,SC,Prakash Sonkar,Bharatiya Janta Party,122332,73886,60.4 %,7906,10.7%
Dewas,276,GEN,Youvraj Tukoji Rao,Bharatiya Janta Party,141637,76638,54.1 %,16152,21.1%
Sonkatch,277,SC,Kailash,Bharatiya Janta Party,105493,62759,59.5 %,14435,23.0%
Hatpipalya,278,GEN,Kunwar Tej Singh Karan Singh Sendhav,Bharatiya Janta Party,108467,75236,69.4 %,11276,15.0%
Bagli,279,GEN,Kailash Chander,Bharatiya Janta Party,112102,75228,67.1 %,13396,17.8%
Khategaon,280,GEN,Govind,Bharatiya Janta Party,102017,57542,56.4 %,3354,5.8%
Harsud,281,ST,Vijay Shah,Bharatiya Janta Party,103157,48397,46.9 %,18444,38.1%
Nimarkhedi,282,GEN,Raghuraj Singh,Bharatiya Janta Party,116267,68474,58.9 %,11314,16.5%
Pandhana,283,SC,Kishori Lal Verma,Bharatiya Janta Party,113450,61940,54.6 %,11469,18.5%
Khandwa,284,GEN,Hukum Chand Yadav,Bharatiya Janta Party,113294,60850,53.7 %,11863,19.5%
Nepanagar,285,GEN,Briaj Mohan Mishra,Bharatiya Janta Party,108762,62198,57.2 %,4701,7.6%
Shahpur,286,GEN,Nand Kumar Singh Chouhan(Nandu Bhaiya),Bharatiya Janta Party,103086,72157,70.0 %,20156,27.9%
Burhanpur,287,GEN,Shiv Kumar Singh Naval Singh,Janata Dal,113967,70188,61.6 %,22703,32.3%
Bhikangaon,288,ST,Dongar Singh,Bharatiya Janta Party,101852,41180,40.4 %,5156,12.5%
Barwaha,289,GEN,Chandrakant Gupta,Bharatiya Janta Party,116711,61834,53.0 %,23710,38.3%
Maheshwar,290,SC,Madan Verma,Bharatiya Janta Party,111412,67803,60.9 %,15086,22.2%
Kasrawad,291,GEN,Gajanand Jinwala,Bharatiya Janta Party,115310,58372,50.6 %,16267,27.9%
Khargone,292,GEN,Rai Singh Rathore,Bharatiya Janta Party,118314,60544,51.2 %,24471,40.4%
Dhulkot,293,ST,Mal Singh Latu,Bharatiya Janta Party,101458,42896,42.3 %,10789,25.2%
Sendhwa,294,ST,Antar Singh Raoji,Bharatiya Janta Party,104368,48587,46.6 %,3907,8.0%
Anjad,295,ST,Devi Singh Chhitu Patel,Bharatiya Janta Party,100786,56548,56.1 %,17054,30.2%
Rajpur,296,ST,Diwan Singh Vitthal,Bharatiya Janta Party,108506,54282,50.0 %,12721,23.4%
Barwani,297,ST,Umrao Singh Parvat Singh,Bharatiya Janta Party,102938,59751,58.0 %,15729,26.3%
Manawar,298,ST,Gajendra Singh Rajukhedi,Bharatiya Janta Party,103914,65689,63.2 %,2020,3.1%
Dharampuri,299,ST,Jhinga Lal Patel,Bharatiya Janta Party,109392,64182,58.7 %,14058,21.9%
Dhar,300,GEN,Vikram Verma,Bharatiya Janta Party,142830,90518,63.4 %,15506,17.1%
Badnawar,301,GEN,Prem Singh Daulat Singh,Indian National Congress,114527,75882,66.3 %,1548,2.0%
