AC Name,AC No.,Type,District,Winning Candidate,Party,Total Electors,Total Votes,Poll%,Margin,Margin %,Father/Husband Name,Gender,Age
Jamnagar North,78,GEN,Jamnagar,Rivasinh Hardevsinh Solanki (RIVABA RAVINDRASINH JADEJA),Bharatiya Janta Party,263482,151282,57.40%,53570,35.40%,HARDEVSINH SOLANKI (RAVINDRASINH JADEJA),female,32
Jamnagar South,79,GEN,Jamnagar,Akbari Divyeshbhai Ranchhodbhai,Bharatiya Janta Party,230730,130633,56.60%,62697,48.00%,RANCHHODBHAI AKBARI,male,44
Jamjodhpur,80,GEN,Jamnagar,Ahir Hemantbhai Hardasbhai,Aam Aadmi Party,227525,148910,65.40%,10403,7.00%,HARDASBHAI,male,38
Khambhalia,81,GEN,Jamnagar,Ayar Mulubhai Hardasbhai Bera,Bharatiya Janta Party,302595,187435,61.90%,18745,10.00%,Hardasbhai,male,57
Dwarka,82,GEN,Jamnagar,Pabubha Virambha Manek,Bharatiya Janta Party,292647,177282,60.60%,5327,3.00%,VIRAMBHA,male,66
Porbandar,83,GEN,Porbandar,Arjunbhai Devabhai Modhwadia,Indian National Congress,266055,163464,61.40%,8181,5.00%,Devabhai Modhwadia,male,66
Kutiyana,84,GEN,Porbandar,Kandhalbhai Sarmanbhai Jadeja,Samajwadi Party,225797,127438,56.40%,26712,21.00%,Sarmanbhai Munjabhai Jadeja,male,50
Manavadar,85,GEN,Junagadh,Arvindbhai Jinabhai Ladani,Indian National Congress,248514,151929,61.10%,3453,2.30%,JINABHAI HANSRAJBHAI LADANI,male,60
Junagadh,86,GEN,Junagadh,Sanjay Sukhabhai Koradia,Bharatiya Janta Party,287706,160705,55.90%,40256,25.00%,,,
Visavadar,87,GEN,Junagadh,Bhupendrabhai Gandubhai Bhayani,Aam Aadmi Party,259221,144797,55.90%,7063,4.90%,GANDUBHAI,male,48
Keshod,88,GEN,Junagadh,Devabhai Punjabhai Malam,Bharatiya Janta Party,246387,152918,62.10%,4208,2.80%,PUNJABHAI DEVASHIBHAI MALAM,male,63
Mangrol,89,GEN,Junagadh,Kargatiya Bhagvanjibhai Lakhabhai,Bharatiya Janta Party,230508,146006,63.30%,22501,15.40%,LAKHABHAI,male,64
Somnath,90,GEN,Junagadh,Chudasama Vimalbhai Kanabhai,Indian National Congress,263028,191733,72.90%,922,0.50%,KANABHAI,male,42
Talala,91,GEN,Junagadh,Bhagabhai Dhanabhai Barad,Bharatiya Janta Party,234869,148590,63.30%,20055,13.50%,Dhanabhai,male,63
Kodinar,92,SC,Junagadh,Pradyuman Ganubhai Vaja,Bharatiya Janta Party,234557,149388,63.70%,19386,13.00%,GANUBHAI VAJA,male,53
Una,93,GEN,Junagadh,Kalubhai Chanabhai Rathod,Bharatiya Janta Party,267092,166681,62.40%,43526,26.10%,CHANABHAI RATHOD,male,59
Dhari,94,GEN,Amreli,Kakadiya Jaysukhbhai Vallabhbhai (KAKADIYA J.V.),Bharatiya Janta Party,223030,117302,52.60%,8717,7.40%,KAKADIYA VALLABHBHAI MANDANBHAI,male,58
Amreli,95,GEN,Amreli,Kaushik Kantibhai Vekariya,Bharatiya Janta Party,283724,160077,56.40%,46657,29.10%,KANTIBHAI KESHAVBHAI VEKARIYA,male,36
Lathi,96,GEN,Amreli,Janakbhai Talaviya,Bharatiya Janta Party,223663,130020,58.10%,29274,22.50%,PUNABHAI TALAVIYA,male,43
Savarkundla,97,GEN,Amreli,Kaswala Mahesh,Bharatiya Janta Party,254261,136062,53.50%,3492,2.60%,KASWALA LALJIBHAI,male,50
Rajula,98,GEN,Amreli,Hirabhai Odhavjibhai Solanki,Bharatiya Janta Party,274785,176792,64.30%,10463,5.90%,ODHAVJIBHAI RAMJIBHAI SOLANKI,male,58
Mahuva,99,GEN,Bhavnagar,Gohil Shivabhai Jerambhai,Bharatiya Janta Party,243298,151988,62.50%,30472,20.00%,JERAMBHAI,male,64
Talaja,100,GEN,Bhavnagar,Gautambhai Gopabhai Chauhan,Bharatiya Janta Party,253510,154158,60.80%,43306,28.10%,GOPABHAI CHAUHAN,male,48
Gariadhar,101,GEN,Bhavnagar,Sudhirbhai Vaghani (SUDHIR VAGHANI),Aam Aadmi Party,228863,138730,60.60%,4819,3.50%,BHAGVANBHAI VAGHANI,male,39
Palitana,102,GEN,Bhavnagar,Bhikhabhai Ravajibhai Baraiya,Bharatiya Janta Party,280547,165325,58.90%,27577,16.70%,RAVAJIBHAI BARAIYA,male,55
Bhavnagar Rural,103,GEN,Bhavnagar,Parshottambhai O. Solanki,Bharatiya Janta Party,296001,179490,60.60%,73484,40.90%,ODHAVJIBHAI RAMJIBHAI SOLANKI,male,61
Bhavnagar East,104,GEN,Bhavnagar,Sejalben Rajivkumar Pandya,Bharatiya Janta Party,265784,159800,60.10%,62554,39.10%,RAJIVKUMAR PANDYA,female,47
Bhavnagar West,105,GEN,Bhavnagar,Jitendrabhai Savajibhai Vaghani (JITU VAGHANI),Bharatiya Janta Party,264482,159233,60.20%,41922,26.30%,SAVAJIBHAI VAGHANI,male,52
Gadhada,106,SC,Bhavnagar,Mahant Shambhunath Tundiya,Bharatiya Janta Party,263849,134322,50.90%,26694,19.90%,Tundiya Baldevdasji,male,52
Botad,107,GEN,Bhavnagar,Makwana Umeshbhai Naranbhai,Aam Aadmi Party,291264,184782,63.40%,2779,1.50%,NARANBHAI,male,45
Khambhat,108,GEN,Anand,Chiragkumar Arvindbhai Patel,Indian National Congress,233419,156069,66.90%,3711,2.40%,Arvindbhai Patel,male,43
Borsad,109,GEN,Anand,Solanki Ramanbhai Bhikhabhai,Bharatiya Janta Party,261429,180161,68.90%,11165,6.20%,Solanki Bhikhabhai Chaturbhai,male,57
Anklav,110,GEN,Anand,Amit Chavda,Indian National Congress,225196,164666,73.10%,2729,1.70%,AJITBHAI ISHAVARBHAI CHAVDA,male,46
