ac name,ac no,type,district,winning candidate,party,total electors,total votes,poll%,margin,margin %,father/husband name,gender,age,UID
Tarana,214,SC,Ujjain,Mahesh Parmar,Indian National Congress,375364,153040,40.80%,2183,1.40%,MANGILAL JI PARMAR,male,44.0,MP2023AC214
Ghatiya,215,SC,Ujjain,Satish Malviya,Bharatiya Janta Party,445408,182841,41.10%,17666,9.70%,NAGULAL MALVIYA,male,41.0,MP2023AC215
Ujjain Uttar,216,GEN,Ujjain,Anil Jain Kaluheda,Bharatiya Janta Party,454140,160877,35.40%,27513,17.10%,SHAITANMAL JI JAIN,male,59.0,MP2023AC216
Ujjain Dakshin,217,GEN,Ujjain,Dr. Mohan Yadav,Bharatiya Janta Party,514434,181640,35.30%,12941,7.10%,POONAMCHAND YADAV,male,58.0,MP2023AC217
Badnagar,218,GEN,Ujjain,Jitendra Uday Singh Pandya,Bharatiya Janta Party,407370,170280,41.80%,36693,21.50%,UDAY SINGH PANDYA,male,47.0,MP2023AC218
Ratlam Rural,219,ST,Ratlam,Mathura Lal Damar,Bharatiya Janta Party,426594,182567,42.80%,34324,18.80%,SHRI NATHA JI DAMAR,male,68.0,MP2023AC219
Ratlam City,220,GEN,Ratlam,"Chetanya Kasyap ""bhaiyyaji""",Bharatiya Janta Party,432956,160292,37.00%,60708,37.90%,,,,MP2023AC220
Sailana,221,ST,Ratlam,Kamleshwar Dodiyar,Bharat Adivasi Party,420272,188070,44.70%,4618,2.50%,ONKARLAL DODIYAR,male,33.0,MP2023AC221
Jaora,222,GEN,Ratlam,"Rajendra Pandey ""raju Bhaiya""",Bharatiya Janta Party,475282,203906,42.90%,26021,12.80%,LAXMINARAYAN PANDEY,male,62.0,MP2023AC222
Alot,223,SC,Ratlam,Dr. Chintamani Malviya,Bharatiya Janta Party,444368,183974,41.40%,68884,37.40%,JAMNALAL,male,53.0,MP2023AC223
Mandsour,224,GEN,Mandsaur,Vipin Jain,Indian National Congress,520778,211516,40.60%,2049,1.00%,SUBHASHCHANDRA JAIN,male,48.0,MP2023AC224
Malhargarh,225,SC,Mandsaur,Jagdish Devda,Bharatiya Janta Party,491370,211364,43.00%,59024,27.90%,GENDALAL DEVDA,male,66.0,MP2023AC225
Suwasra,226,GEN,Mandsaur,Dung Hardeepsingh,Bharatiya Janta Party,556278,232437,41.80%,22669,9.80%,Sharan Singh Dung,male,55.0,MP2023AC226
Garoth,227,GEN,Mandsaur,Chandar Singh Sisodiya,Bharatiya Janta Party,500528,203709,40.70%,18107,8.90%,NATHU SINGH SISODIYA,male,60.0,MP2023AC227
Manasa,228,GEN,Neemuch,Aniruddha (MADHAV) MAROO,Bharatiya Janta Party,400212,166832,41.70%,18987,11.40%,RAMESHWARLAL MAROO,male,62.0,MP2023AC228
Neemuch,229,GEN,Neemuch,Dilip Singh Parihar,Bharatiya Janta Party,458112,187306,40.90%,26283,14.00%,LATE HARISINGH PARIHAR,male,65.0,MP2023AC229
Jawad,230,GEN,Neemuch,Omprakash Sakhlecha,Bharatiya Janta Party,363344,157796,43.40%,2364,1.50%,LATE VIRENDRA KUMAR SAKHLECHA,male,65.0,MP2023AC230
