AC Name,AC No.,Type,District,Winning Candidate,Party,Total Electors,Total Votes,Poll%,Margin,Margin %,Father/Husband Name,Gender,Age
Patan,62,GEN,Durg,Bhupesh Baghel,Indian National Congress,434638,183224,42.20%,19723,10.80%,NAND KUMAR BAGHEL,male,63
Durg-Rural,63,GEN,Durg,Lalit Chandrakar,Bharatiya Janta Party,441398,164839,37.30%,16642,10.10%,LATE ARJUN SINGH CHANDRAKAR,male,49
Durg City,64,GEN,Durg,Gajendra Yadav,Bharatiya Janta Party,455644,152303,33.40%,48697,32.00%,Bisram Yadav,male,45
Bhilai Nagar,65,GEN,Durg,Devendra Yadav,Indian National Congress,338020,111318,32.90%,1264,1.10%,LT. INDAL SINGH YADAV,male,33
Vaishali Nagar,66,GEN,Durg,Rikesh Sen,Bharatiya Janta Party,502550,164402,32.70%,40074,24.40%,ANAND RAM SEN,male,44
Ahiwara,67,SC,Durg,Domanlal Korsewada,Bharatiya Janta Party,489548,175370,35.80%,25263,14.40%,LATE NAMMU DAS KORSEWADA,male,75
Saja,68,GEN,Durg,Ishwar Sahu,Bharatiya Janta Party,501628,206047,41.10%,5196,2.50%,SAMELAL SAHU,male,42
Bemetara,69,GEN,Durg,Dipesh Sahu,Bharatiya Janta Party,494404,196533,39.80%,9134,4.60%,BHARAT RAM SAHU,male,35
Nawagarh,70,SC,Durg,Dayaldas Baghel,Bharatiya Janta Party,533514,201475,37.80%,15177,7.50%,BASAVAN BAGHEL,male,69
Pandariya,71,GEN,Kabeerdham,Bhawna Bohra,Bharatiya Janta Party,632680,236378,37.40%,26398,11.20%,MANISH BOHRA,female,41
Kawardha,72,GEN,Kabeerdham,Vijay Sharma,Bharatiya Janta Party,663338,270122,40.70%,39592,14.70%,Ratan Lal Sharma,male,50
Khairagarh,73,GEN,Rajnandgaon,Yashoda Nilamber Verma,Indian National Congress,439650,179797,40.90%,5634,3.10%,Nilamber Verma,female,45
Dongargarh,74,SC,Rajnandgaon,Harshita Swami Baghel,Indian National Congress,419892,171131,40.80%,14367,8.40%,MANISH BAGHEL,female,35
Rajnandgaon,75,GEN,Rajnandgaon,Dr. Raman Singh,Bharatiya Janta Party,423406,166468,39.30%,45084,27.10%,SHRI VIGHNAHARAN SINGH,male,71
Dongargaon,76,GEN,Rajnandgaon,Daleshwar Sahu,Indian National Congress,406018,169312,41.70%,2789,1.60%,KAVAL SINGH SAHU,male,55
Khujji,77,GEN,Rajnandgaon,Bholaram Sahu,Indian National Congress,383164,157296,41.10%,25944,16.50%,BARTIYA RAM SAHU,male,64
Mohla-Manpur,78,ST,Rajnandgaon,Indrashah Mandavi,Indian National Congress,336016,130673,38.90%,31741,24.30%,LATE NILKANTH SHAH MANDAVI,male,62
Antagarh,79,ST,Uttar Bastar Kanker,Vikram Usendi,Bharatiya Janta Party,352506,136827,38.80%,23710,17.30%,DEV SINGH USENDI,male,58
Bhanupratappur,80,ST,Uttar Bastar Kanker,Savitri Manoj Mandavi,Indian National Congress,406934,163472,40.20%,30932,18.90%,LATE MANOJ SINGH MANDAVI,female,57
Kanker,81,ST,Uttar Bastar Kanker,Asha Ram Netam,Bharatiya Janta Party,365884,146461,40.00%,16,0.00%,JAINU RAM NETAM,male,42
Keshkal,82,ST,Bastar,Neelkanth Tekam,Bharatiya Janta Party,414118,166269,40.20%,5560,3.30%,JEEVARAM TEKAM,male,55
Kondagaon,83,ST,Bastar,Lata Usendi,Bharatiya Janta Party,378270,153577,40.60%,18572,12.10%,LATE SHRI MANGALRAM USENDI,female,48
Narayanpur,84,ST,Bastar,Kedar Kashyap,Bharatiya Janta Party,382572,137989,36.10%,19188,13.90%,BALIRAM KASHYAP,male,48
Bastar,85,ST,Bastar,Baghel Lakheshwar,Indian National Congress,335834,140004,41.70%,6434,4.60%,DURYODHAN BAGHEL,male,64
Jagdalpur,86,GEN,Bastar,Kiran Deo,Bharatiya Janta Party,412394,160049,38.80%,29834,18.60%,LAXMI NARAYAN DEO,male,61
Chitrakot,87,ST,Bastar,Vinayak Goyal,Bharatiya Janta Party,355248,138938,39.10%,8370,6.00%,MANGLOO GOYAL,male,46
Dantewada,88,ST,Dakshin Bastar Dantewada,Chaitram Atami,Bharatiya Janta Party,385610,125912,32.70%,16803,13.30%,Bosa Atami,male,47
Bijapur,89,ST,Dakshin Bastar Dantewada,Vikram Mandavi,Indian National Congress,338898,77887,23.00%,2706,3.50%,LATE BHIM SAH MANDAVI,male,46
Konta,90,ST,Dakshin Bastar Dantewada,Kawasi Lakhma,Indian National Congress,333824,101229,30.30%,1981,2.00%,KAWASI HADMA,male,65
