AC Name,AC no,Type,District,Winning Candidate,Party,Total electors, total votes,Poll %,Margin,Margin %,Father/Husband Name,Gender,Age
Lumla,1,,Tawang district,Tsering Lhamu,Bharatiya Janata Party,,"5,040",58.51,,,LATE JAMBEY TASHI,female,50
Tawang,2,,Tawang district,Namgey Tsering,National People's Party,,"4,667",55.6,,,JAMBEY TENZIN,male,42
Mukto,3,,Tawang district,Pema Khandu,Bharatiya Janata Party,,,,,,LATE DORJEE KHANDU,male,44
Dirang,4,,west kameng ,Phurpa Tsering,Bharatiya Janata Party,,"7,430",54.08,,,,,
Kalaktang,5,,west kameng ,Tseten Chombay Kee,Bharatiya Janata Party,,"6,030",65.03,,,GOLENG,male,40
Thrizino-Buragaon,6,,west kameng ,Tenzin Nyima Glow,IND,,"5,593",51.36,,,,,
Bomdila,7,,west kameng ,Dongru Siongju,Bharatiya Janata Party,,,,,,,,
Bameng,8,,Bichom,Kumar Waii,Indian National Congress,,"6,554",52.36,,,SARDO WAII,male,52
Chayangtajo,9,,East kameng,Hayeng Mangfi,Bharatiya Janata Party,,"8,809",80.35,,,LT. TANGU MANGFI,male,48
Seppa East,10,,East kameng,Ealing Tallang,Bharatiya Janata Party,,"7,412",79.95,,,RANKA TALLANG,male,47
Seppa West,11,,East kameng,Mama Natung,Bharatiya Janata Party,,"4,430",58.14,,,TAFA NATUNG,male,52
Pakke-Kessang,12,,Pakke-Kessang district,Biyuram Wahge,Bharatiya Janata Party,,"3,933",47.48,,,Tali Wahge,male,59
Itanagar,13,,Papum Pare district,Techi Kaso,Bharatiya Janata Party,,,,,,Techi Eta,male,66
Doimukh,14,,Papum Pare district,Nabam Vivek,People's Party of Arunachal,,"11,409",54.48,,,LATE NABAM RANGKA,male,51
Sagalee,15,,Papum Pare district,Ratu Techi,Bharatiya Janata Party,,,,,,LATE TECHI KERAP,male,58
Yachuli,16,,Keyi Panyor district,Toko Tatung,Nationalist Congress Party,,"8,285",50.57,,,LATE TOKO ERKI,male,47
Ziro-Hapoli,17,,Lower Subansiri district,Hage Appa,Bharatiya Janata Party,,,,,,Lt. Hage Dolley,male,62
Palin,18,,Kra Daadi,Balo Raja,Bharatiya Janata Party,,"10,029",65.19,,,Lt. Balo Dachak,male,54
Nyapin,19,,Kurung Kumey,Tai Nikio,Bharatiya Janata Party,,"7,896",54.01,,,LT. TAI KAMI,male,54
Tali,20,,Kra Daadi,Jikke Tako,Bharatiya Janata Party,,,,,,Lt. Jikke Tania,male,42
Koloriang,21,,Kurung Kumey,Pani Taram,Bharatiya Janata Party,,"11,594",90.53,,,PANI KANU,male,49
Nacho,22,,Upper Subansiri,Nakap Nalo,Bharatiya Janata Party,,"5,415",57.08,,,TANIA NALO,male,49
Taliha,23,,Upper Subansiri,Nyato Rigia,Bharatiya Janata Party,,,,,,,,
Daporijo,24,,Upper Subansiri,Taniya Soki,Bharatiya Janata Party,,"6,671",49.7,,,LATE TAPAK SOKI,male,58
Raga,25,,Kamle,Rotom Tebin,Bharatiya Janata Party,,"8,791",59.91,,,ROTOM TARAK,male,59
Dumporijo,26,,Upper Subansiri,Rode Bui,Bharatiya Janata Party,,"6,400",57.01,,,TARO BUI,male,52
Liromoba,27,,West Siang,Pesi Jilen,National People's Party,,"7,206",56.55,,,GEPE JILEN,male,55
Likabali,28,,Lower Siang,Kardo Nyigyor,Bharatiya Janata Party,,"6,607",62.0,,,LATE YUKAR NYIGYOR,male,50
Basar,29,,Lepa Rada,Nyabi Jini Dirchi,Bharatiya Janata Party,,"9,174",55.26,,,SHRI MINYA JINI,female,47
Along West,30,,West Siang,Topin Ete,Bharatiya Janata Party,,"7,629",57.1,,,KENTO ETE,male,49
Along East,31,,West Siang,Kento Jini,Bharatiya Janata Party,,"7,380",63.39,,,Kiken Jini,male,48
Rumgong,32,,Siang,Talem Taboh,Bharatiya Janata Party,,"5,862",52.48,,,LATE TAPIR TABOH,male,56
Mechuka,33,,Shi Yomi,Pasang Dorjee Sona,Bharatiya Janata Party,,"6,320",62.42,,,LT PASANG WANGCHUK SONA,male,52
Tuting-Yingkiong,34,,Upper Subansiri,Alo Libang,Bharatiya Janata Party,,"6,095",53.76,,,LATE OTENG LIBANG,male,60
Pangin,35,,Siang,Ojing Tasing,Bharatiya Janata Party,,"7,500",58.53,,,LATE TASONG TASING,male,44
Nari-Koyu,36,,Lower Siang,Tojir Kadu,Bharatiya Janata Party,,"4,545",60.59,,,LATE TATO KADU,male,55
Pasighat West,37,,East Siang,Ninong Ering,Bharatiya Janata Party,,"8,049",59.5,,,LT. DAYING ERING,male,65
Pasighat East,38,,East Siang,Tapi Darang,National People's Party,,"9,070",50.4,,,LATE TASING DARANG,male,62
Mebo,39,,East Siang,Oken Tayeng,People's Party of Arunachal,,"6,287",53.77,,,APEL TAYENG,male,51
Mariyang-Geku,40,,Upper Siang,Oni Panyang,National People's Party,,"6,115",52.78,,,LATE PANAM PANYANG,male,47
Anini,41,,Dibang Valley,Mopi Mihu,Bharatiya Janata Party,,"2,711",63.62,,,LT. PAMA MIHU,male,52
Dambuk,42,,Lower Dibang ,Puinnyo Apum,Bharatiya Janata Party,,"6,009",49.17,,,KALKA APUM,male,53
Roing,43,,Lower Dibang,Mutchu Mithi,Bharatiya Janata Party,,,,,,,,
Tezu,44,,Lohit,Mahesh Chai,Bharatiya Janata Party,,"8,535",51.7,,,,,
Hayuliang,45,,Anjaw,Dasanglu Pul,Bharatiya Janata Party,,,,,,Late Kalikho Pul,female,46
Chowkham,46,,Namsai,Chowna Mein,Bharatiya Janata Party,,,,,,LATE CHOW POOK GOHAIN,male,73
Namsai,47,,Namsai,Zingnu Namchoom,Bharatiya Janata Party,,"14,540",68.88,,,Late Chau Phunkyoo Namchoom,male,47
Lekang,48,,Namsai,Likha Soni,Nationalist Congress Party,,"7,804",45.28,,,,,
Bordumsa-Diyun,49,,Changlang ,Nikh Kamin,Nationalist Congress Party,,"10,497",51.04,,,LT. NIKH KHOPI,male,57
Miao,50,,Changlang,Kamlung Mossang,Bharatiya Janata Party,,"11,021",57.62,,,,,
Nampong,51,,Changlang,Laisam Simai,IND,,"3,180",36.06,,,,,
Changlang South,52,,Changlang,Hamjongh Tangha,Bharatiya Janata Party,,"3,654",61.84,,,,,
Changlang North,53,,Changlang,Tesam Pongte,Bharatiya Janata Party,,"4,524",51.81,,,KHODONG PONGTE,male,49
Namsang,54,,Tirap,Wangki Lowang,Bharatiya Janata Party,,"3,781",49.65,,,Lt. Wanglang Lowang,male,61
Khonsa East,55,,Tirap,Wanglam Sawin,IND,,"4,544",55.82,,,,,
Khonsa West,56,,Tirap,Chakat Aboh,Bharatiya Janata Party,,"4,093",40.08,,,Late Tirong Aboh,female,46
