ac name,ac no,type,district,winning candidate,party,total electors,total votes,poll%,margin,margin %,father/husband name,gender,age,UID
Shrawasti,290,GEN,Shrawasti,Ram Feran,Bharatiya Janta Party,417825,249879,59.80%,1457,0.60%,Shivnandan,male,52.0,UP2022AC290
Tulsipur,291,GEN,Balrampur,Kailash Nath,Bharatiya Janta Party,384941,200559,52.10%,35781,17.80%,RAJMANI,male,62.0,UP2022AC291
Gainsari,292,GEN,Balrampur,Dr. Shiv Pratap Yadav,Samajwadi Party,366644,188141,51.30%,5837,3.10%,RAM LAL YADAV,male,70.0,UP2022AC292
Utraula,293,GEN,Balrampur,Rampratap Verma Urf Shashikant Verma,Bharatiya Janta Party,436731,194571,44.60%,21769,11.20%,SHYAMLAL,male,47.0,UP2022AC293
Balrampur,294,SC,Balrampur,Paltoo Ram,Bharatiya Janta Party,429950,204355,47.50%,10971,5.40%,BARSATI,male,50.0,UP2022AC294
Mehnaun,295,GEN,Gonda,Vinay Kumar,Bharatiya Janta Party,367315,212468,57.80%,23218,10.90%,AMBIKA PRASAD,male,47.0,UP2022AC295
Gonda,296,GEN,Gonda,Prateek Bhushan Singh,Bharatiya Janta Party,349720,199226,57.00%,6699,3.40%,BRIJ BHUSHAN SHARAN SINGH,male,33.0,UP2022AC296
Katra Bazar,297,GEN,Gonda,Bawan Singh,Bharatiya Janta Party,388223,232638,59.90%,18457,7.90%,Shree Ram Singh,male,64.0,UP2022AC297
Colonelganj,298,GEN,Gonda,Ajay,Bharatiya Janta Party,331102,191362,57.80%,35472,18.50%,,,,UP2022AC298
Tarabganj,299,GEN,Gonda,Prem Nrayan Pandey,Bharatiya Janta Party,367105,208604,56.80%,53690,25.70%,INDAR PAL PANDEY,male,63.0,UP2022AC299
Mankapur,300,SC,Gonda,Ramapati Shastri,Bharatiya Janta Party,332713,180901,54.40%,42349,23.40%,Ramlaut,male,72.0,UP2022AC300
Gaura,301,GEN,Gonda,Prabhat Kumar Verma,Bharatiya Janta Party,321395,171196,53.30%,22974,13.40%,Thakur Prasad Verma,male,52.0,UP2022AC301
Shohratgarh,302,GEN,Siddharthnagar,Vinay Verma,Apna Dal (Soneylal),360671,187763,52.10%,24463,13.00%,RAMASHANKER VERMA,male,38.0,UP2022AC302
