AC Name,Type,District,Winning Candidate,Party,Total Electors,Total Votes,Poll %,Margin,Margin %,Father/Husband Name,Gender,Age
Chandabali,,Bhadrak district,Byomakesh Ray,Biju Janata Dal,,"83,063",42.72,,,BIJAY KUMAR ROUL,male,43.0
Binjharpur,SC,Jajpur district,Pramila Mallik,Biju Janata Dal,,"74,185",48.84,,,DAMODAR MALLICK,female,60.0
Bari,,Jajpur district,Biswa Ranjan Mallick,Biju Janata Dal,,"101,966",63.77,,,,,
Barchana,,Jajpur district,Amar Kumar Nayak,	Bharatiya Janata Party,,"71,926",49.38,,,BALLABHANANDA NAYAK,male,51.0
Dharmasala,,Jajpur district,Himanshu Sekhar Sahoo,Ind,,"79,759",42.88,,,,,
Jajapur,,Jajpur district,Sujata Sahu,Biju Janata Dal,,"86,049",47.92,,,GOBINDA SAHU,female,52.0
Korei,,Jajpur district,Akash Dasnayak,	Bharatiya Janata Party,,"79,658",48.01,,,MAYADHAR NAYAK,male,42.0
Sukinda,,Jajpur district,Pradeep Bal Samanta,	Bharatiya Janata Party,,"86,733",50.56,,,NABAGHAN BAL SAMANTA,male,66.0
Dhenkanal,,Dhenkanal district,Krushna Chandra Patra,	Bharatiya Janata Party,,"106,529",52.57,,,LATE MAHDUSUDAN PATRA,male,60.0
Hindol,SC,Dhenkanal district,Simarani Nayak,	Bharatiya Janata Party,,"97,795",49.62,,,LATE Dr. DHARANIDHAR NAYAK,female,59.0
Kamakhyanagar,,Dhenkanal district,Satrughna Jena,	Bharatiya Janata Party,,"84,589",49.0,,,,,
Porjanga,,Dhenkanal district,Bibhuti Bhusan Pradhan,	Bharatiya Janata Party,,"100,595",56.94,,,Late. Padma Charan Pradhan,male,57.0
Pallahara,,Angul district,Ashok Mohanty,	Bharatiya Janata Party,,"71,560",48.64,,,GOLEKHA MOHANTY,male,57.0
Talcher,,Angul district,Braja Kishore Pradhan,Biju Janata Dal,,"75,621",58.82,,,PURNA CHANDRA PRADHAN,male,48.0
Anugul,,Angul district,Pratap Chandra Pradhan,	Bharatiya Janata Party,,"88,868",52.03,,,LATE BIJAYA KUMAR PRADHAN,male,54.0
Chhendipada,SC,Angul district,Agasti Behera,	Bharatiya Janata Party,,"93,629",52.58,,,DHANESWAR BEHERA,male,48.0
Athmallik,,Angul district,Nalini Kanta Pradhan,Biju Janata Dal,,"93,957",52.35,,,Late Sanatan Pradhan,male,66.0
Birmaharajpur,SC,Subarnapur district,Raghunath Jagadala,	Bharatiya Janata Party,,"85,680",48.19,,,KASTA JAGADALA,male,50.0
Subarnapur,,Subarnapur district,Niranjan Pujari,Biju Janata Dal,,"98,202",46.03,,,LATE RADHESHYAM PUJARI,male,63.0
Loisinga,SC,Balangir district,Mukesh Mahalinga,	Bharatiya Janata Party,,"83,313",44.32,,,,,
