AC Name,AC No.,Type,District,Winning Candidate,Party,Total Electors,Total Votes,Poll%,Margin,Margin %,Father/Husband Name,Gender,Age
Jammu West,78,SC,Jammu,Arvind Gupta,Bharatiya Janta Party,105852,64290,60.7 %,22127,34.4%,LATE SH SATISH GUPTA,male,55
Jammu North,79,GEN,Jammu,Sham Lal Sharma,Bharatiya Janta Party,111226,73859,66.4 %,27363,37.0%,Gushu Ram,male,63
Marh,80,SC,Jammu,Surinder Kumar,Bharatiya Janta Party,93299,76628,82.1 %,23086,30.1%,DAYAL CHAND,male,42
Akhnoor,81,GEN,Jammu,Mohan Lal,Bharatiya Janta Party,95263,76184,80.0 %,24679,32.4%,Baldev Raj,male,58
Chhamb,82,GEN,Jammu,Satish Sharma,Independent,105672,86562,81.9 %,6929,8.0%,MADAN LAL SHARMA,male,42
Kalakote–sunderbani,83,GEN,Rajouri,Randhir Singh,Bharatiya Janta Party,97540,68326,70.0 %,14409,21.1%,GIAN SINGH,male,58
Nowshera,84,GEN,Rajouri,Surinder Kumar Choudhary,Jammu & Kashmir National Conference,86504,64526,74.6 %,7819,12.1%,JIA LAL CHOUDHARY,male,56
Rajouri,85,GEN,Rajouri,Iftkar Ahmed,Indian National Congress,89099,63682,71.5 %,1404,2.2%,MOHD ASHRIF,male,41
Budhal,86,GEN,Rajouri,Javaid Iqbal,Jammu & Kashmir National Conference,95071,67560,71.1 %,18908,28.0%,ASLAM DIN,male,48
Thanamandi,87,GEN,Rajouri,Muzaffar Iqbal Khan,Independent,122370,90286,73.8 %,6179,6.8%,Mohd Aslam Khan,male,52
Surankote,88,,Poonch,Choudhary Mohammed Akram,Independent,113342,86493,76.3 %,8851,10.2%,CHOUDHARY MOHAMMED ASLAM,male,62
Poonch Haveli,89,GEN,Poonch,Ajaz Ahmed Jan,Jammu & Kashmir National Conference,128807,97008,75.3 %,20879,21.5%,GHULAM MOHD JAN,male,47
Mendhar,90,GEN,Poonch,Javed Ahmed Rana,Jammu & Kashmir National Conference,109474,82244,75.1 %,14906,18.1%,BABU FAIZ AHMED,male,61
