ac name,ac no,type,district,winning candidate,party,total electors,total votes,poll%,margin,margin %,father/husband name,gender,age,UID
Kishangarh Bas,60,GEN,Alwar,Deepchand Khairiya,Indian National Congress,513552,201052,39.10%,10496,5.20%,BADALU RAM,male,83.0,RJ2023AC60
Mundawar,61,GEN,Alwar,Lalit Yadav,Indian National Congress,483228,182094,37.70%,35624,19.60%,Vidhyasagar,male,34.0,RJ2023AC61
Behror,62,GEN,Alwar,Dr. Jaswant Singh Yadav,Bharatiya Janta Party,474610,174775,36.80%,17223,9.90%,SURAT SINGH,male,70.0,RJ2023AC62
Bansur,63,GEN,Alwar,Devi Singh Shekhawat,Bharatiya Janta Party,509502,180403,35.40%,7420,4.10%,Roshan Singh Shekhawat,male,57.0,RJ2023AC63
Thanagazi,64,GEN,Alwar,Kanti Prasad,Indian National Congress,443221,167711,37.80%,1939,1.20%,MOTI LAL,male,63.0,RJ2023AC64
Alwar Rural,65,SC,Alwar,Tikaram Jully,Indian National Congress,525391,195428,37.20%,27333,14.00%,Lekhram,male,43.0,RJ2023AC65
Alwar Urban,66,GEN,Alwar,Sanjay Sharma,Bharatiya Janta Party,527135,174569,33.10%,9087,5.20%,KRISHAN KUMAR,male,54.0,RJ2023AC66
Ramgarh,67,GEN,Alwar,Zubair Khan,Indian National Congress,543488,210464,38.70%,19696,9.40%,BAGH SINGH,male,61.0,RJ2023AC67
Rajgarh-Laxmangarh,68,ST,Alwar,Mangelal Meena,Indian National Congress,529686,185572,35.00%,22567,12.20%,KANHAIYA LAL MEENA,male,62.0,RJ2023AC68
Kathumar,69,SC,Alwar,Ramesh Khinchi,Bharatiya Janta Party,458798,163651,35.70%,409,0.20%,Kishan Lal,male,65.0,RJ2023AC69
Kaman,70,GEN,Bharatpur,Nauksham,Bharatiya Janta Party,531598,206906,38.90%,13906,6.70%,RAM SINGH CHAUDHARY,female,33.0,RJ2023AC70
Nagar,71,GEN,Bharatpur,Jawaharsingh Bedham,Bharatiya Janta Party,500294,200868,40.10%,1531,0.80%,SAMANDAR SINGH,male,55.0,RJ2023AC71
Deeg-Kumher,72,GEN,Bharatpur,Dr. Shailesh Singh,Bharatiya Janta Party,515050,177084,34.40%,7895,4.50%,DR. DIGAMBER SINGH,male,43.0,RJ2023AC72
Bharatpur,73,GEN,Bharatpur,Dr. Subhash Garg,Rashtriya Lok Dal,558042,187805,33.70%,5387,2.90%,PRABHUDAYAL,male,64.0,RJ2023AC73
Nadbai,74,GEN,Bharatpur,Jagat Singh,Bharatiya Janta Party,583794,206385,35.40%,15767,7.60%,KU. NATWAR SINGH,male,55.0,RJ2023AC74
Weir,75,SC,Bharatpur,Bahadur Singh,Bharatiya Janta Party,544754,187963,34.50%,6972,3.70%,SUKHA RAM,male,65.0,RJ2023AC75
Bayana,76,SC,Bharatpur,Dr. Ritu Banawat,Independent,533018,191492,35.90%,40642,21.20%,RISHI BANSAL,female,39.0,RJ2023AC76
Baseri,77,SC,Dhaulpur,Sanjay Kumar,Indian National Congress,406452,150311,37.00%,27110,18.00%,SUA LAL,male,35.0,RJ2023AC77
Bari,78,GEN,Dhaulpur,Jaswant Singh Gurjar,Bahujan Samaj Party,474706,200626,42.30%,27424,13.70%,KAMAL SINGH,male,68.0,RJ2023AC78
Dholpur,79,GEN,Dhaulpur,Shobharani Kushwah,Indian National Congress,446523,173028,38.80%,16789,9.70%,BANWARI LAL KUSHWAH,female,42.0,RJ2023AC79
Rajakhera,80,GEN,Dhaulpur,Rohit Bohra,Indian National Congress,429842,165802,38.60%,15557,9.40%,Pradyumn Singh,male,57.0,RJ2023AC80
Todabhim,81,ST,Karauli,Ghanshyam,Indian National Congress,563288,178954,31.80%,28861,16.10%,,,,RJ2023AC81
Hindaun,82,SC,Karauli,Anita Jatav,Indian National Congress,553810,185732,33.50%,38276,20.60%,VIKRAM,female,39.0,RJ2023AC82
Karauli,83,GEN,Karauli,Darshan Singh,Bharatiya Janta Party,513826,193759,37.70%,2183,1.10%,LATE SHREE HANSRAM,male,60.0,RJ2023AC83
Sapotra,84,ST,Karauli,Hansraj Meena,Bharatiya Janta Party,550008,196408,35.70%,43834,22.30%,,,,RJ2023AC84
Bandikui,85,GEN,Dausa,Bhagchand Tankda,Bharatiya Janta Party,444774,178586,40.20%,12380,6.90%,BHOLARAM,male,45.0,RJ2023AC85
Mahuwa,86,GEN,Dausa,Rajendra,Bharatiya Janta Party,442600,158665,35.80%,7917,5.00%,UTTAM SINGH,male,68.0,RJ2023AC86
Sikrai,87,SC,Dausa,Vikram Bansiwal,Bharatiya Janta Party,526806,182498,34.60%,9428,5.20%,JIYALAL BANSIWAL,male,44.0,RJ2023AC87
Dausa,88,GEN,Dausa,Murari Lal Meena,Indian National Congress,486966,181200,37.20%,31204,17.20%,NARAYAN,male,65.0,RJ2023AC88
Lalsot,89,ST,Dausa,Rambilas,Bharatiya Janta Party,510536,196643,38.50%,47068,23.90%,MEDARAM MEENA,male,47.0,RJ2023AC89
Gangapur,90,GEN,Sawai Madhopur,Ramkesh,Indian National Congress,537212,198848,37.00%,19268,9.70%,MOOLYA,male,66.0,RJ2023AC90
Bamanwas,91,ST,Sawai Madhopur,Indra,Indian National Congress,487050,157154,32.30%,7865,5.00%,TIKU RAM,male,61.0,RJ2023AC91
Sawai Madhopur,92,GEN,Sawai Madhopur,Kirodi Lal,Bharatiya Janta Party,513100,182658,35.60%,22510,12.30%,MANOHARI,male,72.0,RJ2023AC92
Khandar,93,SC,Sawai Madhopur,Jitendra Kumar Gothwal,Bharatiya Janta Party,495658,178197,36.00%,14015,7.90%,GHASIRAM,male,50.0,RJ2023AC93
Malpura,94,GEN,Tonk,Kanhaiyalal,Bharatiya Janta Party,542716,206615,38.10%,16189,7.80%,,,,RJ2023AC94
Niwai,95,SC,Tonk,Ram Sahay Varma (REGAR),Bharatiya Janta Party,569972,197413,34.60%,12941,6.60%,SUKHA RAM,male,62.0,RJ2023AC95
Tonk,96,GEN,Tonk,Sachin Pilot,Indian National Congress,506378,187070,36.90%,29475,15.80%,Rajesh Pilot,male,46.0,RJ2023AC96
Deoli-Uniara,97,GEN,Tonk,Harish Chandra Meena,Indian National Congress,594630,219634,36.90%,19175,8.70%,Shrinarayan,male,69.0,RJ2023AC97
Kishangarh,98,GEN,Ajmer,Vikash Choudhary,Indian National Congress,565310,213273,37.70%,3620,1.70%,RAMCHANDRA CHOUDHARY,male,36.0,RJ2023AC98
Pushkar,99,GEN,Ajmer,Suresh Singh Rawat,Bharatiya Janta Party,503978,188740,37.50%,13869,7.30%,Suraj Singh,male,40.0,RJ2023AC99
Ajmer North,100,GEN,Ajmer,Vasudev Devnani,Bharatiya Janta Party,419706,141938,33.80%,4644,3.30%,BHAWANDAS,male,75.0,RJ2023AC100
Ajmer South,101,SC,Ajmer,Anita Bhadel,Bharatiya Janta Party,420574,140330,33.40%,4446,3.20%,BHIM SINGH,female,52.0,RJ2023AC101
Nasirabad,102,GEN,Ajmer,Ramswaroop Lamba,Bharatiya Janta Party,466642,179938,38.60%,1135,0.60%,SANWAR LAL,male,38.0,RJ2023AC102
Beawar,103,GEN,Ajmer,Shankersingh Rawat,Bharatiya Janta Party,516862,179959,34.80%,8878,4.90%,LADU SINGH,male,68.0,RJ2023AC103
Masuda,104,GEN,Ajmer,Virendra Singh,Bharatiya Janta Party,544568,198396,36.40%,26716,13.50%,BHANWAR SINGH,male,58.0,RJ2023AC104
Kekri,105,GEN,Ajmer,Shatrughan Gautam,Bharatiya Janta Party,523492,198808,38.00%,7542,3.80%,NANDKISHORE SHARMA,male,47.0,RJ2023AC105
Ladnun,106,GEN,Nagaur,Mukesh Bhakar,Indian National Congress,538508,191241,35.50%,15954,8.30%,SURJARAM,male,35.0,RJ2023AC106
Deedwana,107,GEN,Nagaur,Yoonus Khan,Independent,531730,194155,36.50%,2392,1.20%,TAJU KHAN,male,59.0,RJ2023AC107
Jayal,108,SC,Nagaur,Dr. Manju Baghmar,Bharatiya Janta Party,524798,177583,33.80%,1565,0.90%,RUGHA RAM,female,51.0,RJ2023AC108
Nagaur,109,GEN,Nagaur,Harendra Mirdha,Indian National Congress,541448,186027,34.40%,14620,7.90%,RAMNIWAS,male,74.0,RJ2023AC109
Khinwsar,110,GEN,Nagaur,Hanuman Beniwal,Rashtriya Loktantrik Party,566104,207231,36.60%,2059,1.00%,RAMDEV,male,51.0,RJ2023AC110
Merta,111,SC,Nagaur,Laxman Ram,Bharatiya Janta Party,573516,200091,34.90%,17515,8.80%,HARDEEN RAM,male,51.0,RJ2023AC111
Degana,112,GEN,Nagaur,Ajay Singh,Bharatiya Janta Party,531678,189485,35.60%,7755,4.10%,RAMRAGHUNATH,male,65.0,RJ2023AC112
Makrana,113,GEN,Nagaur,Jakir Hussain Gesawat,Indian National Congress,543732,204145,37.50%,29314,14.40%,MO RAMJAN,male,53.0,RJ2023AC113
Parbatsar,114,GEN,Nagaur,Ramniwas Gawriya,Indian National Congress,500858,195429,39.00%,10316,5.30%,RUGHARAM,male,32.0,RJ2023AC114
Nawan,115,GEN,Nagaur,Vijay Singh,Bharatiya Janta Party,538184,200736,37.30%,23948,11.90%,Kirori Singh Bainsla,male,52.0,RJ2023AC115
Jaitaran,116,GEN,Pali,Avinash Gehlot,Bharatiya Janta Party,617872,210407,34.10%,13526,6.40%,NATHU RAM,male,41.0,RJ2023AC116
Sojat,117,SC,Pali,Shobha Chauhan,Bharatiya Janta Party,492463,168081,34.10%,31772,18.90%,RAJESH,female,52.0,RJ2023AC117
Pali,118,GEN,Pali,Bheem Raj Bhati,Indian National Congress,549296,187496,34.10%,7888,4.20%,POONAM CHAND BHATI,male,75.0,RJ2023AC118
Marwar Junction,119,GEN,Pali,Kesaram Choudhary,Bharatiya Janta Party,589906,179696,30.50%,33021,18.40%,VANARAM,male,71.0,RJ2023AC119
Bali,120,GEN,Pali,Pushpendra Singh,Bharatiya Janta Party,665656,218876,32.90%,10493,4.80%,NARENDRA SINGH,male,53.0,RJ2023AC120
Sumerpur,121,GEN,Pali,Joraram Kumawat,Bharatiya Janta Party,622406,190196,30.60%,27382,14.40%,PURARAM KUMAWAT,male,59.0,RJ2023AC121
Phalodi,122,GEN,Jodhpur,Pabba Ram Bishnoi,Bharatiya Janta Party,514974,176668,34.30%,10784,6.10%,BARSINGA RAM,male,72.0,RJ2023AC122
Lohawat,123,GEN,Jodhpur,Gajendra Singh,Bharatiya Janta Party,536478,206575,38.50%,10549,5.10%,ONKAR SINGH,male,65.0,RJ2023AC123
Shergarh,124,GEN,Jodhpur,Babu Singh Rathor,Bharatiya Janta Party,551748,205574,37.30%,25044,12.20%,CHAIN SINGH RATHOR,male,52.0,RJ2023AC124
Osian,125,GEN,Jodhpur,Bhera Ram Choudhary (SIYOL),Bharatiya Janta Party,532534,207849,39.00%,2807,1.40%,BHAGWANA RAM CHOUDHARY,male,52.0,RJ2023AC125
Bhopalgarh,126,SC,Jodhpur,Geeta Barwar,Indian National Congress,610396,200881,32.90%,24298,12.10%,JOGESHWAR PRASAD,female,48.0,RJ2023AC126
Sardarpura,127,GEN,Jodhpur,Ashok Gehlot,Indian National Congress,515506,169688,32.90%,26396,15.60%,LATE SHRI LAXMANSINGH,male,72.0,RJ2023AC127
Jodhpur,128,GEN,Jodhpur,Atul Bhansali,Bharatiya Janta Party,399396,131166,32.80%,13525,10.30%,HANWANT,male,53.0,RJ2023AC128
Soorsagar,129,GEN,Jodhpur,Devendra Joshi,Bharatiya Janta Party,577371,199175,34.50%,38759,19.50%,,,,RJ2023AC129
Luni,130,GEN,Jodhpur,Jogaram Patel,Bharatiya Janta Party,670336,242238,36.10%,24678,10.20%,RAMARAM,male,68.0,RJ2023AC130
Bilara,131,SC,Jodhpur,Arjun Lal,Bharatiya Janta Party,580814,194404,33.50%,10424,5.40%,GOKUL RAM,male,65.0,RJ2023AC131
Jaisalmer,132,GEN,Jaisalmer,Chhotusingh,Bharatiya Janta Party,506830,197237,38.90%,18687,9.50%,KARANSINGH,male,68.0,RJ2023AC132
Pokaran,133,GEN,Jaisalmer,Pratap Puri,Bharatiya Janta Party,449330,197940,44.10%,35427,17.90%,MOHAN PURI,male,53.0,RJ2023AC133
Sheo,134,GEN,Barmer,Ravindra Singh Bhati,Independent,601686,249762,41.50%,3950,1.60%,SHAITAN SINGH BHATI,male,25.0,RJ2023AC134
Barmer,135,GEN,Barmer,Dr. Priyanka Chowdhary,Independent,529724,215357,40.70%,13337,6.20%,LATE NANURAM,female,50.0,RJ2023AC135
Baytoo,136,GEN,Barmer,Harish Chaudhary,Indian National Congress,504802,211197,41.80%,910,0.40%,MOOLSINGH CHOUDHARY,male,53.0,RJ2023AC136
Pachpadra,137,GEN,Barmer,Arun Choudhary,Bharatiya Janta Party,505908,184411,36.50%,2529,1.40%,AMRARAM,male,47.0,RJ2023AC137
Siwana,138,GEN,Barmer,Hameer Singh Bhayal,Bharatiya Janta Party,552498,176443,31.90%,11807,6.70%,DAULAT SINGH,male,65.0,RJ2023AC138
Gudha Malani,139,GEN,Barmer,Krishan Kumar K.K. Vishnoi,Bharatiya Janta Party,540268,217958,40.30%,15217,7.00%,LADURAM VISHNOI,male,46.0,RJ2023AC139
Chohtan,140,SC,Barmer,Adu Ram Meghwal,Bharatiya Janta Party,619486,233550,37.70%,1428,0.60%,ANNA RAM,male,57.0,RJ2023AC140
Ahore,141,GEN,Jalor,Chhagan Singh Rajpurohit,Bharatiya Janta Party,542908,164770,30.30%,11215,6.80%,JUHAR SINGH,male,46.0,RJ2023AC141
Jalore,142,SC,Jalor,Jogeshwar Garg,Bharatiya Janta Party,575908,178919,31.10%,19536,10.90%,PHUSA RAM,male,68.0,RJ2023AC142
Bhinmal,143,GEN,Jalor,Samarjit Singh,Indian National Congress,617716,199236,32.30%,1027,0.50%,SURAJPAL SINGH,male,56.0,RJ2023AC143
Sanchore,144,GEN,Jalor,Jiva Ram Choudhary,Independent,630634,256037,40.60%,4671,1.80%,MOTA RAM,male,62.0,RJ2023AC144
Raniwara,145,GEN,Jalor,Ratan Devasi,Indian National Congress,543744,210900,38.80%,22362,10.60%,SHANKAR,male,48.0,RJ2023AC145
Sirohi,146,GEN,Sirohi,Ota Ram Dewasi,Bharatiya Janta Party,608981,200233,32.90%,35805,17.90%,HEMARAM,male,58.0,RJ2023AC146
Pindwara Abu,147,ST,Sirohi,Samaram,Bharatiya Janta Party,456665,157558,34.50%,13094,8.30%,BHARTARAM,male,55.0,RJ2023AC147
Reodar,148,SC,Sirohi,Motiram,Indian National Congress,567150,193207,34.10%,3564,1.80%,PUNAMARAM,male,52.0,RJ2023AC148
Gogunda,149,ST,Udaipur,Pratap Lal Bheel,Bharatiya Janta Party,529618,193470,36.50%,3665,1.90%,Late Bhura Lal Bheel,male,54.0,RJ2023AC149
Jhadol,150,ST,Udaipur,Babulal Kharadi,Bharatiya Janta Party,546986,212258,38.80%,6488,3.10%,Fagna,male,51.0,RJ2023AC150
Kherwara,151,ST,Udaipur,Dr. Dayaram Parmar,Indian National Congress,595418,215913,36.30%,17244,8.00%,Danaji,male,78.0,RJ2023AC151
Udaipur Rural,152,ST,Udaipur,Phool Singh Meena,Bharatiya Janta Party,570429,211842,37.10%,27345,12.90%,Madho Singh Meena,male,64.0,RJ2023AC152
Udaipur,153,GEN,Udaipur,Tarachand Jain,Bharatiya Janta Party,492862,164370,33.40%,32771,19.90%,Kodarlal Jain,male,70.0,RJ2023AC153
Mavli,154,GEN,Udaipur,Pushkar Lal Dangi,Indian National Congress,516120,201019,38.90%,1567,0.80%,Mangi Lal Dangi,male,57.0,RJ2023AC154
Vallabhnagar,155,GEN,Udaipur,Udailal Dangi,Bharatiya Janta Party,529556,201694,38.10%,20060,9.90%,Meghraj,male,51.0,RJ2023AC155
Salumber,156,ST,Udaipur,Amritlal Meena,Bharatiya Janta Party,590344,209617,35.50%,14691,7.00%,Goma Ji Meena,male,63.0,RJ2023AC156
Dhariawad,157,ST,Udaipur,Thavar Chand,Bharat Adivasi Party,549510,218787,39.80%,6691,3.10%,SHANKAR LAL,male,28.0,RJ2023AC157
Dungarpur,158,ST,Dungarpur,Ganesh Ghogra,Indian National Congress,526590,189490,36.00%,19053,10.10%,NATHU LAL GHOGRA,male,44.0,RJ2023AC158
Aspur,159,ST,Dungarpur,Umesh Meena,Bharat Adivasi Party,540042,197629,36.60%,28940,14.60%,Ratan Lal Meena,male,30.0,RJ2023AC159
Sagwara,160,ST,Dungarpur,Shankarlal Decha,Bharatiya Janta Party,552090,202778,36.70%,11999,5.90%,Savji,male,59.0,RJ2023AC160
Chorasi,161,ST,Dungarpur,Rajkumar Roat,Bharat Adivasi Party,500318,202345,40.40%,69166,34.20%,LT. Shankerlal Roat,male,31.0,RJ2023AC161
Ghatol,162,ST,Banswara,Nanalal Ninama,Indian National Congress,562836,237489,42.20%,3691,1.60%,DELIYA NINAMA,male,69.0,RJ2023AC162
Garhi,163,ST,Banswara,Kailash Chandra Meena,Bharatiya Janta Party,578710,221324,38.20%,15107,6.80%,GOMNA,male,58.0,RJ2023AC163
Banswara,164,ST,Banswara,Arjun Singh Bamaniya,Indian National Congress,562016,225924,40.20%,1400,0.60%,PUNJA JI,male,60.0,RJ2023AC164
Bagidora,165,ST,Banswara,Mahendra Jeet Singh Malviya,Indian National Congress,529486,218545,41.30%,41355,18.90%,POJA,male,62.0,RJ2023AC165
Kushalgarh,166,ST,Banswara,Ramila Khadiya,Indian National Congress,529742,230569,43.50%,9804,4.30%,HURTING,female,54.0,RJ2023AC166
Kapasan,167,SC,Chittaurgarh,Arjun Lal Jingar,Bharatiya Janta Party,539448,198913,36.90%,21344,10.70%,NAND LAL,male,63.0,RJ2023AC167
