ac name,ac no,type,district,winning candidate,party,total electors,total votes,margin,margin %,father/husband name,gender,age,UID
KEOTI,86,,Darbhanga,MURARI MOHAN JHA,Bharatiya Janata Party,,89123,7305,,SHASHI BHUSHAN JHA,male,68.0,BR2025AC86
JALE,87,,Darbhanga,JIBESH KUMAR,Bharatiya Janata Party,,100496,21862,,LATE RAM KRIPAL MISHRA,male,52.0,BR2025AC87
GAIGHAT,88,,Muzaffarpur,KOMAL SINGH,Janata Dal (United),,108104,23417,,DINESH PRASAD SINGH,female,30.0,BR2025AC88
AURAI,89,,Muzaffarpur,RAMA NISHAD,Bharatiya Janata Party,,104085,57206,,AJAY NISHAD,female,58.0,BR2025AC89
MINAPUR,90,,Muzaffarpur,AJAY KUMAR,Janata Dal (United),,113411,34238,,,,,BR2025AC90
BOCHAHAN,91,,Muzaffarpur,BABY KUMARI,Lok Janshakti Party (Ram Vilas),,108186,20316,,UMESH PRASAD,female,48.0,BR2025AC91
SAKRA,92,,Muzaffarpur,ADITYA KUMAR,Janata Dal (United),,98723,15050,,,,,BR2025AC92
KURHANI,93,,Muzaffarpur,KEDAR PD GUPTA,Bharatiya Janata Party,,107811,9718,,LATE RAMAVTAR SAH,male,61.0,BR2025AC93
MUZAFFARPUR,94,,Muzaffarpur,RANJAN KUMAR,Bharatiya Janata Party,,100477,32657,,,,,BR2025AC94
KANTI,95,,Muzaffarpur,AJIT KUMAR,Janata Dal (United),,117299,25795,,,,,BR2025AC95
BARURAJ,96,,Muzaffarpur,ARUN KUMAR SINGH,Bharatiya Janata Party,,96879,29052,,,,,BR2025AC96
PAROO,97,,Muzaffarpur,SHANKAR PRASAD,Rashtriya Janata Dal,,95272,28827,,,,,BR2025AC97
SAHEBGANJ,98,,Muzaffarpur,RAJU KUMAR SINGH,Bharatiya Janata Party,,106322,13522,,SRI UDAY PRATAP SINGH,male,55.0,BR2025AC98
BAIKUNTHPUR,99,,Gopalganj,MITHILESH TIWARI,Bharatiya Janata Party,,104133,16953,,LATE DEONARAYAN TIWARI,male,54.0,BR2025AC99
BARAULI,100,,Gopalganj,MANJEET KUMAR SINGH,Janata Dal (United),,88657,12374,,LATE BRAJ KISHORE NARAYAN SINGH,male,53.0,BR2025AC100
GOPALGANJ,101,,Gopalganj,SUBHASH SINGH,Bharatiya Janata Party,,96892,28972,,Binod Kumar Singh,male,49.0,BR2025AC101
KUCHAIKOTE,102,,Gopalganj,AMRENDRA KUMAR PANDEY,Janata Dal (United),,101425,24491,,LATE RAMASHISH PANDEY,male,51.0,BR2025AC102
BHOREY,103,,Gopalganj,SUNIL KUMAR,Janata Dal (United),,101469,16163,,,,,BR2025AC103
HATHUA,104,,Gopalganj,RAMSEWAK SINGH,Janata Dal (United),,92121,12348,,Rajbali Singh,male,53.0,BR2025AC104
SIWAN,105,,Siwan,MANGAL PANDEY,Bharatiya Janata Party,,92379,9370,,AWADHESH PANDEY,male,52.0,BR2025AC105
ZIRADEI,106,,Siwan,BHISM PRATAP SINGH,Janata Dal (United),,66227,2626,,ANIRUDH BHAGAT,male,54.0,BR2025AC106
DARAULI,107,,Siwan,VISHNU DEO PASWAN,Lok Janshakti Party (Ram Vilas),,83014,9572,,UMA SHANKER,male,33.0,BR2025AC107
RAGHUNATHPUR,108,,Siwan,OSAMA SHAHAB,Rashtriya Janata Dal,,88278,9248,,Late MD. SHAHABUDDIN,male,31.0,BR2025AC108
DARAUNDA,109,,Siwan,KARNJEET SINGH ALIAS VYAS SINGH,Bharatiya Janata Party,,87047,18367,,LATE BACHCHA SINGH,male,50.0,BR2025AC109
BARHARIA,110,,Siwan,INDRADEV SINGH,Janata Dal (United),,93600,12136,,KAILASH SINGH,male,60.0,BR2025AC110
GORIAKOTHI,111,,Siwan,DEVESH KANT SINGH,Bharatiya Janata Party,,105909,12385,,LATE BHUMENDRA NARAIN SINGH,male,57.0,BR2025AC111
MAHARAJGANJ,112,,Siwan,HEM NARAYAN SAH,Janata Dal (United),,86813,21099,,SHIVJI SAH,male,63.0,BR2025AC112
EKMA,113,,Saran,MANORANJAN SINGH,Janata Dal (United),,84077,22708,,LATE BACHCHA SINGH,male,66.0,BR2025AC113
MANJHI,114,,Saran,RANDHIR KUMAR SINGH,Janata Dal (United),,68455,9787,,PRABHUNATH SINGH,male,42.0,BR2025AC114
BANIAPUR,115,,Saran,KEDAR NATH SINGH,Bharatiya Janata Party,,95606,15436,,Basudeo Singh,male,61.0,BR2025AC115
TARAIYA,116,,Saran,JANAK SINGH,Bharatiya Janata Party,,85564,1329,,KHEDARAN SINGH,male,64.0,BR2025AC116
MARHAURA,117,,Saran,JITENDRA KUMAR RAI,Rashtriya Janata Dal,,86118,27928,,YADUBANSHI RAI,male,46.0,BR2025AC117
CHAPRA,118,,Saran,CHHOTI KUMARI,Bharatiya Janata Party,,86845,7600,,DHARMENDRA KUMAR SAH,female,35.0,BR2025AC118
GARKHA,119,,Saran,SURENDRA RAM,Rashtriya Janata Dal,,91134,12804,,PARMESHWAR RAM,male,45.0,BR2025AC119
AMNOUR,120,,Saran,KRISHAN KUMAR MANTOO,Bharatiya Janata Party,,75525,3808,,LAKSHMI NARAYAN SINGH,male,47.0,BR2025AC120
PARSA,121,,Saran,KARISHMA,Rashtriya Janata Dal,,89093,25772,,VIJAY KUMAR SINGH,female,47.0,BR2025AC121
SONEPUR,122,,Saran,VINAY KUMAR SINGH,Bharatiya Janata Party,,90842,4767,,GANESH SINGH,male,62.0,BR2025AC122
HAJIPUR,123,,Vaishali,AWADHESH SINGH,Bharatiya Janata Party,,113221,18509,,MAHENDRA SINGH,male,55.0,BR2025AC123
LALGANJ,124,,Vaishali,SANJAY KUMAR SINGH,Bharatiya Janata Party,,127650,32167,,,,,BR2025AC124
VAISHALI,125,,Vaishali,SIDDHARTH PATEL,Janata Dal (United),,108377,32590,,BIPIN BIHARI PATEL,male,53.0,BR2025AC125
MAHUA,126,,Vaishali,SANJAY KUMAR SINGH,Lok Janshakti Party (Ram Vilas),,87641,44997,,LATE BISHNUDEO SINGH,male,58.0,BR2025AC126
RAJA PAKAR,127,,Vaishali,MAHENDRA RAM,Janata Dal (United),,96258,48189,,YOGI RAM,male,48.0,BR2025AC127
RAGHOPUR,128,,Vaishali,TEJASHWI PRASAD YADAV,Rashtriya Janata Dal,,118597,14532,,LALU PRASAD,male,36.0,BR2025AC128
MAHNAR,129,,Vaishali,UMESH SINGH KUSHWAHA,Janata Dal (United),,98050,38558,,BASUDEO SINGH,male,51.0,BR2025AC129
PATEPUR,130,,Vaishali,LAKHENDRA KUMAR RAUSHAN,Bharatiya Janata Party,,108356,22380,,NAGESHWAR PASWAN,male,46.0,BR2025AC130
KALYANPUR,131,,Samastipur,MAHESHWAR HAZARI,Janata Dal (United),,118162,38586,,RAM SEWAK HAZARI,male,63.0,BR2025AC131
WARISNAGAR,132,,Samastipur,MANJARIK MRINAL,Janata Dal (United),,108968,34436,,ASHOK KUMAR,male,36.0,BR2025AC132
SAMASTIPUR,133,,Samastipur,ASHWAMEDH DEVI,Janata Dal (United),,95728,13875,,LT. PRADIP MAHTO,female,62.0,BR2025AC133
UJIARPUR,134,,Samastipur,ALOK KUMAR MEHTA,Rashtriya Janata Dal,,102707,16283,,TULSIDAS MEHTA,male,58.0,BR2025AC134
MORWA,135,,Samastipur,RANVIJAY SAHU,Rashtriya Janata Dal,,77770,8671,,MAGANLAL SAH,male,49.0,BR2025AC135
SARAIRANJAN,136,,Samastipur,VIJAY KUMAR CHOUDHARY,Janata Dal (United),,102792,20798,,LATE JAGDISH PRASAD CHOUDHARY,male,68.0,BR2025AC136
MOHIUDDINNAGAR,137,,Samastipur,RAJESH KUMAR SINGH,Bharatiya Janata Party,,89208,11682,,,,,BR2025AC137
BIBHUTIPUR,138,,Samastipur,AJAY KUMAR,Communist Party of India (M),,79246,10281,,,,,BR2025AC138
ROSERA,139,,Samastipur,BIRENDRA KUMAR,Bharatiya Janata Party,,122773,50533,,,,,BR2025AC139
HASANPUR,140,,Samastipur,RAJ KUMAR RAY,Janata Dal (United),,90961,7914,,RAM PYARE YADAV,male,53.0,BR2025AC140
CHERIA - BARIARPUR,141,,Begusarai,ABHISHEK ANAND,Janata Dal (United),,75081,4119,,CHANDRASHEKHAR VERMA,male,42.0,BR2025AC141
BACHHWARA,142,,Begusarai,SURENDRA MEHTA,Bharatiya Janata Party,,100343,15841,,PALLAV MEHTA,male,66.0,BR2025AC142
TEGHRA,143,,Begusarai,RAJNISH KUMAR,Bharatiya Janata Party,,112770,35364,,YOGENDRA SINGH,male,52.0,BR2025AC143
MATIHANI,144,,Begusarai,NARENDRA KUMAR SINGH ALIAS BOGO SINGH,Rashtriya Janata Dal,,117789,5290,,SATYA NARAYAN SINGH,male,59.0,BR2025AC144
SAHEBPUR KAMAL,145,,Begusarai,SATTANAND SAMBUDDHA ALIAS LALAN JEE,Rashtriya Janata Dal,,76798,15721,,NARAYAN AJAD,male,60.0,BR2025AC145
BEGUSARAI,146,,Begusarai,KUNDAN KUMAR,Bharatiya Janata Party,,119506,30632,,,,,BR2025AC146
BAKHRI,147,,Begusarai,SANJAY KUMAR,Lok Janshakti Party (Ram Vilas),,98511,17318,,,,,BR2025AC147
ALAULI,148,,Khagaria,RAM CHANDRA SADA,Janata Dal (United),,93208,35732,,SHIVLAL SADA,male,61.0,BR2025AC148
KHAGARIA,149,,Khagaria,BABLU KUMAR,Janata Dal (United),,93988,23415,,ARVIND KUMAR MANDAL,male,47.0,BR2025AC149
BELDAUR,150,,Khagaria,PANNA LAL SINGH PATEL,Janata Dal (United),,106262,35175,,CHANDRA KISHORE SINGH PATEL,male,76.0,BR2025AC150
