ac name,ac no,type,district,winning candidate,party,total electors,total votes,margin,margin %,father/husband name,gender,age,UID
BARHARA,193,,Bhojpur,RAGHVENDRA PRATAP SINGH,Bharatiya Janata Party,,79593,14403,,AMBIKA SHARAN SINGH,male,72.0,BR2025AC193
ARRAH,194,,Bhojpur,SANJAY SINGH (TIGER),Bharatiya Janata Party,,94201,19581,,Madhav Singh,male,55.0,BR2025AC194
AGIAON,195,,Bhojpur,MAHESH PASWAN,Bharatiya Janata Party,,69412,95,,RAMCHHAPIT RAM,male,48.0,BR2025AC195
TARARI,196,,Bhojpur,VISHAL PRASHANT,Bharatiya Janata Party,,96887,11464,,NARENDRA KUMAR PANDEY,male,35.0,BR2025AC196
JAGDISHPUR,197,,Bhojpur,SRIBHAGWAN SINGH KUSHWAHA,Janata Dal (United),,92974,18193,,DEVDHARI SINGH,male,61.0,BR2025AC197
SHAHPUR,198,,Bhojpur,RAKESH RANJAN,Bharatiya Janata Party,,88655,15225,,VISHESHWAR OJHA,male,30.0,BR2025AC198
BRAHAMPUR,199,,Buxar,SHAMBHU NATH YADAV,Rashtriya Janata Dal,,95828,3220,,LATE HARDEO YADAV,male,61.0,BR2025AC199
BUXAR,200,,Buxar,ANAND MISHRA,Bharatiya Janata Party,,84901,28353,,PARAM HANS MISHRA,male,44.0,BR2025AC200
DUMRAON,201,,Buxar,RAHUL KUMAR SINGH,Janata Dal (United),,79411,2105,,,,,BR2025AC201
RAJPUR,202,,Buxar,SANTOSH KUMAR NIRALA,Janata Dal (United),,80701,9136,,RAM LAL RAM,male,50.0,BR2025AC202
RAMGARH,203,,Kaimur,SATISH KUMAR SINGH YADAV,Bahujan Samaj Party,,72689,30,,AGANU SINGH YADAV,male,39.0,BR2025AC203
MOHANIA,204,,Kaimur,SANGITA KUMARI,Bharatiya Janata Party,,76290,18752,,JAYENDRA KUMAR,female,40.0,BR2025AC204
BHABUA,205,,Kaimur,BHARAT BIND,Bharatiya Janata Party,,80039,24415,,Ramdhani Bind,male,67.0,BR2025AC205
CHAINPUR,206,,Kaimur,MD. ZAMA KHAN,Janata Dal (United),,70876,8362,,SHAHEB ZAMA KHAN,male,52.0,BR2025AC206
CHENARI,207,,Rohtas,MURARI PRASAD GAUTAM,Lok Janshakti Party (Ram Vilas),,95579,21988,,MAHENDRA RAM,male,45.0,BR2025AC207
SASARAM,208,,Rohtas,SNEHLATA,Rashtriya Lok Morcha,,105006,25443,,UPENDRA PRASAD SINGH,female,56.0,BR2025AC208
KARGAHAR,209,,Rohtas,BASHISTH SINGH,Janata Dal (United),,92485,35676,,RAMASHRAY SINGH,male,52.0,BR2025AC209
DINARA,210,,Rohtas,ALOK KUMAR SINGH,Rashtriya Lok Morcha,,78338,10834,,RAMESHWAR SINGH,male,49.0,BR2025AC210
NOKHA,211,,Rohtas,NAGENDRA CHANDRAVANSHI,Janata Dal (United),,93193,24054,,SANTU SINGH,male,49.0,BR2025AC211
DEHRI,212,,Rohtas,RAJEEV RANJAN SINGH,Lok Janshakti Party (Ram Vilas),,104022,35968,,LALAN SINGH,male,41.0,BR2025AC212
KARAKAT,213,,Rohtas,ARUN SINGH (VILL-AJNAP TOLA),Communist Party of India (ML),,74157,2836,,,,,BR2025AC213
ARWAL,214,,Arwal,MANOJ KUMAR,Bharatiya Janata Party,,79854,14093,,,,,BR2025AC214
KURTHA,215,,Arwal,PAPPU KUMAR VERMA,Janata Dal (United),,74466,5481,,DEVNANDAN MAHTO,male,47.0,BR2025AC215
JEHANABAD,216,,Jehanabad,RAHUL KUMAR,Rashtriya Janata Dal,,86402,793,,,,,BR2025AC216
GHOSI,217,,Jehanabad,RITURAJ KUMAR,Janata Dal (United),,80740,11929,,DR. ARUN KUMAR,male,36.0,BR2025AC217
MAKHDUMPUR,218,,Jehanabad,SUBEDAR DAS,Rashtriya Janata Dal,,74769,1830,,Ramun Das,male,60.0,BR2025AC218
GOH,219,,Aurangabad,AMRENDRA KUMAR,Rashtriya Janata Dal,,93624,4041,,,,,BR2025AC219
OBRA,220,,Aurangabad,PRAKASH CHANDRA,Lok Janshakti Party (Ram Vilas),,91638,12013,,BHAGWAN PRASAD,male,47.0,BR2025AC220
NABINAGAR,221,,Aurangabad,CHETAN ANAND,Janata Dal (United),,80380,112,,ANAND MOHAN,male,33.0,BR2025AC221
KUTUMBA,222,,Aurangabad,LALAN RAM,Hindustani Awam Morcha (Secular),,84727,21525,,YUGESH BHUIYAN,male,50.0,BR2025AC222
AURANGABAD,223,,Aurangabad,TRIVIKRAM NARAYAN SINGH,Bharatiya Janata Party,,87200,6794,,Gopal Narayan Singh,male,46.0,BR2025AC223
RAFIGANJ,224,,Aurangabad,PRAMOD KUMAR SINGH,Janata Dal (United),,107515,11956,,SHANKAR DAYAL SINGH,male,59.0,BR2025AC224
GURUA,225,,Gaya,UPENDRA PRASAD,Bharatiya Janata Party,,99758,24194,,,,,BR2025AC225
SHERGHATI,226,,Gaya,UDAY KUMAR SINGH,Lok Janshakti Party (Ram Vilas),,77270,13524,,NARAYAN SINGH,male,52.0,BR2025AC226
IMAMGANJ,227,,Gaya,DEEPA KUMARI,Hindustani Awam Morcha (Secular),,104861,25856,,SANTOSH KUMAR SUMAN,female,45.0,BR2025AC227
BARACHATTI,228,,Gaya,JYOTI DEVI,Hindustani Awam Morcha (Secular),,108271,8893,,BALESHWAR PRASAD,female,60.0,BR2025AC228
BODH GAYA,229,,Gaya,KUMAR SARVJEET,Rashtriya Janata Dal,,100236,881,,RAJESH KUMAR,male,50.0,BR2025AC229
GAYA TOWN,230,,Gaya,PREM KUMAR,Bharatiya Janata Party,,90878,26423,,SHYAM NARAYAN RAM,male,70.0,BR2025AC230
TIKARI,231,,Gaya,AJAY KUMAR,Rashtriya Janata Dal,,97550,2058,,SARYU MAHTO,male,47.0,BR2025AC231
BELAGANJ,232,,Gaya,MANORMA DEVI,Janata Dal (United),,95685,2882,,BINDESHWARI PRASAD YADAV,female,56.0,BR2025AC232
ATRI,233,,Gaya,ROMIT KUMAR,Hindustani Awam Morcha (Secular),,102102,25777,,ARVIND KUMAR,male,37.0,BR2025AC233
WAZIRGANJ,234,,Gaya,BIRENDRA SINGH,Bharatiya Janata Party,,94574,12733,,LATE YUGESHWAR SINGH,male,70.0,BR2025AC234
RAJAULI,235,,Nawada,VIMAL RAJBANSHI,Lok Janshakti Party (Ram Vilas),,90272,3953,,CHANDO RAJBANSHI,male,59.0,BR2025AC235
HISUA,236,,Nawada,ANIL SINGH,Bharatiya Janata Party,,95885,27849,,Late Ramsharan Singh,male,54.0,BR2025AC236
NAWADA,237,,Nawada,VIBHA DEVI,Janata Dal (United),,87423,27594,,RAJBALLABH PRASAD,female,59.0,BR2025AC237
GOBINDPUR,238,,Nawada,BINITA MEHTA,Lok Janshakti Party (Ram Vilas),,72581,22906,,Anil Mehta,female,42.0,BR2025AC238
WARSALIGANJ,239,,Nawada,ANITA,Rashtriya Janata Dal,,97833,7543,,ANAND MOHAN SINGH,female,54.0,BR2025AC239
SIKANDRA,240,,Jamui,PRAPHULL KUMAR MANJHI,Hindustani Awam Morcha (Secular),,91603,23907,,SINDHESHWAR MANJHI,male,58.0,BR2025AC240
JAMUI,241,,Jamui,SHREYASI SINGH,Bharatiya Janata Party,,123868,54498,,Late Digvijay Singh,female,34.0,BR2025AC241
JHAJHA,242,,Jamui,DAMODAR RAWAT,Janata Dal (United),,108317,4262,,Gulab Rawat,male,66.0,BR2025AC242
CHAKAI,243,,Jamui,SAVITRI DEVI,Rashtriya Janata Dal,,80357,12972,,Falguni Prasad Yadav,female,77.0,BR2025AC243
