#,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Unnamed: 11_level_0,ACs
#,PC Name,No,Type,State,Winning Candidate,Party,Electors,Votes,Turnout,Margin,Margin %,ACs
25,Anantnag,3,GEN,Jammu & Kashmir,Mehbooba Mufti,Jammu & Kashmir Peoples Democratic Party,998905,146632,14.7 %,38938,26.6%,AC View
26,Andaman & Nicobar Islands,1,GEN,Andaman & Nicobar Islands,Manoranjan Bhakta,Indian National Congress,241645,153804,63.7 %,30500,19.8%,AC View
27,Aonla,7,GEN,Uttar Pradesh [2000 Onwards],Kunwar Sarvraj Singh,Janata Dal (United),1145865,536458,46.8 %,6871,1.3%,AC View
28,Arakkonam,6,SC,Tamil Nadu,"Velu, R.",Pattali Makkal Katchi,1160259,773529,66.7 %,102196,13.2%,AC View
29,Arambagh,28,GEN,West Bengal,Anil Basu,Communist Party Of India (MARXIST),1187610,961186,80.9 %,592502,61.6%,AC View
30,Araria,22,GEN,Bihar [2000 Onwards],Sukdeo Paswan,Bharatiya Janta Party,1184962,652439,55.1 %,27744,4.3%,AC View
31,Arrah,33,GEN,Bihar [2000 Onwards],Kanti Singh,Rashtriya Janata Dal,1360794,787780,57.9 %,149743,19.0%,AC View
32,Arunachal East,2,GEN,Arunachal Pradesh,Tapir Gao,Bharatiya Janta Party,289606,162704,56.2 %,44994,27.7%,AC View
33,Arunachal West,1,GEN,Arunachal Pradesh,Kiren Rijiju,Bharatiya Janta Party,394428,220618,55.9 %,47424,21.5%,AC View
34,Asansol,38,SC,West Bengal,Bikash Chowdhury,Communist Party Of India (MARXIST),1092141,724790,66.4 %,124318,17.2%,AC View
35,Aska,10,GEN,Orissa,Hari Har Swain,Biju Janata Dal,1254942,682598,54.4 %,132602,19.4%,AC View
36,Aurangabad,37,GEN,Bihar [2000 Onwards],Nikhil Kumar,Indian National Congress,1401973,767159,54.7 %,7460,1.0%,AC View
37,Aurangabad,33,GEN,Maharashtra,Chandrakant Khaire,Shiv Sena,1636117,911532,55.7 %,121923,13.4%,AC View
38,Autonomous District,3,ST,Assam,Biren Singh Engti,Indian National Congress,579284,401612,69.3 %,24129,6.0%,AC View
39,Azamgarh,41,SC,Uttar Pradesh [2000 Onwards],Ramakant Yadav,Bahujan Samaj Party,1425023,711356,49.9 %,6968,1.0%,AC View
40,Badagara,3,GEN,Kerala,P. Satheedevi,Communist Party Of India (MARXIST),1092826,826054,75.6 %,130589,15.8%,AC View
41,Bagaha,1,GEN,Bihar [2000 Onwards],Kailash Baitha,Janata Dal (United),1160275,570814,49.2 %,65375,11.5%,AC View
42,Bagalkot,27,GEN,Karnataka,Gaddigoudar Parvatagouda Chandanagouda,Bharatiya Janta Party,1324829,866238,65.4 %,167383,19.3%,AC View
43,Baghpat,77,GEN,Uttar Pradesh [2000 Onwards],Ajit Singh,Rashtriya Lok Dal,1570374,656864,41.8 %,220638,33.6%,AC View
44,Bahraich,27,SC,Uttar Pradesh [2000 Onwards],Rubab Sayeda,Samajwadi Party,1423646,549535,38.6 %,26334,4.8%,AC View
45,Balaghat,12,ST,Madhya Pradesh [2000 Onwards],Gauri Shankar Chaturbhuj Bisen,Bharatiya Janta Party,1000341,608869,60.9 %,88089,14.5%,AC View
46,Balasore,2,ST,Orissa,Mahamegha Bahan Aira Kharbela Swain,Bharatiya Janta Party,1330406,948450,71.3 %,236955,25.0%,AC View
47,Balia,19,GEN,Bihar [2000 Onwards],Suraj Singh,Lok Jan Shakti Party,1181597,632330,53.5 %,76227,12.1%,AC View
48,Ballia,39,GEN,Uttar Pradesh [2000 Onwards],Chandra Shekhar,Samajwadi Janata Party (RASHTRIYA),1430300,619531,43.3 %,81054,13.1%,AC View
49,Balrampur,28,GEN,Uttar Pradesh [2000 Onwards],Brij Bhushan Sharan Singh,Bharatiya Janta Party,1316006,698106,53.1 %,52613,7.5%,AC View
50,Balurghat,6,GEN,West Bengal,Ranen Barman,Revolutionary Socialist Party,1129369,920808,81.5 %,71146,7.7%,AC View
51,Banaskantha,14,GEN,Gujarat,Chavda Harisinhaji Pratapsinhaji,Indian National Congress,1311847,642570,49.0 %,6928,1.1%,AC View
52,Banda,55,GEN,Uttar Pradesh [2000 Onwards],Shyama Charan Gupt,Samajwadi Party,1283915,526286,41.0 %,56304,10.7%,AC View
53,Bangalore North,12,GEN,Karnataka,Dr. H.T. Sangliana,Bharatiya Janta Party,2133579,1157337,54.2 %,30358,2.6%,AC View
54,Bangalore South,13,GEN,Karnataka,Ananth Kumar,Bharatiya Janta Party,1620352,800632,49.4 %,62271,7.8%,AC View
55,Banka,26,GEN,Bihar [2000 Onwards],Giridhari Yadav,Rashtriya Janata Dal,1213614,713888,58.8 %,4669,0.7%,AC View
56,Bankura,35,GEN,West Bengal,Acharia Basudeb,Communist Party Of India (MARXIST),1020046,691958,67.8 %,230329,33.3%,AC View
57,Bansgaon,33,GEN,Uttar Pradesh [2000 Onwards],Mahaveer Prasad,Indian National Congress,1441224,632098,43.9 %,16441,2.6%,AC View
58,Banswara,16,GEN,Rajasthan,Dhan Singh Rawat,Bharatiya Janta Party,1373808,665376,48.4 %,21683,3.3%,AC View
59,Bapatla,16,GEN,Andhra Pradesh,Daggubati Purandareswari,Indian National Congress,948929,733677,77.3 %,94082,12.8%,AC View
60,Bara Banki,25,GEN,Uttar Pradesh [2000 Onwards],Kamla Prasad,Bahujan Samaj Party,1214993,540219,44.5 %,20922,3.9%,AC View
61,Baramati,43,GEN,Maharashtra,Pawar Sharadchandra Govindrao,Nationalist Congress Party,1846635,892726,48.3 %,422975,47.4%,AC View
62,Baramulla,1,GEN,Jammu & Kashmir,Abdul Rashid Shaheen,Jammu & Kashmir National Conference,940998,334122,35.5 %,9895,3.0%,AC View
63,Barasat,13,SC,West Bengal,Subrata Bose,All India Forward Bloc,1388017,1148662,82.8 %,12160,1.1%,AC View
64,Bareilly,8,GEN,Uttar Pradesh [2000 Onwards],Santosh Gangwar,Bharatiya Janta Party,1556024,822839,52.9 %,59644,7.2%,AC View
65,Barh,18,GEN,Bihar [2000 Onwards],Vijay Krishna,Rashtriya Janata Dal,1242851,864069,69.5 %,37688,4.4%,AC View
66,Barmer,23,GEN,Rajasthan,Manvendra Singh,Bharatiya Janta Party,1639188,1046857,63.9 %,271888,26.0%,AC View
67,Baroda,22,GEN,Gujarat,Jayaben Thakkar,Bharatiya Janta Party,1656867,651977,39.4 %,6603,1.0%,AC View
68,Barpeta,6,GEN,Assam,A. F. Golam Osmani,Indian National Congress,1075749,762614,70.9 %,68125,8.9%,AC View
69,Barrackpore,19,SC,West Bengal,Tarit Baran Topdar,Communist Party Of India (MARXIST),981008,792471,80.8 %,165071,20.8%,AC View
70,Basirhat,14,SC,West Bengal,Ajay Chakraborty,Communist Party Of India,1107129,906003,81.8 %,182084,20.1%,AC View
71,Bastar,9,GEN,Chhattisgarh,Baliram Kashyap,Bharatiya Janta Party,1039442,450417,43.3 %,54373,12.1%,AC View
72,Basti,30,GEN,Uttar Pradesh [2000 Onwards],Lal Mani Prasad,Bahujan Samaj Party,1416526,576389,40.7 %,25374,4.4%,AC View
73,Bayana,10,SC,Rajasthan,Ramswaroop Koli,Bharatiya Janta Party,1197119,489456,40.9 %,59624,12.2%,AC View
74,Beed,34,GEN,Maharashtra,Jaisingrao Gaikwad Patil,Nationalist Congress Party,1319891,882532,66.9 %,47412,5.4%,AC View
75,Begusarai,30,GEN,Bihar [2000 Onwards],Rajiv Ranjan Singh,Janata Dal (United),1280963,678647,53.0 %,20491,3.0%,AC View
76,Belgaum,25,GEN,Karnataka,Angadi Suresh Chanabasappa,Bharatiya Janta Party,1354182,892332,65.9 %,84753,9.5%,AC View
77,Bellary,5,SC,Karnataka,G. Karunakara Reddy,Bharatiya Janta Party,1423161,949652,66.7 %,31679,3.3%,AC View
78,Berhampore,10,GEN,West Bengal,Adhir Ranjan Chowdhury,Indian National Congress,1220502,987380,80.9 %,98901,10.0%,AC View
79,Berhampur,11,GEN,Orissa,Chandra Sekhar Sahu,Indian National Congress,1195391,719853,60.2 %,51657,7.2%,AC View
80,Bettiah,2,GEN,Bihar [2000 Onwards],Raghunath Jha,Rashtriya Janata Dal,1278163,569868,44.6 %,24671,4.3%,AC View
81,Betul,17,GEN,Madhya Pradesh [2000 Onwards],Khandelwal Vijay Kumar (MUNNI BHAIA),Bharatiya Janta Party,1122830,547321,48.7 %,157540,28.8%,AC View
82,Bhadrachalam,5,ST,Andhra Pradesh,Midiyam Babu Rao,Communist Party Of India (MARXIST),1193297,822860,69.0 %,53806,6.5%,AC View
83,Bhadrak,3,GEN,Orissa,Arjun Charan Sethi,Biju Janata Dal,1350755,931990,69.0 %,94769,10.2%,AC View
84,Bhagalpur,27,GEN,Bihar [2000 Onwards],Sushil Kumar Modi,Bharatiya Janta Party,1388037,757266,54.6 %,117853,15.6%,AC View
85,Bhandara,24,GEN,Maharashtra,Patle Shishupal Natthu,Bharatiya Janta Party,1006061,679727,67.6 %,3009,0.4%,AC View
86,Bharatpur,9,SC,Rajasthan,Vishvendra Singh,Bharatiya Janta Party,1189295,575896,48.4 %,111349,19.3%,AC View
87,Bhatinda,11,GEN,Punjab,Paramjit Kaur Gulshan,Shiromani Akali Dal,1285978,763164,59.4 %,62642,8.2%,AC View
88,Bhavnagar,8,SC,Gujarat,Rana Rajendrasinh Ghanashyamsinh (RAJUBHAI RANA),Bharatiya Janta Party,1236416,444803,36.0 %,80426,18.1%,AC View
89,Bhilwara,20,ST,Rajasthan,Vijayendrapal Singh,Bharatiya Janta Party,1233703,618965,50.2 %,60652,9.8%,AC View
90,Bhind,2,SC,Madhya Pradesh [2000 Onwards],Dr. Ramlakhan Singh,Bharatiya Janta Party,1388299,606013,43.7 %,6946,1.1%,AC View
91,Bhiwani,8,GEN,Haryana,Kuldeep Bishnoi,Indian National Congress,1192271,870670,73.0 %,24404,2.8%,AC View
92,Bhopal,19,GEN,Madhya Pradesh [2000 Onwards],Kailash Joshi,Bharatiya Janta Party,1847544,857893,46.4 %,306005,35.7%,AC View
93,Bhubaneswar,9,GEN,Orissa,Prasanna Kumar Patasani,Biju Janata Dal,1491536,853667,57.2 %,112279,13.2%,AC View
94,Bidar,1,GEN,Karnataka,Ramchandra Veerappa,Bharatiya Janta Party,1372985,814933,59.4 %,23621,2.9%,AC View
95,Bijapur,28,SC,Karnataka,Basanagouda R Patil(YATNAL),Bharatiya Janta Party,1328325,788537,59.4 %,37533,4.8%,AC View
96,Bijnor,1,GEN,Uttar Pradesh [2000 Onwards],Munshiram S/o Sri Ramcharan Singh,Rashtriya Lok Dal,1355437,705729,52.1 %,80175,11.4%,AC View
97,Bikaner,2,SC,Rajasthan,Dharmendra,Bharatiya Janta Party,1900686,1075059,56.6 %,57175,5.3%,AC View
98,Bikramganj,36,GEN,Bihar [2000 Onwards],Ajit Kumar Singh,Janata Dal (United),1298849,733925,56.5 %,58801,8.0%,AC View
99,Bilaspur,4,GEN,Chhattisgarh,Punnulal Mohle,Bharatiya Janta Party,1411786,621304,44.0 %,81553,13.1%,AC View
100,Bilhaur,60,GEN,Uttar Pradesh [2000 Onwards],Raja Ram Pal,Bahujan Samaj Party,1369589,641369,46.8 %,24402,3.8%,AC View
101,Birbhum,42,GEN,West Bengal,Ram Chandra Dome,Communist Party Of India (MARXIST),1029870,721560,70.1 %,191612,26.6%,AC View
102,Bobbili,3,GEN,Andhra Pradesh,Kondapalli Pydithalli Naidu,Telugu Desam,976012,745517,76.4 %,31348,4.2%,AC View
103,Bolangir,16,SC,Orissa,Sangeeta Kumari Singh Deo,Bharatiya Janta Party,1099775,728372,66.2 %,100682,13.8%,AC View
104,Bolpur,41,SC,West Bengal,Somnath Chatterjee,Communist Party Of India (MARXIST),1035012,767695,74.2 %,310305,40.4%,AC View
105,Broach,23,ST,Gujarat,Vasava Mansukhbhai Dhanjibhai,Bharatiya Janta Party,1239670,680519,54.9 %,72202,10.6%,AC View
106,Budaun,6,GEN,Uttar Pradesh [2000 Onwards],Saleem Iqbal Shervani,Samajwadi Party,1200435,590006,49.2 %,51322,8.7%,AC View
107,Bulandshahr,74,SC,Uttar Pradesh [2000 Onwards],Kalyan Singh,Bharatiya Janta Party,1226141,685228,55.9 %,16651,2.4%,AC View
108,Buldhana,18,GEN,Maharashtra,Adsul Anandrao Vithoba,Shiv Sena,1196627,760202,63.5 %,59907,7.9%,AC View
109,Bulsar,26,ST,Gujarat,Kishanbhai Vestabhai Patel,Indian National Congress,1319778,689966,52.3 %,44486,6.4%,AC View
110,Burdwan,39,GEN,West Bengal,Nikhilananda Sar,Communist Party Of India (MARXIST),1221820,994003,81.4 %,471351,47.4%,AC View
111,Buxar,34,SC,Bihar [2000 Onwards],Lalmuni Chaubey,Bharatiya Janta Party,1222441,649116,53.1 %,54866,8.5%,AC View
112,Calcutta North East,22,GEN,West Bengal,Md. Salim,Communist Party Of India (MARXIST),803853,567774,70.6 %,73780,13.0%,AC View
113,Calcutta North West,21,GEN,West Bengal,Sudhangshu Seal,Communist Party Of India (MARXIST),609204,359642,59.0 %,43004,12.0%,AC View
114,Calcutta South,23,GEN,West Bengal,Mamata Banerjee,All India Trinamool Congress,1096709,770828,70.3 %,98429,12.8%,AC View
115,Calicut,4,GEN,Kerala,M. P. Veerendra Kumar,Janata Dal (Secular),1110149,779220,70.2 %,65326,8.4%,AC View
116,Cannanore,2,GEN,Kerala,A. P. Abdullakutty,Communist Party Of India (MARXIST),1088892,858386,78.8 %,83849,9.8%,AC View
117,Chail,53,SC,Uttar Pradesh [2000 Onwards],Shailendra Kumar,Samajwadi Party,1484115,555332,37.4 %,630,0.1%,AC View
118,Chamarajanagar,15,GEN,Karnataka,M. Shivanna,Janata Dal (Secular),1189973,852745,71.7 %,43989,5.2%,AC View
119,Chandauli,47,GEN,Uttar Pradesh [2000 Onwards],Kailash Nath Singh Yadav,Bahujan Samaj Party,1580853,704386,44.6 %,1669,0.2%,AC View
120,Chandigarh,1,GEN,Chandigarh,Pawan Kumar Bansal,Indian National Congress,527684,269818,51.1 %,45248,16.8%,AC View
121,Chandni Chowk,5,SC,Delhi [1977 Onwards],Kapil Sibal,Indian National Congress,337462,179003,53.0 %,79415,44.4%,AC View
122,Chandrapur,26,GEN,Maharashtra,Ahir Hansraj Gangaram,Bharatiya Janta Party,1329746,840271,63.2 %,59823,7.1%,AC View
123,Chapra,7,GEN,Bihar [2000 Onwards],Lalu Prasad,Rashtriya Janata Dal,1164917,446031,38.3 %,60423,13.5%,AC View
124,Chatra,4,GEN,Jharkhand,Dhirendra Agarwal,Rashtriya Janata Dal,978364,435488,44.5 %,18855,4.3%,AC View
125,Chengalpattu,5,GEN,Tamil Nadu,"Moorthy, A.K.",Pattali Makkal Katchi,1167736,757406,64.9 %,148724,19.6%,AC View
126,Chhindwara,16,GEN,Madhya Pradesh [2000 Onwards],Kamal Nath,Indian National Congress,1145107,752439,65.7 %,63708,8.5%,AC View
127,Chhota Udaipur,21,ST,Gujarat,Naranbhai Rathwa,Indian National Congress,1065416,556493,52.2 %,36239,6.5%,AC View
128,Chidambaram,12,GEN,Tamil Nadu,"Ponnuswamy, E.",Pattali Makkal Katchi,1125487,741925,65.9 %,87651,11.8%,AC View
129,Chikballapur,9,ST,Karnataka,R.L. Jalappa,Indian National Congress,1314311,929379,70.7 %,60022,6.5%,AC View
130,Chikkodi,26,GEN,Karnataka,Jigajinagi Ramesh Chandappa,Bharatiya Janta Party,1184275,836452,70.6 %,43492,5.2%,AC View
131,Chikmagalur,20,GEN,Karnataka,D. C. Srikantappa,Bharatiya Janta Party,1121327,817048,72.9 %,73672,9.0%,AC View
132,Chimur,25,GEN,Maharashtra,Shivankar Mahadeorao Sukaji,Bharatiya Janta Party,1113832,774672,69.6 %,98774,12.8%,AC View
133,Chirayinkil,19,GEN,Kerala,Varkala Radhakrishnan,Communist Party Of India (MARXIST),1020604,668280,65.5 %,50745,7.6%,AC View
134,Chitradurga,7,GEN,Karnataka,N.Y. Hanumanthappa,Indian National Congress,1316427,917046,69.7 %,37460,4.1%,AC View
135,Chittoor,21,GEN,Andhra Pradesh,D.K. Audikesavulu,Telugu Desam,1170325,874425,74.7 %,62138,7.1%,AC View
136,Chittorgarh,19,ST,Rajasthan,Shrichand Kriplani,Bharatiya Janta Party,1385950,670995,48.4 %,135770,20.2%,AC View
137,Churu,3,GEN,Rajasthan,Ramsingh Kaswan,Bharatiya Janta Party,1371821,832555,60.7 %,29854,3.6%,AC View
138,Coimbatore,20,GEN,Tamil Nadu,"Subbarayan, K.",Communist Party Of India,1584223,877688,55.4 %,164505,18.7%,AC View
139,Contai,31,GEN,West Bengal,Prasanta Pradhan,Communist Party Of India (MARXIST),1081102,921634,85.3 %,59190,6.4%,AC View
140,Cooch Behar,1,SC,West Bengal,Hiten Barman,All India Forward Bloc,1148934,947381,82.5 %,226569,23.9%,AC View
141,Cuddalore,11,GEN,Tamil Nadu,Venkatapathy. K,Dravida Munetra Kazhagam,1206876,758178,62.8 %,131352,17.3%,AC View
142,Cuddapah,23,GEN,Andhra Pradesh,Y.S. Vivekananda Reddy,Indian National Congress,1143505,814047,71.2 %,131674,16.2%,AC View
143,Cuttack,6,GEN,Orissa,Bhartruhari Mahtab,Biju Janata Dal,1236228,820082,66.3 %,173198,21.1%,AC View
144,Dadra & Nagar Haveli,1,GEN,Dadra & Nagar Haveli,Delkar Mohanbhai Sanjibhai,Bharatiya Navshakti Party,122681,84699,69.0 %,12893,15.2%,AC View
145,Dahanu,11,GEN,Maharashtra,Shingada Damodar Barku,Indian National Congress,1605119,683263,42.6 %,63363,9.3%,AC View
146,Dahod,17,GEN,Gujarat,Katara Babubhai Khimabhai,Bharatiya Janta Party,1212453,517809,42.7 %,361,0.1%,AC View
147,Daman And Diu,1,GEN,Daman & Diu,Patel Dahyabhai Vallabhbhai,Indian National Congress,79232,55590,70.2 %,607,1.1%,AC View
148,Damoh,7,GEN,Madhya Pradesh [2000 Onwards],Chandrabhan Bhaiya,Bharatiya Janta Party,1398539,591038,42.3 %,94595,16.0%,AC View
149,Darbhanga,15,GEN,Bihar [2000 Onwards],Md. Ali Ashraf Fatmi,Rashtriya Janata Dal,1202456,764102,63.6 %,143463,18.8%,AC View
150,Darjeeling,4,GEN,West Bengal,Dawa Narbula,Indian National Congress,1249238,886298,71.0 %,101416,11.4%,AC View
151,Dausa,7,GEN,Rajasthan,Sachin Pilot,Indian National Congress,1462752,715613,48.9 %,114865,16.1%,AC View
152,Davangere,6,ST,Karnataka,G.M. Siddeswara,Bharatiya Janta Party,1332608,908840,68.2 %,32676,3.6%,AC View
153,Delhi Sadar,6,GEN,Delhi [1977 Onwards],Jagdish Tytler,Indian National Congress,471813,271552,57.6 %,15974,5.9%,AC View
154,Deogarh,18,GEN,Orissa,Dharmendra Pradhan,Bharatiya Janta Party,1219887,823184,67.5 %,79096,9.6%,AC View
155,Deoria,37,GEN,Uttar Pradesh [2000 Onwards],Mohan Singh,Samajwadi Party,1569719,730406,46.5 %,52226,7.2%,AC View
156,Dhanbad,7,GEN,Jharkhand,Chandra Shekhar Dubey,Indian National Congress,1749456,941715,53.8 %,119378,12.7%,AC View
157,Dhandhuka,9,GEN,Gujarat,Varma Ratilal Kalidas,Bharatiya Janta Party,1156178,516531,44.7 %,22794,4.4%,AC View
158,Dhar,25,ST,Madhya Pradesh [2000 Onwards],Chhatar Singh Darbar,Bharatiya Janta Party,1325680,702989,53.0 %,32611,4.6%,AC View
159,Dharmapuri,13,SC,Tamil Nadu,"Senthil, Dr. R.",Pattali Makkal Katchi,1295521,707804,54.6 %,216090,30.5%,AC View
160,Dharwad North,24,GEN,Karnataka,Pralhad Joshi,Bharatiya Janta Party,1250578,809816,64.8 %,83078,10.3%,AC View
161,Dharwad South,23,GEN,Karnataka,Kunnur Manjunath Channappa,Bharatiya Janta Party,1204353,865016,71.8 %,145112,16.8%,AC View
162,Dhenkanal,19,GEN,Orissa,Tathagata Satapathy,Biju Janata Dal,1174787,790179,67.3 %,122882,15.6%,AC View
163,Dhubri,4,GEN,Assam,Anwar Hussain,Indian National Congress,1149939,863463,75.1 %,116622,13.5%,AC View
164,Dhule,14,GEN,Maharashtra,Chaurey Bapu Hari,Indian National Congress,1226114,455308,37.1 %,7765,1.7%,AC View
165,Diamond Harbour,17,GEN,West Bengal,Samik Lahiri,Communist Party Of India (MARXIST),1102946,835475,75.8 %,153784,18.4%,AC View
166,Dibrugarh,13,GEN,Assam,Sarbananda Sonowal,Asom Gana Parisad,969905,631416,65.1 %,18554,2.9%,AC View
167,Dindigul,23,GEN,Tamil Nadu,"Chitthan, N. S. V.",Indian National Congress,1137313,688646,60.6 %,155171,22.5%,AC View
168,Domariaganj,31,SC,Uttar Pradesh [2000 Onwards],Mohd. Muqueem,Bahujan Samaj Party,1350045,643127,47.6 %,52902,8.2%,AC View
169,Dum Dum,20,SC,West Bengal,Amitava Nandy,Communist Party Of India (MARXIST),1543705,1245065,80.7 %,98252,7.9%,AC View
170,Dumka,2,ST,Jharkhand,Shibu Soren,Jharkhand Mukti Morcha,1083200,625043,57.7 %,115015,18.4%,AC View
171,Durg,10,ST,Chhattisgarh,Tarachand Sahu,Bharatiya Janta Party,1462883,761323,52.0 %,61468,8.1%,AC View
172,Durgapur,37,SC,West Bengal,Sunil Khan,Communist Party Of India (MARXIST),1150939,844777,73.4 %,277508,32.8%,AC View
173,East Delhi,4,GEN,Delhi [1977 Onwards],Sandeep Dikshit,Indian National Congress,2606589,1190884,45.7 %,229779,19.3%,AC View
174,Eluru,11,GEN,Andhra Pradesh,Kavuru Samba Siva Rao,Indian National Congress,1151672,894854,77.7 %,123291,13.8%,AC View
175,Erandol,16,GEN,Maharashtra,Annasaheb M. K. Patil,Bharatiya Janta Party,1214861,609392,50.2 %,8141,1.3%,AC View
176,Ernakulam,11,GEN,Kerala,Dr. Sebastian Paul,Independent,1069131,657891,61.5 %,70099,10.7%,AC View
177,Etah,67,SC,Uttar Pradesh [2000 Onwards],Ku. Devendra Singh Yadav,Samajwadi Party,1128519,587065,52.0 %,51335,8.7%,AC View
178,Etawah,62,GEN,Uttar Pradesh [2000 Onwards],Raghuraj Singh Shakya,Samajwadi Party,1264620,703901,55.7 %,190157,27.0%,AC View
179,Faizabad,24,GEN,Uttar Pradesh [2000 Onwards],Mitrasen,Bahujan Samaj Party,1326533,686478,51.8 %,33486,4.9%,AC View
180,Faridabad,6,GEN,Haryana,Avtar Singh Bhadana,Indian National Congress,1546578,844647,54.6 %,151929,18.0%,AC View
181,Faridkot,12,GEN,Punjab,Sukhbir Singh Badal,Shiromani Akali Dal,1262934,893428,70.7 %,135279,15.1%,AC View
182,Farrukhabad,64,GEN,Uttar Pradesh [2000 Onwards],Chandra Bhushan Singh (MUNNOO BABU),Samajwadi Party,1366501,665458,48.7 %,2745,0.4%,AC View
183,Fatehpur,54,GEN,Uttar Pradesh [2000 Onwards],Mahendra Prasad Nishad,Bahujan Samaj Party,1279387,506655,39.6 %,52568,10.4%,AC View
184,Ferozepur,13,GEN,Punjab,Zora Singh Maan,Shiromani Akali Dal,1302221,867635,66.6 %,11539,1.3%,AC View
185,Firozabad,68,SC,Uttar Pradesh [2000 Onwards],Ram Ji Lal Suman,Samajwadi Party,1305888,531305,40.7 %,54788,10.3%,AC View
186,Gandhinagar,11,GEN,Gujarat,Lal Krishna Advani,Bharatiya Janta Party,2126829,845212,39.7 %,217138,25.7%,AC View
187,Ganganagar,1,SC,Rajasthan,Nihalchand Meghwal,Bharatiya Janta Party,1337857,720451,53.9 %,7393,1.0%,AC View
188,Garhwal,2,GEN,Uttarakhand,Maj. Gen. ( RETD) BHUWAN CHANDRA KHANDURI (AVSM),Bharatiya Janta Party,1081299,499546,46.2 %,50962,10.2%,AC View
189,Gauhati,7,GEN,Assam,Kirip Chaliha,Indian National Congress,1441360,881696,61.2 %,61151,6.9%,AC View
190,Gaya,40,SC,Bihar [2000 Onwards],Rajesh Kumar Manjhi,Rashtriya Janata Dal,1436323,883374,61.5 %,102934,11.7%,AC View
191,Ghatampur,59,GEN,Uttar Pradesh [2000 Onwards],Radhey Shyam Kori,Samajwadi Party,1207492,504722,41.8 %,10312,2.0%,AC View
192,Ghazipur,46,GEN,Uttar Pradesh [2000 Onwards],Afajal Ansari,Samajwadi Party,1476687,869032,58.9 %,226777,26.1%,AC View
193,Ghosi,40,GEN,Uttar Pradesh [2000 Onwards],Chandradeo Prasad Rajbhar,Samajwadi Party,1427284,721463,50.6 %,21012,2.9%,AC View
194,Giridih,6,GEN,Jharkhand,Tek Lal Mahto,Jharkhand Mukti Morcha,1312691,714371,54.4 %,149794,21.0%,AC View
195,Gobichettipalayam,19,SC,Tamil Nadu,"Elangovan, E. V. K. S.",Indian National Congress,1052350,677523,64.4 %,214477,31.7%,AC View
196,Godda,3,GEN,Jharkhand,Furkan Ansari,Indian National Congress,1338939,831337,62.1 %,26754,3.2%,AC View
197,Godhra,18,GEN,Gujarat,Solanki Bhupendrasinh Prabhatsinh,Bharatiya Janta Party,1143516,537101,47.0 %,53719,10.0%,AC View
198,Gonda,29,GEN,Uttar Pradesh [2000 Onwards],Kirti Vardhan Singh Alias Raja Bhaiya,Samajwadi Party,1391430,606618,43.6 %,36998,6.1%,AC View
199,Gopalganj,4,GEN,Bihar [2000 Onwards],Anirudh Prasad Alias Sadhu Yadav,Rashtriya Janata Dal,1231178,694487,56.4 %,192919,27.8%,AC View
200,Gorakhpur,34,SC,Uttar Pradesh [2000 Onwards],Aditya Nath,Bharatiya Janta Party,1432002,689217,48.1 %,142039,20.6%,AC View
201,Gulbarga,2,GEN,Karnataka,Iqbal Ahmed Saradgi,Indian National Congress,1439006,827038,57.5 %,57471,6.9%,AC View
202,Guna,4,GEN,Madhya Pradesh [2000 Onwards],Jyotiraditya Madhavrao Scindia,Indian National Congress,1422045,668208,47.0 %,86360,12.9%,AC View
203,Guntur,15,GEN,Andhra Pradesh,Rayapati Sambasiva Rao,Indian National Congress,1172954,820124,69.9 %,129792,15.8%,AC View
204,Gurdaspur,1,GEN,Punjab,Vinod Khanna,Bharatiya Janta Party,1210260,785813,64.9 %,24983,3.2%,AC View
205,Gwalior,3,GEN,Madhya Pradesh [2000 Onwards],Ramsevak Singh ( BABUJI),Indian National Congress,1381464,564497,40.9 %,35864,6.4%,AC View
206,Hajipur,8,GEN,Bihar [2000 Onwards],Ram Vilas Paswan,Lok Jan Shakti Party,1208834,773565,64.0 %,237801,30.7%,AC View
207,Hamirpur,56,SC,Uttar Pradesh [2000 Onwards],Rajnarayan Alias Rajju Mahraj,Samajwadi Party,1185235,604055,51.0 %,37154,6.2%,AC View
208,Hamirpur,4,SC,Himachal Pradesh,Suresh Chandel,Bharatiya Janta Party,1064238,649994,61.1 %,1615,0.2%,AC View
209,Hanamkonda,38,GEN,Andhra Pradesh,B.Vinod Kumar,Telangana Rashtra Samithi,1207089,831324,68.9 %,217067,26.1%,AC View
210,Hapur,75,GEN,Uttar Pradesh [2000 Onwards],Surendra Prakash Goyal,Indian National Congress,1806830,799663,44.3 %,42363,5.3%,AC View
211,Hardoi,15,GEN,Uttar Pradesh [2000 Onwards],Usha Verma,Samajwadi Party,1213260,522063,43.0 %,39203,7.5%,AC View
212,Hardwar,5,GEN,Uttarakhand,Rajendra Kumar,Samajwadi Party,914440,486341,53.2 %,37659,7.7%,AC View
213,Hassan,19,GEN,Karnataka,H D Devegowda,Janata Dal (Secular),1292878,910103,70.4 %,190305,20.9%,AC View
