#,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Unnamed: 11_level_0,ACs
#,PC Name,No,Type,State,Winning Candidate,Party,Electors,Votes,Turnout,Margin,Margin %,ACs
462,Sambhal,5,SC,Uttar Pradesh [2000 Onwards],Pro. Ram Gopal Yadav,Samajwadi Party,1249017,759382,60.8 %,198061,26.1%,AC View
463,Sangli,46,GEN,Maharashtra,Patil Prakashbapu Vasantdada,Indian National Congress,1186416,692440,58.4 %,81623,11.8%,AC View
464,Sangrur,10,GEN,Punjab,Sukhdev Singh Dhindsa,Shiromani Akali Dal,1214485,837596,69.0 %,27277,3.3%,AC View
465,Sarangarh,5,GEN,Chhattisgarh,Guharam Ajgalle,Bharatiya Janta Party,1191389,587744,49.3 %,59118,10.1%,AC View
466,Sasaram,35,GEN,Bihar [2000 Onwards],Meira Kumar,Indian National Congress,1291800,697265,54.0 %,258262,37.0%,AC View
467,Satara,44,GEN,Maharashtra,Laxmanrao Pandurang Jadhav (PATIL),Nationalist Congress Party,1149290,673093,58.6 %,3957,0.6%,AC View
468,Satna,8,GEN,Madhya Pradesh [2000 Onwards],Ganesh Singh,Bharatiya Janta Party,1324818,609727,46.0 %,83590,13.7%,AC View
469,Sawai Madhopur,11,ST,Rajasthan,Namo Narain,Indian National Congress,1340804,664489,49.6 %,111163,16.7%,AC View
470,Secunderabad,31,GEN,Andhra Pradesh,Anjan Kumar Yadav M,Indian National Congress,1850694,973226,52.6 %,68758,7.1%,AC View
471,Seoni,15,GEN,Madhya Pradesh [2000 Onwards],Neeta Pateriya,Bharatiya Janta Party,1203918,598745,49.7 %,94801,15.8%,AC View
472,Serampore,26,GEN,West Bengal,Santasri Chatterjee,Communist Party Of India (MARXIST),1285398,942891,73.4 %,19687,2.1%,AC View
473,Shahabad,12,GEN,Uttar Pradesh [2000 Onwards],Iliyas Azmi,Bahujan Samaj Party,1258003,579606,46.1 %,46369,8.0%,AC View
474,Shahdol,11,GEN,Madhya Pradesh [2000 Onwards],Dalpat Singh Paraste,Bharatiya Janta Party,1305252,509123,39.0 %,29349,5.8%,AC View
475,Shahjahanpur,10,GEN,Uttar Pradesh [2000 Onwards],Kunwar Jitin Prasad,Indian National Congress,1240983,634371,51.1 %,81832,12.9%,AC View
476,Shajapur,22,SC,Madhya Pradesh [2000 Onwards],Thawarchand Gehlot,Bharatiya Janta Party,1328841,719744,54.2 %,168187,23.4%,AC View
477,Sheohar,12,GEN,Bihar [2000 Onwards],Sitaram Singh,Rashtriya Janata Dal,1214428,666384,54.9 %,73883,11.1%,AC View
478,Shillong,1,ST,Meghalaya,Paty Ripple Kyndiah,Indian National Congress,785062,367736,46.8 %,70896,19.3%,AC View
479,Shimoga,21,GEN,Karnataka,S. Bangarappa,Bharatiya Janta Party,1257953,886294,70.5 %,76145,8.6%,AC View
480,Sholapur,37,GEN,Maharashtra,Deshmukh Subhash Sureshchandra,Bharatiya Janta Party,1187231,657089,55.4 %,5798,0.9%,AC View
