PC Name,No,Type,State,Winning Candidate,Party,Electors,Votes,Turnout,Margin,Margin %,Father/Husband Name,Gender,Age
Hamirpur,3,GEN,Himachal Pradesh,Anurag Singh Thakur,Bharatiya Janta Party,1432636,1047263,73.10%,182357,17.40%,PREM KUMAR DHUMAL,male,50
Kangra,1,GEN,Himachal Pradesh,Dr Rajeev Bhardwaj,Bharatiya Janta Party,1502514,1036868,69.00%,251895,24.30%,OM PARKASH,male,62
Mandi,2,GEN,Himachal Pradesh,Kangna Ranaut,Bharatiya Janta Party,1364060,1015810,74.50%,74755,7.40%,AMAR DEEP RANAUT,female,37
Shimla,4,SC,Himachal Pradesh,Suresh Kumar Kashyap,Bharatiya Janta Party,1346369,969965,72.00%,91451,9.40%,CHAMBEL SINGH,male,53
