PC Name,No,Type,State,Winning Candidate,Party,Electors,Votes,Turnout,Margin,Margin %,Father/Husband Name,Gender,Age
North Goa,1,GEN,Goa,Shripad Yesso Naik,Bharatiya Janta Party,580577,456018,78.60%,116015,25.40%,YESSO NAIK,male,71
South Goa,2,GEN,Goa,Captain Viriato Fernandes,Indian National Congress,598767,450520,75.20%,13535,3.00%,PRUDENTE FERNANDES,male,54
