PC Name,No,Type,State,Winning Candidate,Party,Electors,Votes,Turnout,Margin,Margin %,Father/Husband Name,Gender,Age
Inner Manipur,1,GEN,Manipur,Angomcha Bimol Akoijam,Indian National Congress,991574,796897,80.40%,109801,13.80%,Late Akoijam Birendra Singh,male,57
Outer Manipur,2,ST,Manipur,Alfred Kanngam S Arthur,Indian National Congress,1038027,796735,76.80%,85418,10.70%,AS ARTHUR,male,50
