PC Name,No,Type,State,Winning Candidate,Party,Electors,Votes,Turnout,Margin,Margin %,Father/Husband Name,Gender,Age
Arunachal East,2,GENP,Arunachal Pradesh,Tapir Gao,Bharatiya Janta Party,375310,323443,86.20%,30421,9.40%,LATE TAPOR GAO,male,59
Arunachal West,1,GENP,Arunachal Pradesh,Kiren Rijiju,Bharatiya Janta Party,517384,399804,77.30%,100738,25.20%,RINCHIN KHARU,male,53
