AC Name,AC No.,Type,Winning Candidate,Party,Total Electors,Total Votes,Poll%,Margin,Margin %
Keskal,148,ST,Mahesh Baghel,Bharatiya Janta Party,105277,44955,42.7 %,3469,7.7%
Kondagaon,149,ST,Shankar Sodi,Indian National Congress,107282,41547,38.7 %,3744,9.0%
Bhanpuri,150,ST,Antu Ram Kashyap,Indian National Congress,103475,45034,43.5 %,5914,13.1%
Jagdalpur,151,ST,Jhitruram Bahel,Indian National Congress,130045,60658,46.6 %,15530,25.6%
Keslur,152,ST,Manuram Kachchh,Indian National Congress,104696,37744,36.1 %,4221,11.2%
Chitrakote,153,ST,Dhaniram Pujari,Bharatiya Janta Party,83576,24972,29.9 %,28,0.1%
Dantewada,154,ST,Nandaram Sori,Communist Party Of India,95996,31511,32.8 %,189,0.6%
Konta,155,ST,Manish Kunjam,Communist Party Of India,100011,27688,27.7 %,25,0.1%
Bijapur,156,ST,Rajaram Todem,Bharatiya Janta Party,110438,33297,30.1 %,877,2.6%
Narayanpur,157,ST,Vikramsingh Usendi,Bharatiya Janta Party,111122,55234,49.7 %,316,0.6%
Maro,158,SC,Derhu Prasad Dhritlahare,Indian National Congress,115745,70805,61.2 %,1925,2.7%
Bemetara,159,GEN,Chetan Singh Verma,Indian National Congress,104614,69026,66.0 %,3741,5.4%
Saja,160,GEN,Ravinder Chobey,Indian National Congress,114211,73646,64.5 %,6204,8.4%
Dhamdha,161,GEN,Jogeshwar Sahu,Indian National Congress,120761,75755,62.7 %,2429,3.2%
Durg,162,GEN,Arun Vora,Indian National Congress,230260,143782,62.4 %,17120,11.9%
Bhilai,163,GEN,Premprakash Pandey,Bharatiya Janta Party,212594,127086,59.8 %,322,0.3%
Patan,164,GEN,Bhupesh Bhaghel,Indian National Congress,130737,87254,66.7 %,3374,3.9%
Gunderdehi,165,GEN,Tarachand,Bharatiya Janta Party,103163,81474,79.0 %,1699,2.1%
Khertha,166,GEN,Pyare Lal Belchandan,Indian National Congress,104352,76578,73.4 %,11416,14.9%
Balod,167,GEN,Jalam Singh Patel,Indian National Congress,126563,96060,75.9 %,2450,2.6%
Dondi Lohara,168,ST,Janaklal Thakur,Chhattisgarh Mukti Morcha,132527,88637,66.9 %,6769,7.6%
Chowki,169,ST,Goverdhan Netam,Indian National Congress,113397,59470,52.4 %,17479,29.4%
Khujji,170,GEN,Rajinder Pal Singh Bhatia,Bharatiya Janta Party,105908,69390,65.5 %,16692,24.1%
Dongargaon,171,GEN,Geeta Devi Singh,Indian National Congress,91377,55419,60.6 %,1131,2.0%
Rajanandgaon,172,GEN,Udai Mudliar,Indian National Congress,117370,81807,69.7 %,8152,10.0%
Dongargarh,173,SC,Danesh Patila,Indian National Congress,108930,60997,56.0 %,4630,7.6%
Khairagarh,174,GEN,Rashmi Devi Ravindra Bahadur,Indian National Congress,114120,69666,61.0 %,3646,5.2%
Birendranagar,175,GEN,Siyaram Sahu,Bharatiya Janta Party,114173,63959,56.0 %,4538,7.1%
Kawardha,176,GEN,Raman Singh,Bharatiya Janta Party,123787,75240,60.8 %,7727,10.3%
Baihar,177,ST,Ganpat Singh Uikay,Indian National Congress,121675,62028,51.0 %,4784,7.7%
Lanji,178,GEN,Dilip Bhatere,Bharatiya Janta Party,98926,69195,69.9 %,622,0.9%
Kirnapur,179,GEN,Likhiram Kaware,Indian National Congress,99850,79117,79.2 %,4100,5.2%
Waraseoni,180,GEN,Omkar Singh Jaipal Singh,Janata Dal,92941,74767,80.4 %,441,0.6%
Khairlanjee,181,GEN,Domansingh Nagpure Alies Baba Patel,Republican Party Of India (KAMBLE),88774,65616,73.9 %,8116,12.4%
Katangi,182,GEN,Tamalal Raghuji Sahare,Indian National Congress,92029,69075,75.1 %,10689,15.5%
Balaghat,183,GEN,Gauri Shankar Chaturbhuj Bisen,Bharatiya Janta Party,128534,94062,73.2 %,3674,3.9%
Paraswada,184,GEN,Kankar Munjare,Krantikari Samajwadi Manch,118526,75262,63.5 %,4539,6.0%
Nainpur,185,ST,Deenu Lal Taram,Indian National Congress,103677,61650,59.5 %,11722,19.0%
Mandla,186,ST,Chhote Lal Uikey,Indian National Congress,116277,60021,51.6 %,8411,14.0%
Bichhia,187,ST,Jhallu Lal Takam,Bharatiya Janta Party,116858,53806,46.0 %,4335,8.1%
Bajag,188,ST,Basori Singh Masram,Indian National Congress,108057,55025,50.9 %,1168,2.1%
Dindori,189,ST,Nanhe Singh,Indian National Congress,109093,58102,53.3 %,9950,17.1%
Shahpura,190,ST,Ganga Bai Urati,Indian National Congress,106685,50286,47.1 %,4976,9.9%
Niwas,191,ST,Dayal Singh Tumrachi,Indian National Congress,104120,48094,46.2 %,3929,8.2%
Bargi,192,ST,Nanhelal Dhurvey,Indian National Congress,130176,60330,46.3 %,4945,8.2%
