AC Name,AC No.,Type,Winning Candidate,Party,Total Electors,Total Votes,Poll%,Margin,Margin %
Muthialpet,1,GEN,G. Palaniraja,Dravida Munetra Kazhagam,15512,12114,78.1 %,3940,32.5%
Cassicade,2,GEN,V. Kathirvelu,Indian National Congress (I),10953,7986,72.9 %,2232,27.9%
Raj Bhavan,3,GEN,L. Joseph Mariadass,Dravida Munetra Kazhagam,6566,4298,65.5 %,798,18.6%
Bussy,4,GEN,C. M. Achraff,Indian National Congress (I),5890,4307,73.1 %,2182,50.7%
Oupalam,5,GEN,Sitha Vedanayagam,Dravida Munetra Kazhagam,10315,7983,77.4 %,3242,40.6%
Orleampeth,6,GEN,Na. Manimaran Alias Na. Marimuthu,Dravida Munetra Kazhagam,13359,10101,75.6 %,2901,28.7%
Nellithope,7,GEN,P. Ramalingam,Dravida Munetra Kazhagam,10171,7897,77.6 %,1909,24.2%
Modeliarpeth,8,GEN,V. Kothandaraman Alias Sabapathy,Indian National Congress (I),13692,11268,82.3 %,2308,20.5%
Ariankuppam,9,GEN,P. Subburayan,Dravida Munetra Kazhagam,13362,10949,81.9 %,2272,20.8%
Embalom,10,SC,G. Murugesan,Indian National Congress (I),9279,7755,83.6 %,3260,42.0%
Nettapakkam,11,GEN,R. Subbaraya Gounder,Janta Party,9669,8689,89.9 %,125,1.4%
Kuruvinatham,12,GEN,M. A. Shanmugam,Dravida Munetra Kazhagam,10471,9269,88.5 %,1013,10.9%
Bahour,13,SC,P. Uthiravelu,Janta Party,10093,8486,84.1 %,1592,18.8%
Thirubuvanai,14,SC,P. Cattavarayane,Indian National Congress (I),10725,8560,79.8 %,3732,43.6%
Mannadipeth,15,GEN,D. Ramachandran,Dravida Munetra Kazhagam,10691,9539,89.2 %,2032,21.3%
Ossudu,16,SC,P. Murthy,Dravida Munetra Kazhagam,10121,8168,80.7 %,2748,33.6%
Villenour,17,GEN,M. Venugopal,Dravida Munetra Kazhagam,11101,9125,82.2 %,745,8.2%
Ozhukarai,18,GEN,G. Perumal Raja,Dravida Munetra Kazhagam,10598,8944,84.4 %,2808,31.4%
Thattanchavady,19,GEN,V. Pethaperumal,Janta Party,13094,10326,78.9 %,2270,22.0%
Reddiarpalayam,20,GEN,Renuka Appadurai,Indian National Congress (I),13974,10695,76.5 %,2893,27.1%
Lawspet,21,GEN,M. O. H. Farook,Indian National Congress (I),14170,11744,82.9 %,6854,58.4%
Cotchery,22,GEN,G. Panjavarnam,Dravida Munetra Kazhagam,10417,8815,84.6 %,1629,18.5%
Karaikal,23,GEN,V. M. Salih Maricar,Independent,13229,9102,68.8 %,2584,28.4%
Karaikal South,24,GEN,S. Savarirajan,Indian National Congress (I),9949,7777,78.2 %,2649,34.1%
Neravy-Grand Aldee,25,GEN,V. M. C. Sivakumar,Dravida Munetra Kazhagam,11479,9528,83.0 %,1362,14.3%
Tirunallar,26,GEN,N. V. Ramalingam,Dravida Munetra Kazhagam,10025,8421,84.0 %,173,2.1%
Neduncadu,27,SC,M. Chandirakasu,Indian National Congress (I),9629,8035,83.4 %,3230,40.2%
Mahe,28,GEN,K. V. Raghavan,Communist Party Of India (MARXIST),7433,5738,77.2 %,464,8.1%
Palloor,29,GEN,N. K. Sachindranath,Indian National Congress (I),7189,5756,80.1 %,100,1.7%
Yanam,30,GEN,Kamichetty Sri Parassourama Varaprassada Rao Naidu,Independent,5981,5228,87.4 %,268,5.1%
