#,AC Name,AC No.,Type,Winning Candidate,Party,Total Electors,Total Votes,Poll%,Margin,Margin %
1,Sarojini Nagar,1,GEN,Ram Bhaj,Bharatiya Janta Party,84053,41722,49.6 %,14196,34.0%
2,Gole Market,2,GEN,Kirti Azad,Bharatiya Janta Party,84988,41127,48.4 %,3803,9.2%
3,Minto Road,3,GEN,Tajdar Babar,Indian National Congress,74600,42811,57.4 %,1871,4.4%
4,Kasturba Nagar,4,GEN,Jagdish Lal Batra,Bharatiya Janta Party,82595,45792,55.4 %,10056,22.0%
5,Jangpura,5,GEN,Jag Parvesh Chandra,Indian National Congress,88349,51705,58.5 %,2491,4.8%
6,Okhla,6,GEN,Parvej,Janata Dal,82504,43641,52.9 %,1307,3.0%
7,Kalkaji,7,GEN,Purnima Sethi,Bharatiya Janta Party,78263,47960,61.3 %,4012,8.4%
8,Malviya Nagar,8,GEN,Rajendra Gupta,Bharatiya Janta Party,82850,45561,55.0 %,258,0.6%
9,Hauz Khas,9,GEN,Rajesh Sharma,Bharatiya Janta Party,73158,42019,57.4 %,1689,4.0%
10,R.K.Puram,10,GEN,Bodh Raj,Bharatiya Janta Party,88200,44478,50.4 %,1660,3.7%
11,Delhi Cantonment,11,GEN,Karan Singh Tanwar,Bharatiya Janta Party,75980,39822,52.4 %,8869,22.3%
12,Janak Puri,12,GEN,Jagdish Mukhi,Bharatiya Janta Party,97482,54817,56.2 %,16053,29.3%
13,Hari Nagar,13,GEN,Harsaran Singh Balli,Bharatiya Janta Party,84652,53122,62.8 %,16899,31.8%
14,Tilak Nagar,14,GEN,O.P Babbar,Bharatiya Janta Party,86675,55358,63.9 %,16570,29.9%
15,Rajouri Garden,15,GEN,Ajay Makan,Indian National Congress,84012,55654,66.2 %,3551,6.4%
16,Madipur,16,SC,Swarup Chand Rajan,Bharatiya Janta Party,90141,57170,63.4 %,4875,8.5%
17,Tri Nagar,17,GEN,Nand Kishore Garg,Bharatiya Janta Party,74881,52748,70.4 %,8673,16.4%
18,Shakurbasti,18,GEN,Gauri Shankar Bhardwaj,Bharatiya Janta Party,82145,57129,69.5 %,7496,13.1%
19,Shalimar Bagh,19,GEN,Sahib Singh Verma,Bharatiya Janta Party,91448,62105,67.9 %,21770,35.1%
20,Badli,20,GEN,Jai Bhagwan,Bharatiya Janta Party,104685,63352,60.5 %,9832,15.5%
21,Sahibabad Daulatpur,21,GEN,Jet Ram Solanki,Bharatiya Janta Party,96777,54072,55.9 %,8696,16.1%
22,Bawana,22,SC,Chand Ram,Bharatiya Janta Party,90573,52572,58.0 %,2195,4.2%
23,Sultanpur Majra,23,SC,Jai Kishan,Indian National Congress,92185,56463,61.2 %,7412,13.1%
24,Mangolpuri,24,SC,Raj Kumar Chauhan,Indian National Congress,79706,52422,65.8 %,7663,14.6%
25,Nangloi Jat,25,GEN,Davinder Singh,Bharatiya Janta Party,85474,53316,62.4 %,12140,22.8%
26,Vishnu Garden,26,GEN,Mahinder Singh Saathi,Indian National Congress,87726,51393,58.6 %,5710,11.1%
27,Hastsal,27,GEN,Mukesh Sharma,Indian National Congress,113909,69168,60.7 %,7470,10.8%
28,Najafgarh,28,GEN,Suraj Parshad,Independent,84991,56454,66.4 %,5379,9.5%
29,Nasirpur,29,GEN,Vinod Kumar Sharma,Bharatiya Janta Party,103041,60607,58.8 %,2058,3.4%
30,Palam,30,GEN,Dharam Dev Solanki,Bharatiya Janta Party,87948,51456,58.5 %,4058,7.9%
31,Mahipalpur,31,GEN,Sat Parkash Rana,Bharatiya Janta Party,86835,50050,57.6 %,3142,6.3%
32,Mehrauli,32,GEN,Brahm Singh Tanwar,Bharatiya Janta Party,88314,54383,61.6 %,7021,12.9%
33,Saket,33,GEN,Tek Chand S/o Dhanpat Sharma,Indian National Congress,76904,43083,56.0 %,749,1.7%
34,Dr. Ambedkar Nagar,34,SC,Prem Singh,Indian National Congress,74586,45592,61.1 %,8565,18.8%
35,Tughlakabad,35,GEN,Shish Pal,Independent,81526,49837,61.1 %,2532,5.1%
36,Badarpur,36,GEN,Ram Vir Singh Bidhuri,Janata Dal,95195,54503,57.3 %,7066,13.0%
37,Trilok Puri,37,SC,Brahm Pal,Indian National Congress,85447,49116,57.5 %,2855,5.8%
38,Patpar Ganj,38,SC,Gyan Chand,Bharatiya Janta Party,87085,48664,55.9 %,2147,4.4%
39,Mandawali,39,GEN,M.S. Panwar,Bharatiya Janta Party,81221,45629,56.2 %,8599,18.8%
40,Geeta Colony,40,GEN,A.K. Walia,Indian National Congress,80411,55467,69.0 %,2871,5.2%
41,Gandhi Nagar,41,GEN,Darshan Kumar Bahl,Bharatiya Janta Party,73604,50225,68.2 %,2917,5.8%
42,Krishna Nagar,42,GEN,Harsh Vardhan,Bharatiya Janta Party,81340,57644,70.9 %,12419,21.5%
43,Vishwash Nagar,43,GEN,Madan Lal Gawa,Bharatiya Janta Party,85132,55786,65.5 %,6560,11.8%
44,Shahdara,44,GEN,Ram Niwas Goyal,Bharatiya Janta Party,82441,53854,65.3 %,12167,22.6%
45,Seemapuri,45,SC,Balbir Singh,Bharatiya Janta Party,66363,38617,58.2 %,1762,4.6%
46,Nand Nagari,46,SC,Fateh Singh,Bharatiya Janta Party,73537,45560,62.0 %,781,1.7%
47,Rohtas Nagar,47,GEN,Alok Kumar,Bharatiya Janta Party,81847,52567,64.2 %,7816,14.9%
48,Babarpur,48,GEN,Naresh Gaur,Bharatiya Janta Party,61307,40110,65.4 %,15301,38.1%
49,Seelampur,49,GEN,Matin Ahmed,Janata Dal,55828,39756,71.2 %,1438,3.6%
50,Ghonda,50,GEN,Lal Behari Tiwari,Bharatiya Janta Party,69149,45359,65.6 %,7773,17.1%
51,Yamuna Vihar,51,GEN,Sahab Singh Chauhan,Bharatiya Janta Party,77815,49777,64.0 %,10454,21.0%
52,Qarawal Nagar,52,GEN,Ram Pal,Bharatiya Janta Party,103989,62835,60.4 %,5506,8.8%
53,Wazirpur,53,GEN,Deep Chand Bandhu,Indian National Congress,89358,61473,68.8 %,479,0.8%
54,Narela,54,SC,Inder Raj Singh,Bharatiya Janta Party,73801,44601,60.4 %,7653,17.2%
55,Bhalswa Jahangirpur,55,GEN,Jitendra Kumar,Independent,97540,61306,62.9 %,7822,12.8%
56,Adarsh Nagar,56,GEN,Jai Parkash Yadav,Bharatiya Janta Party,78562,50938,64.8 %,40,0.1%
57,Pahar Ganj,57,GEN,Satish Chandra Khandelwal,Bharatiya Janta Party,82682,55504,67.1 %,4014,7.2%
58,Matia Mahal,58,GEN,Shoaib Iqbal,Janata Dal,64038,44598,69.6 %,19945,44.7%
59,Balli Maran,59,GEN,Haroon Yusuf,Indian National Congress,81056,52308,64.5 %,1491,2.9%
60,Chandni Chowk,60,GEN,Vasdev Kaptain,Bharatiya Janta Party,79925,51844,64.9 %,4454,8.6%
61,Timarpur,61,GEN,Rajender Gupta,Bharatiya Janta Party,81710,54500,66.7 %,5056,9.3%
62,Model Town,62,GEN,Chatri Lal Goel,Bharatiya Janta Party,84649,54872,64.8 %,2338,4.3%
63,Kamla Nagar,63,GEN,P.K. Chandla,Bharatiya Janta Party,84579,56432,66.7 %,6021,10.7%
64,Sadar Bazar,64,GEN,Hari Krishan,Bharatiya Janta Party,88910,58411,65.7 %,1339,2.3%
65,Moti Nagar,65,GEN,Madan Lal Khurana,Bharatiya Janta Party,88657,62425,70.4 %,9138,14.6%
66,Patel Nagar,66,GEN,M.R Arya,Bharatiya Janta Party,87667,54188,61.8 %,2147,4.0%
67,Rajinder Nagar,67,GEN,Puran Chand Yogi,Bharatiya Janta Party,78138,50837,65.1 %,1613,3.2%
68,Karol Bagh,68,SC,S.P. Ratwal,Bharatiya Janta Party,84529,52460,62.1 %,11389,21.7%
69,Ram Nagar,69,SC,Moti Lal Soddi,Bharatiya Janta Party,84986,54806,64.5 %,3421,6.2%
70,Baljit Nagar,70,SC,Krishan Tirath,Indian National Congress,75891,46780,61.6 %,1585,3.4%
