AC Name,AC No.,Type,District,Winning Candidate,Party,Total Electors,Total Votes,Poll%,Margin,Margin %
Sisai,67,ST,Gumla,Dinesh Oraon,Bharatiya Janta Party,216586,143378,66.2 %,2593,1.8%
Gumla,68,ST,Gumla,Shivshankar Oraon,Bharatiya Janta Party,213110,129793,60.9 %,4032,3.1%
Bishunpur,69,ST,Gumla,Chamra Linda,Jharkhand Mukti Morcha,219338,147161,67.1 %,10843,7.4%
Simdega,70,ST,Simdega,Vimla Pradhan,Bharatiya Janta Party,206040,135852,65.9 %,3194,2.4%
Kolebira,71,ST,Simdega,Anosh Ekka,Jharkhand Party,188361,123701,65.7 %,17143,13.9%
Lohardaga,72,ST,Lohardaga,Kamal Kishore Bhagat,Ajsu Party,215688,146657,68.0 %,592,0.4%
Manika,73,ST,Latehar,Harikrishn Singh,Bharatiya Janta Party,213469,127845,59.9 %,1083,0.8%
Latehar,74,SC,Latehar,Prakash Ram,Jharkhand Vikas Morcha (Prajatantrik),241954,160169,66.2 %,26787,16.7%
Panki,75,GEN,Palamu,Bidesh Singh,Indian National Congress,240391,156962,65.3 %,1995,1.3%
Daltonganj,76,GEN,Palamu,Alok Kr. Chaurasiya,Jharkhand Vikas Morcha (Prajatantrik),306882,198767,64.8 %,4347,2.2%
Bishrampur,77,GEN,Palamu,Ramchandra Chandravanshi,Bharatiya Janta Party,272695,167269,61.3 %,13910,8.3%
Chattarpur,78,SC,Palamu,Radha Krishna Kishore,Bharatiya Janta Party,239984,143554,59.8 %,5881,4.1%
Hussainabad,79,GEN,Palamu,Kushwaha Shivpujan Mehta,Bahujan Samaj Party,248254,154800,62.4 %,27752,17.9%
Garhwa,80,GEN,Garhwa,Satyendra Nath Tiwari,Bharatiya Janta Party,300092,202046,67.3 %,21510,10.6%
Bhawanathpur,81,GEN,Garhwa,Bhanu Pratap Shahi,Navjawan Sangharsh Morcha,310922,211904,68.2 %,2661,1.3%
