#,AC Name,AC No.,Type,Winning Candidate,Party,Total Electors,Total Votes,Poll%,Margin,Margin %
1,Bharatpur-Sonhat,1,ST,Phoolchand Singh,Bharatiya Janta Party,133077,89731,67.4 %,7298,8.1%
2,Manendragarh,2,GEN,Deepak Kumar Patel,Bharatiya Janta Party,122819,73493,59.8 %,14282,19.4%
3,Baikunthpur,3,GEN,Bhaiya Lal Rajwade,Bharatiya Janta Party,133372,91909,68.9 %,5536,6.0%
4,Premnagar,4,GEN,Renuka Singh,Bharatiya Janta Party,174390,131684,75.5 %,16075,12.2%
5,Bhatgaon,5,GEN,Ravi Shankar Tripathi,Bharatiya Janta Party,176655,129383,73.2 %,17498,13.5%
6,Pratappur,6,ST,Dr. Premsai Singh Tekam,Indian National Congress,167076,127337,76.2 %,2373,1.9%
7,Ramanujganj,7,ST,Ram Vichar Netam,Bharatiya Janta Party,145677,117001,80.3 %,4579,3.9%
8,Samri,8,ST,Siddha Nath Paikra,Bharatiya Janta Party,164084,126916,77.3 %,30578,24.1%
9,Lundra,9,ST,Ramdev Ram,Indian National Congress,150939,121676,80.6 %,8198,6.7%
10,Ambikapur,10,GEN,T S Baba,Indian National Congress,188095,133481,71.0 %,948,0.7%
11,Sitapur,11,ST,Amarjeet Bhagat,Indian National Congress,153180,116718,76.2 %,1722,1.5%
12,Jashpur,12,ST,Jageswar Ram Bhagat,Bharatiya Janta Party,179665,128633,71.6 %,15770,12.3%
13,Kunkuri,13,ST,Bharat Sai,Bharatiya Janta Party,160413,117898,73.5 %,9592,8.1%
14,Pathalgaon,14,ST,Rampukar Singh,Indian National Congress,175587,136298,77.6 %,9916,7.3%
15,Lailunga,15,ST,Hriday Ram Rathiya,Indian National Congress,154938,131070,84.6 %,14081,10.7%
16,Raigarh,16,GEN,Doctor Shakrajeet Nayak,Indian National Congress,190941,147457,77.2 %,12944,8.8%
17,Sarangarh,17,SC,Smt. Padma Ghanshaym Manher,Indian National Congress,206179,159394,77.3 %,10845,6.8%
18,Kharsia,18,GEN,Nand Kumar Patel,Indian National Congress,169121,142359,84.2 %,33428,23.5%
19,Dharamjaigarh,19,ST,Om Prakash Rathiya,Bharatiya Janta Party,164593,131600,80.0 %,3367,2.6%
20,Rampur,20,ST,Nankiram Kanwar,Bharatiya Janta Party,167885,127095,75.7 %,8321,6.5%
21,Korba,21,GEN,Jai Singh Bhaiya,Indian National Congress,185435,118037,63.7 %,587,0.5%
